"","x"
"1","Dbp"
"2","Bmyc"
"3","Tfeb"
"4","Usf2"
"5","Zfp395"
"6","Zfp652"
"7","Hes6"
"8","Zfp414"
"9","Lyl1"
"10","Fli1"
"11","Cbx2"
"12","Akap8l"
"13","Cic"
"14","Zbtb18"
"15","Nfatc1"
"16","Tcf3"
"17","Zfp362"
"18","Rreb1"
"19","Zfp512b"
"20","Foxk1"
"21","Phf1"
"22","Meis3"
"23","Rxrb"
"24","Prr12"
"25","Rfx1"
"26","Xpa"
"27","Smyd3"
