"","baseMean","lgFC_PcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Pdlim4",29.4950054258337,-2.14916386227849,0.228802644382919,-9.39309013702525,5.8265241929915e-21,1.61416707029612e-18
"Traf1",466.344321555692,-1.07149615810153,0.114454445777302,-9.36176966149811,7.8412182206256e-21,2.13208531728603e-18
"Atf5",241.07897230472,-1.83266555537771,0.197521329238511,-9.2783172452466,1.72176199553137e-20,4.59647843279764e-18
"Arhgap22",43.7942043887024,-2.25973531293853,0.243674421545987,-9.27358439429831,1.79993198692708e-20,4.68283322474322e-18
"Tnfrsf9",252.130163509789,-1.72087743169662,0.185588858137167,-9.2725255652187,1.81789480222273e-20,4.68283322474322e-18
"Slc22a23",32.9804123358056,-1.99237252649715,0.217843901926279,-9.14587238329669,5.91504949046692e-20,1.49742537359527e-17
"Pdgfb",26.2976027174433,-2.27946657009748,0.250712546374513,-9.09195252914239,9.72761676811734e-20,2.4208575763774e-17
"Vopp1",58.6855456266194,-1.91099094568906,0.211343336581776,-9.04211590768385,1.53668027424071e-19,3.76051274444605e-17
"Klrk1",57.294909715452,-2.1355462204504,0.236597991313977,-9.02605389247122,1.77973922546995e-19,4.28391984386481e-17
"Slc27a3",18.454120130578,-2.80100996027644,0.311674953034408,-8.98695879475182,2.54165869386389e-19,6.01922171000055e-17
"Cyp11a1",277.174950546037,2.40225071855389,0.268391718412957,8.95053965434844,3.53748670700926e-19,8.2445900506376e-17
"Sema7a",249.929870219148,-1.58122556554678,0.177325630290516,-8.91707286169648,4.78774704862158e-19,1.09841390492048e-16
"Map4",258.739701867783,-0.861011895966122,0.096700331397573,-8.90391877175854,5.39089072471491e-19,1.19930982592408e-16
"Relb",286.616149814862,-0.977617039750312,0.109777564167604,-8.90543570686013,5.31767673848334e-19,1.19930982592408e-16
"Tnfsf8",42.5804628017266,-3.73584130788063,0.423527167926773,-8.82078315345889,1.13661941901731e-18,2.49089297454196e-16
"Helz2",984.867108233821,-1.40433912199559,0.160642681805303,-8.7420049653904,2.29009420960953e-18,4.94491959995539e-16
"Il18bp",68.0611112056426,-2.28671398946284,0.262815250729549,-8.70084206725124,3.29430469410741e-18,6.91003940336845e-16
"Srm",583.196943593202,1.16801730293073,0.134229553407194,8.70164038605921,3.27120785875553e-18,6.91003940336845e-16
"Inppl1",49.6793539243546,-1.69200065065425,0.195231279073242,-8.66664736658049,4.45030594615861e-18,9.20335805738689e-16
"B3galnt1",14.5520656079898,-3.00054532714458,0.347245986950603,-8.64097913267292,5.57332976317359e-18,1.1365722348983e-15
"Siglech",37.0869859335187,-2.97217843811454,0.349999623732876,-8.49194752387204,2.03202767804119e-17,4.08715923242176e-15
"Hmox1",1257.09666936416,-1.78797479626427,0.210611388755552,-8.4894497245802,2.07617808772409e-17,4.11953011649361e-15
"Insl6",87.5413518474468,-1.69503009908635,0.199789643714147,-8.48407388679035,2.1744356490839e-17,4.25696515139985e-15
"Lipg",99.2383766660474,3.11426484557485,0.369255429202791,8.43390401137349,3.34320958526841e-17,6.45899293953896e-15
"Tubb2a",198.538574666965,-1.1090468485082,0.131585237147025,-8.42835315384981,3.50563729489699e-17,6.68484057155487e-15
"Ltc4s",19.440804042723,-2.9401849892661,0.349482151414147,-8.41297610584379,3.99736419211911e-17,7.52478185036986e-15
"Slc15a3",245.197870737651,-1.88217319246447,0.22380694758777,-8.40980681230348,4.10686588251227e-17,7.63305212062375e-15
"Arhgef40",53.2959019539107,-1.88112225447591,0.224407194011779,-8.38262900955473,5.17584143889348e-17,9.49960998090913e-15
"Irf8",2613.06190928762,-1.43221781728046,0.170890161878747,-8.38092609624109,5.2512866431493e-17,9.51909157794582e-15
"Etnk2",12.1456194099312,-4.33374526437899,0.517373292308444,-8.3764379197899,5.45536493391604e-17,9.76842967374259e-15
"Abtb2",116.538643717284,-1.24425381326249,0.148590928147908,-8.37368625912312,5.58433097836893e-17,9.87888334402302e-15
"Plat",17.0537727888018,-2.61761313163755,0.315108583817115,-8.30701944050111,9.81358743535892e-17,1.71539171801637e-14
"Mical2",12.3669046271047,-3.37083263351368,0.410507809411168,-8.21137273453773,2.18673906265179e-16,3.77739878316662e-14
"Hnrnpab",2094.67708327575,0.599479254413033,0.0730882119357474,8.20213326521166,2.36158289406796e-16,4.03199088762789e-14
"Oasl1",806.27872161581,-1.32115837049777,0.161666949743883,-8.1720993226555,3.03068858852471e-16,5.11489661440326e-14
"Epx",173.65354475432,2.68998264280129,0.330096554812469,8.14907821237182,3.66708730360006e-16,6.11861850894997e-14
"Fndc5",12.4614228614087,-4.08166607899488,0.50102205703867,-8.14667941591211,3.74053608885259e-16,6.17104397669916e-14
"Stxbp3",252.451831742919,-1.48111499071206,0.182420955581571,-8.11921517454047,4.69207979248191e-16,7.65486751033465e-14
"Ceacam15",47.5799527368517,-2.46174203126639,0.303352314622553,-8.11512526063766,4.85283987919076e-16,7.83013713694043e-14
"Lad1",82.2892777049252,-2.47962254226123,0.307117825378741,-8.07384768110849,6.81168422935596e-16,1.08712999499602e-13
"Exoc3l4",19.5098616854164,-2.44324417326162,0.303850602884772,-8.04093903406919,8.9152608202814e-16,1.40755671638916e-13
"Tnfsf12",40.8069746474536,-1.8232204787384,0.228706692421144,-7.97187200530667,1.56288629633327e-15,2.4412616477725e-13
"Tmem86a",56.7105657943397,-1.35671726994566,0.170794250586061,-7.94357693710553,1.96432760188625e-15,3.03602338721008e-13
"Mras",17.7944449972919,-3.21499322906123,0.406709415053503,-7.90489010105235,2.68170084291002e-15,4.10160557046331e-13
"Stat2",621.782638371567,-1.21013273978122,0.153594507826722,-7.87875007318898,3.30672151406938e-15,5.00542185475058e-13
"Kansl3",158.587926589898,-1.09537055973738,0.139094343686372,-7.87501871540659,3.40691856531744e-15,5.10446788719959e-13
"Cdc25a",115.028081286601,1.16723592483481,0.148390517866643,7.86597379411929,3.66237210387601e-15,5.43177874759711e-13
"Retnlg",383.589455483148,-3.87733366412305,0.494792453750077,-7.83628293992035,4.64079508852726e-15,6.81407942848457e-13
"Alox5",159.661184471419,1.75241720421327,0.223731978094798,7.8326630780994,4.77643046054529e-15,6.94379489625609e-13
"Plaat3",160.342760793698,-1.44142109192596,0.184094593000757,-7.82978504925472,4.8870477417148e-15,7.03495313643122e-13
"Slc7a5",231.648462232209,1.6808495505071,0.214943440618947,7.81996205916752,5.28392603684984e-15,7.53241611641419e-13
"Il17a",38.7820704366072,-3.89190702682794,0.498127308259531,-7.81307702327415,5.58084677203332e-15,7.87918972632358e-13
"C1qa",287.605162439698,-2.43659171866549,0.312416043823354,-7.79918882796938,6.23063744787667e-15,8.71280472830221e-13
"Crispld2",56.275484395883,1.68230869543201,0.216222417742341,7.78045455692164,7.22644216316008e-15,1.00099858756301e-12
"Plekhs1",9.23850565951433,-4.45501747810208,0.574472494109645,-7.75497090597307,8.83637324925294e-15,1.21256512540917e-12
"Tuba8",101.161002324696,1.56040092215502,0.202140445183873,7.71938995551152,1.16887785672054e-14,1.58913273798404e-12
"Irf7",1371.16191838475,-1.23807988960038,0.161128320043411,-7.68381305823093,1.54421957532138e-14,2.08016293802237e-12
"Serpine1",11.8841877877656,-4.59090282078433,0.598700540292282,-7.66811203902217,1.74546394095106e-14,2.32987700408949e-12
"Rtl5",16.4558181943855,-3.72258077994054,0.486874492306713,-7.64587350284815,2.07531614018891e-14,2.74521323300844e-12
"Car4",20.3523968467513,5.97350183532736,0.781755193028632,7.64114122758194,2.15304737934332e-14,2.81418574593181e-12
"Laptm4b",39.5227043514745,-1.78353367079656,0.233451501173886,-7.63984665692125,2.17480598233423e-14,2.81418574593181e-12
"Tap1",1510.1227876006,-0.800146067527717,0.104741482926936,-7.63924707926724,2.18495658268901e-14,2.81418574593181e-12
"Rab20",67.7133581493836,-1.95364298135642,0.256504976678426,-7.61639406242653,2.60860494536351e-14,3.3306214271976e-12
"Adam8",565.581084925958,-0.789456007200936,0.103820994553062,-7.60401121757169,2.8709035252409e-14,3.63392038457863e-12
"Tbc1d8",177.392155151916,-0.84464093985364,0.111202722953157,-7.59550591409022,3.06592229219832e-14,3.84760145438871e-12
"Gadd45b",804.375631654614,-0.675006963255826,0.0893796801517323,-7.55212999319224,4.28196774110689e-14,5.32814680870106e-12
"Tnfsf15",9.80809419251952,-4.69653660666324,0.623788993750386,-7.52904692727329,5.11120132752117e-14,6.30653521781457e-12
"E2f8",76.1436779574657,1.56578541232957,0.208026764143298,7.52684597473714,5.19806262275896e-14,6.36026279083081e-12
"Stk39",17.4621472696295,-2.90974061280754,0.387486866467573,-7.50926254438882,5.94613681180777e-14,7.21546502543582e-12
"Fn1",109.382015674313,-2.66534468344207,0.355646388578186,-7.49436735207031,6.66189017138669e-14,8.01774863823531e-12
"Ly75",106.251856701629,-1.49158818476591,0.199136674320246,-7.49027365178939,6.87301603615675e-14,8.20459304543818e-12
"Capn5",56.30165719207,-1.36663385893595,0.182709593721941,-7.4798144481443,7.44276215578273e-14,8.81307070430306e-12
"Egr1",461.185402467258,-0.938785211719253,0.126228765610464,-7.43717335093256,1.02862531298902e-13,1.20826443764942e-11
"Gsap",68.9542119912235,-1.41610414893969,0.190735397399651,-7.42444332958554,1.13255220661118e-13,1.30939087005291e-11
"Nhp2",571.613223772542,0.784844592732279,0.105704265161939,7.42490940672918,1.12857133160481e-13,1.30939087005291e-11
"Ptges3",204.116574902264,0.961731397343318,0.130404391375725,7.37499241549579,1.64354408475672e-13,1.88532482785023e-11
"Il6st",88.3419671269261,-1.09409112053138,0.148728607316208,-7.35629237894535,1.89088612466428e-13,2.15223883476323e-11
"Pkib",535.058303664534,-1.37978159147926,0.187923920681957,-7.3422350197472,2.10056115991997e-13,2.37250303931576e-11
"Trim35",258.963813674737,-0.84953883319719,0.115756156423803,-7.33903802132894,2.15134496418586e-13,2.41131283275886e-11
"Ddx39a",443.323206618344,0.709559735457513,0.0968485461059325,7.32648825395272,2.36261891464513e-13,2.62805556997988e-11
"Ndrg1",79.0032180620371,-1.35349988299319,0.185034679045874,-7.31484438469843,2.57679833048514e-13,2.84474660800851e-11
"Arhgap31",65.5743017334152,-1.23177343473481,0.168868488375759,-7.29427643121856,3.00268376271339e-13,3.2901795289493e-11
"Lactb",143.475617793428,-1.00710301279767,0.138651310461038,-7.26356649243987,3.77014973800066e-13,4.10052656318990e-11
"Ndc1",76.3601482961905,1.12577602405743,0.156381160038522,7.19892360294628,6.06897410120575e-13,6.55226078882382e-11
"Prg3",82.5380615543419,2.09267393658575,0.291693903225305,7.17421212252546,7.2724777036675e-13,7.79429124985036e-11
"Nr4a3",89.1693475439463,-2.09418298334125,0.292053945569741,-7.17053481080662,7.47053466625864e-13,7.94854061628084e-11
"Gzmc",12.4668896828677,-3.03518331413749,0.423760158145817,-7.16250278794042,7.92172567791277e-13,8.36796389415779e-11
"Gngt2",273.882636326848,-0.958790043087617,0.134077269961911,-7.15102599687475,8.61316748728086e-13,9.03336701541035e-11
"Mrfap1",333.829969443044,-1.00449149247371,0.140669899483243,-7.14077067065345,9.28090819548341e-13,9.66465071165127e-11
"Pafah2",55.6265432389908,1.50693181396349,0.211218129107355,7.13448140238744,9.71527492828451e-13,1.00457311107043e-10
"Mafb",41.0357755990629,-2.94222226531374,0.412590256587643,-7.13109972505797,9.95701422196725e-13,1.02236950923878e-10
"Ehd1",358.144103081972,-1.07980784991501,0.151544242337445,-7.12536374368216,1.0380617845906e-12,1.05846258216277e-10
"Gbp2b",10.9528323187065,-5.54067373905406,0.778548478059726,-7.11667146644786,1.10564605977758e-12,1.1196000755665e-10
"Apex1",198.28702598657,0.961341437644521,0.135182492031528,7.11143450011495,1.14842961974286e-12,1.15495836347154e-10
"Slamf7",395.752332002537,-1.46776384760468,0.206671231792882,-7.10192625684652,1.23029878043677e-12,1.22887598592878e-10
"S100a10",1202.94549671189,-0.85437957411651,0.120324037603892,-7.10065578857267,1.24166279272122e-12,1.23184694496795e-10
"Phf11b",465.433710479392,-1.28862536033426,0.181517104583666,-7.09919521518313,1.25485454992318e-12,1.23657915144443e-10
"Gls2",8.9057829301778,-3.20337910401359,0.453464690384336,-7.06423051659999,1.61508444061233e-12,1.58095232276739e-10
"Mt2",221.853200665696,-1.45060790553072,0.205920864209525,-7.04449212127785,1.8613917950863e-12,1.80998779650676e-10
"Apba1",16.1504994437162,-2.53243903084141,0.360322109042528,-7.02826434262049,2.09118439856197e-12,2.02005661342668e-10
"Enpp2",13.6123199038525,-7.27818788635858,1.03594432616897,-7.02565543582259,2.13063668972032e-12,2.04471493563159e-10
"Rab13",13.8163157909688,-2.78943953341626,0.39720205525672,-7.02272180241713,2.17587190776281e-12,2.07456670270658e-10
"Atf3",350.030636299729,-1.55720271577498,0.222315525056718,-7.00447130436665,2.47920227471281e-12,2.3333793113287e-10
"Gpr132",355.310599641848,-0.981292144321874,0.140087264001257,-7.00486337082771,2.47226975109109e-12,2.3333793113287e-10
"Hars1",296.698200462823,0.596472630157098,0.0851667948489608,7.00358198538425,2.49499796961524e-12,2.3333793113287e-10
"Pdcd1lg2",40.6111869407009,-1.67662468316669,0.240335898291346,-6.97617249477317,3.03330269051468e-12,2.81885970916627e-10
"Ccn3",10.0281783721877,5.0949913105788,0.73079568346037,6.971841002746,3.128199871349e-12,2.88876469880613e-10
"Mx2",163.674386182253,-1.29781834740437,0.18681156050559,-6.94720575050031,3.72592115376435e-12,3.40334834168967e-10
"Nedd4",316.634093126389,0.97554012681863,0.140426434335171,6.94698353224722,3.73179243350839e-12,3.40334834168967e-10
"Gusb",251.731573474693,0.866941136850002,0.124918577757795,6.94004969005423,3.91962049236271e-12,3.55257948699763e-10
"Gga3",151.276706691086,-0.741752657264591,0.107011825821089,-6.93150174359903,4.16396321602426e-12,3.75088784668001e-10
"Rasa4",196.427488370366,-1.16241091890018,0.168077765928867,-6.91591128949279,4.64865244735388e-12,4.16196121246933e-10
"Fdps",415.612709042891,1.7130860522298,0.247781340849716,6.91370079100837,4.72170550951566e-12,4.20174557552839e-10
"Sesn2",156.50086314941,-0.881848269356175,0.127742298828484,-6.903338028543,5.07945659938531e-12,4.49287115956473e-10
"Lacc1",56.9983494393487,-1.59711318019073,0.231444965923551,-6.9006174915823,5.17769772462134e-12,4.55234345452785e-10
"Dscaml1",11.165448076783,-3.80012051170765,0.551139179539025,-6.89502879270185,5.38538943800786e-12,4.70676625703985e-10
"Tmem97",64.3415408687427,1.50064136406156,0.217829038933602,6.88907857009357,5.61549197409896e-12,4.87883246483402e-10
"Wars1",381.378777730597,-0.807596660590465,0.117811797773173,-6.8549727264612,7.13261259045894e-12,6.16047945092404e-10
"Lif",56.9465176340736,-2.21163528013777,0.323511871313539,-6.83633423143941,8.12452698475703e-12,6.97616548053728e-10
"Il15",67.1783372512152,-1.51572913653187,0.221759907615367,-6.83500075748966,8.20045954893126e-12,7.00042718354405e-10
"Slamf1",25.6584725589135,-1.93707599989869,0.284485383703096,-6.80905280504789,9.82434173877633e-12,8.3381970954019e-10
"Prex1",360.376877157902,-0.652215147224299,0.0959058948892851,-6.80057412505481,1.04203038501896e-11,8.79317939266284e-10
"F730043M19Rik",14.8824761195755,-2.25159339448156,0.331566170527636,-6.79078143255237,1.11527783256234e-11,9.3574996660073e-10
"Dnah2",20.4949867073768,-1.95427688051394,0.28796987649777,-6.78639343906886,1.14971351168943e-11,9.59161562053179e-10
"Epsti1",675.933955986439,-0.973080366174339,0.143552701096898,-6.77855838823618,1.21380921809515e-11,1.00691303668311e-09
"Junb",1521.83642302556,-0.770705595941939,0.113716907829667,-6.77740549449654,1.22353132775004e-11,1.00927586996369e-09
"Tnfsf4",13.866264411269,-2.70740118873852,0.399905835854048,-6.7700967227861,1.28696328285881e-11,1.05566937889475e-09
"B3gnt7",21.9422549984824,1.93350887877062,0.285680360908471,6.76808469655389,1.30498360272498e-11,1.06450412437838e-09
"Slc7a7",67.7932239968176,-1.42709113264701,0.210920268597162,-6.76602178699392,1.32371620079169e-11,1.07381905945991e-09
"Rrm1",269.919244828749,0.736931669227233,0.108982949914242,6.76189871725002,1.36194905453039e-11,1.09876362459724e-09
"Gart",263.26260349161,0.686695136429919,0.101826983716661,6.74374425486945,1.54356140109463e-11,1.23847606843019e-09
"Nudt17",28.1017374566879,-2.05629135507964,0.306678755802641,-6.70503357722939,2.01360061085157e-11,1.60683140049639e-09
"Nrgn",102.835931568358,1.27865503766218,0.19103439224072,6.69332376575922,2.1815772625919e-11,1.73146480792632e-09
"Itgb2l",65.2195103584366,1.54111001520991,0.230284842565653,6.69219041097137,2.19854528207368e-11,1.73555055788645e-09
"C1qbp",709.358707429359,0.544459630971346,0.0815146088910027,6.6792890057213,2.40104251660134e-11,1.88526776851644e-09
"Id1",145.504793792039,1.54102703315589,0.231209249632754,6.66507518883271,2.64529892256698e-11,2.06600660000271e-09
"Tspan3",192.687219504431,-1.07069414174528,0.160982484505223,-6.65099774696634,2.91112739718557e-11,2.26159172343258e-09
"Rnaset2a",530.398623402133,-1.11425811583993,0.167604183197715,-6.64815217962362,2.96795363315269e-11,2.28623876312196e-09
"Tns4",8.37123171180243,-3.14969007151657,0.473790583624152,-6.64785282861414,2.97399444089283e-11,2.28623876312196e-09
"Bcl2l11",268.160748158437,-0.881734076209022,0.132722528832025,-6.6434393917023,3.06446525681847e-11,2.34351788363883e-09
"Nomo1",242.256688194098,1.06082036445954,0.159729478415356,6.64135621667163,3.10809858908362e-11,2.36457054836864e-09
"Tmod1",25.1678082698203,-3.2969508066622,0.497049491891186,-6.63304330946578,3.28835271652517e-11,2.48880839880098e-09
"Parp14",730.709635020864,-0.978424517488358,0.147824737943716,-6.61881449004083,3.62090899811012e-11,2.72645163175646e-09
"Psmg4",265.229439545721,-0.741742648780579,0.112148255488865,-6.61394727494646,3.74205068501049e-11,2.80329235755148e-09
"Oaf",45.232674004516,1.61672606742828,0.244780289064525,6.60480496042759,3.98041031073907e-11,2.96671901485186e-09
"Crybg1",186.309287937886,-0.906340763095036,0.137267637267645,-6.60272720603365,4.03661930509468e-11,2.99341824528814e-09
"Tmem106a",89.1554080768852,-1.3418262751511,0.203454478504342,-6.59521621256649,4.24636558547466e-11,3.13313496942334e-09
"Pcbp4",31.6625586414687,-1.74966913963885,0.265354436427961,-6.59370600014013,4.28980817940981e-11,3.14936267491371e-09
"Rnf114",1022.6723870674,-0.659572027004313,0.10019556144145,-6.58284676003078,4.6152476636258e-11,3.37142693756307e-09
"Slc25a5",1779.64004301273,0.524703552399269,0.0797536930311607,6.57905022898765,4.73462821510431e-11,3.42455892031411e-09
"Tuba4a",954.426797388618,1.05518261576033,0.160367375952891,6.57978350952314,4.71133748294456e-11,3.42455892031411e-09
"Septin5",70.2778841968239,1.7914715199423,0.273014100716578,6.56182781490129,5.31521715217443e-11,3.80699187538425e-09
"Tbc1d2",43.4210008043726,1.49077213610229,0.227179397995066,6.56209211424474,5.30580207308077e-11,3.80699187538425e-09
"Dach1",30.7714792301394,1.69723538794082,0.259060050983188,6.55151337112554,5.69568869472316e-11,4.0596988885738e-09
"Pip4k2a",275.596720719836,-0.921795381889758,0.140743524166217,-6.54946923739896,5.77419334775482e-11,4.09577202536638e-09
"Samhd1",3243.00513699491,-0.82304789688431,0.12573924513772,-6.54567232356803,5.92283179754512e-11,4.18100669631514e-09
"Mettl1",144.796673222678,0.855286116747665,0.130696770914706,6.54404933466821,5.98750306892811e-11,4.20643576847232e-09
"Extl1",13.5475093793619,-2.07820379718074,0.318314171399119,-6.52878188880562,6.63067250021201e-11,4.63610306288633e-09
"Scin",40.471387476568,-1.35969170545425,0.209692548830294,-6.48421564351655,8.91945735388253e-11,6.20684323824916e-09
"Arl5c",309.827249792905,-0.883602173960504,0.136383867614806,-6.47878806646027,9.24622673934256e-11,6.36572044098627e-09
"Cdc20",123.022855331163,0.914888297109884,0.141224101762211,6.4782730829497,9.27783269339414e-11,6.36572044098627e-09
"Pi4k2a",157.29422087249,-0.857049786569602,0.132268441059225,-6.47962416209207,9.19513730824592e-11,6.36572044098627e-09
"Poglut1",75.8314115428445,-1.16449277561428,0.180090558371894,-6.46615117495254,1.0053050845121e-10,6.86553235157728e-09
"Fam89a",11.6212912527739,-2.4100409971413,0.373829446644439,-6.44689983299675,1.14161182079428e-10,7.76031776144556e-09
"Marchf5",412.972174165612,-0.780967262647874,0.121233558643397,-6.44184062059131,1.18033195821457e-10,7.98655029606662e-09
"Trip10",54.3102384109189,-1.11390409992602,0.173011375316051,-6.43832868151694,1.20796199716754e-10,8.13601192862891e-09
"Pfkfb3",179.297781269166,-1.11103355444186,0.172909771113686,-6.4255105265935,1.31427669621252e-10,8.81165512807692e-09
"Cebpe",262.305013797617,1.20698815463816,0.188208687812343,6.4130310277792,1.42654471257555e-10,9.5208890976122e-09
"Tpx2",136.166862614636,0.91504511952362,0.142916689080473,6.40264706250213,1.52705918830972e-10,1.01456154126478e-08
"Xcl1",521.292007816097,-2.14642651712019,0.33556778295106,-6.39640223576894,1.59080605473629e-10,1.05215339196815e-08
"Mcpt8",614.515097622985,2.0135643600261,0.315480805344575,6.38252573821993,1.74190738076372e-10,1.14692493595308e-08
