"","baseMean","lgFC_LcDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Atosa",97.6809211287294,-1.69935655791818,0.19321137860815,-8.79532339223474,1.42636572406998e-18,1.57468631026462e-16
"Lgals3",1798.75884101139,1.49658250871917,0.171048703127569,8.7494525322593,2.14390284437375e-18,2.34917354208506e-16
"Tbc1d14",112.484937766816,-1.24128841455157,0.142345290029407,-8.72026334201244,2.7755549201032e-18,3.01877576976854e-16
"Rilpl2",801.303405674526,0.732032066668525,0.0840646645691275,8.70796392777569,3.09381726344801e-18,3.34018521170641e-16
"Hhex",132.545665322588,-1.77857699856768,0.204322380143468,-8.70475861390621,3.18251364281818e-18,3.41086480419703e-16
"Znrf1",325.792895586793,1.17333524703863,0.135036426378836,8.68902768314462,3.65554582607333e-18,3.889447780017e-16
"4930426D05Rik",38.0275332687311,-2.48688295203257,0.286355486283482,-8.68460033474142,3.80076340640471e-18,4.0148639637583e-16
"Phlda1",108.253904166272,2.19170708736836,0.252543559849,8.67853089850645,4.0091363381383e-18,4.20472491806319e-16
"Atf3",350.030636299729,1.92242022484999,0.221988247901508,8.66000900057975,4.71727013676864e-18,4.91231754738822e-16
"Gadd45g",134.795666794899,-1.55265675350342,0.179361401519069,-8.6565824104488,4.86119622348554e-18,5.02654536263649e-16
"Irf7",1371.16191838475,-1.44121185570798,0.166526085076061,-8.65457117453822,4.94768350671864e-18,5.08019838665383e-16
"Macroh2a1",1188.44956466478,-0.704409494550697,0.081822106368675,-8.60903643053089,7.36772346873272e-18,7.51251970079184e-16
"Mapk7",83.4037248656105,1.5902139737731,0.184751103759053,8.60733138486149,7.4781031397675e-18,7.53113223541065e-16
"Spen",216.214934222564,1.23854035367099,0.143896331694131,8.60717114251151,7.48856028311622e-18,7.53113223541065e-16
"Sars",239.907816011921,1.44045828250271,0.167458414495961,8.60188654501715,7.84162926472654e-18,7.83256071387618e-16
"Cmah",153.916883874042,-1.65883926407103,0.193080548995588,-8.59143643779952,8.58887183479893e-18,8.52097332096978e-16
"Rhoh",312.538298682253,-1.11217555148063,0.130271569472984,-8.53736203516973,1.37320781562637e-17,1.35320874878135e-15
"Fcrla",488.442255702067,-1.76392753850719,0.206981620941154,-8.52214573683666,1.56624132907603e-17,1.52298817449162e-15
"Ier3",556.963131769139,1.99520631282729,0.234108921174712,8.52255566689102,1.56070597101691e-17,1.52298817449162e-15
"Ets2",163.060463921114,1.76643197897368,0.209083481911741,8.44845304288232,2.95187937579206e-17,2.85147663649703e-15
"Iars",307.163955693668,1.48393089725534,0.176114192779604,8.42595860012476,3.57808686579134e-17,3.43379408172642e-15
"Rab20",67.7133581493836,2.16025426118107,0.256817042851525,8.4116468174972,4.04293703654099e-17,3.85470418880073e-15
"Ccdc69",51.7313555585153,-2.29833956313339,0.273291611265612,-8.40984307015421,4.10559656658955e-17,3.86426117866887e-15
"Zbp1",1053.17737887658,-1.26506775098523,0.150426695720271,-8.40986199243326,4.10493428856554e-17,3.86426117866887e-15
"Gpr84",162.409848604667,1.91464291206007,0.228727609403643,8.37084301738682,5.72074789675488e-17,5.35017460943006e-15
"Chst3",187.730825296608,-1.44229490448633,0.172403228957154,-8.36582303713565,5.96967370176853e-17,5.54764044070047e-15
"Ier2",588.140510288434,-1.3745592305668,0.164906871805453,-8.33536659520425,7.72584413256711e-17,7.13450122003037e-15
"Slc15a3",245.197870737651,1.8693185803542,0.224286607533987,8.33450824776036,7.78209492366712e-17,7.14153123526277e-15
"Sp100",916.929234642636,-1.16181356735275,0.139430837976726,-8.33254382037554,7.91235576987075e-17,7.17526779652232e-15
"Tfe3",168.511858892101,1.38224571615394,0.16588646368559,8.33248045346095,7.91659322370507e-17,7.17526779652232e-15
"Csf1",248.759661676016,1.25014804491957,0.15005221218182,8.33142028859099,7.98782110789416e-17,7.19540965197607e-15
"Vpreb3",171.329443584797,-1.81852252133266,0.218648653995969,-8.31709909070006,9.01423863271137e-17,8.07049181976226e-15
"Cd22",653.658446385772,-1.54892645861839,0.186727637871365,-8.29511086990468,1.08483977911511e-16,9.65375907681649e-15
"Slc48a1",372.734987723603,1.4119674459366,0.170248513172621,8.29356697232918,1.09902013915828e-16,9.72103174895247e-15
"Phf11a",138.467011469512,-3.17347765430894,0.382848257357274,-8.28912654902709,1.14083115950407e-16,1.00304334820349e-14
"Ankrd33b",83.7315208084672,1.39063969280039,0.168429925664101,8.25648819422822,1.50021059828114e-16,1.30883823971138e-14
"B3gnt5",65.7207717645995,-1.76055961100341,0.213246291305871,-8.25599169965463,1.50646095832748e-16,1.30883823971138e-14
"Cdkn1a",1109.77387810629,1.47726857736382,0.179198265704785,8.24376604066861,1.66873296615698e-16,1.44129447894605e-14
"Trim30b",82.5414391683719,-2.09752197170585,0.2549776914747,-8.22629603230986,1.93091450790899e-16,1.65798934032911e-14
"Cacna1i",36.4840243027799,-3.14040203884827,0.381878777072533,-8.22355738887209,1.97554172708843e-16,1.68644646388601e-14
"Ptafr",239.465680169826,1.5406570025416,0.187504144039858,8.21665574609436,2.09256650969114e-16,1.77602046599971e-14
"Eprs",372.018198961451,0.856347572688836,0.104527757797703,8.19253747264112,2.55775556497457e-16,2.15836350347825e-14
"Slc38a7",47.9397497593041,2.00905251581318,0.246029979617243,8.16588498254859,3.19087193089898e-16,2.6772327177937e-14
"Lrrfip2",207.746965725645,1.00218485033516,0.122855504000169,8.15742736551542,3.42235746669683e-16,2.85514060701759e-14
"Ralgps2",252.567770998573,-1.50716358508342,0.185435275104081,-8.12770700848304,4.37487095938874e-16,3.62916555348615e-14
"Gas7",61.0172610640742,1.58993050912383,0.195679616667907,8.12517183035033,4.46729088842572e-16,3.68501304015477e-14
"Atn1",72.6947429899626,1.34144548864946,0.165194388136417,8.12040592772257,4.64626998014958e-16,3.81123922449924e-14
"Acod1",451.755862439221,2.9204186266082,0.361122386452055,8.0870606092872,6.11218552898377e-16,4.98584556233715e-14
"Fcmr",1605.23130655551,-1.31549342362813,0.16355358388049,-8.04319533951257,8.75256374472173e-16,7.10021510849443e-14
"Cxcl2",1890.63041622267,3.79560678754399,0.471989354360425,8.04172117968057,8.85852745661219e-16,7.14669003546356e-14
"Ghitm",203.038252069945,1.10333832089453,0.137365517981104,8.03213453500248,9.57912435626932e-16,7.65438428262481e-14
"Tarm1",146.094032013775,1.9490606124468,0.242662876937528,8.03196861853978,9.59209090787282e-16,7.65438428262481e-14
"Mthfr",80.8519944322072,1.61291261972338,0.200912142221576,8.02794993816043,9.91149065055184e-16,7.86650903902987e-14
"Cd52",3659.1360195212,-1.18153960013994,0.14766196145926,-8.00165180296572,1.22761120456812e-15,9.67250835028145e-14
"Tnfaip3",521.621502524119,1.16661213836695,0.145804188201733,8.00122515515696,1.23187295614155e-15,9.67250835028145e-14
"Adgrg5",32.1113200971335,-3.04011835793484,0.379996253249609,-8.00039035105398,1.24025394853941e-15,9.68651528000219e-14
"Irak3",166.484761974063,1.48621909734628,0.185794160420149,7.99927777054669,1.25151103558388e-15,9.72271774363918e-14
"Dusp1",449.513317043328,-1.45220424974617,0.181873582462974,-7.98469041011941,1.40875413216627e-15,1.08867036434723e-13
"Niban1",205.027557970917,1.15271360374131,0.144808556109038,7.96025894266454,1.71679613582851e-15,1.30609936074456e-13
"Pld4",223.793331386038,-2.02382647718036,0.254222820521132,-7.96083716257933,1.70879148877425e-15,1.30609936074456e-13
"Slc31a2",89.9979349431857,1.69696459726681,0.213155756980311,7.9611483232121,1.7044991293177e-15,1.30609936074456e-13
"Mef2c",245.300175349381,-1.84111517845192,0.232073528723449,-7.93332694417675,2.13351787012617e-15,1.61476509727127e-13
"Cyb5a",268.293720834127,1.09843498687398,0.138657263613427,7.92194334612283,2.33826854387507e-15,1.76065625793424e-13
"Kmt5a",418.774831908093,0.988086315598316,0.124751803666439,7.92041707260809,2.36715209402198e-15,1.77331092839412e-13
"Tbc1d20",241.948362076101,0.889181629914241,0.112740840405005,7.88695229448337,3.09655712394937e-15,2.30795676400754e-13
"Ubap1",163.972841221667,1.12359817919377,0.142491440383808,7.88537315762477,3.13596984112147e-15,2.32552753420134e-13
"Serf1",40.4190071838442,2.07258139208101,0.26340707357017,7.86835890164084,3.59323507170214e-15,2.65122967627149e-13
"Nfkbiz",145.186047090069,1.28124463894095,0.163358742048131,7.84313482631653,4.3943572891226e-15,3.22611740380936e-13
"Lamp1",1433.28763335472,0.65648821316118,0.083798814532023,7.83409904814714,4.7221642694852e-15,3.44952925218165e-13
"Eif3c",1400.15091321167,0.842459696907418,0.107606271911967,7.82909473526447,4.91395276476672e-15,3.57185982401335e-13
"B3galnt2",75.3949083081534,1.43979410812585,0.18493573185423,7.78537545821986,6.95064826348148e-15,5.02740731294082e-13
"Ncf1",1994.36970036984,0.514456004663054,0.0662124872064734,7.7697731405075,7.86268188955876e-15,5.6592038325682e-13
"Clic4",674.645388579259,1.31883797581901,0.169784709084547,7.76770760411803,7.99192846955182e-15,5.72417003504534e-13
"Trim25",262.768873377241,-0.929678906278008,0.119764911625389,-7.76253156004441,8.32506461291445e-15,5.93383124812732e-13
"Cxxc5",132.527204698652,-1.28292049999181,0.165285532130435,-7.76184390403508,8.37033895460684e-15,5.93727955896098e-13
"Rasa3",427.382957860435,-0.876768041314688,0.113852202636928,-7.70093174315372,1.35077633746598e-14,9.53531200144857e-13
"Npc1",88.171164951394,1.56683498138132,0.203524387491034,7.69851220630915,1.37659586424857e-14,9.67107994007742e-13
"Pdgfa",28.9948529232611,2.83218440928518,0.368004077043356,7.69606802196245,1.40317132772611e-14,9.81084028809638e-13
"Fosl1",28.9494576081927,3.00351766651268,0.391683820303323,7.66821990294808,1.74399707149754e-14,1.21360706164922e-12
"Aoah",55.6624207909761,1.7474416934026,0.227909448537671,7.66726304949029,1.7570520225795e-14,1.21692428526108e-12
"Slpi",860.58424205687,1.85884503226945,0.242642839798954,7.66082788105195,1.84738306227045e-14,1.27348007057826e-12
"Epsti1",675.933955986439,-1.14098522822782,0.149282691634122,-7.64311800476023,2.1202350417414e-14,1.45473883728453e-12
"Ehd1",358.144103081972,1.16100578907995,0.151914289314466,7.64250548331663,2.13034927678853e-14,1.45487992702725e-12
"Mt2",221.853200665696,1.57416781940529,0.206146901379801,7.63614591763897,2.23820647503279e-14,1.5214622996716e-12
"Mcm4",207.316145963936,-1.02705017655577,0.134550771987861,-7.6331793670305,2.29033873713092e-14,1.54972551508264e-12
"Pim3",166.489090348702,1.06574626147562,0.139673319729767,7.63027801972182,2.34247985356316e-14,1.57773539861779e-12
"Cd8a",301.091834620033,-1.67391243008324,0.219536856285699,-7.62474446616315,2.44518263754208e-14,1.63938888890549e-12
"Atp6v1c1",195.094900504879,0.813214009192896,0.106686849786281,7.62243904306813,2.48926682658647e-14,1.66135930976223e-12
"Cd2",273.182193533362,-1.33674812783818,0.175517344326929,-7.61604577008797,2.6156497064514e-14,1.73780925972063e-12
"Ephx1",217.934216789092,-1.51852889845562,0.199444255339666,-7.61380113891707,2.66150192213962e-14,1.76030778030523e-12
"Jdp2",125.168875474793,1.406137780301,0.184804640691297,7.60877960121061,2.76696125609814e-14,1.82185166472148e-12
"Abcg1",70.6279902491277,-1.65205728840775,0.217348943699045,-7.60094463902842,2.93976861281824e-14,1.92699207776831e-12
"Ube2e3",157.026310331513,0.857845780294765,0.113143892335321,7.58190091032397,3.40528322720089e-14,2.2222121611107e-12
"2310061I04Rik",140.933876819508,1.15670714307033,0.152941838646302,7.56305242115842,3.93718835934749e-14,2.55795295045572e-12
"Upp1",138.742441639734,1.59374287128713,0.210761215921886,7.56184132035857,3.97403011052082e-14,2.57051471862455e-12
