"","baseMean","lgFC_LcDC_vs_LMoDC","lfcSE","stat","pvalue","padj"
"Ccnd2",916.427667979685,-1.3687309291057,0.166681012549002,-8.21167875197127,2.18117193258898e-16,3.99382347298532e-14
"Stat1",2132.98513068461,-1.2432267974923,0.152027048450797,-8.17766844887911,2.89388720742241e-16,5.22091297950855e-14
"Gadd45a",321.216124712324,1.30850146635901,0.160865103154056,8.13415365236732,4.1482614006667e-16,7.3754885309245e-14
"Gdf15",129.654440949978,2.81609010978505,0.346576042100514,8.12546098892872,4.45665316011806e-16,7.70059450258146e-14
"Znfx1",261.950794467931,-1.46575108775612,0.180388298461056,-8.12553308757194,4.4540046452994e-16,7.70059450258146e-14
"Stat2",621.782638371567,-1.24105786097881,0.152947981419509,-8.11424805649974,4.88802020096523e-16,8.32864330908909e-14
"Cnp",502.678789152966,-1.25461898925487,0.155121834477999,-8.0879586905144,6.06729748986962e-16,1.01963843295507e-13
"Lgals3bp",697.441677293443,-1.71935588578807,0.215792246556949,-7.96764440438005,1.61727428599666e-15,2.68117850548743e-13
"Ifi213",56.8138151536529,-3.10578723506372,0.389881926677721,-7.96596872681144,1.63934400584072e-15,2.68152963515386e-13
"Adar",349.147191934918,-0.976624600032584,0.122702876940629,-7.95926407255414,1.73065524741008e-15,2.79364191779301e-13
"Atf5",241.07897230472,1.49308494395335,0.18863691957155,7.91512577360037,2.47003264634846e-15,3.93537149420817e-13
"Abi3",234.625661865053,-1.1102312813103,0.140587133756868,-7.89710446213623,2.85457121659763e-15,4.48972816477176e-13
"Mt2",221.853200665696,1.67923989359415,0.21459431935691,7.82518334421178,5.0691759153462e-15,7.87198102904647e-13
"Igtp",985.105339718453,-1.68768058048136,0.217033875169895,-7.77611595959495,7.47851599532667e-15,1.14683042788334e-12
"Rsad2",163.533633757344,-3.19562554407298,0.411421123679033,-7.76728602434623,8.01856372789233e-15,1.21446592362695e-12
"Sqle",107.095806789203,1.38098948377566,0.178029297036315,7.75709114603736,8.68994774369192e-15,1.3001009624343e-12
"Trim21",97.4276054436458,-1.65895358015703,0.215043753671137,-7.71449322212838,1.21463889468929e-14,1.79532409157207e-12
"Ehd4",160.939542408301,-1.20316772849229,0.156108344142104,-7.70726084569227,1.28546889962488e-14,1.87739672149976e-12
"Cyb5a",268.293720834127,1.11933457077703,0.1454054409793,7.69802397515774,1.38186448396681e-14,1.99443688109469e-12
"Ly6e",6774.24413854753,-0.905953092462138,0.119256666148748,-7.5966662637722,3.03856829673411e-14,4.3345530074807e-12
"Herc6",40.9488170045353,-2.92075076088066,0.388878943744373,-7.51069402924678,5.88147117058526e-14,8.29355038169425e-12
"Svbp",244.866981141375,-0.880070266730911,0.118425345017601,-7.43143510876077,1.07425700800743e-13,1.49761192889036e-11
"Phf11c",106.327753337396,-2.08175734155945,0.281948497365965,-7.38346670050651,1.54220251958764e-13,2.12581354048327e-11
"Pml",600.509989979649,-1.0466125252486,0.141978706561292,-7.37161614299379,1.68571810919099e-13,2.29782108483945e-11
"Tapbp",1527.079466929,-1.03498365784704,0.141131237285136,-7.3334839101283,2.24245415439139e-13,3.02312390835973e-11
"Dusp2",697.173085749864,-1.13371672821656,0.15494165859511,-7.31705558399349,2.53470882197514e-13,3.37997911173815e-11
"Tap2",530.445510230787,-0.71393380813684,0.0976071374182643,-7.31436068120207,2.58609658866165e-13,3.41142289781732e-11
"Rabepk",122.484159039439,-1.04774329111789,0.14477873791371,-7.23685885245361,4.59195599318549e-13,5.99299107706378e-11
"Slfn4",120.409212551558,-3.79201008153012,0.527546615543843,-7.18800949489738,6.57426913295173e-13,8.48980354979493e-11
"Tagap",200.915217748912,-1.14285622787118,0.159838048631234,-7.15008871578435,8.67218353405803e-13,1.1082327874565e-10
"Il17f",50.402752148661,-1.95652086180741,0.275227852961713,-7.10873133207046,1.17114471626589e-12,1.48119622465463e-10
"Gm12250",85.1028626222644,-1.90381527734067,0.269890447975448,-7.05402985404606,1.73809062728453e-12,2.1758056954619e-10
"Rnf31",163.284881532445,-0.917291484861024,0.13067148563552,-7.01982900400791,2.22139941970182e-12,2.75274021019211e-10
"Dtx3l",112.731357170774,-1.53931091147345,0.220661313422148,-6.97589843729692,3.03922233902272e-12,3.69160194605254e-10
"Ifit1bl1",103.85088148567,-3.1833495026293,0.456256367805807,-6.97710701099564,3.01320200168602e-12,3.69160194605254e-10
"Ifi47",708.217762457163,-1.79979102626596,0.260712242862208,-6.90336213791536,5.07859420797661e-12,6.10825428857422e-10
"Srxn1",121.723323870243,1.62480293654183,0.236479280622842,6.87080463143495,6.38407767158105e-12,7.53075623797657e-10
"Trim30d",52.0166500876857,-2.06590573647125,0.300643426213186,-6.8716145318485,6.34792949583721e-12,7.53075623797657e-10
"Trib3",97.4667183627537,1.82346061119267,0.265976273709516,6.85572658704192,7.09509636343606e-12,8.28977544634605e-10
"Degs1",357.637352302717,0.739573639483641,0.108015849748397,6.8468992393833,7.54678324025107e-12,8.73433365956605e-10
"Psme2",1758.21237216882,-0.80595384767425,0.118931667300181,-6.77661270517665,1.23026096949564e-11,1.41054594147407e-09
"Cmpk2",341.768356757644,-2.87211586538402,0.426622624115054,-6.73221649072566,1.67097763387845e-11,1.89054646551052e-09
"Tusc1",61.6301355332589,1.45341961144629,0.215914586295224,6.73145634292165,1.67973235034763e-11,1.89054646551052e-09
"Ly86",878.800322985991,-1.21572653660417,0.180676720746886,-6.72873921764005,1.71139458609617e-11,1.90867170747526e-09
"Ddx60",41.1586059600121,-2.75530275168191,0.410783564405144,-6.7074318216014,1.98079453764007e-11,2.18922408898815e-09
"Phf11d",64.24071386709,-2.50427665309096,0.373894214701014,-6.69782134792729,2.11549663432645e-11,2.31722434909973e-09
"AW011738",25.1946594184427,-2.79933754839642,0.419030796549787,-6.68050551760296,2.38119415832621e-11,2.5851761003846e-09
"Tmem184b",220.667311686183,-1.14813933859206,0.172012223892805,-6.67475434366551,2.47646635249702e-11,2.6650253695117e-09
"Psme1",2048.45421212264,-0.715041207942054,0.107602854445884,-6.64518810048541,3.02830085474053e-11,3.23053868573538e-09
"Slfn5",148.861450258259,-2.80260077408179,0.422842677076781,-6.6279988421625,3.40268139151529e-11,3.59862890613013e-09
"Ccl17",658.516682620954,3.02256984578465,0.456374538742451,6.62300279527732,3.51974362589869e-11,3.69061664978847e-09
"Ly6d",1197.00863859168,-0.972290016924326,0.146854828476903,-6.62075620535177,3.57365940058955e-11,3.71539436664683e-09
"Acat2",64.8748262754085,1.33811509610567,0.202343278363739,6.6130938814791,3.76369589505422e-11,3.88008581853152e-09
"Tdrd7",158.336015072163,-0.848241634065256,0.128850372152616,-6.58315237972742,4.60576666742559e-11,4.66971450214687e-09
"Trp53i11",203.7598248095,-1.23281883746861,0.18726064862307,-6.58343782601176,4.59692870641816e-11,4.66971450214687e-09
"Hbb-bs",22293.6124264779,-2.17115124589505,0.330065569121022,-6.57793920061675,4.77013190156465e-11,4.7967195219996e-09
"Agrn",51.394721476735,-1.48103427371933,0.225578374195568,-6.56549759701403,5.18593897233604e-11,5.13073381553375e-09
"Shfl",110.010359151223,-1.18255668014216,0.180102366732259,-6.56602520887551,5.16760713337397e-11,5.13073381553375e-09
"Shisa5",2656.71306424077,-1.06278742045348,0.161915132971002,-6.56385478585143,5.24342670342504e-11,5.14610870380947e-09
"Gars",568.846507783794,0.629887405689134,0.0964707842313653,6.52930740335311,6.60745153024872e-11,6.43335042643581e-09
"Ifi211",78.967910283516,-2.83637024701058,0.434939708196375,-6.52129523600534,6.97028302773057e-11,6.68058063939052e-09
"Vcam1",119.000299672425,-2.60985669575245,0.400181995722977,-6.52167444724101,6.95267947449132e-11,6.68058063939052e-09
"Slfn2",628.664060514942,-1.13892180612968,0.174797601880929,-6.51566036303808,7.23705593276242e-11,6.88249629326584e-09
"Myo1d",85.1941237128352,1.19636414387716,0.18394533628287,6.50391126001368,7.82580725526084e-11,7.38515410827231e-09
"Ifi203",273.783155505903,-1.64629817681702,0.253470781342161,-6.49502150938132,8.30215484957477e-11,7.77487295378499e-09
"Gbp9",189.996169425029,-1.42945089810006,0.223796322965552,-6.38728500610836,1.68856758691698e-10,1.56934448153769e-08
"Cxcl2",1890.63041622267,2.99565804834112,0.472047225572459,6.34609819962025,2.20844297275262e-10,2.03708108193452e-08
"Ifi204",185.463061273633,-2.23309718605462,0.353030126989597,-6.32551449672857,2.52390208475312e-10,2.31068886386204e-08
"Sp140",281.766732807908,-1.0249485513824,0.162089924959808,-6.32333287609666,2.55981036219031e-10,2.32620396469264e-08
"Oas1c",42.7340572395526,-2.00982781708436,0.31812670388312,-6.3176960391944,2.65491547326009e-10,2.39488992837903e-08
"Slc6a9",100.058659935011,1.46268160451105,0.231591470083554,6.31578358211271,2.68795991693593e-10,2.4069994351073e-08
"Niban1",205.027557970917,0.949939257611299,0.151057863246102,6.28857867573346,3.20385687766361e-10,2.84818233153457e-08
"Msmo1",84.9602115607262,1.233457506246,0.196806385682369,6.26736526850667,3.67208099770211e-10,3.24094170358342e-08
"Prdx6",891.401688176507,0.883313382809291,0.14156170444922,6.2397764017185,4.38196814026389e-10,3.83985608176839e-08
