"","baseMean","lgFC_MoDC_Tumor_vs_MoDC_LN","lfcSE","stat","pvalue","padj"
"Gm12551",134.924848383034,-1.70077791003972,0.351775747514264,-4.83483560779229,1.33255711547198e-06,6.89999679881891e-05
"Ighv2-2",47.0028827715642,-2.17549577372263,0.450088125866699,-4.83348848524598,1.34161042533208e-06,6.92601346002514e-05
"Tbc1d8",6883.08130682049,-1.47286823751753,0.304853575547557,-4.83139564583445,1.35579275556959e-06,6.97827343143615e-05
"Ikbke",5187.76402295368,0.809623167122116,0.167693009172364,4.82800786459704,1.37905648717879e-06,7.0568304860416e-05
"Mafb",17226.4725769965,0.903456037218557,0.187129289592524,4.8279777002619,1.3792653384387e-06,7.0568304860416e-05
"Oas3",4928.17014782946,0.841535306156255,0.174372551103388,4.82607670089828,1.39248898316516e-06,7.10334662005706e-05
"Rtn1",602.865462269965,-1.17740316623597,0.244023690301456,-4.8249543508725,1.40035337378968e-06,7.12232983692851e-05
"Itga5",7376.15573700512,0.762621526508219,0.15808835294582,4.82402094966214,1.40692630130399e-06,7.13465193088994e-05
"Gbp3",8361.07150069543,0.741407295857396,0.153717036369151,4.82319535537304,1.41276477980149e-06,7.14318803810808e-05
"Bri3bp",2149.73125180887,-0.900556376112288,0.186964061555145,-4.81673519831335,1.45926136435628e-06,7.33513512124235e-05
"Gria3",496.451567422404,-1.77524023962715,0.368524424029026,-4.81715762613153,1.45617653509825e-06,7.33513512124235e-05
"Ifit1",2481.04874936547,0.957988701096124,0.199073418051474,4.81223817058499,1.49249337377829e-06,7.4501277114554e-05
"Irak2",4700.16396988639,0.679584656229129,0.14123046596038,4.81188426029676,1.4951393522495e-06,7.4501277114554e-05
"Slain1",243.834516131291,-1.20418330296255,0.250228267790413,-4.81233920370321,1.49173883522339e-06,7.4501277114554e-05
"Fndc7",335.406614485018,-1.31733816593629,0.274001326868747,-4.8077802432224,1.52615394607466e-06,7.58269147022241e-05
"Edn1",895.096660220361,0.977073801002419,0.203520592063358,4.80085966287994,1.57985957381526e-06,7.82690660906576e-05
"S100a16",158.449319897983,1.29313882247251,0.269409483878397,4.79990089382374,1.5874416691499e-06,7.84187061332068e-05
"Fpr1",648.896105972344,1.1806089488001,0.246302371722517,4.79333162950688,1.64034132571471e-06,8.07997356170818e-05
"Ptpn3",426.3757700974,-1.20470750612998,0.2515215094235,-4.78967985239603,1.67047615742613e-06,8.20490160637505e-05
"Inhca",25.1349826870477,-3.07966957125124,0.643178848439643,-4.78820094709667,1.6828310022494e-06,8.24203639876622e-05
"Or2v1",548.946925223594,1.00520563192309,0.210059871524713,4.78532917604317,1.70707322341362e-06,8.33701584764304e-05
"Zbp1",8841.47863404117,0.859169656875171,0.179667376182193,4.78200146922568,1.73558410334017e-06,8.45224541657814e-05
"Myb",663.811585655692,-1.73991944416045,0.363933413243134,-4.78087304118475,1.74535565040983e-06,8.47582174751282e-05
"Grap2",2366.37507352285,-1.00140679494586,0.209983123319794,-4.76898704578637,1.85154564771715e-06,8.96617499433958e-05
"Gpr68",1329.78961223421,-1.40329605272664,0.294552505261823,-4.7641626795171,1.8963946656357e-06,9.15756199352339e-05
"Pik3c2b",179.791638857031,-1.54457179646422,0.324409701641239,-4.76117634167532,1.92467777158862e-06,9.2681052020672e-05
"Gm42870",24.8293649582993,-3.18873992902831,0.670444491763448,-4.75615799399153,1.97312068412264e-06,9.47483734099227e-05
"Mks1",418.485319631718,-0.929400203723481,0.195630806221206,-4.75078655389571,2.02626929051284e-06,9.69918357107764e-05
"Parp14",14438.4608131936,0.626630898423564,0.131920318554843,4.75007114361277,2.03345097140446e-06,9.69918357107764e-05
"Slc23a4",29.4160794547276,-2.8239108205956,0.594539873676641,-4.74974168365278,2.03676648778956e-06,9.69918357107764e-05
"Trim7",1002.23741917664,-1.8013845468845,0.379411207600515,-4.74784221129597,2.05598331102599e-06,9.76364892260987e-05
"Rgs12",1368.4398598592,-1.30642014266081,0.275207312713781,-4.74704007600081,2.06415064950631e-06,9.77543080321294e-05
"Cmpk2",2628.70202732862,0.697060466894868,0.146900449539542,4.74512140078398,2.08381320864406e-06,9.78765925404371e-05
"Timp1",907.355914767777,0.933549976226258,0.196733739637683,4.7452459244944,2.08253165120568e-06,9.78765925404371e-05
"Zmym3",1317.98271718887,-0.718730408790511,0.151455939075179,-4.74547523972468,2.08017359401719e-06,9.78765925404371e-05
"Glycam1",47.4789787592619,-2.40124275873757,0.506310744121835,-4.74262651270097,2.10964997669027e-06,9.88201437310148e-05
"Card6",568.156458684386,-0.861104445854535,0.181941814606357,-4.73285620305365,2.21382329944501e-06,0.000103205518885269
"Oasl2",7409.40817261334,0.846073351927739,0.178770944166858,4.73272295937557,2.21527755620176e-06,0.000103205518885269
"Clec4a1",10830.2086126882,0.843736722596135,0.17862322291017,4.72355558728471,2.31756573971071e-06,0.00010767911521991
