"","baseMean","lgFC_MoDC_Tumor_vs_MoDC_LN","lfcSE","stat","pvalue","padj"
"Gm12493",17.1321124239273,-3.38843606990476,0.861414454021291,-3.93357234033713,8.36926352247085e-05,0.00169865418199287
"Vdr",1240.48833208719,0.671229458200917,0.170687781259529,3.93249858453733,8.40674749448838e-05,0.00170424995492629
"Arid3b",696.473381965313,-0.607413609150925,0.154480881186838,-3.93196623740308,8.42539008772517e-05,0.00170573752860271
"Pbx1",804.618515904476,-1.07052512914143,0.272287720467679,-3.93159532608634,8.43840234595548e-05,0.00170573752860271
"Slc6a17",620.900999951238,0.988081416319633,0.251328109135947,3.93144013901433,8.44385222989299e-05,0.00170573752860271
"Adam15",6691.02338203227,0.776406084209554,0.197521347207783,3.9307451836728,8.46829860517883e-05,0.00170866809062945
"Lamc2",86.3972284859637,-1.79858373812959,0.45766795242556,-3.92988787743911,8.49854812914105e-05,0.00171276132342396
"Mgarp",517.67030056136,1.07062083338337,0.272488852681289,3.92904451998114,8.52840508550852e-05,0.0017167659464283
"Lta",115.218992692348,-1.46821655904477,0.373731935872711,-3.92852849360143,8.54672255411482e-05,0.0017171748772214
"Vars2",788.983891760304,-0.557446448369115,0.141900762214011,-3.92842462345896,8.5504141405475e-05,0.0017171748772214
"Dennd1a",3886.28239883689,0.644208412731979,0.164070022638445,3.9264236231112,8.62182526244967e-05,0.00172949589366129
"Ldhb",925.909142894361,0.64012185892958,0.163057476201556,3.92574369382685,8.64621839069893e-05,0.00173236760319936
"Cd247",325.748396655668,-0.928101609273792,0.236523114000952,-3.9239362004597,8.71138145260534e-05,0.00174339183412967
"Atf7ip2",32.7162714696209,-2.55809121638779,0.651988848019907,-3.92351989479072,8.72645554919446e-05,0.00174437787611863
"Tcf19",629.838375427064,-0.673117859584709,0.171728276915172,-3.91966816226315,8.86709734360037e-05,0.00177043287379598
"P2ry10",2802.8970428318,-1.08658563913427,0.277329705155484,-3.91802832129027,8.92762190276901e-05,0.00178044951427497
"Gm42602",70.6148109956444,-2.01518589519479,0.514937937314603,-3.91345393136883,9.09852652976307e-05,0.00181243070189058
"Scamp1",3002.67149870417,0.801277173632112,0.204766203350168,3.91313195499288,9.11067163517434e-05,0.00181274949166993
"Diaph1",19969.5436143772,0.516159298327771,0.132011937181248,3.90994412587933,9.23174726654189e-05,0.00183095571047082
"Miip",1066.19520154565,-0.704170483435253,0.180110033314664,-3.90966827597561,9.24229534287186e-05,0.00183095571047082
"Rnf123",2353.13140369375,-0.636608948916143,0.162814059377709,-3.91003670904911,9.22820957757598e-05,0.00183095571047082
"Smarca2",2906.33813916578,-0.768722896482283,0.196624263959104,-3.90960342840583,9.24477666621298e-05,0.00183095571047082
"1810041H14Rik",37.9205655642101,-1.85687057223897,0.475008887265592,-3.9091280647992,9.26298516945928e-05,0.00183192523471411
"Shc4",595.892210134622,1.07272954802726,0.274431219742072,3.90891950644494,9.27098455122607e-05,0.00183192523471411
"Cstb",10743.0839095607,0.600982640619352,0.153776818502067,3.90814848735652,9.30061413505159e-05,0.00183567000683894
"Myo15a",49.652920107241,-1.80569458415647,0.462290862299363,-3.90597074572321,9.38478660431524e-05,0.00184637612093377
"Spock2",66.6288452501859,-1.7140116792905,0.438807093912436,-3.90607103455929,9.38089456359954e-05,0.00184637612093377
"Tmtc2",461.427367135849,-1.11459863589797,0.285361964683067,-3.9059116975729,9.38707887671525e-05,0.00184637612093377
"Wnt10a",24.7346650660773,-2.78468747084716,0.713042534204161,-3.90535955047226,9.4085390475554e-05,0.00184848222590314
"Gm43914",115.423045011966,-1.76082526744978,0.450914527628992,-3.90500895304613,9.42218967541151e-05,0.00184905094417807
"Efna2",172.998516736324,-1.93501695993076,0.495677148447715,-3.903784884961,9.46999596244294e-05,0.00185208988157402
"Gm20605",212.844101552393,-0.800123501121233,0.204958860277437,-3.90382489460651,9.46842976121348e-05,0.00185208988157402
"Pstpip2",2137.90410428959,0.73853673922663,0.189173600862333,3.90401586616774,9.46095743610891e-05,0.00185208988157402
"Cdcp1",168.659010108919,-2.23368090428775,0.572509433776193,-3.90156174293006,9.5574076562138e-05,0.0018670613070224
"Clec2i",1006.62976880901,-0.765900161969913,0.196331105073442,-3.90106377531677,9.5770914057636e-05,0.00186846013962403
"Supt20",3430.65817100199,-0.504675700136107,0.129376458675706,-3.9008309958547,9.58630587603046e-05,0.00186846013962403
"Cd53",27489.2743012155,0.616370471552658,0.158030236933323,3.90033251555981,9.60606615922348e-05,0.00187019120433987
"Cox7a2l",6300.40199874571,-0.676574978870753,0.173492912310357,-3.89972691022931,9.6301247388427e-05,0.00187275423512947
"Col1a1",14646.5619879179,1.01781355436268,0.261099793385329,3.89817832165268,9.69190375121086e-05,0.00188263861454312
"Asrgl1",443.595856309061,-1.15857263806047,0.297250986479234,-3.89762419894075,9.71410054959001e-05,0.00188269563188277
"Rad51d",901.327075761894,-0.672947977189006,0.17265112713595,-3.89773289263909,9.70974276574056e-05,0.00188269563188277
"Zfp703",5979.19788965083,0.65826168804447,0.169026524725534,3.89442833965473,9.84305842445966e-05,0.00190554073620367
"Lst1",3119.39473928328,0.629672938760969,0.161716735388599,3.89367827175023,9.87355813927677e-05,0.00190929514029592
"Arhgap22",784.636033908536,-1.0977363906494,0.281961825428143,-3.89320926328431,9.89267455823262e-05,0.001910842340793
"Ryk",497.418486925741,0.941998393377809,0.241992985578565,3.89266817435078,9.91477232880634e-05,0.00191296129185757
"Ptch1",953.296736004221,-0.693817328268202,0.178251131798252,-3.89235861376452,9.92743555802368e-05,0.00191325722733167
"Sdr39u1",91.8162950590107,-1.37095688690382,0.352342283186841,-3.89098031182599,9.98400346955318e-05,0.00192200452010178
"Rtl6",279.834839797869,-0.995147059689485,0.25586774846826,-3.88930244490322,0.000100532767380768,0.00193317539602102
"Relt",3038.68863026798,-0.775065523827189,0.199392752936207,-3.8871298601066,0.000101436494239109,0.0019483740474464
"Slc16a1",1797.35193088496,0.719206445350683,0.185043587827685,3.88668666552454,0.000101621788475908,0.00194975464920684
"Sulf2",6444.31614746512,-0.551247323484112,0.141877405662751,-3.88537780846127,0.000102170872359895,0.00195810419926305
"Saa3",787.264099425294,0.906977272569135,0.233555402809404,3.88334956785087,0.000103027282769814,0.00197231850567468
"Peds1",7283.89820919244,0.77939176027111,0.200974571226093,3.87806156528284,0.000105292075055766,0.0020134327722844
"Mast3",3884.8834660455,-0.413455553517996,0.106645174073971,-3.87692698809996,0.00010578408507503,0.00202059356280537
"Atp10d",1497.38427348528,-0.956391610300072,0.246765583061075,-3.87570907756355,0.000106314646660986,0.00202847401858936
"Lpp",3604.26812930805,0.637009176716335,0.164372143385046,3.87540834838494,0.000106446040133875,0.00202872935248497
"E230029C05Rik",315.952395867026,0.764814677586898,0.197370639734239,3.87501747279498,0.000106617049065947,0.00202973830619347
"Atosa",665.682520084215,-0.812888880084484,0.209795232482625,-3.87467756280784,0.000106765971141987,0.00203032501095344
"Bcar1",331.494015198899,1.06905913539256,0.276101713484213,3.87197573641166,0.000107956701071785,0.00204843669770978
"Ero1a",13329.6582343804,0.845845488313976,0.21844870367633,3.87205542573163,0.000107921402335149,0.00204843669770978
"Ifit1bl1",547.36453477573,0.772657502667745,0.199634561414177,3.87035940667974,0.000108675017030073,0.00205592242615409
"Slc30a4",1849.93432627482,-0.955996303424886,0.247009535621339,-3.87028096312205,0.000108709992750513,0.00205592242615409
"Srpk3",126.039400556522,-1.83394067515687,0.473840334441671,-3.87037687983614,0.000108667227699458,0.00205592242615409
"Cd209f",1244.98824219114,0.923015759615447,0.238632603724917,3.86793650661186,0.000109760233616761,0.00207350349022609
"Sh2d3c",1268.34983563174,-0.646964586022272,0.167312483337168,-3.86680403708138,0.000110270965220385,0.0020808651625726
"Gm26947",278.87866908817,-0.914425832531197,0.236504172264284,-3.86642579611392,0.000110442046715985,0.00208180836084923
"Aoah",4015.45733770935,0.921916564285053,0.238471355007559,3.86594257518196,0.000110660975819355,0.00208365042202687
"Gm11413",50.5565219375459,-2.18597588958435,0.565539592265624,-3.86529240300763,0.000110956190285867,0.00208464247781896
"Ugp2",7415.52508681695,0.674518831153092,0.174496650460478,3.86551162657341,0.000110856567626372,0.00208464247781896
"Chn2",561.09608466026,-0.552800605613466,0.143043906283771,-3.86455194055467,0.000111293306417493,0.00208869348321302
"Stab2",106.359418336056,-1.01195945794392,0.261990973621436,-3.86257375189633,0.000112198676824767,0.00210338871678797
"Sectm1a",759.85448577418,0.885701274967527,0.22936985098119,3.86145463834373,0.000112713941144321,0.0021107465819303
"Litaf",22802.0769246555,0.636727185563545,0.164929059608525,3.86061247832782,0.000113103160977112,0.00211573062062844
"Jak2",17530.3348877666,-0.869526360378256,0.22528701926065,-3.85963808847878,0.000113555075183849,0.00212187532335386
"Bhlhb9",326.773020817398,-0.831510402088732,0.215485020793321,-3.85878516765331,0.000113952050410217,0.00212272480869836
"Bloc1s2",1756.64577590429,-0.715431915033513,0.185405356573904,-3.85874458135375,0.000113970973092233,0.00212272480869836
"Cxcl10",14495.6404544724,0.869310536121118,0.225261872478832,3.85911084976356,0.000113800313843361,0.00212272480869836
"Mbd4",368.020919173527,-0.868742489089358,0.225160724013679,-3.85832161845678,0.000114168348916657,0.00212409966041802
"Dusp9",176.584878894333,-1.19451421842662,0.309720857856541,-3.85674451082628,0.000114907152816742,0.00213486911483111
"Ifitm6",1257.68671449584,0.888600564505112,0.230412956229,3.85655641526496,0.000114995567467489,0.00213486911483111
"Cacna2d4",31.395160302775,-2.02013107634874,0.524158120106343,-3.85404899563301,0.000116180329895737,0.00215221557245432
"Prdm16",387.832779969501,0.867848485702432,0.225171590907948,3.85416509339856,0.00011612522018046,0.00215221557245432
"Il2ra",757.430703632802,-1.02767524849549,0.266788114283502,-3.85202785834541,0.000117143692010317,0.00216772573665162
"Picalm",38698.642071612,0.663132364708905,0.172252632911481,3.84976620386222,0.000118230624521898,0.0021854867378021
"Emb",8380.08644343019,0.608914194521962,0.158237353560653,3.84810653628989,0.000119034289529412,0.00219366236260498
"Gm16685",134.089777214164,-2.20401272617735,0.572837205309669,-3.84753766994917,0.000119310936480464,0.00219366236260498
"H2az2",1274.6832531883,-0.611320778780004,0.158878524771485,-3.84772441498476,0.000119220053216683,0.00219366236260498
"Hif1a",13097.3334761013,0.613579684572649,0.159458151440519,3.84790416187362,0.000119132637400094,0.00219366236260498
"Sla2",178.988587632457,-1.29203663602909,0.335733430029208,-3.84840030948568,0.000118891660822377,0.00219366236260498
"Cnn2",12436.0749504782,-0.807569761558997,0.209927071502451,-3.84690624119705,0.000119618718215739,0.00219697156500724
"Lpar3",235.712516912869,-1.83991628994335,0.478356233955442,-3.84633074545598,0.000119899888091816,0.0021997854601776
"Mtmr1",3516.54684990593,-0.689458872945667,0.179281752856535,-3.84567231165677,0.000120222343313809,0.00220100351853854
"Ptms",14290.7562850632,-0.587393113288454,0.152739154806507,-3.84572714201918,0.000120195460025724,0.00220100351853854
"Ighj3",57.5324875096068,-1.93900982019057,0.504330859299473,-3.84471777690523,0.000120691260433623,0.00220489209151373
"Lgals3bp",18495.6345871259,0.673775671434705,0.175239748096237,3.84487925116558,0.000120611814883264,0.00220489209151373
"Azin1",9942.24142775097,0.548048650772869,0.142608423724653,3.84303140346768,0.000121523911971974,0.00221774689035054
"6530402F18Rik",954.847843388475,-0.81099920874389,0.21111922593963,-3.84142753998064,0.000122320846415804,0.00222927697344135
"Adamts14",545.792424728688,-0.817873605219155,0.212920900509903,-3.84120865194779,0.000122429989741175,0.00222927697344135
"Gpr155",479.493480118082,-0.55990003379189,0.14577014790384,-3.84097870409817,0.000122544746664073,0.00222927697344135
"Akna",7722.29466180961,-0.673183947001438,0.175479928564863,-3.83624470620073,0.000124929932183427,0.0022702647612741
"Cebpb",8318.38581021994,0.864010034234602,0.22525156933843,3.83575589183341,0.000125178694457127,0.00227238324858761
"Lmntd2",43.4763214399849,-1.69562136427581,0.442109435495689,-3.8352978428852,0.000125412223610534,0.00227422102962941
"Zbtb10",2281.15714378732,-1.36916298543348,0.35713364519005,-3.83375524505644,0.00012620171707281,0.00228612615194802
"Ptx3",246.383835858248,1.15806802345167,0.302165738987914,3.83255900331569,0.000126817169721922,0.00229244370629817
"Trim63",104.103365092055,1.25044072006532,0.326264178421687,3.83260193047966,0.000126795035338111,0.00229244370629817
"Sox12",92.9897234050147,-1.17191237577277,0.305831730688429,-3.83188615888479,0.000127164582409345,0.00229630917667967
"Slc35f2",36.5390855854893,-1.61265878841224,0.420885883293719,-3.83158203309669,0.000127321907181372,0.00229673757225074
"Aqp3",95.2550159105689,-1.8682561182223,0.487675463966775,-3.83094138676943,0.00012765391501648,0.00230031284386615
"Gm6545",351.181599634936,1.09550456427169,0.286582114910323,3.82265503419324,0.000132022418874854,0.00237654178311793
"Flcn",4454.68240657897,0.482944214665423,0.126369526740487,3.82168254580236,0.000132544245538639,0.00238094892900181
"Ms4a8a",1075.21170517332,0.891058775928685,0.233153106340729,3.82177526996572,0.000132494407071963,0.00238094892900181
"Gabbr1",926.92434226046,-1.24539292256842,0.326035414385869,-3.81980873125174,0.000133555198607418,0.00239660482177466
"E130307A14Rik",404.638797244079,-0.88009084336098,0.230630267807951,-3.81602489441604,0.000135618827768315,0.00243109829839949
"Pfkl",12576.3393781738,0.711595369937902,0.18658524652146,3.81378154599195,0.000136856451332764,0.00245072839048077
"Gm56519",75.3945687831852,-1.27832597525316,0.335262916075393,-3.81290597307126,0.000137342373024746,0.00245431677200458
"Lox",736.885180534012,0.988689344919011,0.259288350553539,3.81308818081614,0.000137241118430301,0.00245431677200458
"B4galnt1",5520.55357537217,-0.806842771797708,0.211681214598056,-3.81159364249565,0.000138073729137794,0.00246226709295417
"Loxl2",486.650864882074,0.996844095582579,0.261522811795808,3.81169079950432,0.000138019458462177,0.00246226709295417
"Lsp1",44408.2530236674,-1.13778654897852,0.298543216230297,-3.81112846356163,0.000138333850850154,0.00246434946110363
"Ece1",5352.92827166708,-0.636347888255821,0.167010752157104,-3.81022107880347,0.000138842576999191,0.00247085169895765
"Tpsb2",116.124983188481,-1.83851779687409,0.482612324280494,-3.80951273802438,0.000139240933200524,0.0024753783688213
"Rubcn",2783.32966153551,-0.778184978046478,0.204312688432935,-3.8087941772736,0.000139646136712336,0.0024800172894853
"Hmgn3",810.025606709092,-1.2866422770069,0.337869063036922,-3.80810916939826,0.000140033453314237,0.00248432930436022
"Spo11",20.4881292287049,-2.5072883008555,0.658471545770714,-3.80773978307721,0.000140242731130066,0.00248547710397626
"Acvrl1",5206.18698591346,0.549749032606519,0.144398725436284,3.80715986893592,0.000140571878994906,0.00248874477013536
"Hcar2",7396.58714851804,0.911147782078049,0.239510749797938,3.80420412380962,0.000142260837183812,0.00251605560908118
"Ifi206",2110.07946886394,0.680040291214705,0.178864104785953,3.80199421246935,0.000143536081042263,0.00253415850961692
"Zfp61",299.035916117827,-0.923016343624784,0.242776386041006,-3.80191977760506,0.000143579221009068,0.00253415850961692
"Vill",1717.10750573625,0.73226044094098,0.192668247156362,3.80062855062311,0.000144329518977895,0.00254478847256307
"Itpkb",9229.01309877106,0.588175744985359,0.15476899650603,3.80034605291533,0.000144494162479827,0.0025450810934331
"Cpeb2",3668.01077713946,0.61412316926608,0.161611923132347,3.79998676683751,0.000144703814806732,0.00254616507711621
"Chrnb1",125.993348268095,-1.46086433975737,0.384470943814479,-3.79967423614276,0.000144886417140446,0.00254677136713846
"Lpar1",302.387747474179,0.947369935889884,0.24944848805075,3.79785799983339,0.000145951891556185,0.0025628794358962
"Fam184a",54.836340547702,-2.06990047998257,0.545073061568693,-3.79747345067009,0.000146178427397538,0.00256423810754191
"Lacc1",5666.23842581508,0.475738793530316,0.125356266447087,3.7950938314769,0.000147587628318471,0.00258631897902429
"Celf4",239.613181300159,-1.1316916556784,0.298260417336297,-3.79430722247796,0.0001480562611222,0.00259188919037855
"Ifi211",3469.86102273997,0.696979115637486,0.183715990297396,3.79378580225503,0.000148367675956483,0.00259206170464217
"Rabgef1",4480.89162480269,0.615686164277084,0.162277518745358,3.79403240225286,0.00014822031892847,0.00259206170464217
"C3ar1",15379.8106626409,0.966899689880852,0.254932158555415,3.79277253744617,0.000148974606251665,0.00259923692441067
"Irak3",1608.40763817429,0.557352773188955,0.146958130771935,3.79259568872657,0.000149080775258503,0.00259923692441067
"Ntng2",1171.09489886577,-1.054855009063,0.278268915240347,-3.79077558178534,0.000150177601805218,0.00261041774785996
"Tmem132c",46.1799965018906,-1.91965948797423,0.506379168488322,-3.79095272363777,0.000150070520407734,0.00261041774785996
"Zeb2",21228.2067540851,0.561374402441585,0.148073006975443,3.79120012423795,0.000149921088231341,0.00261041774785996
"Tbrg1",1867.05354366256,-0.48741605624043,0.128678683586118,-3.78785392154115,0.000151954141650996,0.00263474192001175
"Thsd7a",113.454782751218,1.23730770449742,0.326624763267046,3.78816257567651,0.000151765531520951,0.00263474192001175
"Zfand2a",5558.98455598848,0.676793037219499,0.178680907375757,3.78771882882953,0.000152036762529908,0.00263474192001175
"Rin2",6580.07869327993,0.754817126957235,0.199318839108136,3.78698335959967,0.000152487307896688,0.00263988852976029
"Atp1b3",18399.5125492757,0.726057539379438,0.191760350137343,3.78627562402458,0.000152922050132026,0.00264209343097453
"Nt5dc3",1152.8529368798,0.547137969195149,0.144502904536993,3.78634582431581,0.000152878875981929,0.00264209343097453
"Egln1",6418.47064476974,0.673586792473921,0.178078025886572,3.78253739685416,0.000155237761311694,0.00267940999468808
"Actn1",4918.47470153345,-1.1079817110886,0.293024270923655,-3.78119432767831,0.000156077778983694,0.0026858189174261
"Gpr4",273.806689993191,-1.46119763699984,0.386435000349787,-3.78122487786361,0.0001560586240245,0.0026858189174261
"Lmtk2",1922.91849623031,-0.585457535747085,0.154824517113213,-3.78142652509602,0.000155932246744962,0.0026858189174261
"Phlda1",1722.25798421895,0.60772686060771,0.160743007528007,3.78073590853912,0.000156365473539512,0.00268807885561775
"D6Ertd527e",61.8700551733412,-1.647564678644,0.435817901901298,-3.78039697648109,0.000156578501269583,0.00268905196336204
"Hk1",9008.1971536131,0.561557955800956,0.14856362064013,3.77991565755681,0.000156881492317032,0.00269156660121965
"Immp2l",76.132758236569,-1.15441970546562,0.305514656492755,-3.77860662633381,0.000157708323137053,0.0027024820546247
"Tmem176b",13510.3921647162,-1.11974364916068,0.296353041938339,-3.77841118767277,0.000157832120460892,0.0027024820546247
"Als2cl",887.584570107075,-1.0033537689348,0.265570831978522,-3.77810229180571,0.000158027971859976,0.00270314314850233
"D2hgdh",514.136554655005,-0.647351601301979,0.171391305335936,-3.77703874787075,0.000158704048864135,0.00270931609138366
"Ighv1-69",25.4131915449149,-2.15578286922776,0.570738162456817,-3.77718367376716,0.000158611761988307,0.00270931609138366
"Ace2",27.2581823521937,-3.04958366760839,0.807593185334259,-3.77613843577219,0.000159278488579512,0.00271631822158251
"Kcnq5",63.7391588580458,-1.21782929287366,0.322526796404433,-3.77590112341103,0.000159430230095791,0.00271631822158251
"Phc1",1122.08645074053,-0.778234688188394,0.206158256944178,-3.77493824270701,0.000160047309106113,0.00272413197113186
"Map7",169.759554521598,-0.966593066077061,0.256097475693771,-3.7743170386922,0.000160446610610098,0.00272822718397448
"Clec4d",5486.90841781654,0.951501989252922,0.252198675791892,3.772827062891,0.000161408170929536,0.00274186548068148
"Gm42462",254.126063462587,0.975855060109376,0.258735988850816,3.77162475326168,0.000162188035478494,0.00275239340366317
"Amotl2",420.540820189713,1.08767145804133,0.28844047826377,3.77086969411655,0.000162679607033253,0.00275619578009287
"BC005537",28746.5026094793,0.472495312224139,0.125304124223149,3.77078819355294,0.00016273275067153,0.00275619578009287
"Ppm1m",3970.00631355547,-0.645785650599947,0.171302024212514,-3.76986584699546,0.000163335319865539,0.00276367862579575
"2810025M15Rik",625.170099353284,-0.736459661722404,0.195384173937024,-3.76929024947424,0.000163712421012732,0.0027673355256931
"Cacng8",114.883812780996,-1.73612783621828,0.460780242076559,-3.76780008707452,0.000164692505903628,0.00278116784773013
"Cntrl",5464.40472202041,-0.621823541688903,0.16507014320564,-3.76702612364157,0.000165203719822552,0.00278706295139303
"Lonrf1",1021.43854403414,0.772811929881153,0.205189822918297,3.76632680359042,0.000165666914257473,0.00279160627928535
"Rccd1",305.165397181944,-0.869153406170345,0.230781602220331,-3.76612952596,0.000165797801823648,0.00279160627928535
"Usb1",2388.21050617492,0.612719852286853,0.162717802606952,3.76553666820889,0.000166191730217774,0.00279550101191169
"Tfap2a",177.342674328146,1.01144541265869,0.268668533700958,3.76465899718827,0.000166776521695862,0.00280259548824395
"Dok3",2503.43041942025,0.611209928646634,0.162386832142029,3.76391312389202,0.00016727501751398,0.00280822736922151
"Ankrd10",1946.5335147838,-0.673243481371095,0.178938053066996,-3.76243884311756,0.000168264462253079,0.00281957065269877
"Anks3",1412.04257562974,-0.592060242966762,0.15736164798256,-3.76241765739756,0.000168278720823043,0.00281957065269877
"Cdyl2",502.853206373484,-0.651699030882137,0.173280475433125,-3.76094900047554,0.000169269942280697,0.00283341731036754
"Wdfy1",3154.55550553125,0.626545688036164,0.16665756472454,3.7594794396027,0.000170267269108564,0.00284733912767055
"Paqr8",178.822314743245,-0.83098514117031,0.221078486626064,-3.75877885655991,0.00017074466739548,0.00285254769406774
"Igkv4-53",78.3714500813811,-2.02253987094213,0.538191430217467,-3.75803061398597,0.000171255932564602,0.00285553902688466
"Tceal8",930.445283798868,0.58448449272262,0.155519446918073,3.75827270676011,0.000171090356114207,0.00285553902688466
"Sh3pxd2a",3499.19461264785,-0.786160468416385,0.209305508119089,-3.75604290341504,0.000172621113525452,0.00287551314206982
"Ptger3",55.8643222753057,-2.1151386472966,0.563268509978295,-3.75511609441491,0.000173261148749559,0.00288338084041981
"Nlrp3",16224.3726864921,0.818220158155449,0.217925149080722,3.75459262782182,0.000173623629602354,0.00288661877804068
"Amotl1",1095.82888771259,0.983259494294224,0.261948629941118,3.75363480433261,0.000174288733351313,0.0028948769227463
"Ivns1abp",10302.9545444473,-0.528504903362826,0.140841385787363,-3.75248298224459,0.000175091721145276,0.00290540712182281
"Jade1",1074.92596545206,-0.590501965844447,0.157413212929351,-3.75128589815056,0.000175929949227477,0.00291485491180367
"Myh7",36.3919540878056,-2.39306099209775,0.63794786701026,-3.75118581916861,0.000176000197687872,0.00291485491180367
"Slc11a2",3232.8151662555,0.599842684863661,0.16010719941832,3.74650663457313,0.00017931426318222,0.00296688305906213
"Paxx",378.556800223655,-0.787314315142608,0.21016609580801,-3.74615283267113,0.00017956721724835,0.00296821156895805
"Cyp4f37",50.1102775950058,-1.63048015988777,0.435312581021368,-3.7455387943583,0.000180007026461632,0.00297262323909886
"Gstp1",3171.41059070788,0.511526096195483,0.136604412849006,3.74457958954001,0.000180696090959189,0.00298113867531615
"9430015G10Rik",529.242314025753,-0.672461389273178,0.179653789145197,-3.74309605420954,0.000181766704918654,0.00299592658126229
"Scd2",8171.60397778089,0.555992023314775,0.148655052098447,3.74014885781729,0.000183911306243182,0.00302837094408673
"Ccser1",221.884084451603,-1.79035581944984,0.478937632334202,-3.73818154719679,0.000185356083636639,0.00304924060650474
"Gm16170",161.113818414263,-1.99588027825806,0.534001166249349,-3.73759535447549,0.000185788637858969,0.00305343448703014
"Slc2a5",167.995061364426,0.929000999666592,0.248615307723196,3.73670072118377,0.000186450621295194,0.00306138742185833
"Slc16a3",13733.7297857745,0.925576206059113,0.247728906098713,3.73624628887796,0.000186787726772823,0.00306399600281641
"Aebp1",1549.9086362311,1.04070744440324,0.278580601060477,3.73574987074318,0.000187156632754161,0.00306712075660323
"Arhgef4",162.616561782324,-1.19445539924469,0.3197637822096,-3.73543054498194,0.000187394296931506,0.00306809081766621
"Fmo5",247.635253668211,-0.822285436151684,0.220213151119026,-3.73404327567719,0.000188430095150872,0.00308211395408053
"R3hdm4",3385.5850012287,-0.571818202873096,0.153184450041631,-3.73287368735986,0.000189307541354924,0.00309352275991683
"Akr7a5",735.321814355955,-0.652644764668871,0.174867065524962,-3.73223375545069,0.000189789253768754,0.00309844925122378
"Rasgrp3",1520.6571783137,-0.742920503981408,0.199128087268751,-3.73086747415363,0.000190821588125526,0.00311234717406634
"Got1",7768.17624660302,0.755517966632988,0.202550859798398,3.73001609267405,0.000191467541074663,0.00311992274750193
"Cplx2",63.19073821537,-1.98651298696077,0.532795868739657,-3.72846920089663,0.000192646447754726,0.00313616011681013
"Ccdc148",45.4462696896557,-1.65645263617359,0.444345428082899,-3.72784894697861,0.000193121064692654,0.00314091222623596
"Mafg",5161.93268101226,0.486821717879647,0.130675239488358,3.72543199297536,0.000194981016426911,0.00316816507882327
"Gm57303",22.6056773098286,-2.0320163325452,0.545532202398762,-3.72483296789852,0.000195444588366393,0.00317269869556814
"Susd6",6855.89297456876,0.516384941541003,0.138718106471117,3.72254894964646,0.000197221658165747,0.00319852596747864
"Rapsn",139.970896365513,0.943033500161757,0.253347639853679,3.72229044922782,0.000197423736833561,0.00319878554185273
"Tmem150b",174.744168545568,-1.04919091266947,0.281890232445712,-3.72198392106945,0.000197663612560782,0.00319965646283654
"Naga",6628.20064866863,-0.537846503291099,0.144554288260735,-3.72072326433495,0.000198653030250827,0.00321264745347316
"Ptprj",10238.1256044155,0.459427777637577,0.123514553830752,3.71962463846256,0.000199519071837252,0.0032236206428141
"Slc45a2",2445.51483217566,0.964183410087699,0.259300970688841,3.71839491200636,0.000200492666355211,0.00323630932142012
"B430306N03Rik",1695.71851805532,0.769210343835936,0.206906754945539,3.7176666563564,0.000201071340718881,0.00324260545806593
"Gm44891",24.4556305273751,-2.22603958664387,0.599025361631209,-3.71610240438257,0.000202319609560337,0.00325967798308506
"Tgif2",71.2181883106178,-1.21230121567467,0.326333304855581,-3.71491722615065,0.000203270222076844,0.00327192732932868
"Eno1b",124.598323762047,1.13241569424288,0.304932352890325,3.71366200899703,0.000204281585832448,0.00328513072221293
"Ighv3-8",74.3938296424045,-2.35792381887444,0.635289871801002,-3.71157155738984,0.000205976419639688,0.0033092903084354
"S100b",274.569938189303,1.01386436587592,0.273205615653797,3.71099387342272,0.000206447101004181,0.00331375547466188
"Gm36161",1535.27927451006,0.506411129782539,0.13647833202683,3.71056066015655,0.000206800734198842,0.00331633528135475
"Dct",17682.1110587959,0.991789860596893,0.267449803476629,3.70832151568046,0.000208637642453952,0.00333956211492168
"Xdh",13574.0853683801,0.831722839931159,0.224275749462905,3.7084831593383,0.000208504524679136,0.00333956211492168
"Igkv14-111",54.3720128031773,-2.28346162876372,0.615914032099222,-3.70743563185431,0.000209368609519366,0.00334192735956121
"Il17re",19.5632813572408,-2.24985157929541,0.60683202351834,-3.70753601013183,0.000209285663983362,0.00334192735956121
"Tgfbi",49638.116126221,0.814535658988334,0.219676130526357,3.70789332931465,0.000208990650987247,0.00334192735956121
"Irag2",4694.67283758481,-0.437436184836148,0.118015950486284,-3.70658527964819,0.000210072520341141,0.00335005259479087
"Niban1",10268.4669320929,-0.955706933547023,0.258126976798665,-3.70246824024309,0.000213512095518425,0.003398598550053
"Shisa9",77.4214303926373,-2.34472306222663,0.633275364204796,-3.70253320239434,0.000213457414701892,0.003398598550053
"Gan",1398.98036145567,0.495614792986805,0.133878782928271,3.70196667572295,0.000213934722208441,0.00340217558694294
"Plce1",95.8534281178508,-1.40712674866026,0.380182541965793,-3.70118717546707,0.000214593101631965,0.00340949169145574
"Nfe2l2",10257.4127218897,0.715426145390218,0.193367208802711,3.6998317854407,0.00021574241988802,0.00342458720248841
"Lamp2",25450.4358564962,0.703568572748044,0.190186889840484,3.6993536901421,0.000216149203312204,0.00342787910898533
"Matk",1256.99074958877,-0.553162082027083,0.149582706517116,-3.69803498617526,0.000217274947539742,0.00343938639332938
