"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Nlgn2",-0.83,-1.03,-0.7,-0.7,-0.61,-0.81,-0.78,-0.72,0.11,-0.31,0.28,0.15,1.09,2,2,0.86
"H2-T23",-0.42,-0.25,-0.18,-0.08,-0.75,-1.09,-0.53,-0.3,-1.1,-0.77,-0.22,-0.42,2.46,1.41,1.16,1.09
"Hamp",-0.66,-0.39,-0.63,0.33,-1.06,-0.83,-1.07,-0.52,-1.28,0.57,-0.11,0.05,1.26,0.72,1.76,1.87
"Nectin2",1.19,1.18,0.86,1.25,-0.39,-1.18,-0.59,-1.7,-0.4,-0.83,-0.72,-0.49,1.5,0.73,0.37,-0.78
"F11r",-0.02,1.03,1.24,1.9,-1.21,-0.78,-0.72,-1.6,-0.79,0.16,-0.44,-0.25,1.19,0.05,0.91,-0.68
"Cxcl10",0.46,0.03,0.14,0.17,-1.02,-1.07,-0.9,-2.25,0.02,-0.19,-0.46,0.39,1.54,1.56,1.14,0.44
"Cd40",0.36,0.57,-0.06,0.3,-2.18,-1.2,-1.04,-1.24,-0.22,0.55,0.37,-0.21,1.37,0.67,1.63,0.34
"Il22",0.42,0.74,0.58,0.85,-1.79,-1.72,-1.19,-1.64,0.31,0.48,0.09,-0.12,1.09,0.28,0.81,0.83
"Il17f",-0.01,0.79,0.62,0.62,-1.67,-1.42,-1.18,-1.31,-0.29,0.03,-0.37,-0.34,1.53,0.83,1.06,1.09
"Il17a",-0.06,0.56,0.51,0.75,-1.2,-1.48,-1.48,-1.42,-0.21,0.19,-0.66,-0.03,1.61,0.85,1.03,1.05
"Vcam1",0.64,-0.36,0.01,0.14,-0.15,-0.67,-0.57,-0.55,-0.95,-0.78,-1.41,-0.35,1.52,2.34,1.38,-0.23
"Ltb",1.36,1.39,1.23,-0.46,-0.39,-1.77,-1.28,-0.46,-1.25,-0.64,-0.27,-0.26,1.04,0.48,0.86,0.43
"Plxnb2",1.25,0.4,0.9,0.9,0.36,-0.56,-0.29,-0.7,-1.21,-0.96,-1.63,-1.65,0.91,0.62,1.24,0.42
"Agrn",0.9,0.58,0.74,1,-0.88,-1.05,-0.86,-0.39,-1.18,-0.82,-0.53,-1.33,0.87,0.13,1.97,0.86
"Amigo2",-0.62,-0.82,-1.23,-0.78,-1.15,-1.48,-0.53,-0.11,0.91,1.33,1.19,0.23,0.71,-0.25,1.38,1.22
"Cmtm8",-0.63,-1.09,-1.58,-0.49,-0.96,-1.31,-0.4,-0.59,0.82,1.75,0.5,0.31,0.67,1.12,0.99,0.88
"Vegfb",-0.84,-1.56,-1.21,-1.01,-0.7,-0.31,-0.36,-1.19,0.85,0.71,1.33,0.98,1.28,0.34,1.06,0.63
"Yars",-0.78,-1.26,-1.44,-1.3,-0.98,-0.66,-0.47,-0.44,0.97,0.98,1.48,1,0.87,0.59,0.58,0.84
"Psen1",-0.76,-1.94,-1.38,-1.12,-0.32,-0.21,-0.71,-0.11,0.13,0.25,0.63,1.1,0.77,1.32,1.04,1.31
"Dll4",-1.26,-1.23,-1.45,-1.31,-0.72,-0.68,-0.49,-0.04,0.94,0.83,0.58,0.62,1.02,0.75,1.29,1.14
"Ebi3",-0.79,-0.52,-0.79,-0.59,-0.81,-1.03,-1.14,-1.58,0.8,0.57,1.45,1.52,0.75,0.56,0.97,0.65
"Ccl4",-0.43,-0.94,-0.79,-0.81,-1.05,-1.08,-0.77,-1.49,0.94,0.85,1.16,1.55,0.37,0.93,0.78,0.78
"Csf1",-1.17,-1.02,-1.1,-0.71,-0.41,-0.91,-1.2,-1.01,1.22,0.99,0.63,1,0.74,0.94,1.22,0.79
"Il10",-0.73,-0.74,-0.94,-1.1,-0.64,-1.17,-0.97,-0.99,0.59,0.58,1.01,1.18,0.42,1.68,1.34,0.48
"Pvr",-0.3,-0.18,-0.23,-0.7,-1.81,-1.07,-1.58,-1,1.03,0.84,1.14,0.88,0.21,0.88,0.92,0.97
"Il12a",-0.21,-0.46,-0.66,-0.54,-0.86,-0.41,-1.56,-1.87,1.2,1.65,0.71,1.31,0.28,0.57,0.5,0.36
"Il1rn",-0.09,-0.92,-0.73,-0.78,-1.03,-0.91,-0.75,-0.94,0.24,0.21,-0.8,1.31,0.9,1.85,1.09,1.35
"Fbrs",-0.34,0.18,-0.34,-0.25,-0.9,-1.6,-0.86,-2.03,0.38,-0.14,0.82,1.3,0.88,0.95,1.37,0.59
"Pdgfa",0.29,-0.31,-0.45,-0.7,-1.36,-1.61,-0.99,-1.45,0.19,0.31,0.75,1.08,1.12,1.4,0.86,0.89
"Grn",-0.55,-1.06,-0.23,-0.61,0.01,-1.36,-1.39,-1.25,0.19,-0.07,0.73,1.24,1.26,1,1.72,0.37
"Tnfsf9",-0.64,-0.81,-0.49,-0.69,-1.15,-1.41,-0.82,-1.27,0.66,0.6,0.75,0.63,1.52,0.65,1.39,1.1
"Gzmb",-1.7,0.25,-0.16,-0.88,0.1,0.02,-0.26,-0.35,-0.01,-1.3,-0.13,-1.01,1.67,0.79,2,0.97
"Camp",-1.78,-0.58,-0.49,-0.76,0.74,0.15,-0.2,-0.23,-0.08,-0.79,0.02,0.9,1.38,1.95,1.08,-1.3
"Plekho2",-1.4,-0.86,-0.49,-0.79,-0.04,-0.64,0.15,-0.81,-0.71,-0.15,0.87,1.48,-0.57,2.16,1.29,0.51
"Tph1",-1.16,-1.26,-1,-0.34,-0.26,-0.2,0.12,-0.77,-0.37,0.02,0.22,0.07,0.1,2.82,0.87,1.14
"Nrg4",-0.94,-1.39,-0.31,-0.98,-0.6,0.35,-0.39,-1.37,0.79,-0.52,-0.05,1.43,1.95,0.74,1.15,0.16
"Cd320",-1.45,-0.91,-1.57,-1.38,0.5,0.3,-0.48,-0.53,0.86,-0.5,0.33,1.01,1.82,0.44,0.82,0.73
"Tgfb1",-1.58,-1.25,-1.26,-0.81,-0.59,0.01,-0.02,-0.15,-0.4,-0.57,1.01,1.29,1.63,0.72,0.94,1.04
"Pglyrp1",-1.64,-1.19,-0.96,-1.37,0.42,0.16,-0.26,0.09,-0.03,-1.01,0.38,1.42,1.58,1.18,0.68,0.55
"Mif",-1.69,-0.87,-0.85,-1.07,0.16,-0.18,-0.54,-0.32,-0.29,-0.83,0.73,1.08,2.04,1.17,0.86,0.59
"Gpi1",-1.76,-1.32,-1.07,-1,0.19,-0.36,-0.5,0.03,0.14,-0.39,0.89,0.95,1.83,1.34,0.33,0.69
"Arf1",-1.28,-1.65,0.07,-1.3,0.54,-1.06,0.38,-0.49,0.54,-0.64,1.38,1.32,1.59,0.39,-0.16,0.35
"Hdc",-1.29,-2.01,-1.15,-1.2,0.4,0.08,-0.17,-0.68,0.72,-0.12,0.85,0.98,0.93,1.3,1,0.37
"Serpine2",-1.47,-1.81,-1,-1.35,0.46,-0.31,0.21,-0.75,0.77,0.13,0.62,1.12,1.11,1.38,0.59,0.28
"Alox5ap",-1.47,-2.39,-0.86,-1.29,1.09,0.54,0.02,-0.17,0.59,0.33,0.72,0.86,0.73,0.82,0.53,-0.04
"Ctsg",-1.95,-1.79,-0.67,-1.03,0.99,0.63,0.17,-0.48,0.73,-0.51,0.66,1.15,1.12,0.98,0.17,-0.16
"Cd24a",-0.25,0.22,-0.34,-0.26,0.42,1.75,0.84,2.42,-0.95,-0.12,-0.36,-0.98,0.11,-1.04,-1.34,-0.11
"Ceacam1",0.29,0.55,0.26,0.02,1.66,1.1,1.18,1.29,-0.37,-0.47,-1,-1.09,-0.27,-0.03,-1.46,-1.67
"Icam2",-0.24,0.02,0.56,-0.19,1.19,0.47,0.91,2.15,-1.52,-1.48,-0.48,-0.39,0.74,0.23,-1.18,-0.8
"Pecam1",-1.13,-0.2,-0.36,0.17,2.32,1.08,0.38,0.57,-2.11,-0.01,-0.59,-0.31,-1.01,0.7,0.14,0.36
"Manf",-1.08,0.08,-0.32,-0.65,1.86,1.35,0.25,1.42,-0.23,-1.96,-0.79,0.12,0.98,-0.28,-0.13,-0.62
"Calr",-1.13,-0.39,-0.63,-0.85,1.68,1.64,0.99,0.02,-0.82,-1.45,0.77,-0.13,0.7,0.29,0.61,-1.28
"Spn",-1.3,-1.24,-0.03,-0.29,1.96,1.45,0.72,0.03,0.65,-1.59,0.04,0.71,-0.09,0.53,-0.42,-1.14
"Ltf",-1.64,-0.36,-0.33,-0.51,1.81,0.86,1.04,0.28,0.23,-1.41,0.37,0.98,0.08,0.76,-0.53,-1.62
"Cd34",-1.56,-1.4,-0.48,-0.88,2.05,1.41,1.01,0.66,-0.3,-1.07,-0.57,0.14,-0.05,0.48,0.31,0.23
"Hsp90b1",-0.54,-0.71,-0.43,-0.32,1.85,1.72,1.11,1.45,-0.12,-1.24,-1.15,0.04,-0.85,0.2,-0.3,-0.7
"Angpt1",-0.61,-1.44,-0.38,-1.35,1.05,0.93,1.47,1.68,-0.04,-0.76,-1.23,0.46,-0.31,0.97,0.07,-0.52
"Nucb2",-1.13,-0.88,-1.18,-0.84,1.88,0.7,0.57,1.01,0.09,-0.72,0.15,-0.26,0.06,1.95,-0.84,-0.58
"Gal",-1.15,-0.95,-1.34,-1.28,1.51,1.8,0.23,1.42,-0.07,0.05,0.79,0.29,-0.47,0.26,-0.82,-0.28
"Vwf",-1.02,-0.2,-0.57,-0.51,-1.03,-0.89,-0.7,-0.27,1,0.96,0.17,2.52,0.34,1.22,-1,-0.01
"Adm",-0.3,-0.06,0.04,-2.01,-1.45,-1.08,-0.07,-0.41,0.56,0.81,1.77,1.7,0.19,0.02,-0.28,0.57
"Vegfc",-0.38,-0.37,-0.73,-0.21,-1.21,-1.16,-0.55,-1.31,1.7,0.48,1.38,1.61,0.97,-0.48,-0.37,0.63
"Lgals3",-0.28,-1.15,-0.84,-0.95,-0.83,-1.08,-0.81,-0.75,1.06,0.74,1.65,1.87,0.76,0.28,-0.23,0.56
