"","baseMean","lgFC_Treatment_48H_Wash_vs_Treatment_6H","lfcSE","stat","pvalue","padj"
"Lnpk",72.5172801360413,-2.72315520053231,0.292404913113323,-9.31295979789826,1.24318723328345e-20,1.25507064066042e-18
"Itpr1",57.4815771503853,-2.05953069256473,0.221399085508131,-9.30234507445196,1.37381575656436e-20,1.37682411223567e-18
"Tent4a",246.058828207444,-2.98298553485879,0.320749234277452,-9.30005504636209,1.40372991798476e-20,1.39660954883556e-18
"Hivep3",304.136493283825,-2.56010438341663,0.27577371420595,-9.28335171750531,1.64229317227546e-20,1.62220757232677e-18
"Nsd3",224.857008309874,-1.24130382848662,0.134014553627737,-9.26245541909343,1.99784036189006e-20,1.95931058348218e-18
"Tlk2",179.850659939543,-2.36293788799316,0.255744099956847,-9.23946197934523,2.47739772081249e-20,2.41238799338691e-18
"Cyp4f16",58.7561732110017,2.37469924655141,0.257140098760847,9.23504057902691,2.58188131396535e-20,2.47896716368841e-18
"Mast3",137.074609313013,2.05999639568799,0.223046669588195,9.23571914116138,2.56556749861063e-20,2.47896716368841e-18
"G3bp2",426.386895092364,-1.57786603926072,0.170892027328985,-9.23311674583369,2.62869327655419e-20,2.50638601993674e-18
"Wbp1",119.093419666162,1.5596975429068,0.168956021293826,9.23138181736877,2.67162769738853e-20,2.5297550541479e-18
"Timeless",23.6125468764236,-3.41881227974647,0.371481126216881,-9.20319240593255,3.4746996396369e-20,3.2676456200147e-18
"Bcl2a1a",384.69741883265,-2.9235706535668,0.318169118541265,-9.18873166249047,3.97500431686163e-20,3.71270811364014e-18
"Magohb",58.8092566381414,-2.01471550825117,0.219599247570811,-9.17451007022016,4.53632531662743e-20,4.20836125657396e-18
"Ptx3",4685.42343373816,-6.36036751612683,0.693342060776156,-9.17349152164052,4.57940913371452e-20,4.21981794670473e-18
"Hnrnpm",539.312688398039,-1.02981967284362,0.112483979784636,-9.15525637353277,5.42288898466183e-20,4.96375105062713e-18
"Plek",641.099860514583,-3.00242940203963,0.32903001730235,-9.12509267894747,7.16749055934084e-20,6.51719505826157e-18
"Traf5",147.50932755823,-2.70071918451055,0.29668922166206,-9.10285574036379,8.79872537183679e-20,7.94779601021836e-18
"Igf2bp2",107.704752293157,-1.69104745479283,0.186763554354498,-9.05448314387422,1.37216073875911e-19,1.23135731654658e-17
"Inpp5d",295.249873339768,2.27103757533734,0.251462820161837,9.03130559768533,1.69635644671866e-19,1.5124009099641e-17
"Daam1",51.1180863884085,-2.08628912785953,0.231073818898475,-9.02866944340488,1.73771720516117e-19,1.53928111141051e-17
"Sav1",133.989884868538,-1.46753241625248,0.162744104548389,-9.01742290650008,1.92565824446004e-19,1.69482613438694e-17
"Aldh1b1",307.923395533303,-2.6221500401858,0.290878420244696,-9.01459117517197,1.97606116197278e-19,1.7281095384641e-17
"Clic5",31.5963006720426,-5.67163756659165,0.629360116534917,-9.01175244122255,2.02789677863804e-19,1.76221663105698e-17
"Abhd8",61.3525506107011,2.13235592039586,0.236914666639279,9.00052306023984,2.24644820323946e-19,1.93985747361496e-17
"Batf2",198.360079165362,-4.33466039813493,0.481836139308431,-8.99612968914366,2.33815053355117e-19,2.0064254266036e-17
"Myo1g",621.458691392488,-1.22020191193315,0.136120605021609,-8.9641234825502,3.12758389805482e-19,2.66718800747159e-17
"Ubxn2a",193.493875662708,-1.53641653552727,0.17172841810608,-8.94678092578829,3.65999665350765e-19,3.10196012670741e-17
"Rab12",273.4899668259,-1.8477451140857,0.206887986906864,-8.93113777030231,4.21649609305325e-19,3.55168658635713e-17
"B3gnt8",76.4213274786432,2.50387297989963,0.281127730687652,8.90653146800934,5.26540234003918e-19,4.40816915419134e-17
"Abhd16a",364.355082660555,-1.79081701396452,0.202083047927107,-8.86178743013851,7.87416311514375e-19,6.4737879982589e-17
"Erp29",811.960141798414,0.999487032603634,0.112785981249593,8.86180198576089,7.87313487910586e-19,6.4737879982589e-17
"Pi4k2a",907.760299661182,-1.5485452364879,0.174736849596546,-8.86215609393994,7.84816084258664e-19,6.4737879982589e-17
"Adgrg6",31.0433024619563,-3.74477576448801,0.422696600183116,-8.85925215122558,8.05529842997504e-19,6.58328853830699e-17
"Trip10",134.844933678742,-1.2231776018761,0.138110215847998,-8.85653240323878,8.25419018165283e-19,6.70591900556765e-17
"Syne2",18.6410520367151,-3.25076590062519,0.367240750064437,-8.85186597635147,8.6068019511154e-19,6.95125828169497e-17
"Coa5",388.025378133007,-1.58278709041383,0.179176720291113,-8.83366481896882,1.01300892317816e-18,8.13369152937786e-17
"Dcakd",113.99131637122,-1.52164376075955,0.17265736048568,-8.81308365006402,1.21749633083539e-18,9.7187352455639e-17
"Nudt9",508.247783519429,-1.00148331938486,0.113687323442996,-8.80910280104378,1.26151457228523e-18,1.00119046690614e-16
"Syt11",61.0309632592851,3.05817514908045,0.347360753370487,8.80403188732917,1.31986864595371e-18,1.04148255798531e-16
"Fcgr3",2558.78071963029,1.58890158904031,0.180861031844782,8.7852069228707,1.56076962956196e-18,1.22453525793633e-16
"Lrrc59",391.019146205681,-1.45467400830657,0.165776190668741,-8.77492722228934,1.71014427573703e-18,1.33410686965167e-16
"Rnf214",69.8813757316114,-1.51687143537883,0.173086428525923,-8.76366476734861,1.89003326418716e-18,1.46611054899942e-16
"Syncrip",278.351322147912,-1.36878365737097,0.156643517926224,-8.73820810137602,2.36836934246463e-18,1.82683770067637e-16
"Mr1",57.7295291821754,2.72559184575319,0.313338862336082,8.69854388770255,3.36169796096461e-18,2.57855379910861e-16
"Ep400",125.487631475543,-1.61061953927667,0.185503040712577,-8.68244279495235,3.87358044356542e-18,2.95468108278629e-16
"Phf11c",34.9957209139284,-3.18715207400753,0.368369110356587,-8.65206116474403,5.05775234849942e-18,3.83662650524293e-16
"Pdlim1",19.7175991658093,-2.6236565193488,0.303491555372351,-8.6449078167261,5.38487532169943e-18,4.06232627290842e-16
"Lhx2",20.1219456464169,-9.45505805861893,1.09463323719673,-8.63764933982146,5.73814238431627e-18,4.28177689873165e-16
"Zcchc2",376.292712631525,-1.94106773267501,0.224719326938394,-8.6377427305447,5.7334549719853e-18,4.28177689873165e-16
"Acot13",148.011137022545,1.69428601899521,0.196481292160839,8.6231416760445,6.51417798366803e-18,4.83457641706822e-16
"Arhgef3",112.565331929169,-2.45420885744465,0.284717265292432,-8.61981044572039,6.70650385800044e-18,4.95055365431968e-16
"Actr2",1612.29610349084,-0.804813442943381,0.0934196683537558,-8.61503211396302,6.99219940988493e-18,5.13384480736471e-16
"Slc43a2",333.561512330894,1.87428295439271,0.217860003914297,8.60315303735155,7.75554531675857e-18,5.66402325527102e-16
"Pkp4",192.639770919939,-1.78774577096108,0.208202769743245,-8.58656094328487,8.96112891080461e-18,6.50985713996547e-16
"Ldlr",392.966765785113,-1.1967648542314,0.139696126694549,-8.56691507881372,1.06294220671418e-17,7.68115605167671e-16
"Nmi",287.77814857362,-3.35342400985506,0.391937447698696,-8.5560183890186,1.16832671325599e-17,8.39849516911244e-16
"Tfec",72.1873038188102,-2.36548655084507,0.276507048359171,-8.55488699070125,1.17984260568105e-17,8.43710363333379e-16
"Pik3r5",815.619500024269,-1.75919950001962,0.206230284961236,-8.53026751308756,1.46009682102509e-17,1.03871136542355e-15
"Plcl2",280.900158620794,-1.79134035732279,0.210171453305787,-8.52323343226113,1.5515962987536e-17,1.09434785812071e-15
"Rrs1",173.663388109973,-2.225653623518,0.261133900203272,-8.52303596655013,1.55424495508768e-17,1.09434785812071e-15
"Acp6",38.8490186539386,2.43378840747226,0.285987506926978,8.51012141622564,1.73751314240802e-17,1.21714568598276e-15
"Nono",163.805622520672,-1.42220706966277,0.167281583275212,-8.5018747540364,1.86553029105352e-17,1.30018938559212e-15
"Marchf5",996.271170367015,-2.91809709044233,0.343335274229492,-8.49926386675847,1.90796753129979e-17,1.32305021236091e-15
"Oit3",93.1252112619246,2.00783066973893,0.236490755853059,8.49010212892412,2.06455587571371e-17,1.42443980771604e-15
"Rassf4",1099.91703898449,-2.11708056189397,0.250669589585875,-8.44570163214274,3.02224701047598e-17,2.07477257269176e-15
"Arhgap45",267.88754062205,2.07902875976598,0.246290005115906,8.44138502001966,3.13599310418105e-17,2.14214852340327e-15
"Tpr",399.979052741571,-1.06759612143039,0.126489652403041,-8.44018543136363,3.1683462266725e-17,2.15353434119869e-15
"Larp1b",121.760657760089,-2.04827335911661,0.242738935550547,-8.43817393559465,3.22333718680014e-17,2.18011919087517e-15
"Prpf38a",212.597384741393,-2.1437602665285,0.254550794770591,-8.421738649296,3.70937806997802e-17,2.49655690690187e-15
"Tank",527.585741731224,-2.09260314874491,0.24911815104603,-8.4000428710562,4.4631566605725e-17,2.98922638778831e-15
"Tex2",92.4298597987265,1.99328980650811,0.237319330445496,8.3991885649024,4.49574386089033e-17,2.99643510728273e-15
"Dcp2",151.19431519089,-1.98636002014635,0.236663227144787,-8.39319248753049,4.73116056232436e-17,3.13810794786055e-15
"Arhgap27",80.8800320258632,2.5715819558959,0.30665087417932,8.38602519160642,5.0285563717668e-17,3.31933072040183e-15
"Ifit2",3744.90509303782,-6.64587711587382,0.794251660629133,-8.3674702179528,5.88683955602191e-17,3.86728742125267e-15
"Pdcl3",322.313002850569,-0.817714248655068,0.0978099170163909,-8.36023865062718,6.25915101807118e-17,4.09229254657702e-15
"Dnaja2",139.017546824657,-1.69717803450305,0.203431405876743,-8.34275330885415,7.25804755452056e-17,4.72289065988471e-15
"Keap1",442.831994325511,-1.50618069992018,0.180834723890153,-8.32904581332014,8.14965273049405e-17,5.27805339573978e-15
"Dennd3",251.159872005502,-2.3820912618458,0.286261114777439,-8.32139308790794,8.69354125398381e-17,5.6038648552675e-15
"Ccdc25",41.2453350491797,-2.01287473405619,0.242384287165692,-8.3044769840225,1.00260100143163e-16,6.43257558395152e-15
"Daxx",628.6714516815,-3.51696230654605,0.424363530091757,-8.28761676524277,1.15540153880535e-16,7.37844796641743e-15
"Tmem67",34.5157689784404,-2.68665450291584,0.324798878572354,-8.27174808830918,1.32008997620862e-16,8.3911274876594e-15
"Pphln1",51.18116722123,-2.03835749548452,0.246534915428617,-8.26802764201047,1.3619332049116e-16,8.61720871126096e-15
"Ntpcr",79.1629769761932,1.85061617638115,0.224888962022247,8.2290218236593,1.88748392560805e-16,1.18876854580727e-14
"Scd2",190.288275994997,2.30330607846658,0.280127295249805,8.22235504188405,1.99545417696285e-16,1.2510313173379e-14
"Kmt5a",630.697232214738,-1.07432349272321,0.130867081691262,-8.20927217784014,2.22533269627443e-16,1.38880990544763e-14
"2310043P16Rik",14.6751436455551,-3.94837317772682,0.482809152958041,-8.17791699584857,2.88792583956839e-16,1.79417293109837e-14
"Capza2",359.311374900392,-1.36623188768489,0.16727901991531,-8.16738338362208,3.15150138662935e-16,1.94910423596491e-14
"Phgdh",20.1218878835896,-4.06531175636485,0.498040110737987,-8.16261917206015,3.27836864927024e-16,2.01847540603051e-14
