"","baseMean","lgFC_Treatment_48H_Wash_vs_Control","lfcSE","stat","pvalue","padj"
"Serpina3g",115.912897688419,-2.26739227642481,0.60939523903772,-3.72072528824674,0.000198651438075002,0.0226807238838898
"Serpina3f",51.0087651419127,-3.22174967518794,0.867986063040324,-3.71175277158599,0.000205828978997653,0.0232628327879267
"Ankmy1",12.6170593561867,-3.46523474464527,0.934433913436412,-3.7083786181323,0.000208590607977526,0.0233392031266054
"Calm1",2536.15321013729,-1.11469804907806,0.301727170169958,-3.69439069226071,0.0002204146840735,0.0234878085723656
"Camkk2",329.379919251636,0.587600089813719,0.158972389326678,3.69623990871923,0.000218816208900545,0.0234878085723656
"Cd81",405.780842376778,-0.885745845695238,0.239527030850873,-3.69789515007471,0.000217394644371083,0.0234878085723656
"Slc6a13",55.771913922678,1.67066659104693,0.451785664050391,3.69791855737278,0.000217374603890956,0.0234878085723656
"Smim27",86.0844007862001,0.914837232201042,0.247457382930043,3.69694862755285,0.000218206477532368,0.0234878085723656
"Klhl21",101.76328588697,-0.750261520318299,0.203292297229321,-3.69055557216699,0.000223764795150506,0.0236198518201793
"Mrpl42",249.594374782321,0.923059382624433,0.250747260044763,3.68123417364422,0.00023210770165425,0.0242715240542935
"Dusp19",28.6892325513794,1.25325149891642,0.341263304401279,3.67238868859679,0.000240293827519709,0.0248948855196113
"Il2ra",12.6950767720801,-4.22920271142176,1.15326465925431,-3.66715712432939,0.000245262098457277,0.0251764919232887
"Cd33",171.68551394191,1.15965120558919,0.31829344845805,3.64333985260156,0.000269123122267428,0.0273747146822751
"Idua",185.746688912033,0.681922702043773,0.187365260371205,3.6395364898101,0.000273129233322405,0.0275319188436432
"Calcrl",159.67695234258,1.0566610012445,0.290889650937618,3.63251493423222,0.000280672326450953,0.0277915279704399
"Ccl17",259.530903379016,-4.4482716578769,1.22438073160646,-3.63307878264346,0.000280059462469389,0.0277915279704399
"Fgd3",147.942505171402,0.837108096536875,0.230689578238295,3.62872091114653,0.000284828957650606,0.0279557123434441
"Cox6a1",3224.89068842025,0.338836808893071,0.0938014729337215,3.6122759941359,0.000303521268705331,0.0290264912439653
"Pin4-ps",7.17491013293072,-2.66001568712288,0.736100591841243,-3.61365785682804,0.000301907403179569,0.0290264912439653
"Wfdc17",78.5381470177054,-3.92266371203758,1.08590663776418,-3.61233974968063,0.00030344663173211,0.0290264912439653
"Rpl12",2477.17472656116,-0.578139853416732,0.160353440266393,-3.60540972776309,0.000311660816608466,0.0293039737565725
"Slc7a5",18.6905600725635,-2.14872925417284,0.59587058714778,-3.6060334249053,0.000310913106775132,0.0293039737565725
"Cd72",183.456476421707,1.15785335271257,0.321340503691835,3.60319766543638,0.000314326309691677,0.0293083089928348
"Gm21188",154.24084712737,1.51107283442342,0.419628785439034,3.60097516389985,0.000317025863495046,0.0293157222036865
"Cd34",4.07078521605582,-2.48955765043827,0.692000120267161,-3.59762603722832,0.000321134892397343,0.0294522812379826
"Gm13586",5.75324129811499,-6.07990429368874,1.69308916254065,-3.59101246892705,0.000329395875035509,0.0298617887433666
"Serpinb6b",40.1582678192579,-1.47118385148386,0.40982387917871,-3.58979533948124,0.000330937689174856,0.0298617887433666
"R3hdm1",108.456233702039,0.663106160839862,0.185106845174657,3.58228870582387,0.000340597076232356,0.0304875254877107
"Mr1",57.7295291821754,1.0339555580446,0.28918845826927,3.57536937757683,0.000349733760222363,0.0310569130406986
"Klrk1",19.6850605136448,-2.6546623061358,0.744284234189576,-3.56673188036337,0.00036146097310567,0.0318455655754279
"Zfp710",467.640605801594,0.709570308866391,0.19966410024074,3.55382018104829,0.000379678718546517,0.0331892592329451
"Rnf130",1042.65562291971,0.583923233359658,0.164430717057281,3.55118097037942,0.000383506621080794,0.0332639967695582
"Acot13",148.011137022545,0.696538295760973,0.196368094186879,3.54710523950034,0.000389488972176653,0.0334798358885939
"Tesc",3.67386271212683,-3.46006351242418,0.975923291821212,-3.54542569218449,0.000391979488909268,0.0334798358885939
"Cox20",152.415744730707,0.75248268725432,0.212366190525712,3.54332620174403,0.000395113646074454,0.0334918680752051
"B3glct",32.8005321811587,-1.09405695863474,0.309567513895873,-3.53414654162564,0.000409094195104571,0.0344162026242485
"Zfp637",75.227689345488,0.699891453374054,0.198799093418134,3.52059680625391,0.000430576788764947,0.0359531618618731
"Chmp2a",620.020266262402,-0.55499362978368,0.158003133998481,-3.51254823710658,0.000443831430160831,0.0359857237106488
"Mki67",39.3940041914533,-1.57943317300463,0.44925626919808,-3.51566195353025,0.000438659126328738,0.0359857237106488
"Pla2g7",7085.03406084915,0.458298053551439,0.130367434327006,3.51543355836758,0.000439036600911959,0.0359857237106488
"Wdr1",845.861700971789,-0.581726064782582,0.165533687458679,-3.51424579318813,0.000441004544555,0.0359857237106488
"Il33",8.89022623899724,-4.61466676396194,1.31594863969039,-3.50672254583405,0.000453661905665556,0.0360001635637723
"Mir22hg",377.933408754898,-1.19619728110561,0.340890510142704,-3.50903661297246,0.000449732989828734,0.0360001635637723
"Nrbp1",151.609145614104,-0.682605276531328,0.194558508650725,-3.50848329001511,0.000450669544326076,0.0360001635637723
"Dpys",28.7308845966648,1.5185113971017,0.433974772055036,3.49907758442034,0.000466870711697991,0.0367874393886537
"Rps3",4195.35563056726,-0.524497319196454,0.150024505101509,-3.49607764972509,0.000472151281796001,0.0369433614826255
"5830415G21Rik",43.8314686645047,1.28033253138802,0.366470295909948,3.4936870618912,0.000476399096007716,0.0370168714252107
"Lsp1",502.20612649743,-1.25113476042396,0.358450915561313,-3.49039354095317,0.000482309732002259,0.0372176799405053
"Vwf",83.7754739343837,-1.37162780670651,0.393439408639575,-3.48624915701579,0.000489844538504414,0.0375402091871636
"Gm4202",4.61648286035724,-3.28172724447876,0.944483494751094,-3.47462635685721,0.000511565368106201,0.0388135387884704
"Snhg6",424.449248504546,1.50934738651541,0.434511226448128,3.4736671796801,0.000513397420743017,0.0388135387884704
"Ighm",400.101132283746,-1.23535361038514,0.356203012350029,-3.46811668501894,0.000524119657171589,0.0393582204301538
"Ccl9",248.952905919227,-1.07628006118681,0.310650283322329,-3.46460350744336,0.000531013746001262,0.0396100853600542
"Il12rb2",5.92092067556037,-2.29398794544201,0.662473787252561,-3.46276032287365,0.0005346644283623,0.0396182800592435
"Gm3379",5.88200279629358,-3.03808596943979,0.87822285848383,-3.45935651764379,0.00054146767893382,0.0396910488420105
"Sema6d",5.04755534312352,-2.89343109935534,0.83656031915737,-3.45872381595838,0.000542741127252444,0.0396910488420105
"Ncf1",1584.05003309329,0.384948099898353,0.111940673974685,3.43885815789715,0.000584173226896718,0.0424435989334245
"Gatad2a",399.488133769263,-0.43799386494696,0.127715400006413,-3.42945224244662,0.000604800858950572,0.0436588181341803
"Gipc2",8.16817426998442,1.95253820739687,0.569837725029809,3.4264811219628,0.000611456263524583,0.0438563085421574
"Clec4d",4345.76430412785,0.977729168190709,0.286590192668955,3.41159325476326,0.000645844054887361,0.046027701465826
"Pkig",155.05811235641,0.853762522544268,0.250739537496273,3.40497765557599,0.000661694677605839,0.0468588718210869
"Mtus1",29.7067435002959,1.29619033775625,0.382404522925495,3.3895789930518,0.00070000037807836,0.0492597750334514
"Ext1",77.6237577773483,-1.05486565106309,0.312121544417042,-3.37966305092234,0.000725747447416368,0.0498183324487223
"Gm9493",6.59869808414398,-5.39028643985641,1.59442844257391,-3.38070138234287,0.00072301071815473,0.0498183324487223
"Sgk1",2276.25395483245,0.589027751634702,0.174187283273702,3.38157723436767,0.000720709693272254,0.0498183324487223
"Smim11",79.3612252049133,0.879967805597021,0.260011858613072,3.38433720019869,0.000713503176139752,0.0498183324487223
"Gsk3b",116.527490056264,-0.649247070835016,0.192436541989859,-3.37382424419801,0.000741316829831324,0.0499599384423866
"Slc38a2",336.824532200798,-0.637182124108889,0.188919124693235,-3.37277724075601,0.00074414129117095,0.0499599384423866
"Srsf6",269.002289448883,-0.467127294657992,0.138383327292309,-3.37560386643453,0.000736538844710643,0.0499599384423866
"Tmbim1",443.416207253698,0.51233436263797,0.151928285652485,3.37221183295561,0.000745670723020696,0.0499599384423866
