"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Zfp422",-0.2,0.53,1.13,0.97,0.06,-0.8,-1.68
"Rfx5",0.42,0.68,1.13,0.59,-0.19,-0.98,-1.65
"Zbtb5",0.24,0.76,0.75,0.95,0.05,-1.12,-1.63
"Zfp558",1.01,-0.2,0.7,1.23,-0.35,-1.28,-1.09
"Zfp131",0.96,0.33,0.65,0.87,-0.08,-1.27,-1.47
"Jdp2",0.89,0.11,0.98,0.75,-0.06,-1.54,-1.14
"Gabpa",0.41,0.23,0.94,1.37,-0.71,-1.04,-1.2
"Tfec",0.65,0.71,0.68,1.04,-0.65,-0.92,-1.5
"E2f5",0.55,0.73,0.48,1.16,-0.28,-1.27,-1.37
"Fosl1",0.59,1.14,0.48,0.79,-0.78,-1.59,-0.62
"Zeb1",0.83,0.36,0.76,0.91,-0.68,-1.77,-0.41
"Irf8",0.43,0.46,1.66,0.34,-0.88,-1.01,-0.98
"Relb",0.41,0.94,0.98,0.76,-0.8,-0.92,-1.38
"Nfxl1",0.34,0.95,1.08,0.7,-0.78,-0.91,-1.37
"Zup1",0.06,0.83,1.08,0.97,-0.54,-1.25,-1.16
"Zfp800",-0.03,0.9,1.16,0.81,-0.38,-1.16,-1.3
"Ahr",-0.05,0.79,1.14,0.99,-0.5,-1.05,-1.32
"Maff",0.09,0.95,1.12,0.8,-0.83,-1.39,-0.75
"Pou3f1",0.11,1,1.04,0.82,-0.61,-1.37,-1
"Nfe2l1",0.14,1.04,0.92,0.93,-0.78,-1.25,-1
"Cebpb",0.55,0.89,0.88,0.75,-0.55,-1.43,-1.1
"Msantd3",0.33,1.06,0.84,0.8,-0.53,-1.35,-1.15
"Lhx2",0.33,0.92,1.05,0.7,-0.48,-1.4,-1.13
"Creb5",0.29,0.9,0.98,0.79,-0.36,-1.42,-1.17
"Batf2",0.43,0.88,0.95,0.83,-0.64,-1.25,-1.21
"Nfkb2",0.48,0.94,0.91,0.82,-0.8,-1.15,-1.2
"Setdb2",0.41,0.71,0.96,1.02,-0.67,-1.12,-1.3
"Prdm1",0.36,0.81,0.91,0.98,-0.59,-1.34,-1.14
"Zfp524",-0.31,-0.32,-0.97,-1.16,0.32,0.76,1.68
"Zfp90",-0.26,-0.37,-0.77,-1.31,0.14,1,1.57
"Vdr",-0.06,-0.37,-1.38,-0.88,0.21,1.4,1.08
"Smyd3",0.06,-0.19,-1.4,-0.84,-0.14,1.05,1.47
"Tcf3",-0.03,-0.58,-1.19,-0.8,-0.08,1.42,1.26
"Prr12",-0.09,-0.44,-0.96,-1,-0.26,1.39,1.37
"Foxk1",-0.4,-0.62,-0.42,-0.91,-0.51,1.21,1.65
"Klf10",-0.15,-0.42,-0.65,-0.69,-0.93,1.44,1.4
"Mnt",0,-0.59,-0.53,-1.03,-0.65,1.42,1.37
"Cic",-0.96,-0.5,-0.38,-0.61,-0.41,1.54,1.33
"Nacc2",-0.62,-0.25,-0.82,-0.3,-0.85,1.47,1.38
"Bhlhe40",-0.03,-0.96,-0.86,-1.06,0.46,1.21,1.24
"Mafb",-0.28,-0.78,-0.83,-1.14,0.57,1.22,1.23
"Nfatc2",-0.48,-1.07,-0.77,-0.78,0.71,1.01,1.38
"Cenpa",-0.31,-0.87,-0.85,-0.99,0.54,1.06,1.42
"Bmyc",-0.3,-0.98,-0.95,-0.78,0.49,1.17,1.35
"Dbp",-0.39,-0.98,-0.78,-0.9,0.53,1.21,1.32
"Rfx1",-0.41,-1.29,-0.36,-0.56,-0.07,1.53,1.17
"Jun",-0.24,-0.92,-0.69,-0.85,-0.06,1.17,1.59
"Mef2d",-0.52,-1,-0.69,-0.6,0.01,1.34,1.45
"Sgsm2",-0.41,-0.87,-0.9,-0.53,-0.09,1.27,1.54
"Nr1d1",-0.6,-0.64,-0.71,-0.9,0.09,1.53,1.24
"Pparg",-0.74,-0.93,-0.53,-0.75,0.24,1.3,1.41
"Mafa",-1.34,-0.9,-0.34,-0.19,0.24,1.41,1.1
"Cbx2",-0.81,-0.74,-0.26,-1.02,0.22,1.64,0.97
"Pbx1",-1.15,-0.51,-0.41,-0.8,0.22,1.46,1.2
"Zfp414",-0.97,-0.57,-0.21,-0.98,0.01,1.26,1.46
"Zbtb20",-1.05,-0.49,-0.85,-0.59,0.38,1.14,1.46
"Zbtb38",-1.05,-0.45,-0.65,-0.67,0.08,1.18,1.56
"Zfp362",-1.37,-0.11,-0.43,-0.83,0.25,1.18,1.33
"Epas1",-1.19,-0.06,-0.89,-0.57,0.08,1.35,1.28
"Fli1",-0.94,-0.77,-0.3,-0.79,0.17,0.91,1.72
"Etv5",-0.97,-0.01,-0.25,-1.17,-0.24,1.09,1.54
"Meis3",-1.68,-0.21,-0.5,-0.26,1.16,0.31,1.17
"Mbd3",-1.16,0.03,-0.85,-0.64,1.77,0.36,0.5
"Zbtb18",-0.97,-0.76,-0.94,-0.25,1.54,0.37,1.02
"Nr2f6",-1.12,-0.26,-1.04,-0.64,1.19,0.79,1.07
"Zfhx3",-1.22,-0.36,-1.09,-0.26,1.38,0.73,0.83
"Usf2",-1.14,-0.57,-0.6,-0.81,0.8,1.09,1.23
"Egr2",-1.16,-0.63,-0.7,-0.6,0.65,1.19,1.24
"Tef",-1.07,-0.62,-0.79,-0.61,0.58,1.22,1.28
"Mef2a",-1.11,-0.17,-0.82,-0.97,0.93,1.02,1.11
"Cebpa",-0.92,-0.36,-0.89,-0.9,0.71,0.96,1.41
"Rora",-1.16,-0.22,-1.02,-0.63,0.8,0.94,1.29
"Nfatc1",-0.9,-0.42,-0.63,-1.13,1.1,0.73,1.26
"Zfp704",-0.73,-0.65,-0.92,-0.88,0.93,1.19,1.06
"Hes6",-0.8,-0.56,-1.04,-0.74,0.77,1.16,1.21
"Mxd4",-0.87,-0.71,-0.93,-0.68,0.93,1.08,1.18
"Zfp532",-0.62,-0.42,-1.01,-1.03,0.65,1.2,1.22
"Mxi1",-0.67,-0.76,-0.77,-0.92,0.63,1.1,1.38
"Zfp395",-0.6,-0.73,-1.01,-0.78,0.7,1.01,1.41
"Zbed3",-0.47,-0.36,-1.48,-0.62,0.93,0.7,1.3
"Zfp652",-0.39,-0.5,-1.18,-1.02,1.06,1.01,1.02
"Nfic",-0.15,-0.8,-0.92,-1.16,1.13,0.77,1.13
"Ski",-0.25,-0.87,-1.1,-0.82,1.13,0.68,1.24
"Gtf2ird1",-0.61,-0.88,-0.79,-0.91,1.03,0.99,1.16
"Gtf2i",-0.59,-0.99,-0.78,-0.8,1.29,0.92,0.95
"Foxo4",-0.47,-0.89,-0.72,-1.01,1.43,0.67,0.98
"Tfeb",-0.6,-0.49,-0.93,-1.05,1.45,0.7,0.91
"Hmg20b",-1.32,-0.59,-0.61,-0.47,1.47,0.82,0.7
"Dnmt1",-1.07,-0.62,-0.67,-0.8,1.24,1.04,0.88
"E2f1",-0.88,-0.79,-0.66,-0.76,1.49,1.02,0.59
"Npas4",-0.69,-0.78,-0.81,-0.82,1.52,0.94,0.63
"Lyl1",-1.03,-0.93,-0.67,-0.46,1.43,0.94,0.71
"Gtf3a",-0.93,-0.95,-0.66,-0.43,1.67,0.68,0.62
"Zfp369",-0.5,-0.66,-1.31,-0.53,1.41,0.96,0.63
"Zfp512b",-0.43,-0.26,-1.42,-0.67,1.4,1.13,0.25
"Rxrb",-0.6,0.03,-1.51,-0.69,1.38,0.57,0.82
"Runx3",-0.28,-0.21,-1.32,-0.88,1.68,0.63,0.38
"Bach1",-0.61,-0.9,-0.85,-0.1,1.8,0.9,-0.23
"Akap8l",-0.65,-0.78,-0.49,-0.75,1.98,0.27,0.43
"Zfp956",-0.12,-0.97,-0.11,-0.67,2.13,-0.1,-0.17
"Erf",-0.73,-1.2,-0.52,-0.67,1.08,1.17,0.88
"Tfdp2",-0.4,-1.44,-0.37,-0.73,1.03,1.26,0.65
"Phf1",-0.59,-1.49,-0.53,-0.23,1.47,0.69,0.68
"Foxo3",-0.4,-1.33,-0.69,-0.55,1.37,1.07,0.52
"Trerf1",0.29,-0.75,-1.24,-1.08,1.11,0.94,0.74
"Rreb1",-0.11,-0.94,-0.93,-1.02,1.35,0.87,0.77
"Batf3",-0.16,-0.87,-1.24,-0.71,1.37,0.74,0.87
"Xpa",-0.2,-1.21,-0.78,-0.78,1.27,0.51,1.19
"Creb3l2",0.11,-1.01,-0.8,-1.01,1.64,0.39,0.68
