"","baseMean","lgFC_LMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Chpt1",91.1073602132311,1.51170490958907,0.195395875130159,7.73662652081108,1.02089386352751e-14,1.11612411923469e-12
"Cd3g",168.720765178919,-1.67079391786425,0.216683804347162,-7.7107466471623,1.25083759107787e-14,1.33734024685887e-12
"Sdc3",277.935572046199,1.37507061847634,0.178334225135278,7.71063780624981,1.25190490451988e-14,1.33734024685887e-12
"Wdfy4",333.273297529808,-1.07857791010659,0.13985916652509,-7.71188572694022,1.2397211502767e-14,1.33734024685887e-12
"Mef2b",87.9682013442259,1.72923231679147,0.22642607917733,7.63707220950103,2.2221688569098e-14,2.34240540654004e-12
"Renbp",125.265123066566,1.34073399909198,0.175561438331341,7.63683649345352,2.22623923874393e-14,2.34240540654004e-12
"Hp",1211.95847322571,3.06937048637373,0.403010644138945,7.61610277795916,2.61449535305924e-14,2.7303916396053e-12
"Bbc3",72.5312440416565,2.12679613037973,0.279336628725526,7.61373880712758,2.66278642226962e-14,2.76022468098082e-12
"Sorl1",157.490104224346,-1.41912596791449,0.186601461530203,-7.60511711042947,2.84646018471256e-14,2.92892381065203e-12
"Irak3",166.484761974063,1.43969784321371,0.189937038471185,7.57986885971226,3.45904417260765e-14,3.53327475558185e-12
"Eno2",24.0036970581617,2.58599635790957,0.342413776393422,7.55225559306454,4.27783914281735e-14,4.33797688149174e-12
"Srsf5",1205.75542872147,-0.58047031441752,0.0771700486432041,-7.5219638269418,5.39595154468454e-14,5.43244215225291e-12
"Tmem108",42.0054473564285,-3.38181035421264,0.449700916040903,-7.52013223363114,5.47208686054694e-14,5.46974168046385e-12
"Nos2",124.541759522884,4.32199885534314,0.575822830936334,7.50577890132495,6.10644094530722e-14,6.06053436798789e-12
"Mars1",276.68221537061,0.871942624348804,0.116210874867356,7.50310696261471,6.23226554387246e-14,6.14185380429234e-12
"F10",403.756309865174,1.79275412564011,0.239557051775755,7.48362075902602,7.2302403849872e-14,7.07552335297279e-12
"Slc1a4",25.3191913579424,3.62097151214858,0.484304080237653,7.47664878307804,7.62418165047023e-14,7.40922208449169e-12
"Znfx1",261.950794467931,1.35540573046846,0.181877188913432,7.45231295120575,9.17178427141499e-14,8.85172062718492e-12
"Cxcl10",2332.71397684372,3.52716212141308,0.476007131113107,7.40989344669076,1.26400933147323e-13,1.21154428661893e-11
"Oasl2",340.023720170438,1.89186611817681,0.255555243388449,7.40296341836797,1.33178447126033e-13,1.2678225776066e-11
"Grina",814.837616049999,1.58263044309142,0.214268620667367,7.38619793305299,1.51086831459438e-13,1.42858724286714e-11
"Ddx5",1757.51342965147,-0.907714116518649,0.122972264223496,-7.38145403965989,1.56570065277779e-13,1.47049764664245e-11
"Pcbd2",124.81723065113,-1.27445818662409,0.173363739061426,-7.35135382706832,1.96209260470455e-13,1.8305015940157e-11
"Rabepk",122.484159039439,1.0924758409353,0.148902299776796,7.33686345055062,2.18657489641617e-13,2.02641914572502e-11
"Plin2",233.613843820179,1.26993467487107,0.17312876228211,7.33520333728103,2.2138510759791e-13,2.03819947087181e-11
"Zbp1",1053.17737887658,1.07580578325997,0.146709671764482,7.33288930662318,2.25242975571072e-13,2.0601635295043e-11
"Tma16",54.8847532858112,2.02878437131688,0.277223285423504,7.31823219040776,2.51258851105899e-13,2.28319244310127e-11
"Naaa",183.061775874977,-1.62723262064131,0.222505472583022,-7.31322516139081,2.60805443979491e-13,2.3546525051929e-11
"Il10",31.8248066573388,2.80368754510613,0.384429878867076,7.29310519090937,3.02891414312683e-13,2.71709131531518e-11
"Serf1",40.4190071838442,2.01844031114817,0.276950353991335,7.28809435358701,3.14369789378049e-13,2.80209607169198e-11
"Cth",20.5722646846765,4.11534807242096,0.565065414394478,7.28295869396103,3.2657724550217e-13,2.89248226174517e-11
"Traf4",77.1818629866749,1.36238585255351,0.187416794266272,7.26928372607794,3.61398623885942e-13,3.1807624796603e-11
"Slamf7",395.752332002537,1.52867019941757,0.210414497634775,7.26504217437978,3.72921901132243e-13,3.26166817777788e-11
"Ifi211",78.967910283516,3.39811468388652,0.467791010145063,7.26417269718962,3.75328242807942e-13,3.26232511171077e-11
"Rab20",67.7133581493836,1.94720681926859,0.26817015303048,7.26108702726239,3.83991777689238e-13,3.31702526974272e-11
"Atosa",97.6809211287294,-1.57188150970993,0.217936321524962,-7.21257245561929,5.49045982462034e-13,4.71371133654829e-11
"Oas1a",30.537222599162,2.27534939598135,0.315521318008007,7.21139671432155,5.53808472815714e-13,4.7256071759653e-11
"Pdk1",106.626463194317,-1.26984517674165,0.176486339922768,-7.1951470991882,6.23934618440395e-13,5.29172184876054e-11
"Trp53",185.526071226525,1.39367578761025,0.193901022253157,7.1875628679805,6.59580346522829e-13,5.56034178869907e-11
"Ralgps2",252.567770998573,-1.40536911385777,0.195810429024071,-7.17719235314583,7.11575423201066e-13,5.92725385254507e-11
"Slfn9",97.4077384024215,1.60843812839667,0.224096165578893,7.17744600511881,7.10256939371512e-13,5.92725385254507e-11
"Slfn8",158.098519749376,1.07177783723671,0.15046431585292,7.1231363473874,1.05498360631775e-12,8.73576366083465e-11
"Cln3",214.349399400761,1.26648372618099,0.17801637428939,7.1144226548629,1.12382269748866e-12,9.25104401685662e-11
"Vdr",65.6303059579285,-2.75026185745576,0.38699813366034,-7.10665405913716,1.18889935613264e-12,9.72950736240946e-11
"Ncf1",1994.36970036984,0.480897798320345,0.0676843409378212,7.10500821396969,1.20315383709336e-12,9.78891557923518e-11
"Atp13a1",317.921947825768,0.743285839212679,0.104733761439352,7.0969077114937,1.27579189421858e-12,1.02518052971843e-10
"Dusp1",449.513317043328,-1.35775785072691,0.191316800120409,-7.09690863464356,1.2757833759487e-12,1.02518052971843e-10
"Il1rn",342.734268057313,2.13564565603556,0.300954803798493,7.09623381677436,1.28202510147724e-12,1.02518052971843e-10
"Csf3",54.4754176504798,4.39952099492724,0.620626588641199,7.08883743534025,1.35243277299608e-12,1.07533774007427e-10
"Yars",123.724734074398,1.15398317440943,0.162907129032454,7.08368738227247,1.40368370008437e-12,1.10978246886896e-10
"Mir142hg",272.681665398687,1.42604369470271,0.201450406818106,7.07888217863127,1.45321869538914e-12,1.1361085152668e-10
"Traf3ip3",221.846447010131,-0.822296233066732,0.116158443793919,-7.07909133601684,1.45102730805709e-12,1.1361085152668e-10
"Fam107b",505.033858383448,-1.4522851746322,0.205422324802085,-7.06975337773738,1.55209290125816e-12,1.20666600334481e-10
"Cebpg",168.332437607584,1.0274878709361,0.145821149059278,7.04621982177916,1.83843746108635e-12,1.42138639947196e-10
"Trip10",54.3102384109189,1.33139296093072,0.189390308458033,7.02988960612911,2.06697009543002e-12,1.58929557777185e-10
"4930426D05Rik",38.0275332687311,-2.83712242849613,0.403666114906563,-7.02838886824287,2.08931932858009e-12,1.59770134886064e-10
"Clec2d",67.5848702628397,1.81380401259444,0.258543040264398,7.01548187388668,2.29157775912172e-12,1.74284451962768e-10
"Cflar",303.586251775364,1.02265205739583,0.145871583938623,7.01063243288101,2.37243257094226e-12,1.79458494041978e-10
"H2-K2",155.519431551986,1.17928755262866,0.16852073207459,6.997878172679,2.59867896885666e-12,1.95515663925699e-10
"Rabac1",467.833944933236,1.23429484917479,0.177364443417913,6.95908844743191,3.42481456749444e-12,2.56293342553568e-10
"Igtp",985.105339718453,1.51128013823359,0.217298982555717,6.95484221996339,3.52956838266255e-12,2.62727552909466e-10
"Nr1h2",211.012780212005,1.20052006607682,0.172839755659816,6.94585607051941,3.76172140881784e-12,2.78526610555539e-10
"AB124611",502.477514669862,-0.886694383913083,0.12812787114931,-6.92038645424614,4.50413212637603e-12,3.31741184086874e-10
"Pdcd4",59.2028897055773,-1.83870198900262,0.267674997623257,-6.8691585143508,6.45817139358278e-12,4.73170944930877e-10
"Nlgn2",25.6338809057854,1.85148071632817,0.269963155809301,6.8582718659432,6.96985244027469e-12,5.08000599214605e-10
"Crlf2",578.846595876936,-0.800303342606393,0.116849205010087,-6.84902685078011,7.43540417042855e-12,5.39124590471384e-10
"Macroh2a1",1188.44956466478,-0.581513532963675,0.0850019682877909,-6.8411772653881,7.85449895377754e-12,5.66576589480221e-10
"Rad23a",361.613520043232,0.812724293394308,0.118842508982386,6.83866657102269,7.99336853379884e-12,5.7363691929221e-10
"Aip",220.922317785058,1.04510801580701,0.152893647276589,6.83552282532952,8.17064875126052e-12,5.83367646046631e-10
"Dazap2",1166.94433321653,-0.601306524752687,0.0880201711026067,-6.83146280244938,8.40530877026433e-12,5.97075588482634e-10
"Apol8",20.9371935853714,-7.1176692668873,1.04299907226656,-6.82423355508819,8.83959709513404e-12,6.24754150249019e-10
"Abcc5",123.76307872569,1.0375190984484,0.152238469255284,6.81509150429395,9.42037850754936e-12,6.6245616499822e-10
"Mef2c",245.300175349381,-1.64382383665621,0.241530047229902,-6.80587717970976,1.00435371397644e-11,7.02746293669316e-10
"Slc39a4",104.814970202379,1.23346037081811,0.182242294596488,6.76824429559111,1.30354520648819e-11,9.07552816895308e-10
"Sptssa",144.113740251264,-1.06819774300963,0.158004861153911,-6.76053720884642,1.3748101533176e-11,9.52430360669625e-10
"Naa25",134.225348509615,1.07443537040902,0.158945340419653,6.75977897541543,1.38202407727509e-11,9.52711573270328e-10
"Rsad2",163.533633757344,2.75757955432462,0.408436855079185,6.75154438203183,1.46279624236586e-11,1.00344953998372e-09
"Zmynd11",263.192993799731,-0.865449263022826,0.128330307484219,-6.74391949952471,1.54169979746662e-11,1.05241692515843e-09
"Mib2",57.098770070218,1.41021227079335,0.209279357794882,6.73842028976178,1.60117855894422e-11,1.08771324047891e-09
"Ifit3b",134.935846054083,1.92790914234053,0.286811265920428,6.72187382930558,1.79402271935382e-11,1.21282869249456e-09
"Adar",349.147191934918,0.828379791088068,0.123541881056029,6.70525480110163,2.01055230686016e-11,1.35267639337505e-09
"Mtss1",177.272847136273,-1.3469009287643,0.201148859013614,-6.69604061076548,2.14142235642821e-11,1.43383083520844e-09
"P2rx4",232.985825897655,1.12471038785587,0.167993260251195,6.69497327555958,2.15711049964826e-11,1.43745734914656e-09
"B4galt5",570.100195864007,0.652235170400705,0.0975059371098039,6.68918416389565,2.24418167294445e-11,1.48839233797083e-09
"Stat1",2132.98513068461,1.01624474684858,0.152094006543287,6.68168831859493,2.36204986740163e-11,1.55917574737823e-09
"Psmd11",165.089218650634,0.962344244191376,0.144093049251755,6.67863057370654,2.41185281803547e-11,1.58457597819664e-09
"Cacna1i",36.4840243027799,-3.32721817978859,0.498300688544244,-6.67712940455463,2.4366778482767e-11,1.5934051312516e-09
"Tgif1",247.073329017779,1.11399258326784,0.167281041679543,6.65940725908376,2.74934122887587e-11,1.78950144915762e-09
"Stk10",278.953777190742,-0.87526900861811,0.131461167177726,-6.65800424116734,2.77570768662713e-11,1.798298766975e-09
"Oga",197.573343500031,-1.07549975217016,0.161761237311636,-6.64868648413084,2.95720137263026e-11,1.90705419394414e-09
"Hadh",91.2401880643151,-1.44576684717812,0.217608026856792,-6.64390403268342,3.05481516052962e-11,1.96096712644273e-09
"Bcor",131.989796549792,-1.11749590289354,0.168941695022732,-6.6146838573105,3.72346621632691e-11,2.37927791010406e-09
"Vpreb3",171.329443584797,-1.57345878215663,0.238185843521089,-6.60601301444397,3.94808197442065e-11,2.51133905227466e-09
"Rnf31",163.284881532445,0.876770663447895,0.133013334151709,6.59159977486083,4.35112252571350e-11,2.75518591062601e-09
"Abcc1",214.324859966051,1.13203937250873,0.171893314929518,6.58570912413266,4.52719377377082e-11,2.85376349865535e-09
"Cd79b",2847.27508954326,-1.13093813086304,0.172068100728972,-6.57261936449455,4.94377258895496e-11,3.08853364329624e-09
"Siva1",285.137444390495,-0.873429863689597,0.132876642189294,-6.57323852634179,4.9232493200937e-11,3.08853364329624e-09
"Galnt2",177.58087464283,-0.952939213195389,0.145100396146062,-6.56744735718113,5.11850982892147e-11,3.16939940468704e-09
"Polr1c",253.666870063602,1.05816320207373,0.161108602342392,6.56801180501152,5.09914996626966e-11,3.16939940468704e-09
"Cetn3",187.533852466731,-1.65274816157471,0.251921197698216,-6.56057599231719,5.36003304210785e-11,3.3043305018175e-09
"Or2v1",17.5828326210487,2.98047928010139,0.455115770861037,6.54883761655325,5.79866398867189e-11,3.55905718673134e-09
