"","baseMean","lgFC_cDC_Treatment_6H_vs_MoDC_Treatment_48H_Wash","lfcSE","stat","pvalue","padj"
"Ctsa",1747.39648451739,-3.4174384807444,0.171154232948307,-19.9670111680881,1.06647107492764e-88,3.83303614821275e-86
"Phf11c",122.565277921331,5.70212366718409,0.285644862242515,19.9622833136867,1.17231534433852e-88,4.12380629530825e-86
"Tnfrsf4",104.994546940124,6.50775261358385,0.326818730289866,19.9124224239288,3.17581192878687e-88,1.09386872122153e-85
"Soat1",384.945834373439,-3.73476040063768,0.188239421315945,-19.8404796111713,1.33182134043873e-87,4.4936739227497e-85
"Sell",277.679021571855,7.10590554171038,0.358805551784556,19.8043355415445,2.73142689228936e-87,9.031736162044e-85
"Phip",341.17609903074,2.98303246462386,0.150701734320715,19.794280922312,3.33477068716245e-87,1.08105419158543e-84
"Ctsd",19932.4948566377,-5.03422911093604,0.255208803064951,-19.7259226581413,1.29178760280156e-86,4.10713931483042e-84
"Itgb2",4035.79679780784,-3.16741175069401,0.161105382661549,-19.6604961197859,4.70107352932883e-86,1.46646884264893e-83
"Fnbp4",287.75400760978,2.97334675552509,0.151873618759429,19.5777698576797,2.39269016579962e-85,7.32561972428982e-83
"Cxcr5",136.963834777389,7.70508323279673,0.393840029726168,19.563992106526,3.13541460843378e-85,9.42505631295194e-83
"Tut4",190.784863266771,3.16703503729394,0.162102889644381,19.5371905105562,5.30214931412984e-85,1.56536490375908e-82
"Snhg15",112.849649514412,3.18475351073116,0.163180605094452,19.5167404170843,7.91280545173425e-85,2.29513004444776e-82
"Dhrs7",147.82882392554,-3.12152610123893,0.161390546431989,-19.3414432892719,2.40644723897489e-83,6.85961934516756e-81
"Ccl4",4717.02496352007,6.13635792361634,0.317757929071745,19.3114234522558,4.30541254158646e-83,1.20646416186524e-80
"Slc7a1",129.191134954115,4.41754736110823,0.229040068513946,19.2872251120517,6.87665111191238e-83,1.89486121388746e-80
"Igkc",1798.08633443018,6.34368912398943,0.329233740255695,19.2680407514208,9.96372218755339e-83,2.70049539224295e-80
"Jaml",167.528888657149,5.69427207270279,0.295616845802412,19.2623395911233,1.11237115961288e-82,2.96626328739996e-80
"Trem2",1370.14149283202,-7.97286760002799,0.418375654657633,-19.0567197475971,5.77860736879677e-81,1.51647167663995e-78
"Tnfrsf13c",150.791055324899,5.95522172908552,0.313838081529523,18.9754592561301,2.72123097189084e-80,7.02970494660487e-78
"Grk3",134.574262278338,4.20662518401424,0.221986031993767,18.9499544013307,4.41966122581161e-80,1.12415783148221e-77
"Trf",926.262261358287,-5.29017742331753,0.279639688937132,-18.9178347445053,8.13275975746675e-80,2.03725631924542e-77
"Mllt6",631.401173789897,2.66413891356054,0.141019946066716,18.8919297437551,1.32897628242143e-79,3.27939774287665e-77
"Cyb5a",827.908440291118,-3.30698058693753,0.175124565060797,-18.8835905790228,1.55636993847945e-79,3.78403885189422e-77
"Tcn2",267.618964981954,-2.7889280362377,0.147805660081454,-18.8688852287575,2.05589764934904e-79,4.92610954154894e-77
"Gbp5",391.18978446457,6.0194844853011,0.319043006867295,18.867313671617,2.1179479919169e-79,5.00229059290887e-77
"Rras2",93.2857815860631,3.67582573812195,0.195394382696214,18.8123409045841,5.98362646906922e-79,1.39334220300171e-76
"Gpr132",378.970975369631,2.87663916543966,0.152927513623749,18.8104749582022,6.1979992298018e-79,1.42321557314324e-76
"Lamp2",980.69813674754,-3.10792550050811,0.165618993613355,-18.76551374152,1.44592931535801e-78,3.27473279052247e-76
"Relb",339.820093949749,2.84747662385544,0.152047098522164,18.7275959326534,2.94937070677806e-78,6.58945214799482e-76
"Myo1g",1137.95222964173,2.46267764150856,0.132944564737247,18.524094207054,1.32005979243075e-76,2.90993980643435e-74
"Tpp1",651.803015979669,-2.40433364437794,0.129890564644005,-18.5104564828675,1.7005347813306e-76,3.69933441312354e-74
"Aga",192.399097518132,-3.43514864196697,0.185597989230374,-18.5085444956145,1.76197512697144e-76,3.78321230834012e-74
"H2bc4",551.724519045956,-3.65904935920559,0.198488290474636,-18.4345854884229,6.93481813697986e-76,1.46991472126523e-73
"Itgam",2546.38897694244,-3.07048064113445,0.166676440889263,-18.4218034939588,8.7827844617637e-76,1.83804779121948e-73
"Sp100",757.758149030009,3.20246605863642,0.174005941902472,18.4043488608645,1.21233024101057e-75,2.50543198432846e-73
"Ets1",298.084889448639,4.69180253853402,0.255076115086309,18.3937352854322,1.47461574435846e-75,3.00985458042944e-73
"Iglc1",357.697167624106,7.03979445736708,0.383457199873485,18.3587489286672,2.81006603900168e-75,5.66570997839206e-73
"Gbp9",159.504228953454,5.7475270576377,0.313884728485085,18.3109483706877,6.76806877875326e-75,1.34815037492925e-72
"Ccnd2",961.419718488379,6.27392189621273,0.343244704197445,18.2782773324414,1.23258057633104e-74,2.42598269862869e-72
"Ighd",340.761738028411,6.69438376122701,0.366537621919611,18.2638380370548,1.6059521447291e-74,3.12367138927132e-72
"Naglu",255.032074962263,-3.10568932880153,0.17063503510902,-18.2007717630631,5.08858039995277e-74,9.78249997121153e-72
"Ltb",483.822368492033,7.02905124447311,0.386320127668025,18.1948874548762,5.66553855933772e-74,1.07664768967276e-71
"Nfkb2",958.695872675353,3.45910051668056,0.190678457682225,18.1410137187355,1.51216115928067e-73,2.84097277799855e-71
"Rapgef6",174.989920347189,2.82795072894093,0.156008825326445,18.1268638041694,1.95601485875541e-73,3.6335723213262e-71
"Gimap1",150.902635287301,6.66963550972605,0.369850308462918,18.033337696661,1.06654796542691e-72,1.95924861248924e-70
"Helz2",1062.22029487748,4.48722296934078,0.249307612061523,17.998740320185,1.99300515511199e-72,3.62091804719413e-70
"Chd2",231.934247063019,1.99222268847305,0.110751242397193,17.9882649201192,2.4077950247807e-72,4.32696468964123e-70
"Cd40",1347.37647603993,6.24774438443336,0.347401690155952,17.9842083716653,2.59062097245379e-72,4.60545554167511e-70
"Spp1",7166.89032426587,-5.86173909381282,0.325976270922709,-17.9821036580993,2.69086666571263e-72,4.73277644513053e-70
"Mgst1",598.009069703803,-3.66091626472475,0.204928856682353,-17.864327767169,2.23609669456696e-71,3.8915143843448e-69
"Rabgap1l",83.6540208060499,4.09781864314701,0.229451084528764,17.8592254273407,2.4501580840112e-71,4.21963162530804e-69
"Fam169b",84.543765015759,4.5089733355629,0.252643007322267,17.8472120932733,3.03829944193513e-71,5.17857780139315e-69
"Tapbpl",181.05079800092,2.95058910461072,0.167001809295239,17.6680068141922,7.39644177103256e-70,1.24780991633144e-67
"Psme2",2063.44763813617,2.43453103529992,0.138397977505668,17.5907992239281,2.89761915989126e-69,4.83902399701841e-67
"Hmgn3",70.1111607866845,5.47605397953739,0.311356533390439,17.5877278691,3.0589930534487e-69,5.05743321526674e-67
"Tbc1d4",200.389569318237,5.36183467905009,0.305665671742849,17.541500975487,6.90784958734887e-69,1.13076710126375e-66
"Gsn",453.058658456334,-3.06630612767717,0.175796311915628,-17.442380299473,3.93344836364936e-68,6.37565703884459e-66
"Tmbim1",273.25765712314,-2.78432557792503,0.160118624252788,-17.3891425242904,9.97148900303679e-68,1.60056920084667e-65
"Pml",566.35972784667,3.97948614631285,0.229969804782936,17.3043854608174,4.35907426640459e-67,6.92967065831415e-65
"Tcof1",373.799147984996,2.5934926893936,0.150702295537649,17.2093774692748,2.25846510142631e-66,3.55611462113155e-64
"Adam15",146.825855537993,-4.1256830151926,0.240089729203575,-17.183921315078,3.50403945823226e-66,5.46530984556169e-64
"Slc6a8",523.708621397805,-4.8599625806659,0.283162791142903,-17.1631398357464,5.01287610054135e-66,7.74559631497665e-64
"Csrp1",340.632747930662,3.14330796519153,0.183386826475289,17.1403149594013,7.42474057614161e-66,1.13660403653101e-63
"Parp10",343.088632254524,2.84360100834651,0.165981501576125,17.132035686774,8.56062089550745e-66,1.2984655528938e-63
"Rab7b",375.219301964797,-6.81440034362504,0.397913691462186,-17.1253226260816,9.60753683008604e-66,1.44401278556193e-63
"Myc",137.05162786719,4.70779022760406,0.276135674458553,17.048830205786,3.56598778230581e-65,5.31139423467224e-63
"Ifi35",765.133490593021,3.52997836244513,0.20714786237425,17.0408630916383,4.0865601992988e-65,6.03241962276849e-63
"Aldh3b1",244.629434641141,-2.99635505056017,0.176209253063247,-17.0045272791928,7.60158756698174e-65,1.11218625880451e-62
"2510009E07Rik",154.402614264262,-4.05012107094215,0.238611789708317,-16.9736838062071,1.28605341290344e-64,1.86511588381865e-62
"Grap",146.538576133855,4.98187073948433,0.293980879195017,16.9462406981222,2.05159858697387e-64,2.94948516855991e-62
"Trp53i11",105.348049036771,6.47894501366557,0.382423530384251,16.9418053516625,2.21229817288605e-64,3.15309704244181e-62
"Cd68",2690.04316995007,-3.67337685496086,0.216897817365767,-16.9359788843161,2.44261060438086e-64,3.45159667711357e-62
"Smap2",320.004043043844,2.11071293082345,0.124943309275234,16.8933650234429,5.03477530048302e-64,7.05423220702422e-62
"Pecam1",64.888246065866,5.10995686374365,0.302651255612632,16.8839770824674,5.90305955789491e-64,8.20128434207365e-62
"Shmt2",200.604197858793,3.71607522452542,0.220115846928203,16.8823611583837,6.06689994577074e-64,8.35867140028564e-62
"Psat1",105.544865347638,3.45888048765363,0.204959812035433,16.8758960759374,6.76899816831092e-64,9.2489129517921e-62
"Sp110",361.611180395105,3.62988726180741,0.215474872156737,16.8459887014901,1.12276682886383e-63,1.52153311324636e-61
"Lta",66.2802457445957,6.8018752854842,0.404617841193991,16.8106163223363,2.04038902438141e-63,2.74258144228438e-61
"Pttg1ip",369.58219972536,-2.42544441596448,0.144337615276046,-16.8039662518035,2.28257244715112e-63,3.04336857006045e-61
"Card11",77.2160397788104,5.33023044350833,0.317441679523589,16.7912117007062,2.83007382943232e-63,3.74316884976037e-61
"Lad1",122.204984184451,8.0996548931183,0.482977910084617,16.7702388121627,4.02886289888524e-63,5.28644367518013e-61
"Chst3",92.7000871316895,4.95220454481674,0.29628013283049,16.71460214867,1.02602416465874e-62,1.33568956805535e-60
"Msrb1",843.736396589641,-2.67260254333723,0.159914216451687,-16.7127263769239,1.05881860002549e-62,1.36761311829855e-60
"Atp6v1a",1116.72199984427,-2.88603536511915,0.172735830115168,-16.7077980474286,1.15004409968099e-62,1.47392861240511e-60
"Hsh2d",92.5383439859935,7.84892440305654,0.474667526468979,16.5356253911958,2.03257645863286e-61,2.58496819927516e-59
"Itk",71.1846623260059,7.65436798212516,0.46307633016902,16.5293872380205,2.25423597368082e-61,2.84498346205077e-59
"Chac1",56.442519766659,4.93916163042224,0.298819962613455,16.5288877865613,2.27299103840947e-61,2.84692127560786e-59
"Mx2",304.510516911745,5.27345617734473,0.319158353198061,16.523008483103,2.50580707772094e-61,3.11492544480905e-59
"Akr1a1",6926.65106110588,-2.66611663593981,0.161851295836071,-16.4726307699145,5.77053535316233e-61,7.11972096968901e-59
"Dtnbp1",599.670238481782,-1.77217823993278,0.10762705932232,-16.4659171317269,6.44779556363774e-61,7.89640030026836e-59
"Ppp1r16b",76.1385240001219,6.73658744301648,0.409544987094687,16.4489559274204,8.53264486423939e-61,1.03728101132698e-58
"Pax5",172.24601783303,5.7749052471626,0.351412285035569,16.4334187877868,1.10263355301634e-60,1.33064529430797e-58
"Serpinb6b",277.305410196422,6.12987051969105,0.373089972901284,16.4300060707152,1.16647271676601e-60,1.39748503089075e-58
"Etnk1",618.17740413516,2.69334203464575,0.164346195722313,16.3882225737463,2.32133485843281e-60,2.76105246147264e-58
"Niban3",69.0936451451045,5.00692638252166,0.305694517629505,16.3788556672447,2.70789888053906e-60,3.19783515656802e-58
"Zfp36",378.401806738154,2.53167287463466,0.154581509328691,16.3775918971751,2.76474365246797e-60,3.24180899335127e-58
"Ifit1bl1",144.80864869469,7.30006106983965,0.446514951638163,16.3489734062821,4.4237001964995e-60,5.1504954470934e-58
"Uba7",405.331157213763,2.96780016273434,0.182504602960842,16.2615085569711,1.85123218073853e-59,2.14030920588463e-57
"Bcl11a",84.6303039437941,7.49541680683724,0.461134975780608,16.25427955047,2.08302512937198e-59,2.3915732266602e-57
"Kmo",45.6339876874653,5.94372023204543,0.365732484482882,16.2515512956127,2.17783210911522e-59,2.48317919034496e-57
"Tnfsf12",286.377951694065,-4.9417282358999,0.304581773701546,-16.2246354266168,3.37716826011614e-59,3.82429608523973e-57
"Heg1",54.5082669785808,4.9396042097878,0.304695136829682,16.2116279937507,4.17364547937217e-59,4.69407351771838e-57
"Npc2",3860.55706049703,-2.25541246728009,0.139342658371721,-16.1860875458783,6.32228592577904e-59,7.06259143316925e-57
"Trbc1",198.672225603144,7.11717567392056,0.440533560057745,16.15580813636,1.03355147163248e-58,1.14682593828857e-56
"Rbbp6",203.689541458,1.88193563594448,0.116704136183857,16.1256978328486,1.68346690910342e-58,1.85551722721379e-56
"Rhof",83.2264780115858,3.94195305958939,0.244960724432609,16.0921840377471,2.89444031106043e-58,3.16912461342795e-56
"Asb2",74.4098870379789,5.50343852012803,0.342086243359117,16.0878685622871,3.10338686280442e-58,3.37554572386483e-56
"Ifi47",840.034094711452,4.19995945634513,0.261798845241089,16.0426966455006,6.43006120035313e-58,6.94824848532277e-56
"Ctss",16763.1398269775,-3.48827880023569,0.217841076952984,-16.0129524193849,1.03766792236585e-57,1.11401063379706e-55
"Nxf1",267.352024920968,1.84424598032432,0.11548799245686,15.9691578413507,2.09596696564212e-57,2.22613406595504e-55
"Trac",123.888250282986,6.33317028962153,0.396590971612979,15.9690228546147,2.10050755633573e-57,2.22613406595504e-55
"Serpina3g",216.666161266289,7.60840467320162,0.476464353070953,15.9684656872297,2.11935308851141e-57,2.23180029378084e-55
"Tyrobp",3191.71368984531,-3.13850753981398,0.196633551353491,-15.9612005083091,2.38106968725716e-57,2.49153323667232e-55
"Sgk1",1369.81407471254,-3.25627135953107,0.204216330708991,-15.9452054996095,3.07626545914479e-57,3.19873565006546e-55
"Pirb",1260.08113004493,-2.05610901474735,0.12901466148152,-15.9370182515409,3.50692580227708e-57,3.62375026806543e-55
