"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Tent4a",202.77358142888,2.26657241411159,0.267387134690521,8.47674446541701,2.31582827998821e-17,1.91911024588042e-15
"Naa25",181.962564910831,1.6862418638004,0.199573534565761,8.44922583282087,2.93240761910413e-17,2.41428546770268e-15
"Myd88",331.676915315493,1.13919640437016,0.1355031184153,8.40716005427026,4.20057675869152e-17,3.43607178860966e-15
"Ppa1",270.635189509589,2.55094279205707,0.303685610810936,8.39994619845588,4.46683247933165e-17,3.63044673111833e-15
"Gypc",174.570551342371,1.74533688973368,0.207876708399136,8.39601946352992,4.61869115974725e-17,3.70635349458451e-15
"Slc2a6",589.164622135463,1.85277514465588,0.220669869762335,8.3961401103438,4.61395043757634e-17,3.70635349458451e-15
"Gvin-ps7",378.117965249684,2.44269613698829,0.292302606764747,8.356737437358,6.44765870166672e-17,5.14150092317185e-15
"Setdb2",115.025674345729,2.53791038774026,0.304908238508569,8.32352185744216,8.53875222990994e-17,6.76642747018926e-15
"Usb1",300.799308608596,1.42006788335261,0.171040288660552,8.30253441732018,1.01913613624115e-16,8.02585532385188e-15
"Shisa5",1708.61379817105,1.19326364332807,0.144346483137132,8.26666239034339,1.37761369610686e-16,1.07819531190981e-14
"Rabepk",83.4721951166458,1.60215727000584,0.193895046242078,8.26301290856882,1.42040872630813e-16,1.10486884913256e-14
"B3gnt8",59.5139046876537,-2.32269502771195,0.282405602522549,-8.22467758063152,1.95716620785633e-16,1.5131042895982e-14
"Trim26",187.755776702766,1.27353815256724,0.154967010739723,8.21812427359931,2.06710705874552e-16,1.58841517562633e-14
"Slfn5",344.0598864527,4.23958163170081,0.516147717797034,8.21389204198313,2.1413211592378e-16,1.63553078180579e-14
"Aida",219.253596174171,1.83220095068793,0.223605081108949,8.1939146534654,2.52864395014139e-16,1.91980099663729e-14
"Igsf8",576.226052141909,1.75750347244359,0.2158049637586,8.14394368801238,3.8260721381696e-16,2.88754575237216e-14
"Irgm2",197.47064795423,2.91174828239227,0.358769698874872,8.11592587535606,4.82094903997034e-16,3.61685283300497e-14
"Rcbtb2",398.643025505945,-1.51826433976592,0.187250805589309,-8.10818588997628,5.13810903730038e-16,3.83212261670185e-14
"Icam1",722.525609751711,1.94203589862297,0.239627598820713,8.10439159838172,5.30101092055852e-16,3.93049809717904e-14
"Alox5ap",612.88095308652,-1.19071611599301,0.147437965795408,-8.07604818453141,6.68994549910254e-16,4.93150110366983e-14
"Oas1a",48.1951567919846,3.24301038737789,0.402607288494504,8.05502155588064,7.94648033704101e-16,5.82389735221636e-14
"Ttc39c",166.428666756911,1.87702716864114,0.234491286649288,8.00467768104524,1.19779990578216e-15,8.72810632494944e-14
"Tap2",519.044077281316,1.12374982775841,0.140954588093569,7.97242461531255,1.55591146087169e-15,1.12728008070812e-13
"Rapgef2",96.0020124878005,2.07933685842326,0.261624885297617,7.94777934085998,1.89884484185617e-15,1.36792350851673e-13
"Map2k1",468.910206845706,1.55025789363196,0.195273879643149,7.93889022159523,2.03998221981231e-15,1.46129573813561e-13
"Trim30d",56.9204577790313,2.482205071607,0.313239794776419,7.92429669856832,2.29441196506008e-15,1.63431737668521e-13
"Trim12c",83.4869145258982,1.82995591336325,0.232432036160671,7.87307956162407,3.46016449508003e-15,2.45091763313518e-13
"Tcof1",373.799147984996,1.19859389896348,0.152427204692526,7.86338568224264,3.73887563809923e-15,2.63362245641445e-13
"Trim56",132.997870639595,1.40845262828219,0.179508839378748,7.84614636892881,4.29016195925412e-15,3.00524660118138e-13
"Anxa7",598.530842425045,0.985475637489014,0.125849271517085,7.83060263765794,4.85536973437072e-15,3.38248532209266e-13
"Arhgap22",108.957860892923,1.7397021172784,0.222870799959673,7.80587729569412,5.90890497465119e-15,4.09393476358483e-13
"Csrp1",340.632747930662,1.43320631557773,0.18392490390907,7.79234505560103,6.57768079137572e-15,4.53252254097026e-13
"Flnb",249.194970559584,1.68235012546077,0.21606886569596,7.78617557898449,6.90679523361381e-15,4.7335814468643e-13
"Slc26a11",57.2772794370745,-1.93844863239497,0.249442550483776,-7.77112256363437,7.77935787277232e-15,5.3029289499398e-13
"Lta",66.2802457445957,1.87940732180698,0.241904016907772,7.76922742264145,7.89662769517926e-15,5.35408248915389e-13
"Gm6548",54.248753693411,3.02057209546241,0.389027273614867,7.76442244625951,8.20181004194897e-15,5.53142284690803e-13
"Tnip1",651.017298057223,1.00090189614486,0.12898401391343,7.75989105763628,8.50023707143607e-15,5.70235480575333e-13
"4933412E12Rik",47.1563902356377,2.20498140849614,0.284394742449494,7.75324251603464,8.95753146537674e-15,5.97750218155325e-13
"Psme2",2063.44763813617,1.06776076687015,0.139032808635327,7.67991941866624,1.59188691601492e-14,1.05672953969388e-12
"Inhba",3649.78597990974,3.27272132892366,0.427004840198093,7.66436588261014,1.79716892527144e-14,1.18678670851649e-12
"Ilrun",557.629611493131,1.11706396933837,0.146052095309977,7.64839399919286,2.03504867991683e-14,1.3369109954749e-12
"Gm13822",29.5070509792936,3.5324130478904,0.461998156006131,7.64594620555915,2.07414373822165e-14,1.3555705390161e-12
"Gm43814",45.0851589153024,3.96167688676251,0.518555824831199,7.63982718360579,2.17513492746364e-14,1.41428388437495e-12
"Larp1",154.516646204187,1.46701577518816,0.192691442809486,7.61328969153341,2.67205959741524e-14,1.72603243394775e-12
"Zc3h12a",354.542011944341,2.20306996587313,0.289389530993081,7.61281846759618,2.6818234047457e-14,1.72603243394775e-12
"Adcy7",290.633347076499,-1.57821154273208,0.20764466977888,-7.60053963539112,2.94898423943239e-14,1.87890307395795e-12
"Rbl1",132.050381410548,1.76211276225066,0.231833807435701,7.60075841285305,2.94400256011176e-14,1.87890307395795e-12
"Hsh2d",92.5383439859935,2.23693368468944,0.294340604397315,7.59981345173132,2.9655793337496e-14,1.88002901863056e-12
"Ifi207",224.189649875829,3.08196949001622,0.40625793691027,7.58623822455173,3.29326697569908e-14,2.07737970074073e-12
"Myc",137.05162786719,2.00683147369578,0.264856450063333,7.577053431079,3.5349122826957e-14,2.21876994219301e-12
"Dok2",124.805522773103,-1.4271496935272,0.189741130515049,-7.52156208647658,5.41256133545214e-14,3.38058449124127e-12
"Parp11",119.163991501532,1.58999312849611,0.211814859610548,7.50652306178871,6.07184448557438e-14,3.77377040355871e-12
"Il22",172.535364117477,5.77126408345569,0.769219071563402,7.50275740268096,6.24891411366427e-14,3.86487717303167e-12
"9330175E14Rik",27.0591025399647,2.18783247183139,0.292586403642496,7.47756028507958,7.57150384310252e-14,4.66015035081053e-12
"Csf1",279.677976651921,1.57440155985122,0.210841564799688,7.46722574055542,8.19031949823357e-14,5.01666960957021e-12
"Gbp11",22.3940086053704,6.37847360716092,0.856066418478235,7.45090973022801,9.26987755788759e-14,5.65061430559888e-12
"Mideas",77.2939236299437,-1.48109157553808,0.198855320028986,-7.44808625347409,9.47039012074066e-14,5.74521896367803e-12
"Marchf1",58.3694762941031,-2.24818613394414,0.3027948217122,-7.42478395512653,1.12964148879364e-13,6.82034496972122e-12
"Nfkb2",958.695872675353,1.4096048712485,0.190375368508573,7.40434480726964,1.31799560508805e-13,7.91984183739876e-12
"Itk",71.1846623260059,1.32595921611495,0.179287375098529,7.39571994618284,1.40644147715417e-13,8.4114488154895e-12
"Nfkbie",476.541953873518,1.50615874592382,0.204379291659952,7.36942932765311,1.71359976817912e-13,1.02003434087996e-11
"Ifit2",2502.0208240953,4.89382992138449,0.66596854221802,7.34844007058577,2.00533339066537e-13,1.18811318038534e-11
"Cdc25b",42.997340447566,-2.59038177267941,0.353188260953716,-7.33428049302825,2.22915795673541e-13,1.31458110388131e-11
"Htra4",37.1320833062415,5.74824344374288,0.784515147440624,7.32712868896892,2.35136014952409e-13,1.38022663591741e-11
"Sap30",240.650451149636,1.90560994403636,0.260400978582597,7.31798303681073,2.51725673997609e-13,1.47079715235746e-11
"Trim12a",257.016753378456,1.41653567995943,0.193896538230709,7.30562645875584,2.75977883354198e-13,1.60510256103114e-11
"Psmb10",1092.50095293606,1.59221413785395,0.218021589338196,7.30301133335976,2.81397469538313e-13,1.62915000743209e-11
"Pcgf5",252.424169610158,1.68204390035969,0.230857263024396,7.28607745896189,3.19109552241832e-13,1.83908636948827e-11
"Plet1",68.416494690511,-2.06369767328295,0.283565034243308,-7.27768738762137,3.39591124400093e-13,1.94826962274605e-11
"Ankfy1",325.041084118565,1.61904018084057,0.223128818220253,7.25607832172709,3.98474408774204e-13,2.2757914544361e-11
"Irf1",1136.29262178128,2.13034742091448,0.29374291537434,7.25242145227436,4.09385668483779e-13,2.31723254049367e-11
"Pik3ap1",825.617247421463,1.91752111363055,0.264385997213663,7.2527332530433,4.084439981333e-13,2.31723254049367e-11
"Il12b",378.784308751054,5.77912672943052,0.797769303687268,7.24410766711573,4.3529552922157e-13,2.45293867333346e-11
"Nectin2",78.7261708386526,1.94838730340814,0.269931391006698,7.21808344017235,5.27253632873753e-13,2.95798619964881e-11
"Sipa1",258.626511358671,-0.900509263061507,0.12538979612771,-7.18167897923952,6.88604598797279e-13,3.8461752018285e-11
"Irf8",1527.88781364379,1.73345729462142,0.242388039000628,7.15157935089749,8.57851071229836e-13,4.77047970707153e-11
