"","Input-node Gene Symbol","Input-node GeneID","Output-node Gene Symbol","Output-node GeneID","Edge direction score"
"1","Cyc1",66445,"Cav3",12391,0.53175538634326
"2","Cyc1",66445,"Fancd2",211651,0.53175538634326
"3","Cyc1",66445,"Ywhab",54401,0.415905441534009
"4","Cyc1",66445,"Ywhae",22627,0.479420336772738
"5","Cyc1",66445,"Hsd3b4",15495,0.415905441534009
"6","Cyc1",66445,"Ywhaz",22631,0.685434740360188
"7","Cyc1",66445,"Uqcrc1",22273,0.53175538634326
"8","Cyc1",66445,"Cacna1c",12288,0.53175538634326
"9","Cyc1",66445,"Ppp1ca",19045,0.53175538634326
"10","Cyc1",66445,"Atp6v1a",11964,0.53175538634326
"11","Cyc1",66445,"Ngb",64242,0.350745893077119
"12","Cyc1",66445,"Uqcrc2",67003,0.53175538634326
"13","Cyc1",66445,"Uqcrb",67530,0.53175538634326
"14","Cyc1",66445,"Uqcrq",22272,0.53175538634326
"15","Cyc1",66445,"Uqcrh",66576,0.53175538634326
"16","Cyc1",66445,"Uqcr10",66152,0.53175538634326
"17","Cyc1",66445,"CYTB",17711,0.595270281581989
"18","Cyc1",66445,"Uqcrfs1",66694,0.629557997817141
"19","Hspb2",69253,"Hspb2",69253,0.595270281581989
"20","Hspb2",69253,"ND1",17716,0.53175538634326
"21","Hspb2",69253,"Ywhae",22627,0.415905441534009
"22","Hspb2",69253,"Vcl",22330,0.53175538634326
"23","Hspb2",69253,"Nid1",18073,0.53175538634326
"24","Hspb2",69253,"Akt1",11651,0.53175538634326
"25","Hspb2",69253,"Dlst",78920,0.53175538634326
"26","Hspb2",69253,"Actn1",109711,0.53175538634326
"27","Hspb2",69253,"Hspa8",15481,0.53175538634326
"28","Hspb2",69253,"Sptbn1",20742,0.53175538634326
"29","Hspb2",69253,"Mapk14",26416,0.754514410943921
"30","Hspb2",69253,"Slc25a12",78830,0.53175538634326
"31","Hspb2",69253,"Vim",22352,0.53175538634326
"32","Hspb2",69253,"Sptan1",20740,0.53175538634326
"33","Hspb2",69253,"Rab7",19349,0.53175538634326
"34","Hspb2",69253,"Hspg2",15530,0.53175538634326
"35","Hspb2",69253,"Naca",17938,0.53175538634326
"36","Hspb2",69253,"Dld",13382,0.53175538634326
"37","Hspb2",69253,"Lama2",16773,0.53175538634326
"38","Hspb2",69253,"Lamc1",226519,0.53175538634326
"39","Hspb2",69253,"Slc25a5",11740,0.53175538634326
"40","Hspb2",69253,"Aifm1",26926,0.53175538634326
"41","Hspb2",69253,"C1qbp",12261,0.53175538634326
"42","Hspb2",69253,"Opa1",74143,0.53175538634326
"43","Hspb2",69253,"Uqcrq",22272,0.53175538634326
"44","Hspb2",69253,"Ehd4",98878,0.53175538634326
"45","Hspb2",69253,"Ap3d1",11776,0.53175538634326
"46","Hspb2",69253,"Mrpl12",56282,0.53175538634326
"47","Hspb2",69253,"Uqcrh",66576,0.53175538634326
"48","Hspb2",69253,"Mpc2",70456,0.53175538634326
"49","Hspb2",69253,"Samm50",68653,0.53175538634326
"50","Hspb2",69253,"Ndufb5",66046,0.53175538634326
"51","Hspb2",69253,"Ogdhl",239017,0.53175538634326
"52","Hspb2",69253,"Mtch2",56428,0.53175538634326
"53","Hspb2",69253,"Atp5me",11958,0.53175538634326
"54","Hspb2",69253,"Crat",12908,0.53175538634326
"55","Hspb2",69253,"Acad12",338350,0.53175538634326
"56","Hspb2",69253,"Mccc2",78038,0.53175538634326
"57","Hspb2",69253,"Slc25a42",73095,0.53175538634326
"58","Hspb2",69253,"Phb1",18673,0.53175538634326
"59","Hspb2",69253,"Maob",109731,0.53175538634326
"60","Hspb2",69253,"ND5",17721,0.53175538634326
"61","Hspb2",69253,"ND4",17719,0.53175538634326
"62","Hspb2",69253,"Fech",14151,0.53175538634326
"63","Hspb2",69253,"Cox7a2l",20463,0.53175538634326
"64","Hspb2",69253,"Ndufa11",69875,0.53175538634326
"65","Hspb2",69253,"Tnnc1",21924,0.53175538634326
