"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Morrbid",149.812561922,4.3286621746363,0.295941390034451,14.6267548926914,1.89617864715638e-48,5.6238185398162e-46
"Snx20",503.758670410558,2.06270972926571,0.141971700204322,14.5290204054548,7.93470088619911e-48,2.30325796149818e-45
"Icam1",722.525609751711,4.04462413563375,0.280850320657304,14.4013513182669,5.0741612268678e-47,1.44222461704495e-44
"Sp110",361.611180395105,4.16217135818974,0.290287164749606,14.3381170909845,1.26439541788675e-46,3.52043809923039e-44
"Uba7",405.331157213763,3.30737578291332,0.231986017855309,14.2567893250193,4.06741617068954e-46,1.10983517633435e-43
"Stat1",1870.61160278324,3.92588818341929,0.276555934375298,14.1956389122054,9.74938094026137e-46,2.608054983686e-43
"Flnb",249.194970559584,3.44063455655678,0.244846118182795,14.052232406593,7.46434093917975e-45,1.95838468140826e-42
"Nfkb1",1189.38131146337,3.20885426119032,0.229130638062078,14.0044748634661,1.46357542311588e-44,3.6976962032537e-42
"Sh3bp5",239.087278701632,3.53915987398602,0.252710168780735,14.0048178158465,1.45652751767624e-44,3.6976962032537e-42
"Myd88",331.676915315493,2.16626824679528,0.15471111985242,14.0020203386912,1.51501784659837e-44,3.75807063293483e-42
"Tlr2",645.200694247335,4.07027472519976,0.2913131361936,13.9721633510366,2.30516665156423e-44,5.61596225487334e-42
"Jpt1",737.450091947791,1.40116374631101,0.100367094511122,13.9603896390141,2.71943046712416e-44,6.5089806777149e-42
"Ifih1",725.667482601032,4.76098134342119,0.342170205276786,13.9140733763478,5.2029864906263e-44,1.22386801192439e-41
"Lmo4",498.728212302793,3.20082073763879,0.23041087380211,13.8917954904674,7.10321141269829e-44,1.64252734412615e-41
"Parp10",343.088632254524,3.08615339583456,0.223555827948747,13.8048442939368,2.38286821491207e-43,5.41824517600755e-41
"Susd3",132.201613587387,-4.10320178201035,0.29750292600393,-13.7921392475856,2.84205306398698e-43,6.3564147462253e-41
"Dok2",124.805522773103,-2.67528390752462,0.194051561353181,-13.7864590672141,3.07486227273544e-43,6.76618483660155e-41
"Daxx",774.986550910387,3.95260809681672,0.287574072494098,13.7446608539365,5.48293819338758e-43,1.18736072654582e-40
"Marcksl1",1054.708932842,5.83978828811461,0.425320547967785,13.7303224968029,6.68353571179854e-43,1.42474183931355e-40
"Stat2",742.923852884007,3.75192645240242,0.273659774321101,13.7101861671495,8.82311649111305e-43,1.85190428135778e-40
"Naa25",181.962564910831,3.41870701298187,0.249606850577791,13.6963669269021,1.06732650249802e-42,2.2062932535728e-40
"Cav1",522.461866366897,5.13640501803782,0.375830058282222,13.6668286765417,1.60227403153496e-42,3.26266038988529e-40
"Bcl2a1a",344.535839603351,3.4599463034756,0.253786562458786,13.6332919676844,2.53865189362428e-42,5.09335702716413e-40
