"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Plagl2",-0.51,-0.46,-0.56,-0.34,-1.53,-1.13,-0.86,-1.15,0.93,1.34,0.44,1.78,-0.48,0.96,0.72,0.84
"Ppard",-0.63,-0.82,-0.83,-0.47,-0.79,-1.17,-1.08,-1.1,1.28,0.88,0.87,1.89,-0.36,0.73,0.73,0.86
"Maff",-0.4,-0.65,-0.07,-0.04,-1.08,-1.67,-0.31,-1.29,0.87,0.75,1.38,1.68,-0.96,1.15,0,0.64
"Nfe2l1",-0.19,-0.46,-0.39,-0.39,-1.24,-1.48,-1.04,-0.69,1.54,1.19,1.23,1.64,-0.82,0.46,0.12,0.52
"Zfp358",-1.35,-0.34,-0.41,-0.05,-1.56,-1.3,-0.64,-1.12,0.92,0.55,1.3,1.35,1.16,0.83,0.62,0.03
"Zfp703",-0.89,-0.58,-1.39,-0.62,-0.16,-1.04,-0.78,-0.88,1.16,0.58,0.71,2.3,1,0.66,0.22,-0.3
"Tbpl1",-0.69,-1.23,-0.86,-0.95,-0.74,-1.27,-0.39,-0.86,0.66,1.28,1.34,1.46,0.22,1.33,0.7,-0.01
"Tfe3",-0.3,-0.61,-1.06,-0.43,-0.72,-1.7,-0.91,-1.12,0.91,0.67,1.38,1.68,0.28,0.46,1.15,0.33
"Kmt2b",-0.17,-0.14,-0.72,-0.5,-0.51,-1.68,-1.64,-0.58,0.1,0.26,1.32,1.27,0.17,0.38,0.36,2.08
"Rarg",0.66,0.03,-1.01,-0.6,-0.13,-1.37,-2.36,-0.85,0.75,0.67,0.83,1.42,0.48,0.49,0.06,0.91
"Rela",-0.01,-0.19,-0.92,0.68,-1.02,-0.85,-1.7,-1.18,0.39,0.77,1.82,1.62,-0.26,-0.35,0.75,0.45
"Zbtb21",0.51,-0.68,-0.85,0.21,-1.11,-1.75,-1.37,-0.08,1.46,0.45,1.62,1.44,-0.14,-0.03,-0.18,0.5
"Ets2",0.34,-0.59,-0.11,-0.26,-1.36,-1.25,-1.2,-1.08,1.41,0.59,1.34,2.03,0.02,-0.1,-0.17,0.39
"Atf5",0.23,0.04,0.06,0.21,-1.41,-1.52,-1.29,-1.29,1.34,0.94,1.22,1.65,-0.05,-0.17,-0.4,0.44
"Nfya",-0.18,-0.78,-0.47,-1.32,-0.33,-1.28,-1.47,0.07,-0.02,1.26,-0.04,1.64,1.64,-0.25,0.39,1.15
"Snapc4",0.48,-0.74,-1.61,-1.25,0.33,-1.37,-1.15,-0.12,0.35,1.45,-0.18,1.34,0.27,-0.09,1.16,1.12
"Gm44505",-0.67,-0.79,-1.86,-1.17,-0.2,-1.18,-0.33,-0.09,1.04,0.71,0.11,1.91,0.52,0.4,0.24,1.35
"Zbtb43",-0.51,-0.26,-0.33,-0.81,-0.71,-0.38,-0.68,-1.35,1.14,1.29,0.6,0.98,0.46,-1.71,0.48,1.82
"E4f1",0.1,-0.48,-1.04,-1.01,-0.76,-1.71,-0.35,-0.54,-0.04,1.59,1.25,0.46,0.54,-0.27,0.28,2
"Nfxl1",-0.41,-0.12,-0.6,0.68,-1.13,-0.73,-0.89,-1.23,1.94,1.34,1.51,-0.7,1.07,-0.51,-0.37,0.18
"Ahrr",-0.08,-0.14,-0.48,0.86,-1.48,-1.34,-0.75,-1.76,1.76,0.91,0.48,0.55,1.27,0.14,0.41,-0.35
"Zbtb39",-0.74,-0.31,-0.76,0.89,-0.96,-0.62,-1.34,-2.04,0.72,1.4,0.73,0.93,0.83,1.07,0.16,0.04
"Zc3h8",-1.22,-0.51,-0.91,-0.43,-0.14,-0.07,-1.19,-1.04,0.36,1.41,1.93,0.78,0.32,0.52,1.29,-1.11
"Zbtb34",0.09,-0.3,-1.17,-1.15,0.1,-0.02,-1.12,-1.33,1.74,1.07,1.15,1.41,0.19,-0.33,0.71,-1.03
"Nfe2l2",0.38,-1.15,-0.37,-1.18,-0.5,-0.83,-1.25,-1.18,1.57,1.24,0.22,0.8,1.7,0.51,0.4,-0.37
"Zfand5",0.96,-1.1,-0.56,-0.48,-0.82,-1.5,-1.05,-0.66,0.66,0.96,1.79,1.17,1.25,-0.08,0.01,-0.56
"Gtf2ird2",0.61,-0.51,-0.28,-1.02,-0.8,-1.03,-1.7,-1.34,0.58,1.31,1.75,0.2,1.13,0.4,0.51,0.17
"Zbed5",0.04,-0.53,-0.87,-1.28,-0.63,-0.84,-0.96,-0.67,-0.04,1.04,2.51,0.34,1.48,0.4,0.05,-0.05
