"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Zfp688",-0.81,-0.93,-0.4,-0.43,-1.63,-1.1,-0.4,-0.73,0.53,-0.54,1.64,0.78,0.38,1.34,0.93,1.37
"Esrra",-0.58,-0.8,-0.46,-1.07,-0.53,-1.27,-0.71,-0.61,-0.17,-0.81,0.84,1.38,0.58,1.59,0.91,1.7
"Drap1",-1.13,-0.89,-1.12,-0.8,-0.58,-0.55,-0.95,-0.76,-0.43,-0.03,1.35,1.09,1.14,1.18,1.2,1.27
"Cc2d1a",-0.81,-1.05,-0.42,-0.6,-0.55,-0.84,-1.35,-1.03,-0.34,0.1,1.12,1.01,0.71,0.96,1.23,1.86
"Irf3",-1.36,-0.17,-1.21,-1.06,-0.91,-1.32,0.05,-0.22,-0.04,-0.06,0.69,0.44,0.77,1.28,1.89,1.2
"Foxp4",-0.69,0.13,-0.73,-0.26,-1.42,-1.21,-0.88,-0.93,-0.82,0.07,0.89,0.69,1.04,1.36,1.46,1.32
"Zfp444",-0.72,-0.6,-0.43,-0.24,-1.07,-1.79,0.2,-1.26,-0.19,0.38,0.4,-0.02,1.82,0.95,1.23,1.34
"Mef2b",-0.59,-1.06,-1.16,-0.95,-1.43,-0.44,-0.37,-0.29,-0.08,0.59,0.27,-0.18,1.61,0.98,1.62,1.49
"Zfp219",-0.38,-0.06,-0.26,0.68,-0.92,-2.1,-1.39,-0.41,0.87,-0.99,1.42,0.33,1.22,0.28,0.7,1.01
"Zbtb42",-0.07,-1.09,-0.69,0.11,-0.5,-1.85,-0.61,-0.79,0.48,-0.77,1.03,0.68,0.95,1.32,-0.12,1.9
"Mxd1",-0.65,-0.34,0.03,-0.39,0.1,-1.34,-0.71,-0.29,-0.69,-1.46,-0.37,0.38,1.7,2.03,1.07,0.92
"Hmg20b",-1.18,-0.03,-0.33,0.06,-1.43,-1.11,-0.01,-0.49,-0.58,-0.36,0.74,0.03,2.45,1.56,0.73,-0.05
"Zbtb32",-0.39,0.6,-0.26,-0.02,-1.28,-0.59,-0.96,-0.08,-0.92,0.15,-0.37,-1.39,2.1,0.79,1.48,1.15
"Tcf4",1.06,0.36,0.28,-0.33,-1.42,-1.66,-1.16,0.7,-0.58,0.36,-0.41,-1.36,1.2,0.79,1.02,1.17
"Tbx21",0.05,-0.26,-0.47,0.11,-1.15,-1.81,-0.89,-0.34,0.02,0.68,-0.84,-0.18,0.3,1.6,1.19,1.98
"Pou2f2",-0.15,-0.07,-0.37,-1.18,-1.54,-1.27,-0.17,0.45,-0.7,-0.1,0.15,-0.3,0.22,1.5,1.55,1.98
"Runx3",0.39,0.13,-0.26,-1.69,-1.06,-1.53,-0.77,-0.37,-0.87,0.9,0.48,0.11,0.61,0.91,1.26,1.77
"Zfp239",-0.97,-0.7,-0.43,-1.08,-0.53,-0.8,1.05,0.2,-0.87,1.35,-0.4,-1.08,1.47,0.92,1.8,0.07
"Hivep3",-0.7,-0.96,-0.68,-1.07,-2.42,-0.57,0.67,0.64,-0.22,0.47,0.55,0.72,0.68,1.45,1.08,0.36
"Rbck1",0.44,-0.38,0.89,-0.17,-0.07,-0.67,-0.8,-0.7,-1.3,-0.73,-1.17,-0.1,2.02,0.34,2.08,0.31
"Hmgn3",0.41,-0.27,-0.07,0.7,-1.15,-0.34,0.03,-0.44,-0.91,-0.49,-1.09,-1.46,0.97,1.5,2.21,0.41
"Sp110",0.44,0.5,0.65,0.13,-0.11,-0.46,-0.16,0.19,-1.64,-1.25,-0.75,-1.84,1.61,0.93,1.45,0.31
"Irf7",0.83,0.46,1.02,0.8,0.16,-0.58,-0.32,-0.42,-1.4,-1.37,-1.44,-1.49,1.1,1.08,0.94,0.63
"Trafd1",0.53,-0.07,0.57,0.73,-0.37,-0.9,-0.69,-0.61,-0.97,-1.12,-1.06,-1.27,1.46,1.36,1.57,0.85
"Pcgf2",1,0.39,-0.14,0.5,-0.17,-0.19,-1.83,-2.5,-0.19,0.12,-0.28,0.1,1.49,1.18,0.2,0.35
"Batf2",0.84,0.26,1.36,0.91,-0.44,-1.1,-0.82,-1.03,-0.71,-0.94,-1.41,0.49,1.15,1.81,0.09,-0.45
"Bbx",1.49,0.78,1.24,1,-0.56,-1.13,-0.38,-0.88,-0.17,-0.43,-1.48,-1.03,1.23,1.19,0.02,-0.87
"Zfp513",0.24,1,0.24,1.17,-1.78,-1.39,-1.06,-0.44,-0.94,-0.73,-0.52,0.49,0.55,0.54,1.46,1.19
"Zfp217",-0.4,1.79,0.41,0.93,-0.57,-1.01,-1.83,-0.47,-0.71,-0.24,-0.98,0.33,-0.33,1.56,0.37,1.16
"Stat2",0.46,0.39,0.74,0.74,-0.79,-1.31,-1.22,-1.29,-0.88,0.04,-0.63,-0.93,0.64,1.56,1.47,0.99
"Irf9",0.85,0.69,0.79,0.58,-0.23,-1.56,-0.29,-0.85,-1.76,-0.29,-0.06,-1.39,-0.08,1.45,1.13,1.02
"Zup1",0.69,1.01,1.04,1.06,-0.58,-0.84,-0.82,0.11,-1.51,-0.18,-1.71,-1.37,0.71,0.94,0.76,0.69
"Stat1",0.76,0.67,0.98,0.98,-0.46,-0.97,-0.72,-0.63,-1.26,-0.29,-1.3,-1.58,0.83,1.24,1.31,0.43
"Setdb2",1.1,0.87,1.22,1.39,0.2,-0.65,-0.4,-0.46,-0.71,-0.29,-2.18,-1.65,0.28,0.36,0.7,0.21
"Bcl6",1.74,0.79,1,1.11,-0.84,-1.06,-0.51,-0.13,-0.55,-0.06,-2.29,-0.76,0.15,0.8,0.18,0.44
"Hivep1",0.96,0.99,0.83,0.84,-0.8,-0.59,-0.37,0.41,0.74,1.41,0.36,-1.02,-1.73,-1.39,-1.2,0.57
"Rora",0.99,1.4,0.99,1.08,-1.04,-0.53,-0.02,-0.69,0,0.75,0.62,-0.14,-0.97,-1.47,-1.82,0.84
"Smad4",0.83,1.16,1.12,1.05,-0.43,-0.96,-0.01,-0.59,0.64,1.28,0.57,-0.27,-1.6,-0.78,-1.87,-0.14
"Zfp827",1,1.45,1.22,-0.07,-0.95,-1.49,-1.09,-0.87,0.03,1.47,1.35,-0.36,0.01,-0.64,-0.87,-0.2
"Klf3",0.92,1.31,1.24,0.52,-0.94,-1.24,-1.02,-0.54,0.31,0.95,0.91,-0.48,-1.83,0.58,0.31,-1
"Zkscan17",1.25,0.72,0.52,1.03,-0.76,-0.86,-0.59,-1.38,0.72,0,1.79,-0.74,0.4,-1.77,0.31,-0.63
"Nfil3",0.5,0.41,0.31,0.65,-1.7,-0.73,-0.9,-0.75,0.51,0.75,1.86,0.87,0.45,-1.79,-0.82,0.4
"Akna",1.22,0.85,0.23,0.63,-2.23,-1.37,-0.71,-0.35,0.41,1,0.19,-1.14,1.01,0.21,-0.78,0.83
"Relb",1.26,1.35,0.96,1.19,-1.82,-1.34,-0.79,-1.24,-0.07,0.37,0.13,0.84,-0.34,-0.77,-0.33,0.58
"Rbpj",1.28,1.02,1.07,1.94,-1.58,-0.86,-0.31,-0.62,0.85,0.24,-0.08,0.09,-0.37,-1.28,-1,-0.37
"Lef1",1.63,1.36,0.66,1.26,-0.78,-0.48,-0.76,0.13,-1.83,-1.29,1.01,-0.78,0.34,-0.24,0.17,-0.42
"Skil",1.22,1.11,1.25,0.57,-0.99,-1.73,-1.27,-0.9,-0.96,-0.22,0.63,-0.67,1.44,0.01,0.28,0.23
"Bmyc",1.15,1.35,1.03,1.24,-1.19,-0.12,-0.07,-0.61,-0.72,0.49,0.75,-1.25,-0.29,-1.98,-0.4,0.63
"Irf8",1.33,1.26,1.19,1.42,-1.67,-1.39,-0.88,-0.78,-0.35,0.49,-0.14,-1.16,-0.21,0.18,0.24,0.48
"Irf5",1.54,1.09,1.24,1.39,-1.77,-0.79,-0.02,-0.39,-0.85,-0.07,0.9,-1.19,-0.87,-0.52,0.01,0.3
"Zbtb46",0.03,1.62,1.68,1.5,-1.34,-0.85,-0.54,0.4,-1.15,0.59,-0.38,-0.95,0.04,-1.14,-0.08,0.56
"Thap3",1.08,1.41,1.37,1.24,-0.94,-0.87,-1,0.17,-1.52,0.1,-0.44,-1.04,-0.63,-0.12,-0.13,1.32
"Zbtb4",0.75,1.81,1.08,1.26,-0.89,-0.87,-0.04,0.65,-0.07,-0.33,-1.65,-1.13,0.57,-0.59,0.58,-1.13
"Zfp90",1.57,1.19,0.76,1.17,-0.82,-0.34,0.56,-0.5,-0.09,-0.94,-1.07,-0.53,0.97,-1.08,0.8,-1.65
"Nfe2l3",0.66,2.63,0.37,1.56,-1,-0.57,-0.27,0.49,-0.13,-0.96,-0.74,-0.38,0.4,-0.28,-0.83,-0.95
"Mycl",1.78,2.53,0.2,0.99,0.12,-0.33,-0.76,0.45,-0.84,-0.87,-0.93,-0.42,-0.52,-0.56,-0.22,-0.61
"Dmrta2",1.57,2.38,0.13,1.5,0.13,-0.51,-0.55,-0.12,-0.01,-0.93,-0.4,-1.09,-0.37,-0.5,-1.19,-0.04
"Nr4a2",1.36,1.84,1.4,1.73,-1,-0.27,0.02,-0.01,-0.87,-0.49,-0.72,-1.01,-0.81,-0.24,-0.57,-0.36
"Insm1",0.95,2.26,1.24,1.85,-1.12,-0.6,-0.4,-0.41,-0.4,-0.07,-0.59,-0.43,-0.39,-0.46,-0.66,-0.76
"Zkscan7",2.05,1.55,0.42,1.59,-1.08,-0.3,0.36,0.34,-0.61,-0.67,-1.13,-1.11,-0.01,-0.1,-0.56,-0.73
"Gata3",1.02,1.82,1.05,1.49,-1.12,-0.28,-0.19,-0.01,-0.63,0.13,-1.55,-1.26,0.74,-0.34,-0.94,0.08
"Srebf2",-0.3,0.54,-0.03,-0.48,0.46,1.17,1.26,1.61,0.28,-0.4,0.14,0.76,-2.14,-1.22,-1.28,-0.37
"Snapc5",-0.7,0.16,0.17,0.47,0.34,0.86,0.36,1.69,0.82,-0.62,0.67,0.91,-2.05,-1.58,-0.44,-1.06
"Gabpa",0.53,0.8,0.74,-0.21,0.38,0.8,0.12,0.95,1.16,1.39,-0.38,-0.83,-0.99,-1.57,-1.3,-1.58
"Glyr1",-0.15,-0.12,0.1,0.23,0.43,2.05,0.54,0.46,0.84,1.18,0.21,-0.37,-0.83,-1.54,-1.53,-1.51
"Ttf1",0.61,0.92,0.8,0.9,0.38,0.29,0.84,0.18,-0.22,0.75,-1.27,0.34,-2.83,-0.78,-0.51,-0.4
"Nr3c1",1.07,0.85,0.86,0.29,0.12,-0.17,1.13,0.8,0.42,1.01,-0.84,-0.29,-2.16,-1.63,-0.63,-0.82
"Zfp277",0,1.24,0.24,0.79,0.18,-0.7,0.97,0.36,-0.26,1.47,0.81,0.16,-2.27,-1.08,-1.21,-0.7
"Rlf",0.68,1.35,0.37,1.11,0.65,-0.03,0.49,0.94,0.27,-0.61,0.45,-0.51,-2.44,-1.3,-1.04,-0.38
"Mnt",0.99,0.88,0.73,0.47,0.7,0.46,0.59,1.11,0.03,-0.04,0.04,-0.33,-2.6,-0.67,-1.1,-1.29
"Zfp746",0.7,0.61,0.91,0.67,0.24,0.28,0.38,0.99,0.25,0.49,0.44,0.05,-2.48,-0.7,-1.87,-0.97
"Mxd4",0.72,0.78,0.54,0.13,0.33,0.99,1.08,1.05,-0.12,0.08,0.14,0.38,-2.06,-1.37,-1.71,-0.96
"Bptf",0.68,0.71,0.42,0.33,0.04,0.39,0.89,1.05,-0.27,0.43,0.4,0.39,-2.73,-1.22,-1.48,-0.02
"Klf6",1.32,0.76,0.94,1.01,0.21,0.11,-0.23,-0.36,0.44,0.57,0.02,0.39,-2.82,-0.89,-0.8,-0.68
"Kdm2a",1.33,0.63,0.34,0.8,-0.53,-0.77,0.18,-0.74,1.27,0.59,-0.41,1.18,-2.17,-1.39,-0.62,0.33
"Runx2",0.72,0.25,0.82,0.46,-0.08,0.21,0.25,-0.92,0.71,0.95,-0.36,1.65,-2,-0.64,-1.97,-0.03
"Nfkb1",0.35,1.01,0.66,0.96,-0.46,0.22,0.29,-0.38,1.41,1.39,-0.06,-0.07,-1.44,-2,-1.33,-0.52
"Zzz3",0.2,0.41,-0.28,0,0.03,0.36,0.24,0,1.5,2.1,-0.7,0.28,-2.01,-0.52,-1.73,0.12
"Arntl",1.24,1.28,0.84,0.29,0.23,0.46,1.18,0.09,0.52,-0.22,-0.17,-0.91,-0.93,-2.37,-0.24,-1.3
"Elk4",1.44,1.11,0.38,0.76,-0.6,-0.18,0.71,1,0.58,1.02,-0.23,-1.23,-0.72,-1.57,-1.46,-1
"Nfatc3",0.56,0.6,-0.21,-0.12,0.18,0.65,1.56,1.53,0.08,1.09,-0.22,-1.87,-1.51,-1.14,-0.7,-0.48
"Usf3",0.73,1.45,0.6,0.67,1.04,-0.25,0.72,1.25,-0.37,-0.11,-0.67,-1.81,-0.53,-1.07,-1.74,0.08
"Zfp608",0.39,0.53,0.47,-0.2,0.56,0.63,1.08,2.14,-0.41,0.05,-0.33,-0.9,-0.25,-1.95,-1.69,-0.11
"Akap8",0.35,0.72,0.34,1.52,1.23,0.73,0.64,1,-1.24,-1.07,0.28,-1.73,-0.36,-1.43,-0.28,-0.69
"Champ1",0.46,0.97,1.09,1.2,0.26,1.04,0.93,0.79,-0.55,-0.06,-0.47,-1.19,-0.44,-2.16,-1,-0.87
"Son",0.29,0.95,1.1,1.05,0.71,0.78,1.62,0.65,-0.95,-0.72,-0.31,-1.3,-0.41,-1.25,-0.85,-1.37
"Zfp69",-0.47,0.49,0.62,0.93,1.37,-0.4,1,2.2,-0.28,-0.71,-1.24,-0.63,-0.15,-1.33,-0.45,-0.95
"Zfp367",-0.48,0.79,0.3,0.97,0.72,1.1,1.52,1.09,-0.17,-0.83,-0.88,-0.14,0.1,-1.75,-0.64,-1.71
"L3mbtl3",0.35,0.55,1.57,1,0.5,0.15,0.5,1.42,-0.61,0.11,-0.78,-0.77,-1.74,-0.34,0.05,-1.96
"Ikzf5",0.41,0.97,1.5,0.81,-0.02,1.34,0.78,0.41,0.09,0.1,-0.4,-1.18,-1.69,-0.35,-1.18,-1.58
"Mef2d",1.31,0.88,1.07,0.86,-0.09,0.82,0.97,0.9,-1.01,-1.05,-0.11,-1.32,-1.51,-0.92,0.24,-1.05
"Foxk1",0.91,1.26,1.05,1.12,0.2,0.73,1.26,0.36,-0.58,-0.93,-0.88,-1.78,-1.13,-0.42,0,-1.16
"Setbp1",1.11,1.71,0.78,1.15,-0.53,0.47,0.95,1.19,-0.54,-0.83,-1,-0.97,-0.67,-1.1,-0.86,-0.88
"Klf4",1.27,1.5,0.85,1.1,0.04,0.88,0.48,0.95,-0.79,-0.25,-0.5,-0.9,-1.26,-1.3,-1.29,-0.77
"Ebf1",0.83,1.16,0.73,0.52,0.42,0.55,1.26,1.59,-1.26,-0.43,-0.8,-1.28,-1.27,-1.22,-0.64,-0.15
"Mef2c",1.15,0.95,0.79,0.8,0.45,0.72,1.12,1.39,-0.87,-0.55,-1.62,-1.22,-0.84,-0.76,-0.8,-0.72
"Pax5",0.98,1.19,0.85,0.75,0.36,0.74,1.06,1.07,-0.84,-0.23,-1.64,-1.35,-1.51,-0.81,-0.21,-0.4
"Spib",0.84,1.47,1.08,0.6,0.42,0.49,0.94,1.07,-0.84,-0.37,-0.47,-1.71,-1.04,-1.55,-0.08,-0.84
"Nfatc2",1.2,1.29,0.67,0.87,0.82,0.93,0.75,0.84,-0.72,-0.5,-1.2,-1.64,-0.61,-1.17,-0.55,-0.97
"Ets1",1.18,1.37,0.95,0.58,0.61,0.75,0.94,1.04,-0.86,-0.41,-1.12,-1.48,-0.71,-1.1,-0.78,-0.95
"Zfp512",0.57,2.02,0.88,0.92,0.58,0,1.32,0.2,-0.83,-0.62,-0.96,-0.23,-1.79,-0.99,-0.46,-0.63
"Zfp831",1.03,1.45,1.13,0.78,0.66,0.9,1,0.45,-0.95,-1.37,-0.31,-0.89,-1.18,-0.9,-0.97,-0.84
"Scml4",1.08,1.58,1.23,0.88,0.88,0.64,0.45,0.31,-1.47,-1.21,-0.43,-1.28,-0.97,-0.33,-0.42,-0.95
"Fosb",1.39,1.49,0.65,1.02,0.85,0.66,0.35,0.91,-1.4,-1.15,-0.82,-1.12,-0.91,-0.6,-0.72,-0.6
"Fos",1.12,1.24,0.96,0.95,0.97,0.8,0.7,0.88,-1.15,-0.86,-0.99,-1.07,-1.29,-0.76,-0.61,-0.88
"Zfp61",0.96,1.71,0.8,1.3,1.19,-0.11,1.09,0.04,-0.78,-0.99,-0.81,-0.96,-1.03,-0.76,-0.84,-0.82
"Etv6",0.96,0.93,1.11,1.61,0.9,0.55,1.04,-0.08,-1.16,-1.28,-0.33,-1.19,-1.02,-0.9,-0.24,-0.9
"Klf9",0.96,0.56,0.26,0.34,1.56,0.89,0.23,0.84,0.4,-0.66,-0.66,0.6,-1.8,-1,-0.64,-1.88
"E2f2",0.63,0.59,0.41,0.53,1.41,1.11,1.03,0.98,-0.53,-2.05,-0.63,0.09,-0.56,-1.08,-0.54,-1.38
"Zfp414",0.52,0.82,1.02,0.71,1.47,0.8,0.71,0.51,-0.26,-2.08,0.08,-0.27,-0.55,-1.22,-0.94,-1.33
"Foxo3",0.23,0.64,0.39,1.19,0.95,2.08,0.38,0.82,-0.4,-0.86,-0.47,-0.46,-1.56,-1.34,-0.6,-1
"Zfp995",0.55,0.84,0.7,1.14,0.5,1.02,0.39,1.69,-0.97,0.22,-0.89,-0.43,-1.26,-1.37,-1.39,-0.75
"Foxj1",-0.14,1.5,0.68,1.27,1.22,0.75,0.74,1.18,-0.91,-0.85,-1.29,-0.85,-0.74,-0.83,-0.99,-0.71
"Mtf1",0.4,0.93,1.14,1.06,1.22,0.9,0.52,0.74,-0.34,-0.16,-1.49,-0.51,-1.73,-0.4,-1.26,-1.04
"Pou2f1",0.21,1.28,0.26,0.47,0.51,0.89,1.18,1.53,-0.15,-0.74,-0.41,-0.73,-1.01,0.17,-1.66,-1.79
"Creb3l2",-0.29,0.57,-0.3,0.53,1.56,1.13,1.81,0.89,-0.25,-0.73,0.1,-0.22,-1.32,-1,-1.39,-1.06
"Zfp467",0.68,1.7,1.36,1.72,0.05,-1.28,0.03,-0.54,-0.5,-1.3,0.1,-0.79,-0.47,-0.71,-0.93,0.87
"Trps1",1.2,1.37,1.3,1.95,-0.21,-0.39,-0.37,-1.29,-0.25,-0.74,-0.57,0.41,-1.26,-1.07,-0.43,0.37
"Zfp524",1.39,1.59,1.53,1.65,-0.82,-0.22,0.01,-1.2,-0.02,-0.86,-0.18,0.13,-0.64,-1.16,-0.74,-0.46
"Zfhx3",-0.42,1.21,1.54,2.29,1.22,0.28,-0.81,-0.54,-0.51,-0.61,-0.58,-0.33,-1.01,-0.28,-0.67,-0.79
"Foxq1",-0.11,2.1,1.54,1.66,-0.84,-0.21,-0.72,-0.73,-0.8,-0.22,-0.33,-0.86,-0.48,-0.53,1.11,-0.58
"Mlxip",0.36,1.86,1.15,1.65,0.42,0.12,-0.12,-0.31,-1.73,-0.94,-0.84,-0.26,-1.33,-0.6,0.53,0.03
"Csrnp1",1.35,1.25,1.37,1.68,-0.31,-0.47,-0.39,-0.27,-1.34,-0.95,0.47,-0.55,-1.71,-0.12,0.31,-0.31
"Zfp263",1.37,1.94,0.81,1,-1.57,0.22,-0.67,0.14,-0.47,-0.54,-1.15,1.06,-1.21,-0.33,-0.2,-0.4
"Cic",1.19,1.62,1.26,0.84,-0.89,-0.29,0.03,-0.6,-0.61,-0.4,0.16,0.41,-2.46,-0.62,-0.15,0.5
"Ikzf4",1.19,1.31,0.82,1.56,-1.63,-1.01,-0.43,-0.11,0.19,0.08,0.25,0.2,-1.81,-0.83,-0.5,0.74
"Gmeb2",1.57,1,1.61,1.27,-0.73,-0.71,-0.83,-0.6,-0.14,0.4,-0.6,0.03,-1.75,-0.44,-0.89,0.81
"Zscan20",1.62,1.14,1.34,1.05,-1.26,-0.25,0.66,0.24,0.43,-0.43,-1.22,-0.51,-1.03,-1.66,-0.28,0.17
"Etv3",1.39,1.49,1.06,1.58,-0.4,-0.25,0.42,0.28,-0.38,-0.12,-0.84,-0.84,-1.54,-1.41,-0.81,0.39
"Camta2",1.84,1.48,1.31,1.07,-0.71,-0.15,0.11,0.05,-0.51,-0.04,-0.27,-0.09,-1.38,-1.5,-1.23,0.02
"Thap12",1.58,1.5,1.18,1.4,-0.2,0.24,0.09,0.08,-0.48,-0.04,-0.15,-1.03,-1.07,-1.88,-0.55,-0.69
"Atmin",1.5,1.73,1.16,1.79,-0.07,0.06,-0.7,-0.58,-0.78,-0.21,-0.57,-0.89,-1,-1.26,-0.14,-0.07
"Batf3",1.31,1.67,1.21,1.74,-0.62,0.21,0.27,0.09,-1.04,-0.88,-0.28,0,-1.01,-1.09,-1.06,-0.5
"Vdr",1.41,1.58,1.47,1.66,-0.1,0.11,0.16,0.26,-0.77,-0.79,-1.02,-1,-0.61,-0.79,-0.86,-0.7
"Mbd2",1.35,1.53,1.5,1.69,0.09,0.29,0.13,-0.21,-0.54,-0.48,-0.71,-0.94,-1.18,-1.14,-0.54,-0.84
"Lbx2",1.34,1.08,2.67,0.52,-0.88,0,-0.09,-1.14,-0.33,-0.01,0.14,-0.54,-0.77,-0.83,-0.24,-0.91
"Zfp395",0.43,1.06,1.45,1.38,-1.05,0.67,0.56,0.39,-0.06,-0.01,0.72,-0.65,-1.29,-1.55,-0.46,-1.58
"Mterf2",2.22,-0.14,0.24,2.21,0.39,0.08,-0.56,0.43,-0.27,0.06,-0.14,-1.35,-0.76,-0.83,-0.67,-0.9
"Zfp619",1.92,1.07,0.57,0.13,0.81,-0.99,-0.11,0.11,0.58,0.37,0.69,-0.56,-1.72,-0.07,-1.26,-1.55
"Tsc22d1",1.39,1.01,0.72,1.28,0.97,-0.54,-0.46,-0.35,0.71,-0.46,0.03,0.49,-0.32,-1.29,-2.09,-1.1
"Rest",0.74,1.03,1.52,1.09,0.08,0.27,-0.09,0.55,0.15,0.09,-1.9,0.13,-1.5,0.31,-1.72,-0.76
"Xpa",1.63,1.02,1.84,0.69,-0.14,0.13,-0.12,0,-0.07,0.61,-1.55,-0.67,-1.56,-0.12,-1.21,-0.48
"Prdm1",1.21,1.31,0.92,1.27,-0.57,-0.61,-1.09,-0.45,0.11,0.57,-1.19,0.62,-0.61,0.64,-2.08,-0.06
"Tfdp2",0.85,1.49,1.6,0.24,-1.05,0.35,0.23,-0.15,0.07,0.12,-0.29,0.83,-1.16,0.1,-2.26,-0.95
"Eomes",2.12,0.92,1.43,0.59,0.18,-0.68,0.82,0.77,-0.31,-0.43,-1.15,-0.86,-1.12,-0.75,-1.06,-0.47
"Zfp597",1.78,0.6,1.68,0.77,0.67,0.26,0.61,0.43,-0.65,-0.2,-0.77,-0.59,-1.31,-0.7,-1.43,-1.16
"Tcf7l2",1.83,0.55,0.92,1.43,0.83,-0.39,-0.32,1.15,-0.4,-0.12,-1.17,-0.01,-0.98,-1.15,-1.14,-1.03
"Zfp560",1.76,1.26,0.9,1.23,0.06,-0.8,0.22,0.98,-0.55,0.65,-0.91,-1.11,-1.12,-1.1,-0.63,-0.84
"Maf",0.81,2.26,1.84,0.89,0.24,-0.14,-1.01,-0.05,-0.88,-0.15,-1.11,-0.32,-0.45,-0.56,-1.12,-0.25
"Jun",0.79,1.94,1.5,1.55,0.45,0.22,-0.71,-0.2,-0.73,-0.02,-0.95,-0.7,-1.46,-0.27,-0.69,-0.75
"Mafb",1.7,1.49,1.49,1.73,-0.65,-0.13,-0.37,0.11,-0.28,-0.39,-1.05,-0.83,-0.52,-0.68,-0.89,-0.74
"Nr4a3",1.43,1.5,1.49,1.73,-0.61,-0.24,-0.3,-0.28,0.01,0.01,-1.67,-0.79,-0.46,-0.68,-0.86,-0.3
"Bhlhe40",1.31,1.34,1.38,1.55,-0.44,0.07,-0.3,0.36,0.2,0.18,-1.07,-0.64,-1.4,-0.98,-1.5,-0.06
"Arid5b",1.91,1.21,1.39,1.12,-0.03,-0.27,0.05,0,0.34,0.04,-1.25,-1.2,-0.86,-1.02,-1.3,-0.14
"Zbtb37",1.28,1.3,1.6,1.29,0.09,-0.34,0.27,-0.22,-1.27,0.52,-1.39,-0.23,-1.14,-0.38,-1.38,-0.01
"Crebl2",0.95,1.91,1.25,1.54,0.23,-0.39,0.45,-0.96,-0.13,0.15,-0.82,-0.14,-0.89,-1.15,-1.43,-0.55
"Sox13",0.45,0.82,-0.13,-0.47,-0.12,1.9,1.47,0.35,-0.5,-1.55,-0.51,-1.32,1.36,-0.5,-1.07,-0.18
"Smad3",1.41,0.69,0.42,0.31,0.25,0.69,0.72,0.27,-1.53,-2.12,-0.38,-1.3,0.81,1.02,-0.67,-0.58
"Mxd3",0.55,0.71,0.36,-1.07,1.27,1.47,0.27,0.33,-0.78,-0.88,-2.16,-0.75,1.22,-0.89,0.24,0.11
"Terf1",0.68,-0.32,-0.14,-0.79,1.54,1.28,0.7,0.44,-1.63,-0.65,-1.66,-1.12,0.76,1.17,-0.16,-0.12
"Gtf3a",0.32,0.46,-0.22,0.11,1.96,-0.18,1.59,0.68,-1.2,-1.22,-0.87,-0.88,1.36,-1,-0.57,-0.35
"Klf13",-0.17,0.44,0.11,-0.49,1.2,0.33,1.4,1.42,-1.69,-2.12,-0.99,-0.24,-0.21,0.68,0.01,0.31
"Bhlha15",-0.34,-0.05,0.6,-0.56,1.48,1.84,1.37,0.79,-1.09,0.37,-0.7,-0.64,-1.57,-1.17,-0.31,0.01
"Cux1",-0.27,0.64,0.92,-0.44,1.24,1.39,1.55,0.34,-1.1,-1.07,-0.73,-0.18,-1.81,0.74,-0.49,-0.73
"Runx1",-0.65,-0.73,-0.52,-0.31,2.15,1.61,1.1,1.12,-0.25,-0.92,-0.88,0.43,-0.19,0.08,-0.99,-1.05
"Cenpa",-0.61,-0.61,-0.02,-1.17,2.32,1.14,1.38,1.19,-0.07,-0.65,0.07,-0.66,-0.13,-1.12,-0.84,-0.23
"Snai3",0,0.22,-0.4,0.42,1,2.07,1.47,1.18,-0.59,-1.24,-1.23,-1.03,-0.5,-0.91,0.02,-0.48
"Lyl1",0.04,-0.36,-0.13,-0.42,1.88,0.94,0.74,1.68,-0.59,-1.69,-0.97,-0.34,0.51,-1.28,0.6,-0.62
"Ikzf3",0.84,1.91,1.17,1.19,-0.62,0.16,0.84,0.23,-1.45,-0.31,-0.71,-1.5,-0.12,-0.95,-0.89,0.23
"Elk3",1.48,1.48,0.66,0.7,-0.48,0.17,0.32,0.4,-1.34,-0.45,-0.28,-2.27,1.08,-0.67,-0.36,-0.45
"Hmg20a",1.67,1.33,0.95,1.25,-0.16,-0.56,0.48,0.58,-1.12,-0.41,-0.18,-1.58,0.02,-1.64,0.02,-0.66
"Nfatc1",0.76,0.5,0.23,0.48,-0.67,0.87,1.32,1.42,-2.16,-0.47,-0.54,-1.77,0.12,-0.67,0.24,0.34
"Bach2",1.04,0.99,0.63,0.85,0,0.25,0.82,0.98,-1,0.1,-1.07,-2.25,-1.16,-0.95,0.82,-0.05
"Camta1",1.3,0.68,0.72,0.22,0.07,0.69,0.85,0.49,-1.58,-0.33,-0.53,-2.08,-0.65,-1.27,1.25,0.17
"Egr2",0.68,0.87,0.28,0.33,-1.53,0.37,0.81,0.49,-0.99,-1.11,-1.4,-1.89,0.97,0.53,0.89,0.7
