from	to
GPI	AMFR
GSTP1	TRAF2
GZMB	IGF2R
HAS2	CD44
HAS2	HMMR
HDC	HRH1
HDC	HRH2
HDC	HRH3
HDC	HRH4
HSP90B1	LRP1
ICAM4	ITGA2B
ICAM4	ITGAL
ICAM4	ITGAM
ICAM4	ITGAV
ICAM4	ITGB2
ICAM4	ITGB3
IL12B	IL12RB1
IL12B	IL12RB2
IL1RN	IL1R1
IL1RN	IL1R2
INHA	ACVR1
INHA	ACVR1B
INHA	ACVR2A
INHA	ACVR2B
INHA	TGFBR3
LEFTY2	ACVR2B
LIPH	LPAR1
LIPH	LPAR2
LIPH	LPAR4
LRPAP1	LRP1
LTB	CD40
LTF	LRP1
LTF	LRP11
MMP13	LRP1
MMP9	LRP1
NDP	LGR4
NID1	PTPRF
NOV	NOTCH1
NPNT	ITGA8
NPNT	ITGB1
NTN1	DCC
NTN1	UNC5C
NTN3	CDON
NTN3	NEO1
NTN4	DCC
NTN4	UNC5A
NUCB2	ERAP1
NXPH1	NRXN1
NXPH1	NRXN2
NXPH1	NRXN3
NXPH3	NRXN1
NXPH3	NRXN2
NXPH3	NRXN3
OMG	LINGO1
OMG	TNFRSF1B
PLAT	LRP1
PLAU	LRP1
PLAU	PLAUR
PODXL2	SELL
PRND	RPSA
PROC	PROCR
PSEN1	NCSTN
PTDSS1	JMJD6
PTDSS1	SCARB1
PTGS2	PTGDR2
REN	ATP6AP2
RSPO1	LRP6
RTN4	LINGO1
RTN4	RTN4R
RTN4	TNFRSF19
SERPINA1	LRP1
SERPINC1	LRP1
SERPINE1	LRP1
SERPINE2	LRP1
SERPING1	LRP1
SLIT1	GPC1
SLIT1	ROBO1
SLIT1	SDC1
SLIT2	GPC1
SLIT2	ROBO1
SLIT2	ROBO2
SLIT2	ROBO4
SLIT2	SDC1
SOST	LRP5
SOST	LRP6
TDGF1	ACVR2A
TFPI	LRP1
TFPI	VLDLR
TF	TFRC
TPH1	HTR1A
TPH1	HTR1B
TPH1	HTR1D
TPH1	HTR1E
TPH1	HTR1F
TPH1	HTR2A
TPH1	HTR2B
TPH1	HTR2C
TPH1	HTR4
TPH1	HTR5A
TPH1	HTR6
TPH1	HTR7
ULBP2	KLRK1
ZP3	MERTK
CSHL1	GHR
TDGF1	GPC1
DKK1	LRP5
CALR	TSHR
CAMP	IGF1R
RSPO2	JMJD6
CTGF	FGFR3
CTGF	FGFR2
CTGF	LRP1
CTGF	ERBB4
APOB	LRP2
ARF1	INSR
APOB	CALCR
CTGF	EGFR
DKK1	KIT
GSTP1	NTRK1
RTN4	NTRK1
CALR	NTRK1
IL12B	IL23R
NDP	LRP5
RTN4	ROR2
TF	SDC1
ARF1	FAS
APOB	ERBB2
APOB	EGFR
APOB	PTPRF
APOB	MET
CALR	FAS
ARF1	MYLK
ARF1	LRP5
ARF1	HMMR
GSTP1	MYLK
GSTP1	LRP5
GSTP1	FAS
GSTP1	HMMR
CALR	LRP5
CALR	HMMR
RTN4	EPHA2
RTN4	FZD6
RTN4	EPHA7
ARF1	CD44
CALR	CD44
PSEN1	NOTCH1
ADAM17	NOTCH1
RSPO2	SDC4
RSPO3	SDC4
ADAM17	IL1R2
GZMB	FGFR1
TDGF1	ACVR1B
ADAM17	IL6R
ADAM17	ERBB4
PLAU	LRP2
APOE	LRP2
SERPINE1	LRP2
LRPAP1	LRP2
CALR	LRP1
APOE	LRP1
SERPINC1	SDC2
SERPINA1	SDC2
HSP90B1	TNFRSF1B
FGA	ITGB3
GZMB	NOTCH1
CALR	MTNR1A
PSEN1	NOTCH4
PSEN1	NOTCH3
PSEN1	NOTCH2
MMP9	CD44
MMP9	EPHB2
FGA	ITGA2B
NTN1	NEO1
TDGF1	ACVR1C
GSTP1	IL7R
TF	IL7R
A2M	TNFRSF14
PLAU	IGF2R
LRPAP1	SORT1
CYR61	ITGB5
LRPAP1	SORL1
APOE	SCARB1
CYR61	ITGAV
LRPAP1	LRP8
LRPAP1	VLDLR
PROC	THBD
SLIT1	MTNR1A
ASIP	MC2R
LEFTY2	ACVR2A
LEFTY2	ACVR1B
LEFTY2	ACVR1C
CYR61	PLXNA3
NTN3	UNC5C
NTN3	ACVR1B
NTN3	TGFBR1
NTN3	NOTCH1
NTN3	NOTCH2
NTN3	PTCH1
NTN3	UNC5A
NTN3	ACVR1C
NTN3	BOC
NTN3	ROBO2
NTN3	NOTCH3
NTN3	PTCH2
SLIT1	DCC
SLIT2	DCC
SLIT2	PTCH1
SLIT2	ROBO3
NTN1	ITGB4
NTN1	ITGA6
NTN1	ACVR1B
NTN1	TGFBR1
NTN1	NOTCH1
NTN1	NOTCH2
NTN1	PTCH1
NTN1	UNC5A
NTN1	ACVR1C
NTN1	ROBO2
NTN1	NOTCH3
NTN1	PTCH2
F9	GP1BA
F9	GP1BB
F9	F3
F9	GP9
F9	GP5
PLAU	CD44
A2M	TYRO3
GAST	TACR2
GAST	EDNRB
GAST	FPR2
GAST	EDNRA
GAST	TACR1
GAST	F2R
GAST	HTR2A
GAST	HTR2C
GAST	NMBR
GAST	TACR3
GAST	BDKRB2
GAST	GRPR
GAST	AGTR1
GAST	OXTR
GAST	GNRHR
GAST	NTSR1
GAST	TRHR
GAST	HRH1
GAST	AVPR1A
GAST	HTR2B
GAST	XCR1
GAST	BDKRB1
GAST	GCGR
GAST	AVPR1B
GAST	F2RL1
GAST	NPSR1
GAST	PROKR2
GAST	PROKR1
GAST	LPAR1
GAST	GHSR
GAST	KISS1R
GAST	QRFPR
GAST	F2RL3
GAST	LPAR4
GAST	MCHR1
GAST	NMUR2
GAST	NPFFR1
GAST	NMUR1
GAST	LPAR2
GAST	UTS2R
GAST	NPFFR2
APOE	SDC1
APOE	SDC4
APOE	SDC2
APOE	GPC1
APOE	TYRO3
FGA	ITGAD
TF	IGF2R
TF	AVPR2
TF	LRP2
TF	FZD4
LTF	NTRK1
PROC	F2R
RLN2	TSHR
RLN2	LHCGR
RLN2	FSHR
RLN2	HRH2
RLN2	AVPR2
RLN2	CALCR
RLN2	VIPR1
RLN2	MC4R
RLN2	MC5R
RLN2	HTR7
RLN2	CRHR1
RLN2	ADCYAP1R1
RLN2	VIPR2
RLN2	MC3R
RLN2	GLP1R
RLN2	GCGR
RLN2	SCTR
RLN2	GIPR
RLN2	PTH2R
RLN2	HTR6
RLN2	MC2R
RLN2	MC1R
RLN2	GHRHR
RLN2	PTH1R
RLN2	CRHR2
RLN2	HTR4
RLN2	CALCRL
RLN2	NPSR1
APOB	IGF2R
APOB	CD36
