"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Ifi27l2a",0.92,0.19,0.25,0.1,-0.44,1.04,0.75,1.17,-0.7,-1.6,-1.67
"Cdkn2d",1.04,0.16,1.23,0.06,-0.39,0.5,0.34,0.93,-0.48,-1.67,-1.72
"Cebpd",1.63,0.63,0.21,0.32,-0.11,0.33,0.07,0.09,0.39,-2.08,-1.48
"Ifitm3",0.69,0.8,0.65,0.46,-0.18,-0.19,0.58,0.68,0.3,-2.16,-1.62
"Luzp1",0.97,0.76,0.79,0.33,0.06,-0.65,0.5,0.62,0.27,-1.77,-1.88
"Gm10134",1.02,0.36,0.8,1,-2.08,0.9,0.22,0.17,-0.64,-0.71,-1.04
"Cd200r4",0.53,0.94,1.22,0.98,-1.68,0.53,0.34,0,-0.41,-1.36,-1.09
"Irf8",0.51,0.53,1.93,0.4,-1.13,0.1,0.56,0.45,-1,-1.18,-1.17
"Fbxw17",1.67,0.83,0.93,0.92,-1.12,0.22,-0.22,-0.03,-1.14,-1.01,-1.07
"Cdc42se1",1.74,0.83,0.94,0.72,-1.23,0.15,-0.13,-0.03,-0.61,-1.42,-0.96
"Sgk1",0.86,1.17,1.02,0.83,-1.14,0.25,0.38,0.21,-0.74,-1.3,-1.54
"Rtp4",0.91,0.98,1.02,1.05,-0.67,0.27,0.21,0.26,-1.29,-1.31,-1.43
"Oas3",0.79,1.17,1.13,1.05,-0.8,0.07,0.25,0.17,-1.17,-1.33,-1.34
"Cep192",1.07,1.08,0.93,1.32,-0.65,-0.09,0.21,-0.31,-0.95,-0.98,-1.63
"Oas2",1.25,1.04,1,1.15,-0.73,-0.17,-0.04,0.02,-0.69,-1.34,-1.48
"Oasl2",0.88,1.23,1.17,1.18,-0.51,-0.19,-0.06,0,-0.97,-1.26,-1.46
"Gm7160",0.91,1.21,1.13,1.24,-0.63,-0.35,-0.11,0.1,-0.78,-1.58,-1.12
"Shisa5",1.8,-0.07,0.2,0.1,-0.09,0.42,0.53,0.85,-2,-0.88,-0.87
"Il2rg",1.03,0.26,0.28,0.08,0.51,0.96,0.53,0.77,-1.87,-1.37,-1.17
"Golph3l",1.35,-0.21,0.19,-0.15,0.44,1.24,0.53,0.54,-1.93,-1.15,-0.84
"Cybb",0.89,0.63,0.74,0.81,-0.43,0.78,0.58,0.14,-2.07,-0.91,-1.16
"AB124611",1.02,0.34,1.23,0.4,-0.48,0.46,0.85,0.21,-1.8,-0.75,-1.48
"Lgals3bp",0.52,0.77,0.89,0.57,-0.1,0.32,0.7,0.76,-1.92,-1.3,-1.22
"Ccl5",0.84,0.85,0.87,0.78,0.1,0.34,0.32,0.42,-1.34,-1.5,-1.67
"Ms4a6c",0.82,0.67,0.99,0.66,-0.34,0.64,0.44,0.53,-1.35,-1.62,-1.42
"Ggps1",1.11,0.5,0.18,1.22,0.35,0.44,0.38,-0.03,-1.39,-0.74,-2.02
"Mtus1",0.46,0.46,1.28,1.16,0.31,0.34,0.34,-0.14,-1.78,-0.94,-1.49
"Trim25",0.75,0.39,0.71,1.3,0.47,0.65,0.24,-0.14,-1.45,-1.29,-1.62
"Rnf149",1.33,0.67,0.82,0.84,-0.43,0.59,0.17,0.17,-1.5,-1.22,-1.44
"Msr1",1.35,0.44,1.09,1.17,-0.7,0.61,-0.32,0,-1.18,-1.08,-1.38
"Bcor",1.73,0.56,0.37,0.87,-0.62,0.48,0.11,0.01,-2,-0.89,-0.63
"Alas1",1.42,0.91,0.41,0.81,-1.16,0.63,0.15,0.42,-1.44,-1.02,-1.14
"Ms4a6d",1.31,0.18,0.78,0.96,0.11,0.38,0.27,0.28,-1.82,-1.02,-1.44
"Vhl",1.23,0.31,1.02,0.85,0.4,0.32,-0.48,0.33,-2.01,-0.79,-1.18
"Ell2",1.19,0.96,1.04,0.88,0.15,0.04,-0.07,-0.22,-1.84,-0.78,-1.33
"Atp1b3",1.08,1,1.09,0.88,-0.03,0.02,0.06,-0.02,-1.81,-1.04,-1.23
"Rhoq",1.66,0.87,0.6,0.94,-0.11,0.11,0.14,-0.34,-1.52,-1.04,-1.3
"Git2",1.59,0.73,0.89,1,-0.05,-0.27,-0.23,0.14,-1.42,-0.93,-1.46
"Hk1",1.57,0.95,1.02,0.23,0.13,-0.4,-0.14,0.5,-1.6,-1.13,-1.12
"Cmklr1",1.59,0.71,0.71,0.31,0.28,0.16,-0.01,0.45,-1.44,-1.1,-1.67
"Kmt2e",1.2,0.56,0.97,0.69,0.32,0,0.01,0.59,-1.66,-1.18,-1.5
"Eif4e",1.05,-0.16,1.08,1.23,1.16,-0.27,-0.44,-0.17,-1.7,-0.68,-1.1
"Man1a",1.27,0.45,0.6,0.79,0.9,0.29,-0.48,-0.41,-2.26,-0.36,-0.79
"Arfgef1",1.13,0.28,0.56,0.42,1.53,0.28,-0.29,-0.36,-2.08,-0.51,-0.97
"Srfbp1",1.24,0.79,0.56,1.02,0.78,-0.02,-0.4,-0.2,-1.85,-1.4,-0.54
"Pilra",1.29,0.81,0.89,0.92,0.77,-0.01,-0.41,-0.38,-1.61,-1.12,-1.15
"1810037I17Rik",1.01,0.57,0.79,1.24,0.9,-0.12,-0.42,-0.19,-1.92,-0.95,-0.92
"4930453N24Rik",0.83,1.11,1.27,1.14,0.42,-0.13,-0.79,-0.41,-1.47,-1.18,-0.79
"Mrpl32",0.86,0.88,1.25,1.27,0.49,-0.02,-0.75,-0.45,-1.39,-1.27,-0.87
"Sod2",1.25,1.07,1.07,1.04,0.46,-0.24,-0.62,-0.52,-1.28,-1.09,-1.14
"Gsap",0.9,1.12,1.03,1.15,0.61,-0.29,-0.53,-0.22,-1.34,-1.23,-1.2
"H2-M3",0.62,0.9,1,1,0.96,-0.05,-0.12,-0.16,-1.48,-1.53,-1.14
"Ifnar2",1.03,0.94,0.99,0.97,0.35,0.34,-0.05,-0.46,-1.4,-1.48,-1.23
"Mrpl39",0.85,0.55,0.83,1.33,1.14,0.17,-0.55,-0.76,-0.93,-1.17,-1.44
"Ube2d2a",0.4,0.89,0.96,1.17,1.16,0.09,-0.11,-1.05,-1.12,-1.46,-0.93
"Usp15",0.56,0.42,1.16,0.92,1.17,0.36,-0.46,-0.52,-1.95,-0.57,-1.1
"Tmem170b",0.36,0.91,0.91,1,0.85,0.47,0.06,-0.49,-1.92,-1.23,-0.93
"Krcc1",0.39,0.88,1.19,1.27,0.62,0.53,-0.5,-0.77,-1.56,-0.96,-1.09
"Slfn10-ps",0.92,0.9,-0.31,0.7,0.79,-0.35,-0.13,1.2,-1.3,-1.9,-0.5
"Ap5b1",1.35,1.48,0.22,0.46,0.32,-0.4,-0.23,0.66,-1.22,-1.4,-1.23
"Zwint",1.55,0.88,0.42,-0.14,0.93,0.11,0.04,-0.43,-2.2,-0.72,-0.45
"Pfkfb3",1.74,0.4,0.54,0.15,1,-0.51,0.1,-0.19,-2.14,-0.42,-0.66
"Srsf11",1.68,0.5,0.6,0.41,0.43,-0.52,0.09,-0.2,-2.37,-0.49,-0.13
"Csde1",0.89,0.56,0.51,0.62,1.03,0.09,0.06,0.33,-2.28,-1.26,-0.54
"Psme3",0.92,0.76,0.68,1.09,0.51,-0.23,-0.25,0.13,-2.33,-1,-0.3
"Timm17a",0.69,1.02,0.56,0.98,0.78,-0.16,0.1,-0.06,-2.29,-0.79,-0.84
"Kcmf1",0.91,1.05,0.68,0.48,0.78,-0.16,0.06,-0.2,-2.4,-0.92,-0.3
"Phrf1",1.26,0.8,1.06,0.46,0.54,-0.06,-0.27,-0.35,-2.3,-0.64,-0.5
"Seh1l",1.23,0.5,1.12,0.75,0.63,-0.15,-0.48,-0.6,-2.11,-0.97,0.08
"Xylt2",0.79,0.73,1,0.55,0.14,-0.16,0.13,0.17,-2.65,-0.67,-0.04
"Mbd1",1.22,0.84,0.72,0.52,-0.07,0.1,0.02,0.01,-2.46,-0.97,0.06
"Eea1",0.71,1.25,1.09,0.78,0.02,-0.43,-0.08,0.01,-2.24,-0.94,-0.18
"Rab5if",1.12,1.14,1.02,0.89,-0.12,-0.03,-0.32,-0.12,-2.09,-0.79,-0.68
"Dvl1",1.1,1.1,0.88,0.83,0.3,-0.33,-0.24,-0.07,-2.19,-0.9,-0.48
"Hif1a",1.37,0.34,0.83,0.91,1.02,-0.2,-0.16,-1.09,-0.4,-0.75,-1.86
"Dusp16",1.94,0.6,0.74,0.62,0.93,-0.47,-0.85,-0.84,-0.75,-1.04,-0.89
"Dusp1",1.86,0.3,0.83,0.52,1.25,-0.6,-0.9,-0.62,-0.79,-1.06,-0.8
"F730043M19Rik",1.7,0.67,0.61,0.66,1.17,-0.51,-0.49,-0.78,-0.68,-0.87,-1.47
"Snrnp27",1.72,0.8,0.84,0.62,1,-0.76,-0.6,-0.85,-0.76,-0.82,-1.19
"Upp1",1.78,0.8,0.89,0.69,0.76,-0.73,-0.75,-0.63,-0.55,-1.24,-1.01
"Traf3",1.6,0.66,1.01,0.52,0.95,-0.39,-0.71,-0.37,-0.52,-1.3,-1.44
"Plpp1",1.81,0.78,0.65,0.87,0.64,-0.13,-0.75,-0.59,-1,-1.24,-1.04
"Ctsc",1.61,0.72,1.08,0.79,0.61,-0.18,-0.57,-0.69,-0.92,-1.13,-1.32
"Il1b",1.54,0.61,0.83,1.23,0.81,-0.66,-0.62,-0.79,-0.97,-0.76,-1.2
"Fmnl2",1.26,0.64,1.17,0.98,0.96,-0.46,-0.65,-0.58,-1.29,-0.85,-1.17
"Birc3",1.46,0.92,0.99,0.94,0.65,-0.3,-0.56,-0.88,-1.38,-0.87,-0.97
"Isca2",1.21,0.36,0.97,0.8,0.93,0.24,-0.87,-0.05,-1.35,-0.48,-1.76
"Cox17",0.79,0.85,0.59,0.92,1.08,0.45,-0.9,0.03,-0.83,-1.24,-1.74
"Fas",1.57,0.47,0.81,0.79,0.65,0.06,-0.57,-0.4,-0.19,-1.58,-1.61
"Notch1",1.33,0.75,0.48,0.56,1.01,-0.14,-0.38,0.02,-0.18,-1.72,-1.72
"Arg2",1.49,0.18,0.57,1.09,1.21,-0.38,-0.66,-0.62,-0.19,-1.12,-1.58
"Fosl2",1.77,0.11,0.15,0.76,1.38,0.01,-0.63,-0.34,-0.56,-1.26,-1.39
"Nts",1.33,0.73,0.88,0.33,1.14,-0.82,-0.42,0.24,-0.45,-1.53,-1.44
"Dnmt3l",1.46,0.67,0.69,0.64,1.31,-0.47,-0.4,-0.38,-0.84,-1.38,-1.3
"Srgn",1.45,0.75,0.9,0.7,0.92,-0.24,-0.32,-0.35,-1.06,-1.32,-1.42
"Irak3",1.3,0.5,0.42,0.71,1.25,-0.01,0.04,-0.09,-1.06,-1.58,-1.48
"Acpp",1.6,0.55,0.6,0.55,1.22,0.02,-0.39,-0.48,-0.99,-1.24,-1.44
"Atxn7l1",1.64,0.27,0.59,0.49,1.13,0.22,-0.46,-0.09,-0.82,-1.34,-1.63
"Adgb",1.65,0.36,-0.08,0.08,1.88,-0.35,-0.28,-0.6,-0.34,-1.48,-0.85
"Kctd1",1.76,0.72,-0.32,0.16,1.45,0.18,-0.09,-0.6,-0.82,-1.47,-0.96
"Gm47920",0.6,0.83,1.43,0.36,1.29,-0.2,-0.32,-0.86,-0.38,-1.79,-0.95
"Gpr141",0.81,0.23,1.36,0.71,1.18,0.12,-0.5,-0.58,-0.2,-1.55,-1.58
"Nab1",0.28,0.51,0.95,0.69,1.52,0.42,0.14,-0.58,-0.91,-1.71,-1.31
"Cd14",0.73,0.69,0.52,0.44,1.66,-0.01,-0.07,-0.11,-0.57,-1.77,-1.52
"Leng1",0.72,1.05,0.59,0.89,1.03,0.06,-0.05,-0.37,-0.52,-1.83,-1.55
"Spata13",2.37,0.38,0.63,0.2,0.61,-0.28,-0.95,-0.71,-0.56,-0.52,-1.17
"Mrpl52",2.25,0.49,0.59,0.62,0.48,-0.24,-0.93,-0.79,-0.71,-0.57,-1.17
"Chmp5",1.91,0.27,1.38,0.41,0.38,-0.11,-0.37,-0.59,-1.09,-1.11,-1.08
"Kdr",2.34,0.41,0.72,0.59,0.09,-0.4,-0.68,-0.21,-1.11,-0.73,-1.02
"Bcl3",2.15,0.65,0.65,0.46,0.3,-0.28,-0.31,-0.24,-0.84,-1.23,-1.32
"Parp3",2.34,0.15,0.01,0.56,0.47,-0.08,-0.11,-0.09,-1.5,-1.13,-0.64
"Tbc1d9",2.62,0.05,0.06,0.19,0.3,-0.21,-0.18,-0.03,-1.16,-0.48,-1.16
"Scamp1",2.15,0.3,0.43,0.32,0.58,0.05,-0.36,0.16,-1.39,-0.87,-1.35
"Il4ra",2.18,0.21,0.13,0.52,1.19,-0.86,-0.53,-0.28,-1.17,-0.75,-0.65
"Samsn1",2.33,-0.11,0.46,0.24,0.85,-0.16,-0.24,-0.36,-0.61,-1.4,-1.01
"Fbxl5",2.01,0.4,0.34,0.25,1.24,-0.21,-0.32,-0.43,-0.84,-1.39,-1.05
"Zc3h12c",0.97,1.32,1.23,1.27,-0.15,-0.38,-0.68,-0.56,-0.64,-1.07,-1.3
"Nfkbie",0.96,1.37,1.33,1.17,-0.2,-0.38,-0.68,-0.6,-0.75,-1.12,-1.1
"Usp18",1.04,1.3,1.29,1.19,-0.32,-0.58,-0.48,-0.39,-0.66,-1.04,-1.35
"Polr3c",1.03,1.42,1.27,1.11,-0.43,-0.65,-0.55,-0.22,-0.65,-1.04,-1.27
"Morrbid",0.92,1.27,1.31,1.25,-0.26,-0.61,-0.56,-0.33,-0.48,-1.25,-1.25
"Exoc3l4",0.93,1.38,1.25,1.24,-0.13,-0.83,-0.58,-0.41,-0.59,-1.15,-1.11
"Slc31a2",0.59,1.31,1.38,1.32,-0.09,-0.5,-0.44,-0.26,-0.78,-1.33,-1.19
"Tmem243",0.79,1.17,1.48,1.28,-0.05,-0.56,-0.5,-0.46,-0.84,-1.12,-1.2
"Nfkbiz",0.75,1.35,1.25,1.26,0.18,-0.68,-0.5,-0.65,-0.48,-1.16,-1.32
"Msantd3",0.63,1.5,1.23,1.2,0.07,-0.71,-0.58,-0.41,-0.43,-1.37,-1.15
"H2-T10",0.68,1.59,1.29,0.95,0.08,-0.67,-0.49,-0.38,-0.6,-1.55,-0.92
"Spaca6",1.05,1.25,1.08,1.2,-0.03,-0.31,-0.45,-0.33,-0.68,-1.51,-1.26
"Orai2",1.12,1.23,0.99,1.34,0.02,-0.59,-0.67,-0.32,-0.72,-1.46,-0.96
"Pgs1",1.37,1.39,0.91,0.66,0.21,-0.58,-0.09,-0.53,-0.62,-1.65,-1.08
"Tnfsf9",1.53,1.2,1.01,0.69,0.29,-0.81,-0.42,-0.42,-0.49,-1.37,-1.22
"6530402F18Rik",1.27,1.36,0.99,0.93,0.34,-0.6,-0.59,-0.51,-0.72,-1.42,-1.04
"Gypc",1.29,1.17,1.08,0.9,-0.14,-0.09,-0.51,-0.24,-0.59,-1.72,-1.17
"Prdx5",1.51,1.16,1.04,0.82,0.03,-0.49,-0.44,-0.71,-0.26,-1.45,-1.23
"N4bp1",1.33,1.07,1.01,0.99,0.27,-0.47,-0.54,-0.34,-0.41,-1.41,-1.49
"Mmp14",1.54,1.17,0.95,0.75,-0.09,-0.41,-0.51,-0.23,-0.26,-1.46,-1.45
"Ggct",1.13,0.84,1.13,1.12,0.58,-0.67,-0.87,-0.22,-0.32,-1.59,-1.12
"Fanca",0.97,1.28,1.01,1.07,0.01,-0.49,-0.99,0.21,-0.28,-1.44,-1.36
"Vnn3",1.11,0.92,1.19,0.93,0.59,-0.31,-0.37,-0.49,-0.59,-1.54,-1.45
"Cd47",1.16,1.08,1.19,0.99,0.49,-0.43,-0.49,-0.57,-0.78,-1.37,-1.28
"Lmo4",1.27,0.98,1.14,1.02,0.14,-0.19,-0.35,-0.35,-0.76,-1.34,-1.56
"Rbpj",1.03,1.12,1.15,1.11,0.31,-0.18,-0.56,-0.32,-0.93,-1.36,-1.37
"Slc25a37",0.88,1.27,1.25,1,0.54,-0.56,-0.56,-0.54,-0.71,-1.15,-1.41
"Pde4b",1.04,1.23,1.22,1.1,0.36,-0.48,-0.63,-0.6,-0.83,-1.13,-1.28
"Zc3h12a",1.08,1.23,1.1,1.13,0.41,-0.5,-0.59,-0.57,-0.82,-1.16,-1.32
"Traf1",1.07,1.17,1.18,1.07,0.39,-0.52,-0.65,-0.54,-0.48,-1.31,-1.37
"Skil",1.14,1.2,1.2,1.11,0.09,-0.36,-0.77,-0.64,-0.43,-1.17,-1.37
"Ak4",1.41,0.91,0.63,1.44,0.35,-0.38,-0.53,-0.6,-0.64,-1.46,-1.12
"E2f5",0.86,1.07,0.76,1.6,0.31,-0.49,-0.53,-0.56,-0.19,-1.35,-1.49
"B230307C23Rik",0.82,1.04,0.77,1.4,0.05,-0.95,0.02,0.49,-1.19,-0.94,-1.5
"Rsl1",1.09,0.9,0.77,1.28,0.2,-0.17,-0.2,0.22,-1.56,-1.35,-1.18
"Clmp",0.48,1.22,1.09,1.25,0.08,0.03,-0.04,-0.08,-1.17,-1.54,-1.33
"Mecp2",0.66,1.29,0.63,1.55,0.04,0,-0.25,-0.05,-1.29,-1.41,-1.18
"Il18bp",0.73,0.96,1.22,0.77,0.21,-0.18,-0.06,0.58,-1.21,-1.62,-1.41
"H2-T22",1.25,1.12,1.02,0.98,-0.36,0.03,-0.16,-0.03,-1.06,-1.48,-1.31
"Nectin2",1.16,0.9,1.41,0.82,-0.56,0.09,-0.16,0.1,-1.07,-1.36,-1.35
"Bst2",1.13,0.97,0.96,0.93,-0.38,0.13,0.06,0.16,-0.73,-1.61,-1.63
"Arid4b",1.01,0.73,1.33,0.91,-0.13,0.17,0.01,-0.05,-0.75,-1.71,-1.52
"Irf7",1.1,0.94,0.91,0.79,0.11,0.14,0.03,0.28,-1.12,-1.4,-1.77
"Osbpl3",1.35,0.79,0.87,0.83,-0.05,0.24,0.06,0.04,-1.04,-1.23,-1.86
"Lpcat2",1.57,0.98,0.93,0.54,0.24,0.05,-0.04,-0.3,-1.2,-1.26,-1.5
"Mefv",1.51,0.83,1,0.65,0.28,0.03,-0.15,-0.2,-0.9,-1.6,-1.45
"Lrrk2",1.26,0.9,1.12,0.74,0.3,-0.04,-0.05,-0.18,-0.97,-1.49,-1.59
"Penk",1.37,1.43,0.56,0.58,0.39,-0.38,0.31,-0.5,-1.02,-1.28,-1.46
"Filip1l",1.33,0.77,1,1.18,0.34,-0.01,-0.23,-0.77,-0.99,-1.09,-1.53
"Gpr132",1.35,0.55,0.94,0.95,0.64,-0.02,-0.06,-0.44,-0.8,-1.6,-1.52
"Tjp1",0.89,0.67,0.33,1.5,1.09,0.02,-0.7,-0.8,-0.21,-1.67,-1.11
"Fbxo38",1.19,0.86,0.83,1.39,0.43,-0.2,-0.61,-1.38,-0.28,-1.35,-0.9
"Rdh11",1.2,1.06,0.94,1.04,0.43,-0.11,-0.75,-0.88,-0.13,-1.32,-1.48
"Kpna4",1.18,0.63,1.03,1.26,0.28,-0.13,-0.78,-0.86,0.2,-1.58,-1.24
"Tefm",0.79,1.19,0.61,1.09,0.62,-0.03,-0.52,-0.19,-1,-2.13,-0.42
"Zeb1",1.21,0.64,1.13,1.3,0.13,-0.61,-0.32,-0.54,-0.68,-1.95,-0.31
"Ift22",0.9,0.82,1.17,1.22,0.35,-0.67,-0.12,0.06,-1.09,-1.78,-0.86
"Trappc13",1.5,0.53,0.81,0.63,0.18,0.65,-0.02,-0.08,-1.41,-1.58,-1.21
"Hmgn2",1.8,0.74,0.64,0.73,0.18,0.12,-0.39,-0.17,-1.18,-1.77,-0.71
"Usp3",1.26,1.21,0.52,0.59,0.38,0.36,-0.39,0.08,-1.59,-1.68,-0.74
"Dpys",1.27,0.27,0.5,0.68,0.56,0.31,0.53,0.22,-1.06,-2.06,-1.23
"Leng9",1.58,0.62,0.43,0.64,0.3,-0.05,0.05,0.14,-0.82,-2.33,-0.55
"Mmp2",1.28,0.75,0.66,0.29,0.57,0.15,0.14,0.17,-0.33,-1.84,-1.84
"Gcnt2",1.4,0.66,0.72,0.5,0.72,-0.03,0.15,-0.25,-0.39,-1.56,-1.92
"Naip2",1.63,1.13,0.54,0.36,0.45,0.07,-0.24,-0.03,-0.89,-1.57,-1.46
"Nupr1",1.07,1.04,0.91,0.69,0.12,0.14,-0.14,0.2,-0.54,-1.73,-1.76
"Rbm5",1.48,0.63,0.76,1,0.18,-0.11,-0.15,0.16,-0.7,-1.58,-1.66
"Aoah",1.07,0.69,0.78,0.64,0.85,0.14,0.06,0.08,-0.91,-1.58,-1.81
"Zfas1",0.75,0.49,0.64,1.11,0.8,0.32,0.24,-0.07,-0.82,-1.52,-1.94
"Lox",1.22,0.88,0.85,1,0.15,0.13,0,-0.19,-0.83,-1.83,-1.38
"Khdc4",1.05,1.11,0.88,1.03,0.22,-0.22,0.06,-0.41,-0.52,-1.86,-1.35
"Cxcl16",0.65,0.88,1.22,0.88,0.53,-0.17,0.15,-0.02,-0.79,-1.53,-1.8
"Sowahc",0.78,0.58,1.24,0.98,0.12,0.01,0.33,0.04,-0.62,-1.63,-1.84
"Uimc1",1.29,-0.13,1.32,1.03,0.06,-0.11,-0.18,0.35,-0.43,-1.64,-1.56
"Slu7",1.69,-0.3,1.3,1.18,0.08,-0.31,-0.27,-0.15,-0.66,-1.19,-1.38
"Dcaf1",1.6,0.09,0.86,1.65,-0.19,-0.11,-0.59,-0.68,-0.22,-1.48,-0.93
"Eloc",1.32,0.13,0.99,1.48,-0.21,0.26,-0.5,-0.45,-0.2,-0.95,-1.89
"4933430I17Rik",1.73,0.81,0.1,1.06,-0.75,0.38,-0.01,0.09,-0.74,-0.86,-1.8
"Adprm",2.24,0.26,0.39,0.78,-0.39,-0.11,-0.3,-0.13,-0.05,-0.97,-1.72
"Tle3",2.19,0.63,0.76,0.39,-0.8,-0.13,-0.29,-0.1,-0.36,-0.62,-1.67
"Cfb",2,0.2,0.46,0.42,-0.29,0.79,0.01,-0.03,-0.57,-1.73,-1.26
"Insl6",1.96,0.35,0.52,0.61,-0.81,0.79,0.01,0.02,-0.87,-1.25,-1.33
"Fpr2",1.77,0.2,0.7,0.7,0.41,0.08,0.12,-0.17,-0.64,-1.33,-1.85
"Zfp346",1.84,0.65,0.34,0.3,0.57,0.77,-0.41,-0.45,-0.91,-1.01,-1.68
"Med6",1.39,0.48,1.64,0.95,-0.58,-0.25,-0.17,-0.31,-0.96,-0.68,-1.53
"Gm14057",1.29,1.05,1.38,0.67,-0.49,-0.37,-0.09,-0.18,-0.59,-0.8,-1.87
"Dst",1.2,1.15,1.32,1.01,-0.42,-0.37,-0.2,-0.6,-0.68,-0.76,-1.65
"Fam98b",1.09,1.31,1.48,0.62,-0.2,-0.09,-0.04,-1.1,-0.75,-1.19,-1.13
"Gk",1.22,1.35,1.35,0.49,-0.43,0.37,-0.53,-0.51,-1.21,-0.85,-1.26
"Dnajb1",1.46,1.16,1.07,0.81,-0.55,0.4,-0.43,-0.83,-0.7,-1.14,-1.26
"Psip1",1.47,1.09,1.47,0.61,0.1,-0.93,-0.91,-0.32,-0.71,-1.09,-0.78
"Brd7",1.59,0.88,1.51,0.51,-0.09,-0.65,-0.52,-0.24,-0.53,-1.05,-1.41
"Olr1",1.59,0.99,1.02,1.19,-0.09,-0.85,-0.67,-0.89,-0.55,-0.51,-1.22
"Nos2",1.53,1.05,1.18,0.96,0.22,-0.79,-0.83,-0.66,-0.78,-0.74,-1.13
"Ccl2",1.74,0.81,0.97,1.21,0.06,-0.72,-0.79,-0.67,-0.76,-0.92,-0.94
"Flrt3",1.69,0.83,0.86,1.16,0.24,-0.69,-0.44,-0.56,-0.72,-1.17,-1.21
"Ets2",1.47,1.14,1.07,0.94,0.2,-0.56,-0.53,-0.47,-0.84,-1.05,-1.37
"Tarm1",1.33,1.14,1.05,0.97,0.52,-0.51,-0.72,-0.69,-0.73,-1.1,-1.26
"Tgm2",1.52,0.93,1.04,0.96,0.58,-0.63,-0.7,-0.8,-0.66,-1.14,-1.11
"Gpr84",1.41,1.15,1.09,1,0.21,-0.35,-0.91,-0.91,-0.5,-1.17,-1.02
"Nfkbia",1.3,1.14,1.13,1.13,0.17,-0.67,-0.79,-0.82,-0.33,-1.12,-1.14
"Ctu1",1.86,1,0.76,0.8,0.06,-0.32,-0.7,-0.14,-0.95,-1.13,-1.23
"Mrpl30",1.77,0.95,0.61,1.09,-0.04,-0.11,-0.53,-0.28,-1.26,-1.18,-1.01
"Zfp407",1.83,0.86,1.37,0.52,-0.3,-0.42,-0.74,-0.2,-1.15,-0.87,-0.91
"Gid8",1.87,0.89,1.11,0.78,-0.32,-0.37,-0.58,-0.44,-1.26,-1.08,-0.6
"Pttg1",1.47,0.89,1.25,0.97,-0.36,-0.17,-0.33,-0.15,-1.28,-1.15,-1.14
"Milr1",1.45,1.02,0.93,0.92,0.1,0.07,-0.41,-0.25,-1.24,-1.36,-1.23
"Tnfrsf1b",1.25,1.09,1.1,1.04,-0.09,-0.17,-0.24,-0.28,-1.61,-1.05,-1.04
"Stk40",1.4,1.12,1.05,1.05,0.04,-0.49,-0.38,-0.37,-1.51,-0.86,-1.04
"Znrf1",1.27,1.25,1.23,0.97,-0.15,-0.61,-0.31,-0.28,-1,-1.31,-1.06
"Ythdc1",1.35,1.19,1.24,0.84,0.07,-0.48,-0.44,-0.42,-1.25,-1.32,-0.77
"Map2k1",1.54,1.05,1.08,0.95,0.06,-0.26,-0.51,-0.62,-1.37,-1.02,-0.9
"Casp8",1.56,1.04,1.03,1,0.11,-0.41,-0.47,-0.77,-1.34,-0.58,-1.15
"Metap1",1.59,0.93,1.16,0.94,0.2,-0.42,-0.7,-0.6,-1.27,-0.77,-1.06
"Rnf19b",1.1,1.23,1.4,1.11,-0.05,-0.52,-0.64,-0.65,-1.1,-1.01,-0.87
"Cd274",1.17,1.15,1.23,1.17,0.2,-0.56,-0.68,-0.64,-1.33,-0.84,-0.86
"Vta1",1.17,1.07,1.35,1.16,0.1,-0.47,-0.83,-0.54,-1.23,-0.77,-1
"Clec4e",1.15,1.17,1.2,1.15,0.14,-0.31,-0.64,-0.64,-1.19,-0.75,-1.28
"Acod1",1.16,1.22,1.26,1.19,-0.09,-0.45,-0.65,-0.6,-1.07,-0.79,-1.18
"Cav1",1.18,1.18,1.16,1.21,0.01,-0.36,-0.59,-0.46,-1.18,-0.97,-1.18
"Acsl1",1.24,1.18,1.16,1.21,-0.27,-0.24,-0.55,-0.49,-1.27,-0.93,-1.04
"Rab32",1.24,1.03,1.19,1.19,-0.05,-0.11,-0.49,-0.65,-1.38,-0.89,-1.08
"Wbp4",1.32,1.57,0.5,1,0.31,-0.12,-0.98,-0.52,-0.83,-1.06,-1.19
"Pex14",1.27,1.83,0.78,0.73,-0.07,-0.48,-1.15,-0.37,-0.87,-0.69,-0.98
"Utp11",1.38,1.07,1.15,1.19,-0.21,-0.14,-1.15,-0.8,-1.02,-0.84,-0.63
"Ube2k",1.2,1.06,1.23,1.15,0.06,-0.2,-1.41,-0.73,-1.11,-0.76,-0.49
"BC055308",1.05,1.14,0.74,1.69,-0.17,0.01,-1.13,-0.72,-1.02,-0.64,-0.95
"Ak6",1.54,0.98,0.76,1.43,-0.18,-0.23,-0.76,-0.58,-1.19,-0.72,-1.06
"C130026I21Rik",1.35,0.65,1.61,1.06,-0.35,-0.04,-1.02,-0.53,-0.72,-1.1,-0.91
"Lrrc47",1.51,0.69,1.6,0.87,-0.68,-0.45,-1.15,-0.02,-0.67,-1.04,-0.66
