"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Prorsd1",-0.31,-0.73,-0.96,-1.94,0.75,1.48,0.88,0.89,0,0.4,-0.47
"Pierce2",-0.76,-1.1,-0.46,-1.86,0.68,1.61,1.02,0.57,0.2,0.16,-0.06
"Trim46",-0.37,-0.71,-0.58,-2.07,0.72,0.74,1.04,1.52,0.22,-0.04,-0.47
"Phf7",-0.38,-1.22,-0.76,-1.73,1.23,0.82,0.79,1.23,0.19,0.37,-0.54
"Polg2",-0.69,-1.21,-0.53,-1.6,1.1,1,1.05,1.06,0.25,0.35,-0.77
"Thap3",-0.41,-1.18,-1.14,-1.08,0.8,1.14,1.26,1.33,0.29,-0.69,-0.32
"Aldoc",-0.34,-0.9,-1.39,-1.31,1.22,1.1,1.05,1.13,0.15,-0.52,-0.18
"Alox5ap",-0.62,-1.23,-1.2,-1.16,1.16,1.12,1.21,1.05,-0.36,0.05,-0.03
"Fcor",-0.76,-0.92,-1.13,-1.57,1.17,0.98,1.23,0.98,0.09,0.04,-0.12
"Zbtb4",-0.51,-1.33,-0.49,-1.29,0.3,1.56,1.12,1.41,-0.34,-0.01,-0.42
"Zfp94",-0.48,-1.4,-0.96,-0.98,0.62,1.67,0.94,1.27,-0.48,-0.14,-0.07
"Lst1",-0.62,-1.12,-0.58,-0.97,0.32,1.33,1.44,1.57,-0.25,-0.56,-0.56
"Tdrd5",-0.82,-0.91,-0.93,-0.94,0.74,1.35,1.47,1.12,0.2,-0.44,-0.85
"Hmg20a",-0.95,-0.47,-1.63,-1,1.01,0.81,1.67,0.55,-0.48,0.47,0.01
"Fam161a",-0.99,-0.65,-1.13,-1.14,0.72,0.58,2.01,0.59,-0.16,0.69,-0.52
"Gdpd3",-1.25,-0.3,-0.9,-1.48,1,1.04,1.22,1.2,-0.47,0.24,-0.3
"Ctc1",-1.47,-0.35,-1.05,-1.34,0.84,1.02,1.15,1.17,-0.48,0.24,0.28
"Abcd2",-1.15,-0.15,-1.31,-1.32,1.01,1.16,1.1,1.17,-0.12,-0.48,0.07
"5033406O09Rik",-1.3,-0.34,-1.18,-1.51,0.7,1.14,1.18,1.1,0.3,-0.15,0.08
"Lage3",-1.15,-0.55,-0.66,-1.43,1.34,0.79,1.14,1.13,-0.91,0.03,0.26
"Wdr54",-1.33,-0.4,-0.48,-1.54,1.51,0.66,1.36,0.85,-0.38,-0.05,-0.19
"Dync2li1",-1.53,-0.46,-0.8,-1.09,0.89,1.32,1.26,0.71,-0.49,0.7,-0.51
"D330023K18Rik",-1.01,-0.55,-1.35,-1.05,1.1,1.24,1.07,1.21,-0.54,0.16,-0.29
"Dmac2l",-0.99,-0.15,-1.33,-1.35,1.17,1.31,1.16,0.69,-0.56,0.32,-0.29
"Vps39",-0.78,-1.25,-0.75,-1.62,1.06,1.3,0.7,0.67,-0.04,0.92,-0.21
"Copg2",-0.68,-1.54,-0.7,-1.54,0.62,1.23,0.85,0.53,-0.27,1.06,0.44
"Fahd1",-0.77,-1.44,-0.8,-1.57,0.4,1.23,0.55,1.04,0.06,1.07,0.25
"Bicdl1",-0.24,-1.37,-0.43,-1.54,0.79,1.28,1.15,0.69,0.1,0.59,-1.04
"B230354K17Rik",-0.28,-1.66,-0.73,-1.33,1.19,0.96,1.14,0.92,-0.17,0.39,-0.43
"Uevld",-0.3,-2.12,-0.17,-1.13,1.16,0.84,0.99,0.82,-0.17,0.49,-0.41
"Smarcal1",0.05,-0.85,-0.53,-1.91,0.21,1.12,1.16,1.25,-0.86,-0.25,0.6
"Nol4l",0.08,-0.94,-0.61,-1.79,0.44,1.22,1.45,0.8,-1,0.12,0.23
"Rftn2",-0.13,-0.46,-1.26,-1.71,0.76,1,0.34,1.8,-0.42,0.32,-0.23
"Ddx50",0.36,-0.99,-0.46,-1.84,1.53,1.08,0.42,1.02,-0.68,-0.19,-0.25
"Pdk1",0.27,-0.88,-1.06,-1.51,1.35,1.28,0.51,0.93,-1.06,0.19,-0.03
"Dusp19",-0.21,-0.61,-1.14,-1.5,1.28,1.53,0.7,1,-0.7,-0.08,-0.27
"Wdr24",0.16,-0.71,-1.09,-0.95,0.53,0.8,0.79,1.69,-0.07,-1.66,0.5
"Mypop",-0.3,-1.21,-0.74,-1.3,0.96,0.13,1.5,1.28,0.24,-1.04,0.48
"A530010L16Rik",-0.82,-0.91,-0.35,-0.94,0.04,1.03,2.17,0.83,0.1,-1,-0.16
"Ms4a6b",-0.46,-0.85,0.04,-0.9,0.3,1.58,1.15,1.51,-0.63,-1.15,-0.58
"Dnal1",0.22,-1.24,-0.36,-1.08,0.16,1.42,1.09,1.63,-0.69,-0.75,-0.41
"Gipc2",-0.13,-1.21,-0.19,-1.3,0.63,1.35,1.24,1.4,-0.54,-0.51,-0.73
"F13a1",0.93,-1.55,-0.69,-1.04,0.51,1.07,1.2,1.15,-0.58,-0.2,-0.8
"Fcgr2b",0.6,-0.87,-0.98,-1.16,0.81,1.12,1.46,1.03,-0.64,-0.92,-0.46
"Limk2",0.18,-1.09,-1.49,-0.84,0.04,0.95,1.54,1.48,0.03,-0.23,-0.58
"Tmem216",0.29,-0.75,-1.35,-1.37,0.3,1.18,1.7,0.88,-0.67,0.06,-0.25
