"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC7A5",7.25769984175498e-07,1.96628120527166,0.149,0.038,0.009656369639455
"GADD45B",7.70864848463092e-07,1.03379510456095,0.294,0.139,0.0102563568088014
"PFKFB3",8.31934301811204e-07,2.7605904674031,0.113,0.017,0.0110688858855981
"COTL1",1.12971456292987e-06,0.737430220087983,0.433,0.257,0.0150308522597819
"IL7R",1.37955755563391e-06,-0.325940102668717,0.644,0.646,0.0183550132777092
"IDS",1.40019212478662e-06,0.988694879705667,0.264,0.115,0.018629556220286
"TSPYL2",2.75043651918437e-06,1.10093428538487,0.246,0.111,0.036594557887748
"TUBA4A",2.77947996054666e-06,0.618534562214136,0.484,0.285,0.0369809808750733
"SRSF2",2.95882442472913e-06,0.782467257475488,0.362,0.198,0.039367158971021
"LDHA",3.30494735859411e-06,0.620441541366212,0.456,0.271,0.0439723246060946
"CRTAM",3.3149094883221e-06,1.425151939454,0.177,0.062,0.0441048707421255
"H2AFZ",3.32416794088985e-06,0.619869923424821,0.479,0.292,0.0442280544535395
"CD3D",3.58696289520691e-06,-0.398018111289001,0.532,0.576,0.047724541320728
"DENND2D",3.75475419438127e-06,-1.73755794889487,0.041,0.115,0.0499570045562428
