"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS8",4.40391786276715e-47,-0.484200845806202,0.926,0.969,5.85941271641169e-43
"RPL39",1.9620609123279e-44,-0.31419830906168,0.999,1,2.61052204385227e-40
"RPS13",1.52002580809794e-42,-0.369070953335071,0.973,0.997,2.0223943376743e-38
"RPL37",1.89677865362059e-42,-0.477158502809541,0.898,0.99,2.5236639986422e-38
"RPL11",1.06434020423128e-37,-0.295732449254358,0.994,0.997,1.41610464172972e-33
"RPL32",2.55133302640404e-37,-0.31747271826849,0.993,0.993,3.39454859163058e-33
"RPS28",4.19365323603214e-37,-0.276504018158673,0.994,0.997,5.57965563054076e-33
"RPS26",5.47462767758653e-37,-0.258392902152967,0.999,1,7.28399212502888e-33
"RPL34",1.92835869109674e-36,-0.296422398096825,0.995,0.993,2.56568123850421e-32
"RPS12",3.30449028290587e-36,-0.273880644319739,0.994,1,4.39662432140626e-32
"CCL4",1.58659565732738e-35,1.64826398679819,0.691,0.219,2.11096552207408e-31
"RPS27A",3.00141438583762e-35,-0.292415545869193,0.989,0.993,3.99338184035695e-31
"RPL21",6.06950488017455e-35,-0.605304536484794,0.773,0.903,8.07547624307223e-31
"RPL6",2.25589643663402e-33,-0.363293820676162,0.93,0.951,3.00147020894157e-29
"RPS24",6.43221810788097e-32,-0.262560627110975,0.983,0.983,8.55806619253564e-28
"RPL30",4.04132052300205e-31,-0.236452560739252,0.999,0.997,5.37697695585423e-27
"RPS23",4.5492455499647e-31,-0.265370465548346,0.989,0.983,6.05277120422804e-27
"RPS21",5.98789216224895e-31,-0.316530593517185,0.97,0.986,7.96689052187222e-27
"RPL12",1.21471333493207e-30,-0.32358828953646,0.968,0.986,1.61617609212712e-26
"RPL19",4.11748770949515e-30,-0.274381765769305,0.984,0.997,5.4783173974833e-26
"RPLP1",1.33874572928126e-29,-0.220992164490298,0.999,1,1.78120119280871e-25
"RPL22",4.96299954496718e-29,-0.650265667692472,0.702,0.847,6.60327089457883e-25
"RPS15A",3.10619789950603e-28,-0.215349857665649,0.999,1,4.13279630529277e-24
"RPL10",7.40896738928848e-27,-0.204703731241958,0.999,1,9.85763111144832e-23
"RPS3A",1.66021396278049e-26,-0.325389350385557,0.945,0.958,2.20891467747944e-22
"RPL18A",2.42729539547287e-26,-0.282403262838351,0.972,0.979,3.22951652367666e-22
"RPS7",2.25429814241503e-25,-0.246116485462819,0.975,0.986,2.9993436784832e-21
"RPS27",6.24237458104674e-25,-0.185775390987638,0.999,1,8.30547938008269e-21
"RPS5",6.9147681439291e-25,-0.406213782241276,0.857,0.906,9.20009901549767e-21
"RPL5",8.38209045797542e-25,-0.431810372613153,0.826,0.892,1.11523713543363e-20
"TMSB10",1.56685279129003e-24,-0.258054273164069,0.972,0.965,2.08469763881139e-20
"RPL28",6.72071473966767e-24,-0.196036378911144,0.996,0.997,8.94191096112784e-20
"RPS10",2.00645219794045e-23,-0.341545519648776,0.874,0.924,2.66958464935977e-19
"RPL13",2.07051402641993e-23,-0.234560479994427,0.979,0.99,2.75481891215172e-19
"RPL36",3.04649742879592e-23,-0.260220914120764,0.967,0.979,4.05336482901298e-19
"RPS29",3.517801011669e-23,-0.336679758453214,0.895,0.924,4.6804342460256e-19
"RPL14",1.00139367423854e-22,-0.294354383135931,0.913,0.927,1.33235428357438e-18
