"","baseMean","lgFC_PMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Mcpt8",814.1012679111,-2.00241931330259,0.232146931563714,-8.62565488078833,6.37269272540897e-18,1.12363947536162e-15
"Helz2",695.200766303113,1.41527525639036,0.164616730971508,8.59739619440816,8.15450827057881e-18,1.42027667220008e-15
"Il17a",53.8650723924332,3.89688893733731,0.455502333786484,8.55514593074284,1.17719714991018e-17,2.02563008373701e-15
"Plat",24.7412716694584,2.62951641740658,0.308047285321414,8.5360804743433,1.38851670993646e-17,2.36080900610863e-15
"Slc15a3",258.736881456574,1.89380983245132,0.222141049282238,8.52525833730609,1.5246914552234e-17,2.56184039570595e-15
"Tnfsf8",18.2906146196369,3.74881332371216,0.439827331137793,8.52337510271207,1.54969878252378e-17,2.57358116418658e-15
"Abtb2",95.0073535422644,1.2553656028984,0.147881123715748,8.48901855324971,2.08389456460087e-17,3.42094047949766e-15
"Sema7a",305.557998635266,1.59087277530505,0.18803019042523,8.46073054389456,2.6570770481772e-17,4.31231527296213e-15
"Map4",249.874052622597,0.871069157821534,0.103341309415064,8.4290509066702,3.484799730735e-17,5.59212469150082e-15
"Irf1",1050.83440412502,1.26930882041867,0.150805621518949,8.41685348088417,3.86730861732765e-17,6.13698907474151e-15
"Klrk1",28.4241272787492,2.15186711315245,0.25578508522825,8.41279354201686,4.00359299627002e-17,6.28344122777236e-15
"Ceacam15",71.4813409616154,2.47197496198256,0.294421600257313,8.39603806182068,4.61796004134545e-17,7.1688810120104e-15
"Rab20",82.0096278015413,1.96346949814529,0.23448058629001,8.37369749543717,5.58379828377808e-17,8.57503302031382e-15
"Tnfrsf9",213.244333090912,1.72940912236992,0.206797531407308,8.36281318544214,6.12401453069282e-17,9.30459314120797e-15
"Mical2",15.6125112891998,3.38235907279159,0.404895946999736,8.35365011147864,6.61852072617954e-17,9.95007505382066e-15
"H2-K1",7708.75386534001,0.704964903187247,0.0847960010465062,8.31365741882817,9.2796785364109e-17,1.3805455089273e-14
"Fndc5",14.6974087471778,4.09180438027214,0.492657284527554,8.30557977884378,9.93332023892533e-17,1.44762938420746e-14
"Prg3",80.6115391109428,-2.07660028946858,0.249988505402696,-8.30678309038036,9.83314593700654e-17,1.44762938420746e-14
"Inppl1",47.3910899189574,1.70228449286219,0.205463662801737,8.28508783329156,1.18021950941904e-16,1.70261565995179e-14
"Relb",287.166361954236,0.987027183721595,0.120516676674173,8.18996350513467,2.61305399848064e-16,3.73196372063005e-14
"Tuba8",139.869383653198,-1.54818391502437,0.189704703480479,-8.16102018885197,3.32206632044695e-16,4.69759912758647e-14
"Ndrg1",73.9255882618325,1.36588706193076,0.167440479796156,8.1574483278691,3.42176375005474e-16,4.79114018414527e-14
"Siglech",17.3279997056614,2.98049307944026,0.367103280579565,8.11894972644974,4.70235243642698e-16,6.52029101913108e-14
"Rrm2",206.909812430356,-1.14453223972299,0.141014932523822,-8.11639036546455,4.80254179409301e-16,6.59518287531119e-14
"Dusp5",240.53887439057,1.23452213143204,0.152336680098926,8.10390597084272,5.32222454589289e-16,7.17094443060776e-14
"E2f8",93.0787515346576,-1.55468400326553,0.191834078179682,-8.10431607365054,5.3043045808269e-16,7.17094443060776e-14
"Mras",21.424756155653,3.22727973993032,0.398393021100344,8.10074366015929,5.46242403822458e-16,7.29105982373116e-14
"Saa3",2442.00596560494,2.13466346955343,0.26397041119136,8.0867528293008,6.1276442013652e-16,8.10324208184238e-14
"Ier2",485.280547103637,0.64356149331478,0.0797369396498658,8.07105835940949,6.9691393550578e-16,9.13149066687482e-14
"Sdc3",132.507144544935,1.6390730647776,0.203231785343714,8.06504288689653,7.32101620036485e-16,9.5053412157828e-14
"Exoc3l4",22.8541684055744,2.45436773695129,0.305111719694871,8.0441608057724,8.68384307538936e-16,1.11732114236676e-13
"Cdk4",573.602084051431,-0.704324449472286,0.0877636102086139,-8.02524472042694,1.01323750608044e-15,1.28062460724256e-13
"Slc6a6",479.200171208503,0.803878658615356,0.100156872632702,8.02619568168186,1.00541806483377e-15,1.28062460724256e-13
"Il15",49.0330938704998,1.53006418536055,0.190788891882338,8.01967122018907,1.0602857890738e-15,1.32833347715368e-13
"Nhp2",525.464855477271,-0.774347722867892,0.0968671363590944,-7.99391570735943,1.30719151189168e-15,1.62341818894235e-13
"Hmox1",1503.84111120304,1.80057826016528,0.225352539636932,7.99005089122231,1.3488306170198e-15,1.6606895579549e-13
"Ppp1r15a",190.049590463065,0.960032658928362,0.120718949829772,7.95262599850413,1.82598963506391e-15,2.22895589469939e-13
"Plekhs1",13.6006912943319,4.46855275470941,0.563373401313266,7.93177800778822,2.16030349437768e-15,2.61469953446627e-13
"Kansl3",169.10650106294,1.10648901538849,0.139725298362813,7.91903133042783,2.39368034216814e-15,2.87281870981894e-13
"Oasl1",507.732129798546,1.33349946126147,0.168707344810893,7.90421699041148,2.69622999704666e-15,3.2089630681517e-13
"Slc7a5",278.230783378743,-1.6698014678744,0.211859357802651,-7.88165075733793,3.2308399473554e-15,3.81345918414296e-13
"Mt2",263.365589459422,1.46083275460793,0.185472590603042,7.87627298383119,3.37290896856641e-15,3.94851523680864e-13
"Tnfsf12",32.2570239500531,1.83380290867747,0.233623482660426,7.84939462332612,4.18050263126039e-15,4.8541413479399e-13
"Cd274",323.857908447537,1.12203815813529,0.143477010004293,7.82033412950073,5.26833096580353e-15,6.06792764948436e-13
"Dscaml1",14.2232883858303,3.80820461746541,0.488108436195763,7.80196434863107,6.09508684101533e-15,6.96400242107048e-13
"Ly75",115.820343160585,1.50235634218483,0.193798886253676,7.75214125956481,9.03557946744779e-15,1.01631894648864e-12
"Serpine1",16.488723625835,4.60413383237404,0.593919676917717,7.75211533025518,9.03742516482683e-15,1.01631894648864e-12
"P2rx1",134.039523799947,-1.27111202061993,0.164052398162741,-7.74820749257796,9.31987638699708e-15,1.03989433249291e-12
"Car4",30.1355372060699,-5.96428847518377,0.77007801220808,-7.74504450280576,9.55483753609335e-15,1.05784643170919e-12
"Ptges3",238.684735934354,-0.951636376898983,0.123395707243642,-7.71207036416589,1.23792842847713e-14,1.36000721657772e-12
"Scpep1",428.994286176654,1.05807367528651,0.137801474358706,7.67824640636485,1.61281046553578e-14,1.75833275334214e-12
"Prex1",371.237744830304,0.663551594763819,0.0866186547099685,7.66060841034344,1.85054303156089e-14,2.00223148308732e-12
"Lad1",51.0517192906052,2.48665068002823,0.325033446926005,7.6504455265932,2.00284169764677e-14,2.15072068614971e-12
"Pbxip1",225.514037357171,0.862481461065227,0.112873960663267,7.64110212840176,2.15370139494272e-14,2.29545994944567e-12
"Gusb",287.05209846054,-0.85738991275424,0.112263663333815,-7.6372878569337,2.21845143583122e-14,2.34695728937344e-12
"Pcbp4",41.6257124203668,1.75837836481996,0.230524988146375,7.62771263522831,2.38955471583919e-14,2.50938385673642e-12
"Crispld2",79.2940271704146,-1.672614436869,0.21947979367477,-7.62081287240282,2.52083164268352e-14,2.62792098692015e-12
"Tnfsf15",12.3044912776452,4.70890530564434,0.618353595416972,7.61523073617612,2.63220826280806e-14,2.72414481227715e-12
"Plaat3",103.35435979043,1.45135648736596,0.190653618911965,7.61253049193958,2.68780755560325e-14,2.76167392151983e-12
"Gngt2",227.54295109893,0.969730172902157,0.127604084956771,7.59952295595141,2.97224357105864e-14,3.03211304870425e-12
"Septin5",92.1097859219173,-1.77523107540954,0.235024235124161,-7.55339582095312,4.24053728809807e-14,4.29527330132032e-12
"Cdc25a",131.613106488813,-1.15552537417952,0.153068809249286,-7.54905836039823,4.38416399599024e-14,4.40948099934737e-12
"Atf3",138.317715927022,1.56692194953623,0.207642462942044,7.54625006530376,4.47969528745588e-14,4.47405651017097e-12
"Dnah2",27.7533832180493,1.96224983154484,0.260779512157916,7.52455518958326,5.29001052244783e-14,5.24666182511111e-12
"Nedd4",375.600543293403,-0.964826472506335,0.128458129602367,-7.5108245425407,5.8756098948919e-14,5.78727313923077e-12
"Junb",1041.53421489842,0.78112823821106,0.104027246214639,7.50888124635505,5.96347906580257e-14,5.83358959025974e-12
"Tbc1d8",199.610021614344,0.855633881169581,0.114213753460721,7.4915135458169,6.80838556821398e-14,6.61478657722667e-12
"Laptm4b",37.2328844815436,1.79351356387982,0.239525940554748,7.48776337012184,7.00571859829466e-14,6.76051844735435e-12
"Pkib",362.323953267716,1.38973275889928,0.186977822669653,7.43260745609719,1.06477538219967e-13,1.02061221534065e-11
"Ndc1",91.2237275700131,-1.11486136810579,0.150063026458372,-7.42928750950557,1.09184192023692e-13,1.03269445727309e-11
"Prr13",693.461896863326,0.522324906142545,0.0703012209410001,7.42981272801654,1.08751538474672e-13,1.03269445727309e-11
"Mafb",25.7589184656312,2.95300569560833,0.398105449576115,7.41764700471333,1.19219332484898e-13,1.12019112272981e-11
"Pafah2",72.9516964883857,-1.49539129762606,0.202510769932385,-7.38425565279984,1.53308622084911e-13,1.43108087622007e-11
"Isyna1",200.987233382668,-1.04764902070973,0.142003336037137,-7.37763668056181,1.61123929755651e-13,1.49426750959105e-11
"Gsap",59.4128668321376,1.42727429924474,0.193706112046867,7.36824607217048,1.7288745460836e-13,1.59301846884942e-11
"Wars1",229.915725356525,0.819505139636351,0.111237796512588,7.36714646755529,1.74318934730858e-13,1.59591219604238e-11
"Ccn3",14.9523276473094,-5.08614004060711,0.690584174108374,-7.36498204172419,1.77170716493382e-13,1.61168928213916e-11
"Lacc1",53.1812755983458,1.60847925258183,0.218774384742072,7.35222843605836,1.94929290429708e-13,1.76201273792221e-11
"Lactb",165.215348297287,1.01780619116772,0.13846843346816,7.35045645910167,1.97531119431459e-13,1.7743015394466e-11
"Apex1",171.850621156609,-0.949596097436805,0.129257785133618,-7.34652923578393,2.03419746642337e-13,1.81577551346616e-11
"Ehd1",354.105501172691,1.09079112324368,0.148521171080804,7.34434771356759,2.06764958304822e-13,1.83417213323569e-11
"Stat2",499.108920399639,1.22199444501119,0.166744936615537,7.32852505038125,2.32699471076862e-13,2.05149002834552e-11
"Rrm1",291.285232308885,-0.726529090716739,0.099192886819286,-7.3244071627874,2.39957109486656e-13,2.10249536054504e-11
"Tpx2",166.980992681955,-0.90303200651571,0.123385178840194,-7.31880453555366,2.50189703288939e-13,2.17878618437355e-11
"Egr1",475.47044804592,0.948825815600018,0.129949159181071,7.30151562025827,2.84544035798927e-13,2.4629441935032e-11
"Sesn2",195.880009168083,0.89297920676064,0.122328403675226,7.29985171008557,2.8808505701707e-13,2.47857276163722e-11
"Gls2",12.645084904834,3.21400957542468,0.441264614910516,7.28363314623914,3.2494790283382e-13,2.77898559776803e-11
"Poc1a",95.1351491326298,-1.59387347775114,0.219450129868657,-7.26303273871421,3.78506274945001e-13,3.21775393974077e-11
"Nr4a2",28.1623523855527,2.12280683968138,0.292337077536235,7.26150393775577,3.82809857527862e-13,3.23508306817333e-11
"Tubb4b",1206.17232257625,-0.782797063571672,0.10790086443065,-7.25478028097535,4.02314369845516e-13,3.37991401772568e-11
"Tmem86a",53.6524497090134,1.36762467044839,0.188759241621379,7.24533887030351,4.31359323329515e-13,3.60273324900124e-11
"Tuba4a",1083.14526663393,-1.04391125691058,0.144113215836305,-7.24368858784145,4.3664337139166e-13,3.62566315710214e-11
"Gadd45b",747.231165593409,0.684857413934903,0.0947597274274939,7.2273046000362,4.92674257692248e-13,4.06726806263623e-11
"Mrfap1",354.38522308262,1.01506739019248,0.141156046673139,7.19110101278887,6.42709081991087e-13,5.27538569482569e-11
"Alox15",991.385883611,-1.14287092684768,0.159220503256124,-7.17791304182253,7.07835550905565e-13,5.77674705030473e-11
"Map3k14",165.697217080104,1.01286991260591,0.14129338688603,7.16855852158815,7.57915344547446e-13,6.15031076751513e-11
"Gbp2b",12.4195052048523,5.55214284462029,0.776891655392743,7.14661150764131,8.89461413559379e-13,7.17699881833619e-11
"Trim35",307.098068974545,0.860077555561662,0.120394975373012,7.14379942266642,9.07858492120487e-13,7.28428931711505e-11
"Pip4k2a",246.406277290936,0.932444014931567,0.1307680803415,7.13051696175773,9.9992652027934e-13,7.97818467186007e-11
"Arl5c",315.400730431117,0.894342487010412,0.125493396222284,7.12660995664094,1.02871064693857e-12,8.16224747754255e-11
"Enpp2",19.7249846794661,7.28955309021027,1.02374030217869,7.12051003042169,1.0752840706074e-12,8.48464480464911e-11
"Rab13",16.3194458245241,2.80050717948069,0.395398460376828,7.08274679879056,1.41324758990427e-12,1.10901110324246e-10
"H2-M2",32.9557013285843,2.79149352474492,0.394671037752474,7.07296268974178,1.51660275250272e-12,1.18361314269092e-10
"Arhgap31",78.2493727190886,1.24255753431061,0.175712812546449,7.07152492924866,1.53240266535851e-12,1.18944428623099e-10
"Arsb",82.1207230264117,-1.29713749172697,0.184388496407753,-7.03480703513362,1.99536953044194e-12,1.54042527750117e-10
"Capn5",38.3413293465251,1.37634807561752,0.196594261683731,7.0009575245472,2.54219014800775e-12,1.95201933837885e-10
"Tnfaip3",322.773518412297,0.925438275454521,0.132343624151996,6.99269255609669,2.69660021614328e-12,2.05951038967691e-10
"Tnfsf4",17.8861150663334,2.71857895967461,0.389310561784733,6.98305986668256,2.8881926098392e-12,2.19410461987891e-10
"AA467197",52.8691287372402,1.63306559160339,0.234349287325512,6.96851102147816,3.20312891694447e-12,2.42048080379899e-10
"Retnlg",68.3562005205322,3.88527499140841,0.557633673981478,6.96743251473272,3.22777195006938e-12,2.42626521004689e-10
"Gpr68",39.4390677565243,1.47281941747556,0.211682474950522,6.95768233917244,3.45916091967714e-12,2.58658304999104e-10
"Stk39",19.4350164691168,2.91811685601038,0.420159359735431,6.94526204973247,3.77758448512195e-12,2.80997195919332e-10
"Adgrg3",238.229955146697,-1.52724356499403,0.220025718878894,-6.94120474995315,3.8877005334547e-12,2.87689839475647e-10
"Gzmc",12.6971146381206,3.04366326184566,0.440493745883803,6.90966282787713,4.85806970445878e-12,3.57644079995259e-10
"Ddx39a",444.281952767383,-0.698157055166229,0.101300520431028,-6.89193947075112,5.50367931051561e-12,4.01563431845876e-10
"Irf7",912.245497342508,1.25098685512946,0.18151938630732,6.89175344065723,5.51088311453519e-12,4.01563431845876e-10
"Sbds",273.858879218971,0.669354452021523,0.0972012147724147,6.8862766127845,5.72715792854019e-12,4.15204413885335e-10
"Tap1",1264.02820859049,0.81091258000913,0.117779340218722,6.88501547472782,5.77812535092936e-12,4.16783768999864e-10
"Cebpe",354.377148356413,-1.19480776466784,0.173615611360361,-6.88191433538699,5.9053524120213e-12,4.23820317329087e-10
"Mbd2",714.174807964732,0.463836279391363,0.067600755874024,6.86140670166079,6.81857312586774e-12,4.86914306918215e-10
"Il6st",67.2541446880503,1.10644152840348,0.161285741693385,6.86013231415641,6.87967969867339e-12,4.88833758489818e-10
"Adam8",724.715627738262,0.801174548580915,0.116814157957244,6.85853977455508,6.95679634172706e-12,4.91866165111613e-10
"Arap3",199.954718913593,-1.07748903343551,0.157842011579913,-6.82637672094034,8.70860624429181e-12,6.12691203847171e-10
"Ctsc",450.585163526069,0.770252278881492,0.112871096298274,6.8241764645044,8.84311275303834e-12,6.19104589896537e-10
"Gbp2",488.19652537971,1.41466973735936,0.207593662085101,6.81460947868165,9.45201712873522e-12,6.55309265206779e-10
"Ube2c",548.253196003142,-0.953109552211885,0.139849771145063,-6.81523855497228,9.410747242211e-12,6.55309265206779e-10
"Oaf",48.4557781852281,-1.60416561726127,0.236448683143127,-6.78441341240304,1.16559116256682e-11,8.04201593419288e-10
"Plekhb2",137.88259413917,0.90012130208991,0.133080908266902,6.76371474926111,1.34497769365174e-11,9.23508241381449e-10
"Poglut1",86.7785409444508,1.1753316208178,0.173831857384565,6.76131313616258,1.36746607167723e-11,9.34456958645654e-10
"Itgb2l",72.459180040097,-1.52899466098094,0.227006737347845,-6.73545939140145,1.63412800333578e-11,1.11136267350674e-09
"Rasa4",126.102176458774,1.17271174338669,0.174137176992717,6.73441342991186,1.64592563745188e-11,1.11408104047809e-09
"Ffar2",109.375501905494,-1.4306583109847,0.212749024630998,-6.72462923609686,1.76040113827849e-11,1.18594571023082e-09
"Tns4",10.1848135925488,3.16035490109769,0.470031060642685,6.72371501742131,1.77148749612829e-11,1.18781147510349e-09
"Prg2",955.891518589265,-1.82029896819043,0.270761563425533,-6.72288542421223,1.78160678306283e-11,1.1890143960609e-09
"Srsf1",279.836085467547,-0.706560019534291,0.105227923716354,-6.71456771720452,1.88624566078547e-11,1.25299351289945e-09
"Pdcd1lg2",36.8551635872339,1.68603533695136,0.251277082770735,6.7098651351731,1.94804374181212e-11,1.28805373706299e-09
"Pde4b",340.06614074388,0.824696918144804,0.123245557937497,6.69149405419578,2.20903479700818e-11,1.45389101248252e-09
"Nudt17",36.2307783299134,2.06548641748446,0.309314443615487,6.67762679731858,2.42842481607259e-11,1.58368781840862e-09
"Tfdp1",220.625140698601,-0.810738419448116,0.121401228250854,-6.67817312171564,2.41939141505481e-11,1.58368781840862e-09
"Fdps",543.353061539465,-1.70153446665876,0.255445521567047,-6.6610463797548,2.71884817844512e-11,1.76502680384333e-09
"Extl1",18.7047655779648,2.09027282391338,0.314010965206572,6.65668736293427,2.80068043579636e-11,1.80992389068071e-09
"Vwa5a",69.4977007895722,1.50693611068388,0.226579572875385,6.65080303383158,2.91498165641332e-11,1.8753048656259e-09
"Aacs",130.42949771356,-1.02005673196632,0.153540146574445,-6.64358315870004,3.06147618678215e-11,1.94345332686014e-09
"Apba1",13.4406199164605,2.53862100652755,0.382078118862829,6.644245983212,3.04773221880528e-11,1.94345332686014e-09
"Rnaset2a",596.243086998449,1.12523012064524,0.169371287060258,6.64357070301363,3.06173504091536e-11,1.94345332686014e-09
"Ckap4",553.789725896357,-0.914124797579201,0.137884199813187,-6.6296558910862,3.36470321401807e-11,2.1263137744516e-09
"Tap2",473.015308222587,0.500666796933731,0.0755413899533718,6.62771491552868,3.40923071661031e-11,2.14496181033606e-09
