"","T_PCD11_LMoDC_1","T_PCD11_LMoDC_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PimedMoDC_1","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedMoDC_4","T_PimedCD11c_1","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_4"
"Dnmt1",257,148,82,163,393,408,319,265,187,302,282,334,199,308,269,206
"Dnmt3a",87,56,34,62,139,146,122,142,110,180,154,194,121,154,134,107
"Dnmt3a-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dnmt3aos",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
"Dnmt3b",31,10,11,16,44,32,36,52,31,48,47,59,35,55,58,56
"Dnmt3bos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dnmt3c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dnmt3l",50,35,43,41,187,188,134,111,12,19,19,11,24,28,31,13
"Dnmt3l-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dnpep",179,70,104,94,228,198,153,187,135,268,235,261,110,193,162,120
"Dnph1",10,4,8,8,25,30,17,18,15,14,20,12,26,60,46,18
"Dntt",7,9,3,4,5,6,2,2,25,47,30,47,14,11,15,3
"Dnttip1",189,91,87,96,265,272,167,193,170,307,279,278,137,211,183,143
"Dnttip2",185,75,57,80,235,170,155,181,158,372,359,350,153,243,216,130
"Doc2a",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Doc2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doc2g",14,7,4,4,19,8,6,17,8,37,21,34,9,10,18,5
"Dock1",2,2,3,0,5,10,10,6,15,14,23,26,9,10,17,14
"Dock10",275,133,116,181,547,526,532,540,398,745,661,809,420,434,433,379
"Dock11",12,3,3,4,18,15,16,10,51,87,74,76,25,36,33,19
"Dock2",502,236,154,297,847,663,444,531,739,1231,1174,1249,509,723,646,521
"Dock3",0,0,1,0,0,2,2,2,0,2,0,0,0,1,0,0
"Dock4",1,2,1,0,11,3,4,2,7,9,10,9,2,1,4,1
"Dock5",49,37,26,44,118,188,111,96,35,66,81,63,61,114,97,54
"Dock6",2,4,1,2,10,10,8,4,10,23,28,34,6,7,5,7
"Dock7",12,8,6,4,20,17,14,19,27,53,62,46,7,18,16,9
"Dock8",265,123,113,170,437,358,354,335,352,674,690,758,360,557,483,335
"Dock9",15,4,9,13,26,16,17,25,22,47,50,55,21,27,29,23
"Dohh",142,79,74,109,265,264,172,174,72,174,158,156,128,141,137,85
"Dok1",178,71,86,91,199,219,182,178,171,246,232,314,82,112,120,94
"Dok2",43,20,17,33,88,73,49,53,81,156,134,166,86,122,117,76
"Dok3",371,183,132,253,664,662,359,500,598,948,829,1069,570,744,765,535
"Dok4",4,4,0,2,9,13,8,5,5,17,15,9,4,7,10,2
"Dok5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dok6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dok7",2,1,1,0,9,18,9,5,4,0,2,0,4,1,4,0
"Dolk",22,10,11,26,44,25,21,41,20,35,38,39,24,36,31,29
"Dolpp1",38,27,17,27,86,88,69,75,45,104,86,84,51,79,75,44
"Donson",56,29,32,34,78,62,58,71,67,112,126,140,51,79,72,69
"Dop1a",47,12,17,31,80,69,72,65,53,101,91,98,40,63,57,48
"Dop1b",98,30,29,46,64,68,50,63,143,288,261,290,69,123,84,73
"Dot1l",285,102,72,181,439,400,280,357,176,294,266,331,168,215,193,146
"Dpagt1",71,42,42,40,60,79,58,78,41,67,79,78,49,94,81,49
"Dpcd",85,36,44,44,81,62,56,66,66,126,89,117,54,93,85,56
"Dpep1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dpep2",2,0,1,0,1,2,3,2,6,13,3,8,3,5,2,3
"Dpep2nb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Dpep3",0,0,0,0,1,1,1,0,1,7,7,2,1,3,2,0
"Dpf1",1,0,0,0,1,3,0,2,1,0,0,0,1,0,1,0
"Dpf2",259,118,117,128,400,323,272,260,192,355,342,356,165,223,215,145
"Dpf3",3,3,0,2,1,7,4,3,11,9,6,13,2,3,7,2
"Dph1",35,19,36,23,53,48,21,38,19,34,42,36,20,29,25,17
"Dph2",79,38,23,47,155,102,92,109,43,71,75,83,35,70,55,40
"Dph3",141,69,62,102,313,299,248,282,182,344,307,395,195,299,283,210
"Dph3b-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dph5",75,44,43,44,97,105,102,85,112,225,175,216,82,111,101,86
"Dph6",39,12,13,18,48,32,42,54,38,83,59,91,41,57,53,48
"Dph7",10,3,2,3,16,11,6,6,6,16,14,13,10,4,6,2
"Dpm1",168,110,86,102,219,219,174,223,203,352,352,386,186,279,270,185
"Dpm2",204,85,53,99,274,248,160,193,167,235,247,262,135,203,171,149
"Dpm3",232,119,69,106,350,345,245,277,286,614,530,645,272,396,363,262
