"","baseMean","lgFC_CD11c_Treatment_6H_vs_CD11c_Control","lfcSE","stat","pvalue","padj"
"Slc45a3",29.9970007613553,1.50355639636846,0.314232387578306,4.78485495386366,1.71110854921176e-06,3.41932582437722e-05
"Ncl",1110.58456188353,1.00540532471049,0.211570083139694,4.75211480654686,2.01300012063029e-06,3.98028473870526e-05
"Zdhhc14",63.6752687920885,1.59567981371212,0.33902669893897,4.70664941347102,2.51821433994004e-06,4.83177733750442e-05
"Scube3",5.0871947473855,3.72768852069984,0.798979596776693,4.66556159348547,3.07775282799143e-06,5.78590845944228e-05
"Tcirg1",833.978793950036,1.11802052108566,0.241829956707058,4.6231680156978,3.77923369624354e-06,6.99346389109989e-05
"Bcl11a",84.6308994353971,1.22346926869835,0.265781010630768,4.60329827851409,4.15851972520038e-06,7.65179393283334e-05
"Sfmbt1",71.3289292014801,1.02648143051897,0.223393159949255,4.59495461164587,4.32843474397199e-06,7.88635960564868e-05
"C2",5.98297795897332,2.71569753283143,0.59362693454923,4.57475457189892,4.7677856056191e-06,8.60251358439651e-05
"Lif",34.5571807326509,4.9046873043742,1.07776893208778,4.5507781476621,5.34478802609994e-06,9.5771828418091e-05
"Washc1",146.051014607232,0.763881383020326,0.168446133283825,4.53487039523321,5.76388680179127e-06,0.000102856520445134
"Sgcb",26.3614061360015,1.89417578889802,0.419017819872323,4.52051368477643,6.16897569095356e-06,0.000109038321689694
"Zfp213",35.5940739335917,1.02770628188449,0.22793723387235,4.5087248995047,6.52184100496026e-06,0.000114189272723456
"Casz1",56.4960699802292,1.05430319073281,0.234577464546156,4.49447773157836,6.97409007657008e-06,0.000120887763976916
"Mrps6",118.727663939628,0.75426446125879,0.168611910361122,4.47337592963246,7.69942403090916e-06,0.00013179185160276
"Adap1",267.762907737177,0.791149664875351,0.176981800665642,4.47023175207721,7.81348858842711e-06,0.000133568558537251
"Shmt2",200.604059872559,0.956784933570489,0.214153413926102,4.46775475594634,7.90448501994775e-06,0.000134769915628441
"Lrp8",74.1133885646704,1.31106816876073,0.293874175947977,4.46132486643815,8.14544992719291e-06,0.000138334410055943
"Gtpbp1",162.666656736976,0.694478037380245,0.155730717577896,4.45948010888007,8.21586973416761e-06,0.000139348434643789
"Gm4707",23.6241168013401,1.27692683321584,0.287062975463518,4.44824635135898,8.65742037908219e-06,0.00014626543079413
"Serbp1",1678.91820591298,0.497168317235749,0.112280352003514,4.42791911821035,9.51465650666146e-06,0.000159917527771523
"Tbrg4",95.716394840943,0.687363008197595,0.155492102435119,4.42056540128401,9.84429848753483e-06,0.000165031545134459
"Irf4",197.434053827509,1.53894591396461,0.348230492613505,4.4193312952426,9.90067741915015e-06,0.000165337500058696
"Dnajc7",305.365491790964,0.64897964005064,0.147032053647035,4.4138650311488,1.01541277778294e-05,0.000169135785226354
"Zfp296",48.5513060555169,1.17335850446734,0.267259620048225,4.39033215813005,1.13177645342168e-05,0.000186370631424843
"Dop1b",171.30972245653,1.05000851357487,0.239663047952851,4.38118651391529,1.18034775767385e-05,0.000193633593689523
"Isoc1",103.921620516323,1.09471538253468,0.250124390359673,4.37668386102014,1.20498550061047e-05,0.000196844766483787
"Trim14",24.6426508491823,1.50130464532864,0.343405513548575,4.37181287456611,1.23219113563738e-05,0.000200279292162342
"Srm",190.327155115082,1.04892457818894,0.240201149956409,4.36685910279487,1.26045978458953e-05,0.000203946782807527
"Stoml1",39.9300501108253,1.11795325248439,0.256206195181391,4.36349031955646,1.28003607463657e-05,0.000206857009875119
"Zfp593",24.2796656899927,1.40303702501828,0.322437392624958,4.35134713624924,1.35303637859695e-05,0.000217036377918221
"Kat6a",52.4524470439208,0.946962872304389,0.218063063426081,4.34261014876272,1.40799853167249e-05,0.000223785754912405
"Mertk",124.502462442014,1.64897867967589,0.379998336514687,4.33943657438131,1.42848486927706e-05,0.00022662389834665
"Nars",504.076062833859,0.552760454394477,0.127397492107196,4.33886448823786,1.43220796308062e-05,0.000226937800142702
"Nup210",179.357652483118,0.988278709168981,0.228229673246967,4.33019376976264,1.48978190713855e-05,0.000234426646088922
"Inka1",22.590855792926,1.5364368783653,0.357543364150298,4.29720429021707,1.72965774378118e-05,0.000266285415252656
"Rusc2",167.40129890796,1.35195240185496,0.314947652040023,4.29262575255888,1.76572485808127e-05,0.000271516721971385
"Prnp",50.3482831238314,0.934047701524743,0.217823470509795,4.28809484734906,1.80212144467708e-05,0.000276524958206344
"Vps37b",241.200079240589,0.771924667704858,0.180061282990156,4.28701081590682,1.81093479126125e-05,0.000277484696107392
"Gpr4",9.78333935186346,2.04701976118329,0.479611254787289,4.26808116104606,1.97161598581482e-05,0.000297894917066958
"Mphosph10",112.781665085781,0.830189627908329,0.194710990912556,4.26370193083329,2.01067624152797e-05,0.000303444167355421
"Ipo4",120.492284688262,0.730427418823351,0.171645678008734,4.25543728975327,2.0864083765203e-05,0.000314086601591588
"Cyria",77.7756135410112,1.30503956697134,0.306929637303874,4.25191773083579,2.11947724890132e-05,0.000318019371752679
"Gar1",145.060374223905,0.973785346068644,0.230237191981129,4.22948758925299,2.3422419893119e-05,0.000349028935154164
"Arid5b",96.7426145282248,0.93045472141954,0.220085212983659,4.2277021195814,2.36090065404553e-05,0.000350604527494045
"Sidt1",32.3499097051693,1.31270141932663,0.311402111595483,4.21545445726409,2.49275695673699e-05,0.000368503127843085
"Snrpd3",201.045135221586,0.566635314878689,0.134527515176755,4.21204029624862,2.53074382619025e-05,0.000372425864648291
"Pdgfa",163.438184848775,1.34754681158244,0.320956171718658,4.19853839970296,2.68643303229339e-05,0.00039179156185095
"Kmo",45.6340782996261,0.821312361394543,0.196094555865545,4.18834861462287,2.80991651386823e-05,0.000405707035836979
"Rftn1",363.019599683257,0.785705759378772,0.187735316301977,4.18517823314045,2.84942434754062e-05,0.000410046032490663
"Mef2b",19.4830462842263,1.28073533801504,0.306068894729015,4.18446748451511,2.85835354764996e-05,0.000410876478468269
"Zfp598",134.739488179863,0.666217673403168,0.159261266188805,4.18317453669723,2.87466521889866e-05,0.000412310031231011
"Dscaml1",16.0366364332033,2.58845707406409,0.619098466110842,4.18101031702549,2.90216694210653e-05,0.000415415065930608
"Kdm2b",53.9717313971408,0.958278500203042,0.229227519922618,4.18046882209665,2.90908697872845e-05,0.000415415065930608
"Rhoc",638.925060465975,1.27313589229711,0.305029328839649,4.17381468575561,2.99541433248823e-05,0.000426338567301306
"Nop2",133.866999810491,0.93543000385183,0.22426045772019,4.17117673512896,3.03030714913879e-05,0.000430833504952421
"Oaf",37.6015376055009,1.39527793680092,0.335926044153959,4.15352712623093,3.27389382071921e-05,0.000460433348256608
"Mrto4",79.7357480543988,0.832778692024228,0.201195506244905,4.13915155247319,3.48592621658427e-05,0.000488142240597898
"Gm19412",7.27853424309574,2.75244522126689,0.665381853397268,4.13664004693487,3.52428294324689e-05,0.000492982761383858
"Rcc2",231.693773451183,0.926390478562582,0.226178894283926,4.09583078693305,4.2065711241171e-05,0.000577249828624887
"Kdm6b",64.5991372403103,1.46598295823272,0.358165033389357,4.09303762670509,4.2575859938141e-05,0.000583634733335381
"Nle1",56.8001610690177,1.19091457577487,0.294108365886604,4.0492373353094,5.13848139544107e-05,0.000688429500239885
"Gemin5",36.800282918594,1.07508472052575,0.265741261512941,4.04560704801724,5.21877107980095e-05,0.000696317876688519
"Sytl3",12.5660750052914,2.45227533039987,0.606616431081222,4.04254682984597,5.28737482794969e-05,0.000704027217367426
"Bcl2l11",227.347749399873,0.672442422109089,0.166724857433756,4.03324634646198,5.50115563381863e-05,0.000730250343268842
"Il17a",30.1288417771303,3.92462310929205,0.974703450075451,4.02647913987403,5.66182597775732e-05,0.000747005011608975
"Pdgfb",81.1323917065747,1.26055805173364,0.313613144247329,4.01946817235284,5.83296605791415e-05,0.000766475307549547
"Nf1",47.226077085829,0.964353143708678,0.24151860457883,3.99287311795443,6.5277502121588e-05,0.000842455382043391
"Gpatch4",77.7403204070479,1.1252440912014,0.282532112429472,3.98271220048407,6.8133243901425e-05,0.000874970750161537
"Rtl5",28.1280577105255,2.04897072682828,0.514658479083785,3.98122407402273,6.85612782188738e-05,0.000877867783808395
"Polr1c",127.977629726282,0.596239116674005,0.15017166984963,3.9703834769303,7.17570437923688e-05,0.000912499885332283
"Lpxn",182.347266273853,0.781870383791396,0.197006373349527,3.96875679957932,7.22485707523392e-05,0.000917853180583185
"Vwf",53.0836656768715,1.55817208533446,0.394307815585529,3.95166421700429,7.76095873787807e-05,0.000977369915015061
"Pdcd11",59.137003493945,0.7812303960827,0.197829564962093,3.94900729945191,7.8475958909417e-05,0.000983174721097409
"Grn",3013.08630896507,0.809079123904258,0.205225103222181,3.94239842592908,8.06708185910351e-05,0.00100714652500074
"Sipa1l1",185.358749134076,1.50292661492746,0.381525908177908,3.93925178529851,8.17361160683302e-05,0.0010194680095234
"Tomm70a",11.0173188977322,1.69437085401379,0.43072730851327,3.93374374116702,8.36329469259049e-05,0.00103814981541899
"Gadd45g",220.730799445738,1.02883698034943,0.263157806835101,3.90958183123221,9.24560319876511e-05,0.00113254286264346
"Pim2",75.3994561075528,1.21262110867375,0.311262757632521,3.89581175048696,9.7870385108901e-05,0.0011876826864568
"Polr2g",263.562609343621,1.0422021517146,0.267944412004458,3.88962077588415,0.000100400991864746,0.00121273584323907
"Il17f",27.9200646096079,4.54386979873002,1.17101250726949,3.88029143200632,0.000104331378326971,0.00124861720391497
"Itm2c",649.70804798238,0.637849398544068,0.164641779668252,3.87416486768616,0.000106990965554136,0.00126993199899065
"Bcl2l1",289.546791960584,1.5258699332669,0.396595280420373,3.84742332699862,0.00011936661604033,0.00139018827938107
"H2-T23",1014.81222581902,1.20218235230616,0.314186373639204,3.82633510925806,0.000130065202026183,0.00150401618947433
"Cttnbp2nl",44.7974479761777,1.1469433250071,0.299898765257523,3.82443496898769,0.000131072335688929,0.00151297250663468
"Tbl1x",66.5017986578747,0.904685232226968,0.236722878900388,3.82170593915282,0.000132531670141475,0.00152812874829544
"Nhp2",330.990069998601,0.518375034801101,0.135850445756235,3.81577720938254,0.000135754952478858,0.00155597901039424
"Rbck1",141.742606644146,0.665429128978553,0.175077645106849,3.80076581777443,0.000144249581609694,0.00164464750846671
"Nsg2",32.4468245886247,0.998187671142017,0.263495956426853,3.78824663830891,0.000151714201334819,0.0017192073564152
"Elf1",288.103891998211,0.815105752004432,0.21556238392622,3.78129865312408,0.000156012376075767,0.00176024718158686
"Serpinb6b",277.31082698778,1.3244143158918,0.351551989134861,3.76733557716759,0.000164999142477021,0.0018393092069268
"Ly6c1",75.4922595125608,1.2569280557823,0.333719583894774,3.76641982203425,0.00016560523314535,0.00184290716679885
"Hnrnpc",460.553876944376,0.741076223232558,0.197922798213567,3.74426912877872,0.000180919647555341,0.00198782406676303
"Nol9",86.0019995709505,0.694399746585992,0.185842226181334,3.73650144455565,0.000186598377562248,0.00203816817271812
"Polr1b",16.7891261341726,1.23667072062046,0.331510951097666,3.73040684335078,0.000191170819300733,0.00207683245735314
"Vegfa",312.348638786571,1.3587910177455,0.366193699512323,3.71058000057092,0.000206784934438781,0.0022158692027299
"Cxcl11",4.81031762143385,3.31401516853273,0.894225855384026,3.70601582204255,0.00021054515209423,0.00224690884626238
"Patj",31.9962126920751,0.8554051576713,0.231510914180427,3.69488047982327,0.000219990244457931,0.00233641464917944
"Zc3hav1l",3.08752112851976,3.49947375336517,0.948032247388911,3.6913024456747,0.000223108650294039,0.00236739023790796
"Ltv1",138.828369186884,0.808797886576235,0.219397082010756,3.68645689889615,0.000227397933934683,0.00240310294277522
"C1qbp",354.622200560562,0.707062836284233,0.191824210024864,3.6859937345374,0.000227811955256161,0.00240552412818782
"Rab29",107.854907678109,0.762681805673788,0.207365681424843,3.67795577567744,0.000235110710790532,0.00247056158051215
"Mdn1",49.6344410224667,1.08023503449823,0.296670551056193,3.64119401353597,0.000271376527981496,0.00278637510064032
"Fcrl5",10.7774245022553,1.45849815655501,0.401244120903841,3.63493963044144,0.000278045737108364,0.00283249568836547
"Slc19a1",28.0511357161813,1.09988132251743,0.303661621413887,3.6220623383233,0.000292263665713866,0.00296337523635216
"Cct7",620.078019573932,0.434017632678071,0.120101473000037,3.61375778195442,0.000301791013601159,0.00304105290157822
"2700038G22Rik",23.9962550925154,0.978609250736828,0.272051191994043,3.59715112278669,0.000321721582300189,0.00321664957749252
"Gm49662",3.32150390423897,3.39192674213742,0.944478553044577,3.59132214405861,0.000329004664273699,0.00327218782686281
"Inf2",178.888828185849,0.707689909184239,0.197053958055339,3.59135089783631,0.000328968361865518,0.00327218782686281
"Sfxn2",35.0627067041722,0.930665320754474,0.259606943890425,3.58490149303283,0.000337205455415717,0.00334352573895051
"Gvin3",16.0327737168098,1.46581792714841,0.408978033425237,3.58409940717847,0.000338243255198903,0.00335126161986483
"Wnt10a",8.40522427424277,1.76762553229142,0.495084784799185,3.57034913324675,0.000356505738493528,0.00350285736560597
"Tlcd2",17.2525502560133,1.38699369116339,0.389856622111802,3.55770201786038,0.00037411336125845,0.00364557357049527
"Tnks1bp1",16.6607660691484,1.46746604930736,0.412457948949965,3.5578561476224,0.000373893968663646,0.00364557357049527
"Fbxw7",77.4806008270076,0.696168653880367,0.196868648333406,3.53620883657094,0.000405913675023614,0.0039231285277728
"Cluh",116.22489617026,0.754882791819637,0.213804346821821,3.53071770074318,0.000414433809675619,0.00399656740553753
"Eif5b",56.9553506959767,0.843513469656481,0.239461456180615,3.52254380771934,0.000427426394864666,0.0041066395648408
"Eps8l2",11.6567394813157,1.34997349263784,0.38375175799647,3.51783011936134,0.000435090801030841,0.00415572410470647
"Treml2",103.99022397273,1.01824515638702,0.289576224215951,3.51632859066379,0.000437559089839549,0.00417317170067646
"Rrp1b",39.2190996087572,1.17653822027071,0.334765687534447,3.51451258023463,0.00044056180389213,0.00419873150683715
"Pbdc1",66.4517014314209,0.838732059751857,0.23933897254214,3.50436893266174,0.000457690803041241,0.00432710730869441
"Aimp2",79.0237125782026,0.767554155673411,0.219675804935081,3.49403137910541,0.000475785092143173,0.00448188867754565
"Rbbp6",203.692602340763,0.410071826489849,0.117729515879436,3.48316922418839,0.000495515037082993,0.00462089972574384
"A930015D03Rik",5.97718371583688,2.06423344755272,0.593262387823613,3.47946117926905,0.000502423155427284,0.00467461475714189
"Gm18752",3.07470650617097,3.07903885025832,0.884957521718123,3.47930694377335,0.000502712433333962,0.00467461475714189
"Timm10",153.835535530319,0.641039537306447,0.184826330496596,3.46833449316495,0.000523694999149611,0.00484548239255853
"Igsf9",5.71822716961941,1.9556790949321,0.56395240071468,3.46780879459637,0.000524720495044734,0.00485152019903123
"Gm11427",50.7043853816252,1.04956382983488,0.302769507855864,3.46654402970636,0.000527195382126975,0.00487094085659788
"Eif4a3",310.469752931988,0.70135966832731,0.202622730316936,3.46140666069531,0.000537360423413473,0.00494029805525503
"Rangap1",207.992911764803,0.466719525623921,0.134832472843411,3.46147716333846,0.000537219696099538,0.00494029805525503
"9130230N09Rik",11.0153970568064,1.51163874898157,0.439044884325551,3.44301642713297,0.000575264369906542,0.00526644207467573
"Ciart",19.0110609535611,1.46712567540128,0.426349813795158,3.44113126810503,0.000579287424763517,0.00529209979546951
"Suco",50.9129633426251,0.784112717650981,0.228023069713076,3.43874292472967,0.000584421926801979,0.00532405101244184
"Eif3b",372.34274893714,0.476243581825004,0.138555479336707,3.4372049673162,0.000587750646473559,0.00534688682515702
"Sf3b3",155.79472122388,0.580501802951148,0.168879489817679,3.43737302604273,0.000587386046934958,0.00534688682515702
"Bag5",83.3236637525352,0.742676410553486,0.216656071703314,3.4279049034476,0.000608258488668906,0.00551033055647201
"Trmt61a",43.4924272757985,1.29714558910682,0.380731989709664,3.40697820032404,0.00065686373121437,0.00588952404247243
"Dkc1",48.9084648321232,0.987017462522163,0.290003167404175,3.40347131845827,0.000665353984303163,0.00594885909402052
"Gzmb",16.0566561780668,2.58326284618536,0.761291392195716,3.3932642253247,0.000690649846836634,0.00614126032638262
"Mcm6",126.299545997186,0.555197647709741,0.163701616592554,3.39152208308122,0.000695055617205733,0.00617199899264804
"Cd82",313.571726848136,0.888034549942763,0.261902374177392,3.39070828484082,0.000697122600740724,0.00618613090930155
"Sh3d21",4.49098812874977,2.15045389818044,0.636072802736437,3.3808298184249,0.000722672866375734,0.0063867196458437
"Eno2",38.3102293962408,1.00637402210781,0.298588402584126,3.37043908403064,0.000750484966988617,0.0065788806843362
"Cnot6l",120.006579157943,0.579861894278019,0.172322242524982,3.36498577189741,0.000765476062567029,0.0066832738912312
"Isg20l2",78.3659851193928,0.650169791044816,0.194253509558137,3.34701696007315,0.000816862125264553,0.00706553150769054
"Nmd3",125.3791690574,0.939122386656477,0.280567043050942,3.34722986864128,0.000816234960564244,0.00706553150769054
"Hspd1",330.127111426458,0.543921360596746,0.163312561213898,3.33055434654746,0.000866732426267945,0.00741797508771033
"Snai1",8.58585067780726,1.55587437551417,0.467207351557667,3.33015816280908,0.000867966660115588,0.00742365435992352
"Plxdc1",19.8572333330649,2.21621278814108,0.665859570619969,3.32834862774085,0.00087362466400927,0.0074622345726176
"Perm1",2.60036272314516,3.33540117645544,1.00343165283119,3.32399438172453,0.000887379836045484,0.00755492427167258
"Zfp628",59.9466998044309,0.750783462851208,0.225904639776441,3.3234530445864,0.000889103895003323,0.0075597075621557
"Ptger4",112.728250912818,0.960590569886923,0.289801180436637,3.31465375137403,0.000917567034854394,0.0077712432007948
"Tmco4",45.7708552003882,0.763751814936678,0.23098931744758,3.30643781875324,0.000944903198808593,0.00797679799695068
"Nop16",83.8349242573785,0.70657570279942,0.214293677982163,3.2972307417218,0.000976432475246879,0.0082056912600043
"Ddx21",131.169613109399,0.926559228274033,0.281095117390653,3.29624803474029,0.00097985464485147,0.00821852293673293
"Usp6nl",48.539428169229,0.874023619517913,0.265364659977418,3.29366999958582,0.000988885226103114,0.00827825476600735
"Ndrg3",154.818246155777,0.536432547462673,0.163062209809893,3.2897416764318,0.00100279399149047,0.00837992039237881
"Taf5l",104.889039452525,0.675120430396327,0.206399812101323,3.27093529554623,0.00107192433011021,0.00885649221759426
"Phlda2",2.23882135711687,4.76225564927791,1.45824277362902,3.26574952771852,0.00109174770184735,0.00897758903497608
"Ehd3",33.586503872339,1.09266523137309,0.336180958923558,3.25022938500673,0.00115311956527998,0.00940497330703906
"Rnf157",57.1193759110305,0.69570380700859,0.214805182037792,3.23876640409072,0.00120047850406363,0.0097423735866274
"Gng4",4.37747221055113,2.23522731987844,0.691320071843873,3.23327415319607,0.00122380058006194,0.00991308950562005
"Ap1s3",44.1387906982597,1.03454983985679,0.32021662616562,3.23078115038819,0.00123452424453445,0.00999373111210244
"Ildr1",10.403710485022,1.49017337794065,0.46137938239357,3.22982221314235,0.00123867217765486,0.010021073606413
"Nkapd1",51.2877097532067,0.705515538323781,0.218583219136431,3.22767475523099,0.00124800784372179,0.0100651065689362
"Zmynd19",14.7773748075142,1.33919250332611,0.415720639602531,3.22137602936073,0.00127576641947327,0.010251047159313
"Ctps",37.16225502976,1.02159379075692,0.317195063008825,3.22071151129013,0.00127872795948341,0.0102685012499504
"Ipo5",245.420337803401,0.596329784886667,0.185672087089157,3.2117363155417,0.00131935410764437,0.0105648050853031
