"","lgFC_MoDC_Treatment_6H_vs_MoDC_Control","lgFC_CD11c_Treatment_6H_vs_CD11c_Control"
"Ifit1",6.15896098610523,5.33258469709046
"Ifit1bl1",5.93143957464355,3.89370058826324
"Ifit2",6.49149822202527,4.89391267457244
"Ifit3",7.57593551926032,5.52838843949829
"Ifit3b",6.65566436734694,5.74107442706894
"Ifitm3",1.47351497502587,2.14991611168059
"Ifnb1",3.91266814810686,7.53908194910974
"Igf2bp2",1.41381482414117,1.4485145617815
"Igsf6",1.26044766107291,0.674496333100766
"Igsf8",1.86551514658413,1.75760071435369
"Igtp",4.96923548870886,3.55702729373579
"Iigp1",4.94389706527282,4.83298050341828
"Ikbke",1.81721901138473,1.4337218968952
"Il10",6.34666330933589,4.21183435812504
"Il12a",6.37000028533673,3.82930357764843
"Il12b",6.42223713034277,5.77922253325508
"Il15",5.17785968083518,2.74792392982379
"Il15ra",4.61058143338972,1.76211192521241
"Il17ra",2.21682263886522,0.391897500744889
"Il18",3.82495118047048,2.04849867158743
"Il18bp",2.63603017219352,1.63931260041363
"Il1a",5.21195869435104,5.32420175234365
"Il1b",7.51641184378065,5.21363972085166
"Il1bos",4.18506196976906,2.97333940610132
"Il1rn",2.33869753843542,1.7890831457573
"Il21r",0.998388670980494,0.862973757566641
"Il27",7.56324092726968,6.60658017297416
"Il2rg",1.13762704788655,0.932117142825167
"Il33",3.56347852697679,5.40319005051741
"Il36a",6.81671217466755,4.73596480666254
"Il6",5.63791812377537,3.65930205427786
"Ilf3",0.847869926456972,0.440206917876719
"Ilrun",0.972309514763002,1.11717377193349
"Immt",0.780817490674615,0.559122242241999
"Inhba",5.0866410577273,3.27283636945518
"Ino80",1.1690397422901,0.690573846299719
"Inpp5b",0.952316337237289,0.859525868850824
"Iqsec2",1.70750547322952,1.47769734181858
"Irak3",2.45212236205489,1.37131774716744
"Irf1",3.35368325555591,2.13046067024374
"Irf2",1.19425876948424,0.809736085940675
"Irf7",5.93098355044767,3.7675745012488
"Irf8",0.823067246599936,1.73357364919159
"Irf9",1.88785977408694,1.46678006695662
"Irgm1",4.73906108807103,3.46677975714217
"Irgm2",4.69439805108574,2.91185308360767
"Isg15",5.50196707033068,3.31892822546461
"Isg20",6.11093062137388,2.31129974142402
"Itpr1",1.60051908436312,1.65103292472091
"Jdp2",1.06075609298267,1.34770878311686
"Jpt1",1.40125288723507,0.25913613710682
"Junb",1.33334943688495,1.20945510982801
"Kat2b",1.48867167762417,0.75225314063785
"Katna1",2.0374822623892,0.999418793303349
"Kdm4a",1.67790261818281,0.758391056483661
"Kdr",2.4056151526734,1.87798171376678
"Keap1",1.45405957866017,1.44110146735747
"Klf6",1.53028173687305,0.992912643191547
"Kpna3",2.7641749189206,1.9123656018151
"Ktn1",1.27382252673602,0.544956552064794
"Lacc1",2.65893145062985,2.54030285057134
"Lad1",6.49909119035726,1.97250108188855
"Lap3",2.42114792011844,1.13180055929346
"Laptm4a",0.389978452263332,0.752253893087158
"Larp1",1.60664162828581,1.46712254788237
"Larp1b",1.92756717165321,0.862298092469038
"Lgals3bp",1.93307746661313,3.09955563309476
"Lgals8",1.75657890868649,1.16369391802985
"Lgals9",2.9359838774464,2.46704928818261
"Lhx2",5.71571518022957,3.89368540551897
"Lilrb4b",1.20560574992773,0.711921182846378
"Lin9",1.06107299351783,0.782698274010061
"Llgl1",0.701717108602051,0.561960777878427
"Lmo4",3.20096343966915,0.542700935961311
"Lox",4.20694170577419,3.55271381556143
"Lrch1",2.10039193305159,0.945275231808133
"Lrrfip2",0.623159869359481,0.622381335820306
"Lsg1",0.660127252669451,0.696293625865923
"Lsm14a",0.966731264496623,0.449959647302427
"Lta",4.5465728494346,1.87948732870121
"Ly6a",1.29608469964577,1.90779251565403
"Ly6e",1.38475698669113,0.915232114781623
"Ly75",1.63511410515551,1.05093304401883
"Macroh2a1",0.950644672845399,0.381669563999454
"Maff",2.09518081634506,1.34240424740757
"Mafk",1.31080723402953,1.54120003162259
"Magohb",2.2259540635705,1.10431993138062
"Mak16",0.896627959966471,0.55918264124672
"Malt1",3.45834811409145,0.467655194376243
"Man2a1",2.09847370675345,0.828013330220066
"Map2k1",2.14461605289949,1.55036152865765
"Map2k4",0.441341323093438,0.469699141465416
"Map3k5",1.24360577680905,1.00628011769071
"Map3k8",2.33199415842073,1.9619585045382
"Mapk6",0.644419403887907,0.936429111081277
"Mapkapk2",2.89689960481196,1.12384243333563
"Mapkbp1",2.36740808616237,1.02452273070866
"Marchf5",3.36191896639236,2.36739477116786
"Marcksl1",5.83986903300175,2.14029711283987
"Marco",3.10272194607372,1.61105772499128
"Mark4",0.693430433248471,0.578619222416374
"Mat2a",1.28623576374914,1.03300586160898
"Max",1.65193401573884,1.80803701226372
"Mbnl2",1.14546191563077,0.560919693383025
"Mcoln2",3.10436566819986,1.312269602449
"Mdm2",1.51685415926408,0.564758887228961
"Med1",0.806097780114627,0.449595658676484
"Med28",0.838842221896609,0.558786340626288
"Met",1.80713187155812,2.73690140175522
"Mfsd7a",3.18546617851539,2.93449930598094
"Mgat1",0.684201496090909,0.824437688335057
"Micall2",1.79323461072245,1.6960181985918
"Mier3",2.62065934553919,0.923619747227509
"Milr1",1.91862110650539,0.849517043231835
"Mir155hg",3.06716945706451,2.36961472710536
"Mir22hg",0.978305852027604,0.588252724284449
"Mitd1",3.6661290839177,2.29674253921547
"Mki67",2.05090274943698,1.30490874973608
"Mlkl",3.51360019965741,3.12569885667306
"Mllt3",2.47274609808704,0.679014769395594
"Mllt6",2.06685801424624,0.376554932512105
"Mmp13",2.76615303046547,2.64745745286208
"Mmp14",2.28533814485859,0.857855725995327
"Mmp2",3.38172624622551,3.4274252516277
"Mndal",4.25808303132631,2.66157724250661
"Morc3",1.96173335166256,1.36838992294452
"Morrbid",4.32878627151849,0.755889979234737
"Mov10",3.51133722862404,2.83931914922407
"Mppe1",0.64713703852803,0.718410361882056
"Mrgbp",0.819089740261737,0.805241312915333
"Mrpl30",0.854867399329199,0.940411777003671
"Mrpl39",0.855624150571246,0.592604740862044
"Ms4a4c",5.27829296055195,2.34660929869997
"Ms4a6c",4.14769588499277,1.722430948581
"Ms4a6d",2.69280272374057,2.02656023972762
"Msantd3",2.36790413896214,1.23917587394876
"Msn",0.979586398202341,0.588466171567868
"Mtdh",0.98907920521677,0.770548089902207
"Mthfd2",2.27871629705137,0.846884885365544
"Mthfr",3.98568866151057,1.60876800083203
"Mtm1",0.89651833075023,0.887082949821566
"Mtmr14",2.63146935128184,1.11017011235575
"Mtmr7",3.3866822234158,2.71657326821139
"Mx1",5.79406452339576,5.27685412491209
"Mx2",6.1899907482985,5.33022552708188
"Mxd1",2.30995079451202,1.15313187229198
"Mycbp2",0.567455030754793,0.485758463314128
"Myd88",2.16636927636667,1.13928434367126
"Myl12a",0.491496817809459,0.310067472862823
"Myo10",1.08805705049396,1.35155033736152
"N4bp1",2.61079477013926,0.970431326982423
"Naa25",3.41879904284926,1.68634454705046
"Nasp",0.643901876431892,0.469108236198533
"Ncoa5",1.39198230591721,1.08973265358673
"Ncoa7",0.713864130408404,0.6287487722863
"Nectin2",1.72320826269006,1.94847562072359
"Nfe2l1",1.13786142916293,0.543367502487861
"Nfix",1.17545739243182,1.15036381813379
"Nfkb1",3.20894050193427,1.0987856513682
"Nfkb2",3.8852609512995,1.40971417255727
"Nfkbia",3.84949749611108,1.68954683706051
"Nfkbib",3.01745651577612,1.36533289113323
"Nfkbid",0.962113468910284,1.00882160838842
"Nfkbie",3.85502832653771,1.5062604589358
"Nfkbiz",5.17486282590727,3.48092924006383
"Niban2",0.492317394235343,0.749023173177504
"Niban3",2.17308562468412,0.841000218167472
"Nlgn2",2.84765603397433,1.64107048027419
"Nlrc5",4.16308137011918,2.71274981823816
"Nlrp3",4.22930530760286,2.89959382595579
"Nmi",3.36862246432204,2.43405649671726
"Nod1",4.530967129476,1.24788196382133
"Nol10",0.718618439425844,0.930572298168171
"Nono",1.4356137368035,0.536166382619295
"Nos2",7.82321693553423,2.19949790727634
"Notch1",1.33388836374923,1.08568267645837
"Npc2",0.676294694806682,0.731906161888043
"Nploc4",0.746224082146806,0.504878538706555
"Nr3c1",0.967999579322188,0.590318952946801
"Nrp2",2.28487026978114,1.37220215308003
"Nsd3",1.47288394678252,0.739425645127852
"Nts",4.83336117475196,4.47874496089401
"Nub1",1.62136064772774,0.891842348619152
"Nudt9",1.07453173929042,1.04415679069925
"Nup62",0.455283332621987,0.636599786456417
"Nup98",0.916484250814002,0.823750521543526
"Oas1a",3.63265716603997,3.24310065462622
"Oas1b",4.42621869711432,2.52643580198878
"Oas1c",1.15860935821855,1.62068574549529
"Oas1g",4.41386258409496,3.69931624426675
"Oas2",4.77297394769993,4.54338640804353
"Oas3",3.74787317574076,4.09066807562189
"Oasl1",7.25917835415527,4.30907607150307
"Oasl2",5.01700094650586,3.17662627120744
"Ogfr",2.66845993893445,1.94117761614392
"Optn",1.17454542992038,1.15913493468591
"Or2v1",4.50322974023173,4.88455167581197
"Osbpl3",2.57519799520781,1.02872476490544
"Osgin2",1.74408757042263,1.39749489115255
"Osm",2.24398301308067,1.32352282490424
"Otud5",1.18483376027271,0.739879696405184
"Oxsr1",0.633223360704311,0.772641890246303
"P2ry14",2.68796306482423,0.973687769745413
"P4ha1",1.95971931191704,0.747027561696741
"Pakap",2.48591051497015,1.82757387237335
"Parp10",3.08626823330928,2.58328500309472
"Parp11",2.85793346575185,1.59008944780469
"Parp12",4.00086229339297,3.7308432879151
"Parp14",4.68459515657721,3.91809441927235
"Parp9",3.64566344203948,3.25782178422628
"Pcdh7",1.49537284523461,2.37994274225831
"Pcgf5",3.11631422170147,1.68214797152384
"Pdgfrb",4.45003799376729,3.50204809131539
"Peli1",3.48106013016159,1.26437429188233
"Pfkp",1.52317359406426,0.384376756570561
"Phc2",1.35391093250036,0.815277579792606
"Phf11a",5.09289597215954,4.34731095642146
"Phf11b",4.9835479787115,3.86318847224947
"Phf11c",3.45522392141869,3.54803592762997
"Phf11d",5.01151080613814,5.154251734137
"Phgdh",1.5679717623757,0.832491996757884
"Phip",0.849217680334342,1.87248175948679
"Phlda1",3.62240473891471,1.93106644723211
"Phldb1",1.75561115090557,0.899056049973078
"Pi4k2a",1.16811874165372,1.20310632833774
"Piezo1",1.18121384783232,0.969387235214575
"Pik3ap1",0.98843907278086,1.91762634776944
"Pik3r5",2.08320772682129,0.579473987421429
"Pim1",2.6159037085388,1.0910257847838
"Pip5k1a",0.858366848537854,0.621028736697635
"Pkp4",1.70597718596725,1.05462145521027
"Pla1a",4.90790121616345,1.94565536625366
"Plaat3",3.86220462288292,1.09664555673192
"Plagl2",2.22887711944674,1.30217381658695
"Plat",4.62882266298465,3.15566724989378
"Plaur",1.40551481401042,0.491010782036602
"Plcl2",1.53130837854333,0.653080362407453
"Plek",3.17843300077006,0.942672634615914
"Plekhf2",1.09796460100844,0.943133252780639
"Plk2",1.25663624127819,2.96253821518458
"Plpp1",2.94445096275139,1.27574243734268
"Plpp3",2.61435873779966,1.03509194967622
"Plscr1",1.23065901275643,1.54093937554068
"Pmepa1",2.67429081511779,1.43754960345404
"Pml",2.74409142118352,2.9517261750864
"Pnp",4.24390380239849,1.71656906139327
"Pnpt1",2.47414700177403,2.24526303290294
"Pold3",0.624961870956094,0.675558460860866
"Poldip3",0.991534827206464,0.498327774869546
"Polr3c",1.01790847167992,0.415387372217545
"Polr3d",0.893777650269623,0.648389694425065
"Pom121",0.702072410226552,0.586026539932997
"Pop1",1.08693877941939,0.880173857646219
"Pou3f1",5.06038404775481,3.3609235461501
"Ppa1",1.59862814914218,2.55105209436864
"Ppfia1",1.7546602696378,0.579930232674253
"Ppfia3",5.45903648171388,4.26314523117703
"Ppfibp2",2.44811515054584,1.14475013899533
"Ppm1k",3.36364271422036,1.38971235346514
"Ppp1r15b",1.93567122144221,1.06554723904628
"Ppp1r16b",2.19377850691776,0.641349118202169
"Ppp2r2a",1.47101945326467,0.625496356482497
"Ppp6r1",1.3348561561689,0.76044835281062
"Prdx5",1.39844527985716,0.9400300685966
"Prkrip1",0.766810739560751,0.634128266071554
"Prkx",0.90774710846878,0.759404854780691
"Procr",2.11233520912285,2.32256444075044
"Prpf38a",2.61909881659686,0.792032900008553
"Psma6",0.744332118839688,0.79257692841984
"Psmb10",2.76468755618147,1.59232453111293
"Psmb4",0.919581807581128,0.476026302872176
"Psmb6",1.24991118784323,0.524793179428478
"Psmb8",1.87981829359221,0.763087634667273
"Psmb9",1.6565523363728,1.10085757407994
"Psmc4",0.593772425120464,0.397485785123688
