"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Control","lfcSE","stat","pvalue","padj"
"Rnf145",217.153112835986,2.01399449891951,0.237121073635717,8.49352808689438,2.00456999439078e-17,6.99958929243409e-16
"Tnip3",215.582073354036,2.68214381650448,0.315959913061906,8.48887376411881,2.08649213093949e-17,7.26706047543797e-16
"Olr1",241.85147248716,4.08075863941584,0.482763073387316,8.45292207372681,2.84101304015502e-17,9.79503814071629e-16
"Spaca6",29.64861126927,3.2376047209479,0.387825338660669,8.34810002907176,6.93698140341909e-17,2.32704194351058e-15
"Lims1",443.787908141231,1.25834133142133,0.151337382767835,8.31480833358758,9.19006719434644e-17,3.03806264901724e-15
"Kansl3",184.927389219108,1.45416382685467,0.175660784588941,8.27824964039367,1.24998969523486e-16,4.04410173200037e-15
"Cggbp1",233.70439251149,1.99595546275863,0.244811931848185,8.15301545022885,3.54960242813397e-16,1.10142549889348e-14
"Asf1a",145.821032445785,2.34504224076473,0.288881180193278,8.1176705218241,4.75216829723667e-16,1.46129175140028e-14
"Fubp1",177.815476872642,1.45876295940917,0.179788357255794,8.11377878787619,4.90694331057932e-16,1.50549431504134e-14
"Clcn7",857.55976538083,1.76190475912377,0.218963276115129,8.04657653275785,8.51421514566092e-16,2.57178272972807e-14
"Cemip2",58.336939459403,2.59484613269576,0.324779780208401,7.9895556645513,1.35425968661891e-15,4.05476041697543e-14
"Pilra",512.068971154461,2.37502305227228,0.297702627809412,7.97783704412836,1.48919821515469e-15,4.42963469096012e-14
"Tnfrsf1a",485.651949743197,1.20940667242962,0.152905089333828,7.90952529898596,2.58372193646974e-15,7.56986171644236e-14
"Golga3",61.8646848772068,2.33734477548463,0.295995023963404,7.89656780099659,2.86688337085714e-15,8.35839236941628e-14
"Nod2",36.1483654959058,4.22340077093064,0.534870834549157,7.89611341304588,2.87734887103615e-15,8.35839236941628e-14
"Gas7",127.434884157464,2.69970339713453,0.342398795571325,7.8846755071957,3.15353899601917e-15,9.12187879505291e-14
"Prpf38b",390.746965698081,1.41438418857441,0.179652657876702,7.87288206749006,3.46563310957006e-15,9.96132396735999e-14
"Aldh1a2",206.890342158541,4.00460202543964,0.511379716754585,7.83097548501612,4.84099070919696e-15,1.37695929484721e-13
"Parp8",37.3522754122425,3.13542915218639,0.400628516466294,7.82627552287628,5.02535365440084e-15,1.42346791376628e-13
"Syk",965.257546949085,1.94588754670231,0.248687266538187,7.82463683722026,5.09124479928237e-15,1.43914627835615e-13
"Rab5if",918.544552164789,1.06740839404369,0.1371933624655,7.7803209635022,7.23407770544338e-15,2.03643016314265e-13
"Stim2",96.0774086839646,1.76364139290472,0.227485457317997,7.75276544574611,8.99126049215656e-15,2.50525876529415e-13
"Abhd16a",284.89746451195,1.50079458019713,0.194015815501524,7.73542392055841,1.03059115364883e-14,2.84255778197322e-13
"Mgat4a",184.200900099301,1.82468182848333,0.236865283768873,7.70345826729009,1.32432369621802e-14,3.59463050188162e-13
"Coa5",277.336763220607,1.55464165826833,0.202486198002827,7.677766058142,1.61886778083095e-14,4.36806359914724e-13
"Rab21",179.903144094408,1.227770130011,0.160844892744609,7.6332552999396,2.28898956464733e-14,6.09192485889473e-13
"Orai2",104.712077682508,2.17895892935548,0.285528963262715,7.63130613601054,2.32387101082218e-14,6.16073998267091e-13
"Aim2",144.058101285404,1.96134434202841,0.257917563257999,7.60453967249391,2.85919753944581e-14,7.52150751561727e-13
"Arhgef3",136.763201366672,2.34637888641228,0.308765028712332,7.59923782883568,2.97879896877626e-14,7.82106583090429e-13
"Acot9",149.511332946203,1.44549403988098,0.190640013612508,7.58232237026099,3.39423620011483e-14,8.82695368384147e-13
"Penk",68.9252626769012,3.43995576835243,0.45634882125177,7.5379963925766,4.77247059529127e-14,1.22478460596827e-12
"Lrrc59",288.757748780195,1.20865998009885,0.160360988835496,7.5371197750516,4.80464998909739e-14,1.23072957413033e-12
"Gsap",130.300287805825,1.78178353365547,0.23641785533503,7.53658614798994,4.82434304850216e-14,1.23345984346816e-12
"Tab2",292.390025388749,1.34617850475925,0.178695428512486,7.53336845808107,4.94478238740032e-14,1.26188998009676e-12
"Cebpb",2254.76520081287,1.53404609174797,0.203781097309469,7.52791162675071,5.15582659440719e-14,1.31084730900263e-12
"Gpr132",378.971525885995,1.6966398384073,0.22569894855329,7.51726957206763,5.59320168835172e-14,1.41221711882601e-12
"Gnb4",131.338438468336,2.64925317889139,0.354150075776769,7.48059469726412,7.39870318011302e-14,1.8467000825975e-12
"Arl8a",524.079341535952,1.15675876724312,0.1547920478316,7.47298574731418,7.83953416770086e-14,1.94605745439309e-12
"Aldh1b1",188.565796641252,2.35147513941203,0.315353800429624,7.45662534020038,8.87666512765402e-14,2.19155712455444e-12
"Tpm4",927.227784235106,1.62679181788587,0.218439417891794,7.44733635342189,9.52435773068286e-14,2.33877798735635e-12
"Rasgrp1",69.1516503278586,5.44475733368703,0.731698010963811,7.44126299662214,9.97271761516136e-14,2.44447959784198e-12
"Sav1",109.268369395659,1.69003012564287,0.228701309811636,7.38968275710716,1.47179544892106e-13,3.55653509099455e-12
"Pxk",242.141236709727,1.65156134215358,0.223887730330666,7.37673895623643,1.62213615403414e-13,3.90600086614253e-12
"Glipr2",281.757870979796,2.96994991856568,0.405957325961377,7.31591654746549,2.55630499826064e-13,6.048740405763e-12
"Tmod3",311.585704118,1.30189427811101,0.179659130069018,7.24646878569921,4.27777707242208e-13,1.0052407981029e-11
"Luc7l3",288.589613646146,1.5429952203998,0.213369086741341,7.23157812579623,4.7741331567765e-13,1.11995257713865e-11
"Klf3",180.492870505242,1.36808325790042,0.1891953810216,7.23106056032216,4.79236567045697e-13,1.12230134646225e-11
"Clcf1",90.3951816278013,2.09641227433218,0.289943473041599,7.2304171993946,4.81512497317035e-13,1.12570036401875e-11
"Nfe2l2",1090.08029838968,1.68533207536454,0.23314205971285,7.22877749917915,4.87361142371335e-13,1.13742592765741e-11
"Hdac1",143.870879953281,1.51268744665329,0.209431473303661,7.22282770011363,5.09175124455959e-13,1.18630852802e-11
"Rnf149",3191.74371979304,0.982808404165514,0.136102123002452,7.22111002006785,5.15649120302344e-13,1.19934539003201e-11
"Crlf3",312.387021668982,1.61131827263374,0.224377477166695,7.18128349146493,6.9059982678325e-13,1.58466545127256e-11
"Urgcp",108.73493006163,1.70630021301277,0.237799780273346,7.17536496901475,7.21145436418292e-13,1.65197963815754e-11
"Ankle2",87.9423601425069,1.51000301381522,0.210698499157008,7.16665291806374,7.68535464140711e-13,1.75759040065547e-11
"Brd2",764.481336503733,1.55188776996216,0.216906261688662,7.15464716361982,8.38884089955409e-13,1.90888074669353e-11
"Pgs1",174.201130149821,1.52641424918282,0.213537017496902,7.14824186960916,8.78963429628641e-13,1.99675336185022e-11
"Lpcat2",265.789766700894,1.45646991655094,0.204344667497706,7.12751614410144,1.02196290095491e-12,2.28735401421924e-11
"G3bp2",325.96745386218,1.2644549812091,0.177823709557629,7.11072209861485,1.15437372431255e-12,2.56688346222138e-11
"Susd6",401.206741796531,1.52977105429875,0.215726985687408,7.09123640431067,1.32919058989693e-12,2.93173491500206e-11
"Rhoq",128.416722313832,1.60387821117011,0.228954215316139,7.00523556185886,2.46570625766376e-12,5.33506934007659e-11
"Nr4a3",89.159733789606,3.8823284850418,0.556073201717037,6.98168599575378,2.91658439631463e-12,6.26102622057918e-11
"Ythdc1",185.551315299002,1.32658154857555,0.190368165507367,6.96850518593779,3.20326175676398e-12,6.82279762326032e-11
"Ext1",56.9648021936159,2.28487804100092,0.328811385474561,6.94890183836927,3.68140580658125e-12,7.81683257811101e-11
"Cd38",141.206262740318,3.97762968143345,0.574011047355822,6.9295350668883,4.22225958615965e-12,8.89606637806138e-11
"Tfec",56.5054618123706,1.95391447217722,0.282705904919215,6.91147386092116,4.79643924890728e-12,1.00592603786991e-10
"Dync1i2",563.963159343848,1.15306828555132,0.16709271294031,6.90076943070062,5.17216229429233e-12,1.07645627749959e-10
"Chpf2",383.791287533891,1.01179487988599,0.147379869368925,6.8652176461986,6.63899547078933e-12,1.36921760064482e-10
"Lrrc8c",50.4546103686853,2.00261951608735,0.292053241662654,6.85703574008105,7.03040471498687e-12,1.44340023419121e-10
"Rdx",141.248393273071,1.36295226969354,0.198982098935897,6.84962253882254,7.40450998825404e-12,1.51337986331785e-10
