"","Naive_CD11c_M4","Naive_CD11c_M2","Naive_CD11c_M1","Naive_CD11c_M3","CD11c_6H_M2","CD11c_6H_M1","CD11c_6H_M3","CD11c_6H_M4","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Ptgs2",-1.31,-1.37,-0.81,-1,0.64,0.97,0.88,0.62,0.74,0.99,1.16,1.04,-1.03,-0.62,-0.9
"Cxcl10",-1.12,-1.5,-1,-0.67,0.51,0.71,0.88,0.87,1.05,0.98,1.03,0.99,-1.04,-0.6,-1.1
"Tnfsf15",-0.85,-1.4,-1.07,-1.19,0.78,0.96,0.91,0.75,0.97,0.89,0.97,0.87,-0.62,-0.91,-1.07
"Il12b",-1.05,-0.95,-1.17,-0.95,0.59,0.85,0.97,0.8,1.44,0.8,0.94,0.68,-0.9,-0.78,-1.26
"Agrn",-1.72,-0.92,-0.99,-0.6,0.69,1.29,0.91,0.94,0.66,0.89,0.69,0.83,-0.88,-0.57,-1.22
"Ccl4",-0.96,-0.89,-1,-0.67,0.84,1.02,1.11,0.92,0.87,0.79,0.8,0.78,-1.27,-1.11,-1.24
"Cxcl2",-1.06,-0.86,-0.76,-0.79,0.81,0.79,0.84,0.74,0.83,1.01,1.05,0.97,-1.7,-0.74,-1.1
"Tnf",-1.11,-1.14,-0.97,-0.99,0.86,0.89,0.83,0.7,0.7,1.09,1.07,1.02,-1.14,-0.77,-1.04
"Ccl3",-1.17,-1.07,-0.97,-0.91,0.76,0.84,0.88,0.74,1.02,0.93,1.02,0.98,-1.11,-0.85,-1.11
"Il12a",-0.92,-0.85,-0.83,-0.74,0.39,0.73,0.76,0.5,0.43,1.31,1.38,1.28,-0.88,-0.93,-1.61
"Icam1",-0.76,-0.7,-0.5,-0.54,0.53,0.68,0.68,0.55,0.43,1.26,1.35,1.19,-1.2,-1.29,-1.67
"Cd40",-0.6,-0.64,-0.63,-0.5,0.65,0.75,0.81,0.73,0.81,1.02,1.09,0.94,-1.39,-1.31,-1.73
"Edn1",-0.75,-0.89,-0.88,-0.69,0.36,0.52,0.86,0.57,0.91,1.12,1.35,1.18,-0.9,-1.26,-1.5
"Ccl5",-0.94,-0.71,-0.56,-0.6,0.45,0.61,0.66,0.55,1.15,1.15,1.18,1.08,-1.18,-1.32,-1.51
"Il6",-1.18,-0.92,-0.79,-0.62,0.42,0.84,1.02,0.56,0.92,0.87,1.06,1.27,-0.85,-1.12,-1.48
"Il18",-1.31,-0.53,-0.95,-0.46,0.32,0.8,0.74,0.77,0.91,1.06,1.27,0.96,-0.88,-1.11,-1.59
"Il1b",-0.84,-0.93,-0.78,-0.68,0.28,1.04,1.14,0.06,1.54,0.58,0.81,1.21,-1.26,-0.82,-1.34
"Ccl2",-1.08,-1,-0.72,-0.33,0.38,0.76,1.1,0.91,1.49,0.53,0.7,0.95,-1.15,-1.26,-1.29
"Jam2",-0.47,-0.2,-0.5,-0.27,-0.07,0.12,-0.89,-0.6,1.74,-1.03,0.25,2.63,0.5,-0.28,-0.93
"Cmtm6",-0.82,0.11,0.31,0.2,-0.72,0.35,0.51,0.31,0.72,0.85,1.17,1.05,-2.75,-0.43,-0.86
"Ptprc",-1.87,-0.26,-0.15,0.08,-0.02,0.65,0.87,0.63,0.28,1.06,1.09,1,-2.18,-0.55,-0.64
"Itgal",-1.65,-0.34,-0.43,-0.41,-0.8,0.15,0.67,-0.08,0.21,1.97,1.29,0.95,-1.78,0.15,0.11
"Cd200",-0.91,-1.19,-0.72,-0.75,-0.71,0.25,0.18,0.22,0.63,1.26,1.72,1.7,-1.41,0.18,-0.43
"Nampt",-0.63,-0.38,-0.66,-0.44,-1.37,-0.01,0.8,0.66,0.54,1.42,1.51,1.39,-1.28,-0.26,-1.29
"Il1rn",-1.2,-1.29,-1.17,-1.01,-0.15,0.11,0.38,0.08,2.15,0.86,1.16,1,-0.76,0.04,-0.2
"Nectin2",-1.56,-1.7,-1.04,-0.84,0.09,0.36,0.96,0.58,1.17,0.99,1.32,0.94,-0.43,-0.42,-0.43
"Il27",-0.79,-1.42,-1.12,-1.06,0.35,0.5,0.61,0.47,0.83,1.35,1.43,1.23,-0.67,-0.7,-1
"Il15",-0.9,-1.16,-0.78,-0.7,-0.11,0.44,0.48,0.4,0.88,1.37,1.55,1.45,-1.08,-0.67,-1.18
"Tnfsf10",-0.94,-1.15,-0.9,-0.66,0.03,0.47,0.63,0.69,0.97,1.22,1.35,1.36,-0.63,-1.12,-1.3
"Nlgn2",-0.29,-0.69,-1.23,-1.29,-0.44,0.12,0.44,0.58,1.08,1.51,1.44,1.31,-1.14,-0.57,-0.82
"Nts",-0.49,-1.12,-0.95,-1.27,-0.17,-0.46,0.56,0.59,1.73,1.27,1.38,0.95,-0.23,-0.84,-0.95
"Inhba",-0.93,-1.24,-1.02,-1.2,0.04,0.2,0.19,0.12,1.41,1.35,1.41,1.41,-0.23,-0.7,-0.82
"Csf1",-1,-1.14,-0.99,-0.9,-0.09,0.09,0.63,0.35,1.3,1.28,1.29,1.57,-0.75,-0.79,-0.86
"Serpine2",-0.73,-1.01,-0.21,-0.85,0,-0.09,-0.07,0.75,2.65,-0.36,0.97,1.15,-0.95,-0.62,-0.64
"Tnfsf8",-0.65,-1.22,-0.29,-0.17,-0.22,0.81,0.94,0.61,2.06,0.02,0.9,0.72,-0.88,-1.66,-0.96
"Insl6",-1.77,-0.41,-0.02,-0.15,-0.46,1.04,1.04,0.55,1.94,0.33,0.51,0.59,-0.84,-1.14,-1.23
"Pdgfa",-1.04,-0.94,-0.95,-1.2,1.02,0.03,0.02,-0.86,0.33,-0.29,-0.32,-0.43,1.95,1.23,1.45
"Vegfa",-1.55,-0.65,-0.89,-0.81,0.35,0.54,0.86,0.8,0.02,-0.72,-0.92,-1.06,1.4,1.23,1.4
"Hebp1",0.31,0.2,-0.04,0.24,-1.85,-1.06,-0.49,-0.09,-1.02,-0.35,-0.27,-0.18,2.21,1.06,1.32
"Fgf11",0.4,0.36,-0.25,-0.38,-0.72,-1.05,-0.74,-0.85,-0.75,-0.38,-0.43,-0.08,2.73,1.03,1.11
"Cmtm4",-0.32,0.58,0.62,-0.66,-0.24,0.73,-2.24,-0.21,-0.83,0.12,-0.01,-1.17,0.64,1.23,1.76
"Dchs1",-0.31,-0.42,0.36,0.31,0.9,-0.16,-0.8,-0.91,-0.82,-0.93,-0.96,-0.96,1.05,2.02,1.62
"Glg1",0.74,0.55,0.04,-0.43,0.27,-0.66,-1.38,-1.71,0.04,-0.46,-0.46,-0.58,0.48,1.43,2.13
