,TF,Total_Num_Targets,Num_Targets_DE,p-value,Adj. p-value
4,Spi1,431,299,1.2802964280606032e-157,4.545052319615142e-155
9,Tal1,334,190,3.3432491198344317e-78,1.1868534375412231e-75
25,Rela,156,87,1.1917869703203138e-35,4.230843744637114e-33
30,Jun,119,55,4.223731448544228e-18,1.499424664233201e-15
32,Stat3,85,44,4.1048425286053946e-17,1.457219097654915e-14
38,Tcf3,15,14,8.16331173247198e-12,2.8979756650275525e-09
48,Rara,48,23,8.803780469252175e-09,3.125342066584522e-06
82,Relb,13,8,7.258539130575501e-05,0.025767813913543026
