"","GeneNameA","GeneNameB"
"895","Dlg4","Actg1"
"901","Rnf2","Actg1"
"907","Eed","Actg1"
"913","Gria2","Actg1"
"919","Ywhaz","Actg1"
"925","Iqcb1","Actg1"
"931","Nphp4","Actg1"
"937","Kat5","Actg1"
"943","Kcnma1","Actg1"
"955","Fbxo32","Actg1"
"961","Invs","Actg1"
"967","Lrrk2","Actg1"
"973","Acta1","Actg1"
"979","Kat5","Actg2"
"982","Ywhae","Actg2"
"985","Plec","Actg2"
"991","Ncoa2","Actn2"
"998","Camk2a","Actn2"
"1005","Prkce","Actn2"
"1012","Ywhaz","Actn2"
"1019","Grin1","Actn2"
"1026","Alms1","Actn2"
"1033","Hmga2","Actn2"
"1040","Cav3","Actn2"
"1047","Rab6b","Actn2"
"1054","Ar","Actn2"
"1061","Grip1","Actn2"
"1068","Ywhab","Actn2"
"1075","Scn5a","Actn2"
"1082","Grin2b","Actn2"
"1089","Alms1","Actn3"
"1094","Rab33b","Actn3"
"1099","Hsd3b4","Actn3"
"1104","Grin2b","Actn3"
"1109","Nrap","Actn3"
"1114","Ywhae","Actn3"
"1119","Trim32","Actn3"
"1129","Rab10","Actn3"
"1134","Pgls","Actn3"
"1139","Hsd3b7","Acta2"
"1145","Ywhae","Acta2"
"1157","Smad3","Acta2"
"1163","Nphp4","Acta2"
"1169","Fancd2","Acta2"
"1175","Casp7","Acta2"
"1181","Pgls","Acta2"
"1187","Lasp1","Acta2"
"1193","Pdlim5","Acta2"
"1199","Ywhaz","Acta2"
"1205","Hsd3b4","Acta2"
"1217","Smad6","Acvr1"
"1219","Diablo","Acvr1"
"1221","Acvr2a","Acvr1"
"1223","Inhba","Acvr1"
"1225","Smad7","Acvr1"
"1227","Inha","Acvr1"
"1229","Magi2","Acvr2a"
"1233","Inhba","Acvr2a"
"1237","Tal1","Acvr2a"
"1245","Irf8","Acvr2a"
"1249","Acvr2a","Acvr2a"
"1253","Tdgf1","Acvr2b"
"1254","Lrg1","Acvrl1"
"1257","Tgfbr1","Acvrl1"
"1260","Ywhae","Acvrl1"
"1266","Ywhae","Aspa"
"1268","Ywhae","Ada"
"1270","Sirt1","Adam10"
"1273","Dlg1","Adam10"
"1276","Ywhae","Adam10"
"1279","Adam10","Adam10"
"1285","Ywhab","Adam11"
"1286","Grb2","Adam12"
"1287","Sh3gl2","Adam15"
"1289","Ywhae","Adam15"
"1293","Notch1","Adam17"
"1294","Syngap1","Adam22"
