InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
100088	9883	IntAct, Biogrid	3	3	1	26496610
100088	55706	IntAct, Biogrid	3	3	1	26496610
100088	129401	IntAct, Biogrid	3	3	1	26496610
100088	23279	IntAct, Biogrid	3	3	1	26496610
100088	157313	IntAct, Biogrid	3	3	1	26496610
100088	1666	IntAct, Biogrid	3	3	1	26496610
100088	25978	IntAct, Biogrid	3	3	1	26496610
100088	3838	IntAct, Biogrid	3	3	1	26496610
100088	105	IntAct, Biogrid	3	3	1	26496610
100088	3839	IntAct, Biogrid	3	3	1	26496610
100088	9688	IntAct, Biogrid	3	3	1	26496610
100088	727851	IntAct, Biogrid	3	3	1	26496610
100088	4928	IntAct, Biogrid	3	3	1	26496610
100088	23225	IntAct, Biogrid	3	3	1	26496610
100088	28989	IntAct, Biogrid	3	3	1	26496610
100088	7341	IntAct, Biogrid	3	3	1	26496610
100088	8350	IntAct, Biogrid	3	3	1	26496610
100088	8351	IntAct	3	3	1	26496610
100088	8352	IntAct	3	3	1	26496610
100088	8353	IntAct	3	3	1	26496610
100088	8354	IntAct	3	3	1	26496610
100088	8355	IntAct	3	3	1	26496610
100088	8356	IntAct	3	3	1	26496610
100088	8357	IntAct	3	3	1	26496610
100088	8358	IntAct	3	3	1	26496610
100088	8968	IntAct	3	3	1	26496610
100088	23511	IntAct, Biogrid	3	3	1	26496610
100088	5901	IntAct, Biogrid	3	3	1	26496610
100088	54809	IntAct, Biogrid	3	3	1	26496610
100088	2314	IntAct, Biogrid	3	3	1	26496610
100088	57798	IntAct, Biogrid	3	3	1	26496610
100088	8021	IntAct, Biogrid	3	3	1	26496610
100088	79902	IntAct, Biogrid	3	3	1	26496610
100088	5903	IntAct, Biogrid	3	3	1	26496610
100088	23165	IntAct, Biogrid	3	3	1	26496610
100088	7280	IntAct, Biogrid	3	3	1	26496610
100088	81929	IntAct, Biogrid	3	3	1	26496610
100088	6613	IntAct, Biogrid	3	3	1	26496610
100088	7514	IntAct, Biogrid	3	3	1	26496610
100088	9230	IntAct	3	3	1	26496610
100088	283635	IntAct, Biogrid	3	3	1	26496610
100088	10482	IntAct, Biogrid	3	3	1	26496610
100088	5905	IntAct, Biogrid	3	3	1	26496610
100088	9972	IntAct, Biogrid	3	3	1	26496610
100088	57122	IntAct, Biogrid	3	3	1	26496610
100088	348995	IntAct, Biogrid	3	3	1	26496610
100088	3840	IntAct, Biogrid	3	3	1	26496610
100088	84928	IntAct, Biogrid	3	3	1	26496610
100088	8487	IntAct, Biogrid	3	3	1	26496610
100088	5902	IntAct, Biogrid	3	3	1	26496610
100088	5927	IntAct, Biogrid	3	3	1	26496610
100088	10762	IntAct, Biogrid	3	3	1	26496610
100088	11234	IntAct, Biogrid	3	3	1	26496610
100088	3837	IntAct, Biogrid	3	3	1	26496610
22196	1104	IntAct, Biogrid	3	3	1	26496610
22196	29843	IntAct, Biogrid	3	3	1	26496610
22196	348995	IntAct, Biogrid	3	3	1	26496610
22196	10055	IntAct, Biogrid	3	3	1	26496610
22196	55627	IntAct, Biogrid	3	3	1	26496610
22196	7341	IntAct, Biogrid	1	1	3	26496610, 20543865, 17491593
22196	84833	IntAct, Biogrid	3	3	1	26496610
22196	5903	IntAct, Biogrid	1	1	2	26496610, 11792325
22196	55722	IntAct, Biogrid	3	3	1	26496610
22196	727851	IntAct, Biogrid	3	3	1	26496610
22196	11097	IntAct, Biogrid	3	3	1	26496610
22196	10762	IntAct, Biogrid	3	3	1	26496610
22196	3837	IntAct, Biogrid	3	3	1	26496610
22196	11098	IntAct, Biogrid	3	3	1	26496610
22196	79023	IntAct, Biogrid	3	3	1	26496610
22196	59343	IntAct, Biogrid	3	3	1	26496610
22196	55706	IntAct, Biogrid	3	3	1	26496610
22196	57122	IntAct, Biogrid	3	3	1	26496610
22196	23306	IntAct, Biogrid	3	3	1	26496610
22196	8480	IntAct, Biogrid	3	3	1	26496610
22196	4928	IntAct, Biogrid	3	3	1	26496610
22196	81929	IntAct, Biogrid	3	3	1	26496610
22196	79902	IntAct, Biogrid	3	3	1	26496610
22196	2733	IntAct, Biogrid	3	3	1	26496610
22196	4927	IntAct, Biogrid	3	3	1	26496610
22196	23165	IntAct, Biogrid	3	3	1	26496610
22196	6613	IntAct, Biogrid	3	3	1	26496610
22196	10482	IntAct, Biogrid	3	3	1	26496610
22196	10054	IntAct, Biogrid	3	3	1	26496610
22196	9688	IntAct, Biogrid	3	3	1	26496610
22196	84928	IntAct, Biogrid	3	3	1	26496610
22196	5901	IntAct, Biogrid	3	3	1	26496610
22196	23279	IntAct, Biogrid	3	3	1	26496610
22196	55746	IntAct, Biogrid	3	3	1	26496610
22196	8021	IntAct, Biogrid	3	3	1	26496610
22196	6396	IntAct, Biogrid	3	3	1	26496610
22196	8086	IntAct, Biogrid	3	3	1	26496610
22196	51203	IntAct, Biogrid	3	3	1	26496610
22196	9972	IntAct, Biogrid	3	3	1	26496610
22196	54867	IntAct, Biogrid	3	3	1	26496610
22196	23511	IntAct, Biogrid	3	3	1	26496610
22196	5905	IntAct, Biogrid	3	3	1	26496610
22196	8028	IntAct, Biogrid	3	3	1	26496610
22196	129401	IntAct, Biogrid	3	3	1	26496610
14113	83732	IntAct, Biogrid	3	3	1	26496610
14113	6232	IntAct, Biogrid	3	3	1	26496610
14113	79084	IntAct, Biogrid	3	3	1	26496610
14113	28231	IntAct, Biogrid	3	3	1	26496610
14113	3301	IntAct, Biogrid	3	3	1	26496610
14113	10963	IntAct, Biogrid	3	3	1	26496610
14113	1718	IntAct, Biogrid	3	3	1	26496610
14113	51116	IntAct, Biogrid	3	3	1	26496610
14113	23	IntAct, Biogrid	3	3	1	26496610
14113	6175	IntAct, Biogrid	3	3	1	26496610
14113	3070	IntAct, Biogrid	3	3	1	26496610
14113	2317	IntAct, Biogrid	3	3	1	26496610
14113	54984	IntAct, Biogrid	3	3	1	26496610
14113	10419	IntAct, Biogrid	3	3	1	26496610
14113	8350	IntAct	3	3	1	26496610
14113	8351	IntAct	3	3	1	26496610
14113	8352	IntAct	3	3	1	26496610
14113	8353	IntAct	3	3	1	26496610
14113	8354	IntAct	3	3	1	26496610
14113	8355	IntAct	3	3	1	26496610
14113	8356	IntAct	3	3	1	26496610
14113	8357	IntAct	3	3	1	26496610
14113	8358	IntAct	3	3	1	26496610
14113	8968	IntAct	3	3	1	26496610
14113	8161	IntAct, Biogrid	3	3	1	26496610
14113	10528	IntAct, Biogrid	3	3	1	26496610
14113	9136	IntAct, Biogrid	3	3	1	26496610
14113	3159	IntAct, Biogrid	3	3	1	26496610
14113	51602	IntAct, Biogrid	3	3	1	26496610
14113	134353	IntAct, Biogrid	3	3	1	26496610
14113	8208	IntAct, Biogrid	3	3	1	26496610
14113	3428	IntAct, Biogrid	3	3	1	26496610
16905	1832	IntAct, Biogrid	3	3	1	26496610
16905	3337	IntAct, Biogrid	3	3	1	26496610
16905	10797	IntAct, Biogrid	3	3	1	26496610
16905	23354	IntAct, Biogrid	3	3	1	26496610
16905	84823	IntAct, Biogrid	3	3	1	26496610
16905	4001	IntAct, Biogrid	3	3	1	26496610
57441	1163	IntAct, Biogrid	3	3	1	26496610
57441	6502	IntAct, Biogrid	3	3	1	26496610
57441	81620	IntAct, Biogrid	3	3	1	26496610
57441	890	IntAct, Biogrid	3	3	1	26496610
66498	55626	IntAct, Biogrid	3	3	1	26496610
66498	55148	IntAct, Biogrid	3	3	1	26496610
66498	9730	IntAct, Biogrid	3	3	1	26496610
66498	79269	IntAct, Biogrid	3	3	1	26496610
66498	8574	IntAct, Biogrid	3	3	1	26496610
66498	85476	IntAct, Biogrid	3	3	1	26496610
11461	22800	IntAct, Biogrid	3	3	1	26496610
11461	2770	IntAct, Biogrid	3	3	1	26496610
11461	6764	IntAct, Biogrid	3	3	1	26496610
11461	2316	IntAct, Biogrid	3	3	1	26496610
11461	9824	IntAct, Biogrid	3	3	1	26496610
11461	79901	IntAct, Biogrid	3	3	1	26496610
11461	26136	IntAct, Biogrid	3	3	1	26496610
11461	1289	IntAct, Biogrid	3	3	1	26496610
11461	23384	IntAct, Biogrid	3	3	1	26496610
11461	57522	IntAct, Biogrid	3	3	1	26496610
11461	9851	IntAct, Biogrid	3	3	1	26496610
11461	8218	IntAct, Biogrid	3	3	1	26496610
11461	90102	IntAct, Biogrid	3	3	1	26496610
11461	5898	IntAct, Biogrid	3	3	1	26496610
11461	286262	IntAct, Biogrid	3	3	1	26496610
11461	10575	IntAct, Biogrid	3	3	1	26496610
11461	2767	IntAct, Biogrid	3	3	1	26496610
11461	1368	IntAct, Biogrid	3	3	1	26496610
11461	10634	IntAct, Biogrid	3	3	1	26496610
11461	2060	IntAct, Biogrid	3	3	1	26496610
11461	135228	IntAct, Biogrid	3	3	1	26496610
11461	10097	IntAct, Biogrid	3	3	1	26496610
11461	3983	IntAct, Biogrid	3	3	1	26496610
11461	4144	IntAct, Biogrid	3	3	1	26496610
11461	9221	IntAct, Biogrid	3	3	1	26496610
11461	1627	IntAct, Biogrid	3	3	1	26496610
11461	51504	IntAct, Biogrid	3	3	1	26496610
11461	26064	IntAct, Biogrid	3	3	1	26496610
11461	81873	IntAct, Biogrid	3	3	1	26496610
11461	8470	IntAct, Biogrid	3	3	1	26496610
11461	160	IntAct, Biogrid	3	3	1	26496610
11461	9961	IntAct, Biogrid	3	3	1	26496610
11461	2314	IntAct, Biogrid	3	3	1	26496610
11461	91624	IntAct, Biogrid	3	3	1	26496610
11461	10409	IntAct, Biogrid	3	3	1	26496610
11461	7171	IntAct, Biogrid	3	3	1	26496610
11461	345651	IntAct, Biogrid	3	3	1	26496610
11461	5710	IntAct, Biogrid	3	3	1	26496610
11461	23242	IntAct, Biogrid	3	3	1	26496610
11461	9919	IntAct, Biogrid	3	3	1	26496610
11461	57498	IntAct, Biogrid	3	3	1	26496610
11461	7111	IntAct, Biogrid	3	3	1	26496610
11461	8301	IntAct, Biogrid	3	3	1	26496610
11461	1601	IntAct, Biogrid	3	3	1	26496610
11461	6711	IntAct, Biogrid	3	3	1	26496610
11461	84859	IntAct, Biogrid	3	3	1	26496610
11461	23164	IntAct, Biogrid	3	3	1	26496610
11461	55860	IntAct, Biogrid	3	3	1	26496610
11461	54927	IntAct, Biogrid	3	3	1	26496610
11461	9026	IntAct, Biogrid	3	3	1	26496610
11461	11344	IntAct, Biogrid	3	3	1	26496610
11461	1212	IntAct, Biogrid	3	3	1	26496610
11461	51164	IntAct, Biogrid	3	3	1	26496610
11461	10856	IntAct, Biogrid	3	3	1	26496610
11461	9429	IntAct, Biogrid	3	3	1	26496610
11461	3710	IntAct, Biogrid	3	3	1	26496610
11461	81	IntAct, Biogrid	3	3	1	26496610
11461	79026	IntAct, Biogrid	3	3	1	26496610
11461	70	IntAct	3	3	1	26496610
11461	115548	IntAct, Biogrid	3	3	1	26496610
11461	57553	IntAct, Biogrid	3	3	1	26496610
11461	29766	IntAct, Biogrid	3	3	1	26496610
11461	23380	IntAct, Biogrid	3	3	1	26496610
11461	1456	IntAct, Biogrid	3	3	1	26496610
11461	830	IntAct, Biogrid	3	3	1	26496610
11461	6950	IntAct, Biogrid	3	3	1	26496610
11461	399687	IntAct, Biogrid	3	3	1	26496610
11461	51474	IntAct, Biogrid	3	3	1	26496610
11461	85439	IntAct, Biogrid	3	3	1	26496610
11461	10694	IntAct, Biogrid	3	3	1	26496610
11461	23085	IntAct, Biogrid	3	3	1	26496610
11461	1211	IntAct, Biogrid	3	3	1	26496610
11461	9330	IntAct, Biogrid	3	3	1	26496610
11461	126353	IntAct, Biogrid	3	3	1	26496610
11461	1192	IntAct, Biogrid	3	3	1	26496610
11461	22832	IntAct, Biogrid	3	3	1	26496610
11461	55898	IntAct, Biogrid	3	3	1	26496610
11461	11078	IntAct, Biogrid	3	3	1	26496610
11461	1829	IntAct, Biogrid	3	3	1	26496610
11461	2778	IntAct, Biogrid	3	3	1	26496610
11461	10211	IntAct, Biogrid	3	3	1	26496610
11461	829	IntAct, Biogrid	3	3	1	26496610
11461	4644	IntAct, Biogrid	3	3	1	26496610
11461	2771	IntAct, Biogrid	3	3	1	26496610
11461	51517	IntAct, Biogrid	3	3	1	26496610
11461	7203	IntAct, Biogrid	3	3	1	26496610
11461	4646	IntAct, Biogrid	3	3	1	26496610
11461	9209	IntAct, Biogrid	3	3	1	26496610
11461	64423	IntAct, Biogrid	3	3	1	26496610
11461	30968	IntAct, Biogrid	3	3	1	26496610
11461	4660	IntAct, Biogrid	3	3	1	26496610
11461	51512	IntAct, Biogrid	3	3	1	26496610
11461	57530	IntAct, Biogrid	3	3	1	26496610
11461	7798	IntAct, Biogrid	3	3	1	26496610
11461	4651	IntAct, Biogrid	3	3	1	26496610
11461	80179	IntAct, Biogrid	3	3	1	26496610
11461	9685	IntAct, Biogrid	3	3	1	26496610
11461	5878	IntAct, Biogrid	3	3	1	26496610
11461	10989	IntAct, Biogrid	3	3	1	26496610
11461	128866	IntAct, Biogrid	3	3	1	26496610
11461	26037	IntAct, Biogrid	3	3	1	26496610
11461	9414	IntAct, Biogrid	3	3	1	26496610
11461	2017	IntAct, Biogrid	3	3	1	26496610
11461	10094	IntAct, Biogrid	3	3	1	26496610
11461	5286	IntAct, Biogrid	3	3	1	26496610
11461	23094	IntAct, Biogrid	3	3	1	26496610
11461	7170	IntAct, Biogrid	3	3	1	26496610
11461	4659	IntAct, Biogrid	3	3	1	26496610
11461	57584	IntAct, Biogrid	3	3	1	26496610
11461	5358	IntAct, Biogrid	3	3	1	26496610
11461	9213	IntAct, Biogrid	3	3	1	26496610
11461	163	IntAct, Biogrid	3	3	1	26496610
11461	1213	IntAct, Biogrid	3	3	1	26496610
11461	257364	IntAct, Biogrid	3	3	1	26496610
11461	4643	IntAct, Biogrid	3	3	1	26496610
11461	9218	IntAct, Biogrid	3	3	1	26496610
11461	9052	IntAct, Biogrid	3	3	1	26496610
11461	22848	IntAct, Biogrid	3	3	1	26496610
11461	6709	IntAct, Biogrid	3	3	1	26496610
11461	832	IntAct, Biogrid	3	3	1	26496610
11461	161	IntAct, Biogrid	3	3	1	26496610
11461	10540	IntAct, Biogrid	3	3	1	26496610
11461	5499	IntAct, Biogrid	3	3	1	26496610
11461	55930	IntAct, Biogrid	3	3	1	26496610
11461	60312	IntAct, Biogrid	3	3	1	26496610
11461	5861	IntAct, Biogrid	3	3	1	26496610
11461	2317	IntAct, Biogrid	3	3	1	26496610
11461	90850	IntAct, Biogrid	3	3	1	26496610
11461	55589	IntAct, Biogrid	3	3	1	26496610
11461	55833	IntAct, Biogrid	3	3	1	26496610
11461	51552	IntAct, Biogrid	3	3	1	26496610
11461	11346	IntAct, Biogrid	3	3	1	26496610
11461	92521	IntAct, Biogrid	3	3	1	26496610
11461	10487	IntAct, Biogrid	3	3	1	26496610
11461	85440	IntAct, Biogrid	3	3	1	26496610
11461	6840	IntAct, Biogrid	3	3	1	26496610
11461	9208	IntAct, Biogrid	3	3	1	26496610
11461	79180	IntAct, Biogrid	3	3	1	26496610
11461	8607	IntAct, Biogrid	3	3	1	26496610
11461	10552	IntAct, Biogrid	3	3	1	26496610
11461	7169	IntAct, Biogrid	3	3	1	26496610
11461	1613	IntAct, Biogrid	3	3	1	26496610
11461	10427	IntAct, Biogrid	3	3	1	26496610
11461	57559	IntAct, Biogrid	3	3	1	26496610
11461	83892	IntAct, Biogrid	3	3	1	26496610
11461	445815	IntAct	3	3	1	26496610
11461	10095	IntAct, Biogrid	3	3	1	26496610
11461	10486	IntAct, Biogrid	3	3	1	26496610
11461	140465	IntAct, Biogrid	3	3	1	26496610
11461	170954	IntAct, Biogrid	3	3	1	26496610
11461	22998	IntAct, Biogrid	3	3	1	26496610
11461	248	IntAct, Biogrid	3	3	1	26496610
11461	4641	IntAct, Biogrid	3	3	1	26496610
11461	2319	IntAct, Biogrid	3	3	1	26496610
11461	4430	IntAct, Biogrid	3	3	1	26496610
11461	55074	IntAct, Biogrid	3	3	1	26496610
11461	3956	IntAct, Biogrid	3	3	1	26496610
11461	4645	IntAct, Biogrid	3	3	1	26496610
11461	10109	IntAct, Biogrid	3	3	1	26496610
11461	5756	IntAct, Biogrid	3	3	1	26496610
11461	5216	IntAct, Biogrid	3	3	1	26496610
11461	7464	IntAct, Biogrid	3	3	1	26496610
11461	10092	IntAct, Biogrid	3	3	1	26496610
11461	1173	IntAct, Biogrid	3	3	1	26496610
11461	6494	IntAct, Biogrid	3	3	1	26496610
11461	10096	IntAct, Biogrid	3	3	1	26496610
11461	998	IntAct, Biogrid	3	3	1	26496610
11461	2934	IntAct, Biogrid	3	3	1	26496610
99375	9656	IntAct, Biogrid	3	3	1	26496610
99375	9318	IntAct, Biogrid	3	3	1	26496610
99375	8533	IntAct, Biogrid	3	3	1	26496610
99375	140710	IntAct, Biogrid	3	3	1	26496610
99375	79269	IntAct, Biogrid	3	3	1	26496610
99375	55832	IntAct, Biogrid	3	3	1	26496610
99375	51138	IntAct, Biogrid	3	3	1	26496610
99375	25945	IntAct, Biogrid	3	3	1	26496610
99375	1105	IntAct, Biogrid	3	3	1	26496610
99375	254065	IntAct, Biogrid	3	3	1	26496610
99375	54014	IntAct, Biogrid	3	3	1	26496610
99375	94239	IntAct, Biogrid	3	3	1	26496610
99375	9978	IntAct, Biogrid	3	3	1	26496610
99375	7922	IntAct, Biogrid	3	3	1	26496610
99375	57662	IntAct, Biogrid	3	3	1	26496610
99375	546	IntAct, Biogrid	3	3	1	26496610
99375	7343	IntAct, Biogrid	3	3	1	26496610
99375	9136	IntAct, Biogrid	3	3	1	26496610
99375	79016	IntAct, Biogrid	3	3	1	26496610
99375	113146	IntAct, Biogrid	3	3	1	26496610
99375	50813	IntAct, Biogrid	3	3	1	26496610
99375	55023	IntAct, Biogrid	3	3	1	26496610
99375	80344	IntAct, Biogrid	3	3	1	26496610
99375	7584	IntAct, Biogrid	3	3	1	26496610
99375	9730	IntAct, Biogrid	3	3	1	26496610
59287	51605	IntAct, Biogrid	3	3	1	26496610
59287	4508	IntAct	3	3	1	26496610
59287	8930	IntAct, Biogrid	3	3	1	26496610
59287	55183	IntAct, Biogrid	3	3	1	26496610
59287	10956	IntAct, Biogrid	3	3	1	26496610
59287	4001	IntAct, Biogrid	3	3	1	26496610
59287	821	IntAct, Biogrid	3	3	1	26496610
59287	2677	IntAct, Biogrid	3	3	1	26496610
59287	5663	IntAct, Biogrid	3	3	1	26496610
59287	128387	IntAct, Biogrid	3	3	1	26496610
59287	10067	IntAct, Biogrid	3	3	1	26496610
59287	4711	IntAct, Biogrid	3	3	1	26496610
59287	55723	IntAct, Biogrid	3	3	1	26496610
59287	5562	IntAct, Biogrid	3	3	1	26496610
59287	4085	IntAct, Biogrid	3	3	1	26496610
59287	10165	IntAct, Biogrid	3	3	1	26496610
59287	90550	IntAct, Biogrid	3	3	1	26496610
59287	51069	IntAct, Biogrid	3	3	1	26496610
59287	201595	IntAct, Biogrid	3	3	1	26496610
59287	79971	IntAct, Biogrid	3	3	1	26496610
59287	682	IntAct, Biogrid	3	3	1	26496610
59287	372	IntAct, Biogrid	3	3	1	26496610
59287	27248	IntAct, Biogrid	3	3	1	26496610
59287	54552	IntAct, Biogrid	3	3	1	26496610
59287	57479	IntAct, Biogrid	3	3	1	26496610
59287	28987	IntAct, Biogrid	3	3	1	26496610
59287	54978	IntAct, Biogrid	3	3	1	26496610
59287	51079	IntAct, Biogrid	3	3	1	26496610
59287	1314	IntAct, Biogrid	3	3	1	26496610
59287	6510	IntAct, Biogrid	3	3	1	26496610
59287	90231	IntAct, Biogrid	3	3	1	26496610
59287	9551	IntAct, Biogrid	3	3	1	26496610
59287	100287932	IntAct, Biogrid	3	3	1	26496610
59287	10558	IntAct, Biogrid	3	3	1	26496610
218035	55823	IntAct, Biogrid	3	3	1	26496610
218035	9392	IntAct, Biogrid	3	3	1	26496610
218035	64601	IntAct, Biogrid	3	3	1	26496610
218035	65082	IntAct, Biogrid	3	3	1	26496610
218035	29086	IntAct, Biogrid	3	3	1	26496610
218035	57617	IntAct, Biogrid	3	3	1	26496610
218035	51428	IntAct, Biogrid	3	3	1	26496610
56399	4670	IntAct, Biogrid	3	3	1	26496610
56399	56252	IntAct, Biogrid	3	3	1	26496610
56399	23196	IntAct, Biogrid	3	3	1	26496610
56399	26993	IntAct, Biogrid	3	3	1	26496610
56399	3189	IntAct, Biogrid	3	3	1	26496610
56399	9919	IntAct, Biogrid	3	3	1	26496610
56399	26292	IntAct, Biogrid	3	3	1	26496610
56399	10657	IntAct, Biogrid	3	3	1	26496610
56399	8939	IntAct, Biogrid	3	3	1	26496610
56399	84661	IntAct, Biogrid	3	3	1	26496610
56399	8502	IntAct, Biogrid	3	3	1	26496610
56086	5982	IntAct, Biogrid	3	3	1	26496610
56086	1029	IntAct, Biogrid	3	3	1	26496610
56086	151246	IntAct, Biogrid	3	3	1	26496610
56086	25879	IntAct, Biogrid	3	3	1	26496610
56086	56980	IntAct, Biogrid	3	3	1	26496610
56086	5442	IntAct, Biogrid	3	3	1	26496610
56086	7745	IntAct, Biogrid	3	3	1	26496610
56086	8467	IntAct, Biogrid	3	3	1	26496610
56086	8436	IntAct, Biogrid	3	3	1	26496610
56086	91748	IntAct, Biogrid	3	3	1	26496610
56086	353274	IntAct, Biogrid	3	3	1	26496610
56086	29941	IntAct, Biogrid	3	3	1	26496610
56086	284119	IntAct, Biogrid	3	3	1	26496610
56086	10155	IntAct, Biogrid	3	3	1	26496610
56086	64763	IntAct, Biogrid	3	3	1	26496610
56086	254048	IntAct, Biogrid	3	3	1	26496610
56086	60686	IntAct, Biogrid	3	3	1	26496610
56086	29803	IntAct, Biogrid	3	3	1	26496610
56086	11143	IntAct, Biogrid	3	3	1	26496610
56086	91664	IntAct, Biogrid	3	3	1	26496610
56086	374393	IntAct, Biogrid	3	3	1	26496610
56086	29855	IntAct, Biogrid	3	3	1	26496610
56086	51081	IntAct, Biogrid	3	3	1	26496610
56086	2975	IntAct, Biogrid	3	3	1	26496610
56086	140710	IntAct, Biogrid	3	3	1	26496610
56086	49854	IntAct, Biogrid	3	3	1	26496610
56086	573	IntAct, Biogrid	3	3	1	26496610
56086	9841	IntAct, Biogrid	3	3	1	26496610
56086	80829	IntAct, Biogrid	3	3	1	26496610
56086	9643	IntAct, Biogrid	3	3	1	26496610
56086	9782	IntAct, Biogrid	3	3	1	26496610
56086	55870	IntAct, Biogrid	3	3	1	26496610
56086	88745	IntAct, Biogrid	3	3	1	26496610
56086	114825	IntAct, Biogrid	3	3	1	26496610
56086	10168	IntAct, Biogrid	3	3	1	26496610
56086	116092	IntAct, Biogrid	3	3	1	26496610
56086	4297	IntAct, Biogrid	3	3	1	26496610
56086	9070	IntAct, Biogrid	3	3	1	26496610
56086	54989	IntAct, Biogrid	3	3	1	26496610
56086	10147	IntAct, Biogrid	3	3	1	26496610
56086	79915	IntAct, Biogrid	3	3	1	26496610
56086	5928	IntAct, Biogrid	3	3	1	26496610
56086	29915	IntAct, Biogrid	3	3	1	26496610
56086	5612	IntAct, Biogrid	3	3	1	26496610
56086	9726	IntAct, Biogrid	3	3	1	26496610
56086	23255	IntAct, Biogrid	3	3	1	26496610
56086	7259	IntAct, Biogrid	3	3	1	26496610
56086	79797	IntAct, Biogrid	3	3	1	26496610
56086	27107	IntAct, Biogrid	3	3	1	26496610
56086	23338	IntAct, Biogrid	3	3	1	26496610
56086	64376	IntAct, Biogrid	3	3	1	26496610
56086	23144	IntAct, Biogrid	3	3	1	26496610
56086	7644	IntAct, Biogrid	3	3	1	26496610
56086	9031	IntAct, Biogrid	3	3	1	26496610
56086	112464	IntAct, Biogrid	3	3	1	26496610
56086	4221	IntAct, Biogrid	3	3	1	26496610
56086	11091	IntAct, Biogrid	3	3	1	26496610
69556	23067	IntAct, Biogrid	3	3	1	26496610
69556	11091	IntAct, Biogrid	3	3	1	26496610
69556	80304	IntAct, Biogrid	3	3	1	26496610
69556	9070	IntAct, Biogrid	3	3	1	26496610
69556	5929	IntAct, Biogrid	3	3	1	26496610
69556	6712	IntAct, Biogrid	3	3	1	26496610
69556	58472	IntAct, Biogrid	3	3	1	26496610
69556	30827	IntAct, Biogrid	3	3	1	26496610
71878	79832	IntAct, Biogrid	3	3	1	26496610
71878	9919	IntAct, Biogrid	3	3	1	26496610
71878	85378	IntAct, Biogrid	3	3	1	26496610
71878	7283	IntAct, Biogrid	3	3	1	26496610
71878	1452	IntAct, Biogrid	3	3	1	26496610
71878	3875	IntAct, Biogrid	3	3	1	26496610
71878	9531	IntAct, Biogrid	3	3	1	26496610
71878	9052	IntAct, Biogrid	3	3	1	26496610
71878	9859	IntAct, Biogrid	3	3	1	26496610
71878	284403	IntAct, Biogrid	3	3	1	26496610
71878	3161	IntAct, Biogrid	3	3	1	26496610
71878	5576	IntAct, Biogrid	3	3	1	26496610
71878	79026	IntAct, Biogrid	3	3	1	26496610
20174	57132	IntAct, Biogrid	3	3	1	26496610
20174	10847	IntAct, Biogrid	3	3	1	26496610
20174	10524	IntAct, Biogrid	3	3	1	26496610
20174	79871	IntAct, Biogrid	3	3	1	26496610
20174	81572	IntAct, Biogrid	3	3	1	26496610
20174	79657	IntAct, Biogrid	3	3	1	26496610
20174	9643	IntAct, Biogrid	3	3	1	26496610
20174	8607	IntAct, Biogrid	3	3	1	26496610
20174	8725	IntAct, Biogrid	3	3	1	26496610
20174	9675	IntAct, Biogrid	3	3	1	26496610
20174	55257	IntAct, Biogrid	3	3	1	26496610
20174	51602	IntAct, Biogrid	3	3	1	26496610
20174	283899	IntAct, Biogrid	3	3	1	26496610
20174	6944	IntAct, Biogrid	3	3	1	26496610
20174	6830	IntAct, Biogrid	3	3	1	26496610
20174	116143	IntAct, Biogrid	3	3	1	26496610
20174	54891	IntAct, Biogrid	3	3	1	26496610
20174	26122	IntAct, Biogrid	3	3	1	26496610
20174	8295	IntAct, Biogrid	3	3	1	26496610
20174	25911	IntAct, Biogrid	3	3	1	26496610
20174	4798	IntAct, Biogrid	3	3	1	26496610
20174	5591	IntAct, Biogrid	3	3	1	26496610
20174	54799	IntAct, Biogrid	3	3	1	26496610
20174	86	IntAct, Biogrid	3	3	1	26496610
20174	57634	IntAct, Biogrid	3	3	1	26496610
20174	93973	IntAct, Biogrid	3	3	1	26496610
20174	80314	IntAct, Biogrid	3	3	1	26496610
20174	79913	IntAct, Biogrid	3	3	1	26496610
20174	8476	IntAct, Biogrid	3	3	1	26496610
20174	10471	IntAct, Biogrid	3	3	1	26496610
20174	7528	IntAct, Biogrid	3	3	1	26496610
20174	29844	IntAct, Biogrid	3	3	1	26496610
20174	80304	IntAct, Biogrid	3	3	1	26496610
20174	55929	IntAct, Biogrid	3	3	1	26496610
20174	121053	IntAct, Biogrid	3	3	1	26496610
20174	741	IntAct, Biogrid	3	3	1	26496610
20174	54617	IntAct, Biogrid	3	3	1	26496610
20174	10467	IntAct, Biogrid	3	3	1	26496610
20174	125476	IntAct, Biogrid	3	3	1	26496610
20174	8089	IntAct, Biogrid	3	3	1	26496610
20174	55011	IntAct, Biogrid	3	3	1	26496610
20174	5520	IntAct, Biogrid	3	3	1	26496610
20174	10902	IntAct, Biogrid	3	3	1	26496610
20174	5202	IntAct, Biogrid	3	3	1	26496610
20174	5430	IntAct, Biogrid	3	3	1	26496610
20174	83444	IntAct, Biogrid	3	3	1	26496610
16765	79033	IntAct, Biogrid	3	3	1	26496610
16765	7204	IntAct, Biogrid	3	3	1	26496610
16765	7378	IntAct, Biogrid	3	3	1	26496610
16765	11051	IntAct, Biogrid	3	3	1	26496610
16765	338	IntAct, Biogrid	3	3	1	26496610
16765	7415	IntAct, Biogrid	3	3	1	26496610
16765	2332	IntAct, Biogrid	3	3	1	26496610
