,TF,Total_Num_Targets,Num_Targets_DE,p-value,Adj. p-value
0,Spi1,431,7,0.0005802738257552407,0.004642190606041926
1,Jun,119,2,0.05818439280931863,0.465475142474549
2,Rela,156,2,0.09277025699205377,0.7421620559364301
3,Tal1,334,1,0.6660935843488182,1.0
4,Rara,48,0,1.0,1.0
5,Tcf3,15,0,1.0,1.0
6,Stat3,85,0,1.0,1.0
7,Relb,13,0,1.0,1.0
