,Source,Target,capacity
146,Rab10,Actn3,0.3875784869219914
147,Pgls,Actn3,0.645776858745674
148,Hsd3b7,Acta2,0.4063257204296247
149,Ywhae,Acta2,0.48158361544411704
150,Smad3,Acta2,0.1549833129463533
151,Nphp4,Acta2,0.22958083803897528
152,Fancd2,Acta2,0.6852056629206795
153,Casp7,Acta2,0.06939867659320159
154,Pgls,Acta2,0.5828210784694066
155,Lasp1,Acta2,0.9017275726917244
156,Pdlim5,Acta2,0.4196815133678115
157,Ywhaz,Acta2,0.6017564530258275
158,Smad6,Acvr1,0.3969995017794881
159,Diablo,Acvr1,0.33403408034481485
160,Acvr2a,Acvr1,0.5845362918822916
161,Inhba,Acvr1,0.7538612161273703
162,Smad7,Acvr1,0.5323107760897452
163,Magi2,Acvr2a,0.626446821666913
164,Inhba,Acvr2a,0.7691200482284876
165,Tal1,Acvr2a,0.5180061054056716
166,Irf8,Acvr2a,0.49997824143999825
167,Tdgf1,Acvr2b,0.5726575195204845
168,Lrg1,Acvrl1,0.555960251478898
169,Tgfbr1,Acvrl1,0.6966579108897045
170,Ywhae,Acvrl1,0.18932005930337092
171,Ywhae,Aspa,0.7092836843427006
172,Ywhae,Ada,0.30175840766792683
173,Sirt1,Adam10,0.7822316724407432
174,Dlg1,Adam10,0.5276014624098339
175,Ywhae,Adam10,0.6008758837807328
176,Ywhab,Adam11,0.47045586864535277
177,Grb2,Adam12,0.577668319155954
178,Ywhae,Adam15,0.19555275759251284
179,Notch1,Adam17,0.7585074070825364
180,Syngap1,Adam22,0.6159093118026511
181,Ywhab,Adam22,0.5021902745708601
182,Dlg4,Adam22,0.5141892004526629
183,Ywhaz,Adam22,0.5810384462193634
184,Ywhae,Adam22,0.18710208052889077
185,Kalrn,Adam22,0.19770015472761093
186,Kit,Adam8,0.9899694625818125
187,Il1r1,Adam8,0.9193830339938217
188,Tnf,Adam8,0.4036167639340414
189,Tnfrsf1a,Adam8,0.2278418711836238
190,Syngap1,Adam9,0.21152746309288634
191,Itga6,Adam9,0.7355582037191554
192,Prkcq,Adam9,0.4771496537526134
193,Dchs1,Adamts1,0.7109159231359375
194,Shc1,Adamts1,0.39158637937023205
195,Akap5,Adcy6,0.7452236858173058
196,Tal1,Adcy7,0.46391095507105584
197,Smarca4,Add1,0.5356769494003784
198,Ywhae,Add1,0.07174597332653082
199,Fancd2,Add1,0.5859962347993749
200,Foxp3,Add1,0.3578710814617324
201,Sin3a,Add1,0.38697493318046483
202,Ywhab,Add1,0.573978948065837
203,Atp1b1,Add1,0.842457959472154
204,Pdha1,Add1,0.5551630077084656
205,Ywhab,Add2,0.386551208614929
206,Ywhae,Add2,0.36478234378376134
207,Fyn,Add2,0.8564809482211464
208,Irf8,Add2,0.673651704822541
209,Hspa8,Plin2,0.3669267336347368
210,Abhd5,Plin2,0.8773219077883458
211,Hsd3b7,Adh1,0.45033006462810865
212,Ywhaz,Adh1,0.4650868651018907
213,Pgls,Adh1,0.4905641406852975
214,Ywhae,Adh1,0.40558778799660494
215,Fancd2,Adh1,0.4106345807523462
216,Pgls,Adh5,0.32817381563244774
217,Ywhae,Adh5,0.7607226315460971
218,Ywhae,Adk,0.6359964852949656
219,Desi1,Adk,0.30675838508977704
220,Pgls,Adk,0.3755052142189685
221,Ywhae,Adnp,0.7988195468681936
222,Cbx5,Adnp,0.44358779466855697
223,Tnik,Adnp,0.399631014109194
224,Eed,Adnp,0.8586634160708777
225,Tfcp2l1,Adnp,0.5506053488319893
226,Tsnax,Adora2a,0.386858374699821
227,Bmal1,Parp1,0.7247454010758586
228,Abcf1,Parp1,0.44426468330680263
229,L3mbtl2,Parp1,0.2509015502787637
230,Ubc,Parp1,0.7016616875821956
231,Ywhae,Parp1,0.16951306909651898
232,Eed,Parp1,0.23050491234713855
233,Fancd2,Parp1,0.4737038063146508
234,Tal1,Parp1,0.5387285330959103
235,Sting1,Parp1,0.4309556457146565
236,Clock,Parp1,0.6265790166997789
237,Casp7,Parp1,0.5478832109822341
238,Ywhah,Parp2,0.27016330752999773
239,Npm1,Parp2,0.43966084103405056
240,Eif3f,Adra1b,0.40097850498351084
241,Adrb1,Adrb2,0.8741730137237447
242,Magi3,Adrb2,0.27333719298106385
243,Pgls,Adsl,0.21865606499613421
244,Pag1,Adsl,0.2017430918438533
245,Fancd2,Adsl,0.4768140500559926
246,Foxp3,Adsl,0.5102735420088982
247,Ywhaz,Adsl,0.42566410740656757
248,Ywhae,Adsl,0.8816418645733153
249,Pgls,Adssl1,0.6908416203490823
250,Ywhae,Adssl1,0.22381850547202786
251,Ywhae,Adss,0.916306548165386
252,Scarf1,Avil,0.6879433261538013
253,Fancd2,Avil,0.6757509141971584
254,Crk,Avil,0.5597920277497825
255,Nfe2,Aebp1,0.2480087667783396
256,Gmeb2,Aebp1,0.7595112218315344
