,TF,Total_Num_Targets,Num_Targets_DE,p-value,Adj. p-value
0,Spi1,431,25,8.004779545293125e-14,6.4038236362345e-13
1,Jun,119,9,8.761804098966217e-07,7.009443279172974e-06
2,Rela,156,9,8.200713448036856e-06,6.560570758429485e-05
3,Stat3,85,7,8.305743941614118e-06,6.644595153291295e-05
4,Tal1,334,8,0.008065203965301145,0.06452163172240916
