,TF,Total_Num_Targets,Num_Targets_DE,p-value,Adj. p-value
0,Rela,156,6,4.6305723709133506e-05,0.00037044578967306805
1,Spi1,431,9,7.685453988771043e-05,0.0006148363191016835
