"","GeneNameA","GeneNameB"
"6755","Pik3r1","Akt1"
"6783","Pde3a","Akt1"
"6806","Akt1s1","Akt2"
"6809","Ccdc88a","Akt2"
"6812","Map4k4","Akt2"
"6821","Alas2","Alas2"
"6822","Kcnma1","Alb"
"6824","Fbxo32","Alb"
"6828","Set","Alb"
"6838","Rnf123","Alb"
"6840","Abcd2","Abcd1"
"6842","Sirt3","Aldh2"
"6849","Stam2","Aldoa"
"6852","Traf6","Aldoa"
"6858","Fbxo32","Aldoa"
"6864","Kcnma1","Aldoa"
"6867","Hadh","Aldoa"
"6882","Itga2b","Aldoa"
"6891","Fbxo32","Aldoc"
"6900","Itga2b","Aldoc"
"6909","Fbxo32","Akr1b1"
"6912","Rabac1","Alox15"
"6914","Gsap","Alox5"
"6915","Alox5","Alox5ap"
"6916","Jdp2","Alx3"
"6918","Tbx21","Alx4"
"6919","Sox2","Alx4"
"6922","Hoxd12","Alx4"
"6923","Sox15","Alx4"
"6924","Gtf3c1","Alx4"
"6926","Dlx1","Alx4"
"6927","Hoxa10","Alx4"
"6928","Hoxc4","Alx4"
"6929","Pou4f2","Alx4"
"6930","Rax","Alx4"
"6931","Hoxd13","Alx4"
"6932","Foxh1","Alx4"
"6933","Ldb1","Alx4"
"6934","Lmx1b","Alx4"
"6935","Foxa1","Alx4"
"6941","Dlx5","Alx4"
"6943","Dlx2","Alx4"
"6945","Cdx2","Alx4"
"6946","Hoxb13","Alx4"
"6947","Alx4","Alx4"
"6950","Prrx1","Alx4"
"6952","Cdx4","Alx4"
"6953","Hoxa11","Alx4"
"6954","Pax3","Alx4"
"6956","Ercc8","Alx4"
"6959","Mixl1","Alx4"
"6961","Pou3f4","Alx4"
"6962","Cdx1","Alx4"
"6965","Amelx","Amelx"
"6966","Ang5","Ang5"
"6967","Actg1","Ank3"
"6970","Dlg4","Ank3"
"6976","Hook1","Ank3"
"6985","Setbp1","Anp32a"
"6987","Set","Anp32a"
"6989","E4f1","Anp32a"
"6991","Sap30","Anp32a"
"6997","Ubc","Slc25a4"
"7007","Ubc","Slc25a5"
"7011","Itga2b","Slc25a5"
"7012","Itga2b","Anxa3"
"7015","Kcnma1","Anxa3"
"7024","Lmna","Anxa3"
"7027","Kcnma1","Anxa5"
"7031","Kcnq3","Anxa6"
"7032","Kcnq2","Anxa6"
"7034","Kcnma1","Anxa7"
"7037","Itgb2","Prdx3"
"7040","Prdx3","Prdx3"
"7052","Gstp1","Prdx6"
"7058","Sufu","Prdx6"
"7073","Egfr","Ap1b1"
"7076","Itgb3","Ap1b1"
"7100","Syp","Ap1g1"
"7101","Slc2a8","Ap1g1"
"7102","Igf2r","Ap1g1"
"7104","Ap1g1","Ap1m1"
"7112","Snap25","Ap2a1"
"7115","Egfr","Ap2a1"
"7127","Rara","Ap2a1"
"7130","Grin2b","Ap2a1"
"7136","Ppp1r9b","Ap2a1"
"7139","Pip5k1c","Ap2a1"
"7151","Ubc","Ap2a1"
"7181","Ubc","Ap2a2"
"7193","Ppp1r9b","Ap2a2"
"7197","Necap1","Ap2a2"
"7201","Snap91","Ap2a2"
"7217","Rara","Ap2a2"
"7225","Amph","Ap2a2"
"7229","Itgb3","Ap2a2"
"7265","Ubc","Ap2m1"
"7268","Rara","Ap2m1"
"7274","Ctla4","Ap2m1"
