"","GeneNameA","GeneNameB"
"214","Ywhaz","Actn2"
"215","Prkce","Actn2"
"216","Ywhab","Actn2"
"217","Grin2b","Actn3"
"218","Rab33b","Actn3"
"219","Trim32","Actn3"
"220","Hsd3b4","Actn3"
"221","Alms1","Actn3"
"222","Pgls","Actn3"
"223","Ywhae","Actn3"
"224","Rab10","Actn3"
"225","Nrap","Actn3"
"226","Hsd3b7","Acta2"
"227","Casp7","Acta2"
"228","Nphp4","Acta2"
"229","Pdlim5","Acta2"
"230","Ywhae","Acta2"
"231","Fancd2","Acta2"
"232","Hsd3b4","Acta2"
"233","Pgls","Acta2"
"234","Lasp1","Acta2"
"235","Ywhaz","Acta2"
"236","Smad3","Acta2"
"237","Smad7","Acvr1"
"238","Inhba","Acvr1"
"239","Inha","Acvr1"
"240","Diablo","Acvr1"
"241","Acvr2a","Acvr1"
"242","Smad6","Acvr1"
"243","Irf8","Acvr2a"
"244","Acvr2a","Acvr2a"
"245","Magi2","Acvr2a"
"246","Inhba","Acvr2a"
"247","Tal1","Acvr2a"
"248","Cripto","Acvr2b"
"249","Tgfbr1","Acvrl1"
"250","Ywhae","Acvrl1"
"251","Lrg1","Acvrl1"
"252","Ywhae","Aspa"
"253","Ywhae","Ada"
"254","Sirt1","Adam10"
"255","Ywhae","Adam10"
"256","Adam10","Adam10"
"257","Dlg1","Adam10"
"258","Ywhab","Adam11"
"259","Grb2","Adam12"
"260","Sh3gl2","Adam15"
"261","Ywhae","Adam15"
"262","Notch1","Adam17"
"263","Dlgap1","Adam22"
"264","Syngap1","Adam22"
"265","Dlg4","Adam22"
"266","Kalrn","Adam22"
"267","Grin2b","Adam22"
"268","Ywhaz","Adam22"
"269","Ywhae","Adam22"
"270","Ywhab","Adam22"
"271","Adam3","Adam5"
"272","Kit","Adam8"
"273","Tnf","Adam8"
"274","Tnfrsf1a","Adam8"
"275","Chl1","Adam8"
"276","Il1r1","Adam8"
"277","Prkcq","Adam9"
"278","Itga6","Adam9"
"279","Syngap1","Adam9"
"280","Sh3gl2","Adam9"
"281","Dchs1","Adamts1"
"282","Shc1","Adamts1"
"283","Akap5","Adcy6"
"284","Tal1","Adcy7"
"285","Ppp2ca","Adcy8"
"286","Calm3","Adcy8"
"287","Ppp2r1a","Adcy8"
"288","Calm1","Adcy8"
"289","Calm2","Adcy8"
"290","Sharpin","Adcyap1"
"291","Igf1r","Adcyap1r1"
"292","Hsd3b4","Add1"
"293","Foxp3","Add1"
"294","Fancd2","Add1"
"295","Atp1b1","Add1"
"296","Ywhab","Add1"
"297","Ywhae","Add1"
"298","Pex5l","Add1"
"299","Sin3a","Add1"
"300","Smarca4","Add1"
"301","Lnx1","Add1"
"302","Pdha1","Add1"
"303","Ywhae","Add2"
"304","Ywhab","Add2"
"305","Fyn","Add2"
"306","Irf8","Add2"
