,TF,Total_Num_Targets,Num_Targets_DE,p-value,Adj. p-value
0,Rela,156,6,4.6305723709133506e-05,0.00037044578967306805
1,Spi1,431,9,7.685453988771043e-05,0.0006148363191016835
2,Stat3,85,3,0.005133028897194933,0.04106423117755947
3,Jun,119,3,0.012869131860847292,0.10295305488677833
4,Rara,48,1,0.17777280959450328,1.0
5,Tal1,334,1,0.7447656394100872,1.0
6,Tcf3,15,0,1.0,1.0
7,Relb,13,0,1.0,1.0
